time,frequency,confidence
0.0,254.29028972196434,0.09506866
0.02,254.5128915331802,0.25829086
0.04,256.8795236952303,0.117897965
0.06,256.34327705549913,0.52254665
0.08,258.7900596377835,0.2299281
0.1,261.424645339383,0.33061856
0.12,261.87057957892927,0.2158825
0.14,262.55636386174496,0.3699782
0.16,261.4399736904522,0.3495361
0.18,260.73233959939097,0.3365718
0.2,259.0736944280745,0.22435561
0.22,290.34589187735327,0.3103662
0.24,323.05990072335806,0.56889606
0.26,351.88863020911754,0.51230764
0.28,349.53546951779174,0.3874859
0.3,317.1570587165559,0.14781903
0.32,306.73727390901297,0.4312884
0.34,290.48359492128424,0.25492266
0.36,281.90819872300597,0.14650798
0.38,277.28877058715136,0.13019167
0.4,280.0207510165094,0.2572488
0.42,279.92154778759016,0.39201164
0.44,280.49796972939816,0.39669803
0.46,279.7192592274144,0.50138044
0.48,280.63693165753864,0.59851956
0.5,280.03496532192594,0.5688906
0.52,282.02873932710594,0.49019706
0.54,279.68896784353893,0.13890228
0.56,278.5734953759119,0.22548988
0.58,279.44478054288163,0.1367527
0.6,280.6752259095589,0.21939468
0.62,278.9986296347571,0.31748512
0.64,280.4776305186939,0.4626081
0.66,280.7809482999048,0.5422822
0.68,282.1848567717977,0.44891167
0.7,278.9325399553308,0.55138564
0.72,280.9741084808974,0.64656174
0.74,281.2655142854514,0.27629533
0.76,281.0995945256143,0.49903044
0.78,284.82214734288465,0.5358118
0.8,288.670573241817,0.3598845
0.82,302.4659069082007,0.48850995
0.84,309.560988414553,0.70380235
0.86,313.46740793896845,0.68508327
0.88,315.4518577354802,0.74419135
0.9,316.8923557869612,0.58388186
0.92,317.54491541851235,0.5288744
0.94,316.3104804820082,0.49235907
0.96,290.9879983094464,0.5708034
0.98,269.8616793477176,0.20074219
1.0,250.4113101281126,0.14323957
1.02,249.4814496627254,0.19412059
1.04,248.27824760586938,0.15885058
1.06,247.6843116434071,0.18537122
1.08,250.70636757064017,0.23174974
1.1,263.6025810001129,0.095790245
1.12,274.0735060730777,0.16131756
1.14,280.04403620268255,0.39329696
1.16,282.9610392666822,0.4580734
1.18,298.742588962537,0.41534168
1.2,312.4173509319234,0.4569748
1.22,316.2574314807434,0.4539963
1.24,315.70358673312757,0.36017004
1.26,317.32440364579486,0.5601587
1.28,316.4875493808611,0.36632806
1.3,317.2492136400367,0.3807242
1.32,317.18569945941147,0.38975352
1.34,316.49760760834573,0.19234043
1.36,316.1400038012801,0.21288769
1.38,318.0761443992712,0.26762506
1.4,318.3863740401698,0.25988507
1.42,316.2747367687977,0.17528056
1.44,315.58705716950317,0.15568644
1.46,315.7232792297325,0.30121654
1.48,316.70396156752633,0.1592767
1.5,314.40451195511105,0.35627267
1.52,280.55362697038197,0.25038138
1.54,254.27350842251116,0.22307421
1.56,237.8618908489932,0.08083523
1.58,213.2000428415726,0.19067919
1.6,213.08750802497698,0.2069297
1.62,212.6067364852812,0.13494685
1.64,212.84823387123487,0.41359213
1.66,212.6418488951919,0.23309606
1.68,213.88488187167727,0.42884374
1.7,214.03050579748484,0.39331758
1.72,213.93914382434215,0.22844243
1.74,223.68367179040658,0.12987474
1.76,243.92411654029473,0.3010553
1.78,253.11204639218286,0.19836399
1.8,269.3642265727612,0.49056652
1.82,276.60985908147273,0.28110418
1.84,274.3997624298725,0.36160946
1.86,284.82971619289356,0.18139158
1.88,275.7633638831998,0.2471419
1.9,277.37429582467473,0.12110803
1.92,278.19051152181055,0.16669586
1.94,279.0977597100488,0.1963912
1.96,277.14766229030835,0.14530605
1.98,280.25577360004746,0.106351085
2.0,263.5663921916638,0.21397337
2.02,277.21118840019324,0.261639
2.04,279.9463292247417,0.3006501
2.06,285.3249946656721,0.24094081
2.08,290.846410562405,0.21123785
2.1,278.0341761906757,0.19542292
2.12,284.0081279120517,0.16063327
2.14,277.06965310411607,0.24132009
2.16,277.7310092310538,0.26955754
2.18,285.827427313828,0.14570232
2.2,285.03511362657747,0.058017842
2.22,285.0867190481362,0.13061246
2.24,284.72594657118293,0.30158335
2.26,282.8896640122985,0.4219283
2.28,283.2899637700533,0.44931293
2.3,283.23874987884824,0.25080332
2.32,284.8350862334936,0.26222664
2.34,284.74840010686677,0.2570792
2.36,279.3284382200792,0.36467972
2.38,286.777838326013,0.1022484
2.4,280.1444100030539,0.120497316
2.42,254.1103067065632,0.11892674
2.44,280.9885844997146,0.08758078
2.46,314.18084521833777,0.12624492
2.48,319.74648908365754,0.20012985
2.5,320.1730655804987,0.27279443
2.52,286.9074190144527,0.14990422
2.54,316.10521362679475,0.09675295
2.56,320.6996269380478,0.12766509
2.58,281.8326214362419,0.24604504
2.6,282.04913501269374,0.25246614
2.62,281.0189944715255,0.26860297
2.64,272.2985690897436,0.13091134
2.66,262.3282276090647,0.14184663
2.68,250.46953571607563,0.24934699
2.7,250.12914605370656,0.17509611
2.72,281.47280322453724,0.23978162
2.74,253.37434670712557,0.20788053
2.76,259.4617409226311,0.13892019
2.78,230.7290824767066,0.38008612
2.8,215.18858133400073,0.46737298
2.82,202.96627576846294,0.39747465
2.84,179.18789498077018,0.53208363
2.86,165.26495890789738,0.7667029
2.88,161.75171339871244,0.85741234
2.9,163.58351624059938,0.8289349
2.92,170.28238576094162,0.74337065
2.94,179.92822144605577,0.79073834
2.96,188.70713646562209,0.7239703
2.98,198.86665412264034,0.7196897
3.0,210.5466083372593,0.84012634
3.02,215.45923467981174,0.890728
3.04,214.9346011644812,0.8758998
3.06,209.51758883063923,0.76670635
3.08,201.8137143161155,0.84427214
3.1,197.3837965875473,0.8889583
3.12,192.42410357275725,0.82607466
3.14,185.50004629317232,0.8213445
3.16,180.16721767380557,0.80546343
3.18,175.93084779820225,0.80905765
3.2,175.128923504334,0.8367116
3.22,176.3228447505438,0.82395244
3.24,178.52383700647962,0.85908324
3.26,181.91523770639145,0.8778902
3.28,184.53623596712953,0.8611082
3.3,191.79281288716552,0.7923604
3.32,199.19817780418325,0.8057541
3.34,208.94880593780303,0.84472734
3.36,213.43585163681766,0.90718275
3.38,212.2774874859003,0.86615586
3.4,205.6983967471317,0.83606786
3.42,200.79583291679688,0.84585744
3.44,195.43240700886412,0.83082396
3.46,190.24589316446543,0.81288487
3.48,184.05297694027462,0.82126576
3.5,180.41241232953064,0.78711474
3.52,178.20956351091877,0.77254415
3.54,176.8458825384849,0.75390327
3.56,175.64077974455896,0.72040415
3.58,176.54677174847805,0.7771402
3.6,182.777520127504,0.82430416
3.62,189.8186798389293,0.7606944
3.64,203.80026246663544,0.71548927
3.66,212.18045501901403,0.81839496
3.68,214.6255245154364,0.8555333
3.7,213.931657222999,0.8594961
3.72,212.91976781931413,0.8779307
3.74,208.7748762888738,0.8467402
3.76,204.3997550868483,0.81847703
3.78,200.65321056132888,0.77699983
3.8,196.32026447292725,0.7718516
3.82,189.74137370278953,0.59838784
3.84,181.01930528148543,0.775245
3.86,176.03520194953234,0.7936539
3.88,174.22972507791866,0.79232025
3.9,173.3927254089973,0.8394224
3.92,172.2765972801937,0.8079077
3.94,171.33779986522114,0.85248256
3.96,170.43348890980855,0.8324626
3.98,174.28549888644824,0.7557107
4.0,180.8119433432592,0.84893906
4.02,188.3355546590044,0.6568446
4.04,199.14047176849803,0.78616774
4.06,206.73512776459324,0.85016286
4.08,208.0437416231842,0.88381964
4.1,208.1333030410913,0.8724547
4.12,207.6063001076772,0.872386
4.14,207.590252930284,0.87934995
4.16,207.99421107964673,0.8842323
4.18,208.82679730369068,0.8730133
4.2,210.10872034067873,0.85682184
4.22,211.17416635679984,0.8596696
4.24,210.98339144425208,0.85875845
4.26,210.32870232022745,0.8536099
4.28,207.89848969976336,0.8327973
4.3,205.1330174027632,0.8513749
4.32,206.95698099070373,0.8429457
4.34,209.43572741459076,0.8287311
4.36,211.50318134756205,0.83945334
4.38,211.74797918089,0.82841575
4.4,211.38429576099125,0.8520312
4.42,212.00754965069422,0.8451866
4.44,212.60706577014054,0.85004455
4.46,212.42761129488176,0.8551324
4.48,212.5444005114541,0.8561579
4.5,213.002204635258,0.87168896
4.52,213.2800352569248,0.8605582
4.54,212.40940373823264,0.8464336
4.56,211.32323991242976,0.83154964
4.58,210.7825476037828,0.83718574
4.6,210.92955832018316,0.8323176
4.62,210.89951719312975,0.83477557
4.64,210.4913542634827,0.8221794
4.66,209.93950576651218,0.82098037
4.68,209.73062987920432,0.80604887
4.7,210.04470310805965,0.80777925
4.72,209.70986946481145,0.79838175
4.74,208.84048811968185,0.83383363
4.76,208.40037187339982,0.8438582
4.78,207.96462835676027,0.85589594
