time,frequency,confidence
0.0,266.66095071142456,0.05944171
0.02,265.75334138756546,0.075883694
0.04,265.7995278949853,0.2078085
0.06,248.39894578513392,0.11441635
0.08,250.38411430591117,0.14214884
0.1,246.27489597649975,0.21298182
0.12,251.3816308944919,0.14974596
0.14,250.93071300520617,0.08185503
0.16,255.68625172779724,0.123542085
0.18,261.14157647100825,0.09068276
0.2,264.6092750218104,0.21153446
0.22,266.27964576787474,0.19735661
0.24,266.6118714471147,0.13649052
0.26,264.523180969271,0.21552733
0.28,262.74000554492443,0.13128845
0.3,262.3758483702402,0.1482188
0.32,264.24018550315276,0.23836817
0.34,259.7705857232221,0.23447776
0.36,274.16822063211,0.08928672
0.38,267.6666811727298,0.52250683
0.4,265.7260908011075,0.8105969
0.42,264.5562107615618,0.81017417
0.44,264.05468959671606,0.8129639
0.46,268.46912943573267,0.79692674
0.48,269.928671178479,0.78848994
0.5,276.5547808047186,0.73823524
0.52,283.87956086751063,0.71288675
0.54,296.8121916579167,0.6820513
0.56,311.0318902593805,0.78384376
0.58,321.8454651330228,0.7280737
0.6,329.9802113446029,0.5819558
0.62,345.0085289953846,0.4694298
0.64,354.6010750580738,0.82113737
0.66,362.6860001524152,0.756352
0.68,369.557029609413,0.8442713
0.7,375.89013540207077,0.83264136
0.72,382.93386355536256,0.7272935
0.74,389.9820752643157,0.75582665
0.76,394.4699917964604,0.841837
0.78,393.4407063104166,0.86996627
0.8,386.07506395021284,0.73587793
0.82,380.7533368024368,0.84158456
0.84,379.2297449898508,0.84262305
0.86,380.09680953559075,0.8150627
0.88,379.6214894588516,0.8389251
0.9,377.34388123049285,0.84293306
0.92,375.3179833935826,0.854597
0.94,374.4964231901363,0.8438467
0.96,373.26074586649924,0.8321981
0.98,370.8382445696701,0.8163845
1.0,368.1401533297049,0.8071102
1.02,367.6981330525768,0.83433837
1.04,369.0583918390994,0.82627237
1.06,371.5156350077419,0.8602057
1.08,374.9413674259122,0.81855047
1.1,378.06206575486203,0.79262716
1.12,376.97639638878996,0.8223127
1.14,374.74465058145404,0.80689716
1.16,371.71918543565425,0.76609546
1.18,367.39605589189046,0.75675607
1.2,367.57261854833587,0.81069785
1.22,374.24236459396553,0.81162846
1.24,385.1743007710717,0.5795584
1.26,393.9362058760949,0.8390211
1.28,396.9589597291943,0.8656041
1.3,396.2744320886623,0.8701788
1.32,396.58467957325695,0.8581594
1.34,396.6595150637039,0.85300374
1.36,393.38519232002,0.644534
1.38,364.4905406210705,0.28083828
1.4,351.81318947206506,0.52612203
1.42,352.72466420544873,0.28564247
1.44,368.1055657771326,0.7209895
1.46,374.62658971667247,0.82255614
1.48,387.0343165153954,0.74761736
1.5,395.7702636318985,0.88911057
1.52,392.59576749522387,0.9096336
1.54,382.0628516198241,0.8481332
1.56,367.75276242163704,0.77681243
1.58,353.2006845155919,0.8724953
1.6,344.04409097608146,0.79510486
1.62,336.8463828860093,0.8167074
1.64,334.6244425272858,0.84764475
1.66,334.4394100132514,0.8668455
1.68,335.2201811172439,0.84662294
1.7,336.43253307085956,0.82233727
1.72,337.13626339005214,0.81691116
1.74,337.408654808763,0.8046255
1.76,336.9947922077926,0.79456115
1.78,338.00365840556765,0.82044256
1.8,346.7870675308617,0.7335148
1.82,361.4156904806987,0.6111429
1.84,377.5907058685334,0.7194501
1.86,391.4378926518616,0.8270554
1.88,391.9199182663622,0.8463626
1.9,380.2391596789753,0.76132685
1.92,370.97324792579633,0.88238657
1.94,366.0503387391632,0.8824575
1.96,367.05435894379673,0.87354386
1.98,372.07024759242705,0.90817565
2.0,377.47172077106603,0.831472
2.02,383.69424624682887,0.7718784
2.04,391.50881172000084,0.8387109
2.06,389.82260154966536,0.85917354
2.08,382.0662356119433,0.79985
2.1,370.0286279670877,0.7731383
2.12,354.86000288994154,0.75624466
2.14,342.6035802539949,0.5577029
2.16,319.8654885589665,0.7135971
2.18,312.4836542012242,0.85294527
2.2,304.15230813683644,0.8005945
2.22,295.5253809593594,0.88634473
2.24,290.9913811118203,0.9239396
2.26,289.1237113315106,0.90718615
2.28,286.6881815636747,0.89706683
2.3,283.60402724608537,0.8956849
2.32,287.1034580141948,0.8509799
2.34,294.02401354180125,0.9116768
2.36,303.12683416168136,0.75065136
2.38,317.07332667821584,0.61198723
2.4,351.91321642206356,0.38927537
2.42,367.9082356052231,0.7415141
2.44,374.3135765351284,0.8677919
2.46,366.07084194431957,0.6513027
2.48,343.5385779076022,0.66637015
2.5,332.05230961037216,0.8884524
2.52,332.56395511630717,0.8744705
2.54,335.9949191190859,0.8444636
2.56,337.6848773302909,0.83561367
2.58,337.7830213727524,0.8366159
2.6,338.34898212169196,0.8108662
2.62,348.95184219065493,0.8319571
2.64,351.6464175710121,0.84932613
2.66,348.22507132289024,0.7765429
2.68,338.67860056917294,0.64051384
2.7,327.25000199816986,0.79186964
2.72,314.9728833394854,0.7599708
2.74,299.14875864758824,0.7906906
2.76,291.573437376819,0.89525515
2.78,287.21613723852266,0.85141003
2.8,281.4033615088209,0.8395827
2.82,277.96800830152915,0.87450916
2.84,277.04296700513936,0.8652476
2.86,276.3011657462745,0.8538431
2.88,279.36270575231964,0.86978966
2.9,286.6101071074703,0.7399932
2.92,311.7886090376765,0.4790561
2.94,353.2012813302557,0.2943376
2.96,374.18580176300003,0.63572025
2.98,383.1686963946247,0.77658695
3.0,380.05965843674903,0.7638899
3.02,368.32463168232005,0.7384544
3.04,353.85714150792865,0.70301986
3.06,345.24209344614377,0.5935881
3.08,341.8196620333042,0.68045247
3.1,341.66670846411023,0.70198935
3.12,341.148340286221,0.712971
3.14,342.4881245314345,0.691571
3.16,351.791609684866,0.7853987
3.18,367.9334055740592,0.6312603
3.2,380.6643132526657,0.6841625
3.22,392.8778353664421,0.7927889
3.24,394.1509122097984,0.867991
3.26,386.338373547645,0.68623734
3.28,377.263226059007,0.80474293
3.3,371.9889609465471,0.84359455
3.32,368.1718715224011,0.7853263
3.34,367.91671763424716,0.80752665
3.36,371.7309154559555,0.86136436
3.38,379.3172257729069,0.6977631
3.4,406.64072182546465,0.36328438
3.42,428.71936915773153,0.15226266
3.44,453.35165230705536,0.65895236
3.46,464.3607167698293,0.46806931
3.48,456.6406515971139,0.63521016
3.5,403.17163531065364,0.5809728
3.52,389.0933479865647,0.78634095
3.54,385.54887332296744,0.76878196
3.56,390.5805420309562,0.7855028
3.58,396.5212156873505,0.8562112
3.6,397.18464980212184,0.8786057
3.62,391.3946891011044,0.83926344
3.64,381.2016484909924,0.7820898
3.66,371.4054615948839,0.78198797
3.68,362.68489629577437,0.83135545
3.7,365.5921199281792,0.7747259
3.72,374.52828476333593,0.8032573
3.74,384.98083856459374,0.690541
3.76,386.4813414901515,0.76139486
3.78,379.07664349470554,0.7850059
3.8,373.56999577239577,0.8285445
3.82,372.16271383150524,0.8747544
3.84,373.555798397497,0.84785265
3.86,375.7863748645759,0.83351
3.88,379.58272479866474,0.82202846
3.9,386.53544465345186,0.69107854
3.92,392.9697068931085,0.84798473
3.94,392.14023761986317,0.86510366
3.96,382.49112087626855,0.6873591
3.98,371.02589038900294,0.74091303
4.0,358.28403438651577,0.752771
4.02,346.7089107139777,0.6282996
4.04,341.7943953035132,0.6780574
4.06,337.489098396274,0.7143005
4.08,332.9581430798179,0.78805625
4.1,331.0825610433385,0.8522889
4.12,334.6596233841189,0.6345507
4.14,348.6230020270596,0.6495188
4.16,367.6522861414277,0.5534847
4.18,384.20839310147426,0.4968179
4.2,398.15633302466597,0.8320473
4.22,397.0297291785132,0.8526327
4.24,387.58155406087644,0.72468865
4.26,376.8973035147206,0.817419
4.28,373.2318180852301,0.84597075
4.3,371.1146685459062,0.87853533
4.32,371.1447360931708,0.88200027
4.34,371.17114035653117,0.85761225
4.36,369.4221204710056,0.817422
4.38,367.55547696626877,0.85408044
4.4,368.1985347268142,0.8533399
4.42,373.36310078476964,0.8489794
4.44,385.03408656456236,0.6404835
4.46,393.78232464862333,0.82423675
4.48,392.4765277119342,0.834141
4.5,380.8141387994692,0.692238
4.52,366.18815979205726,0.68515205
4.54,346.66112237230425,0.60564256
4.56,334.1385103006783,0.7130101
4.58,327.1226736934321,0.848663
4.6,324.8373397810768,0.8315807
4.62,327.6470413160149,0.82422644
4.64,336.32319621869124,0.5884249
4.66,347.03467768800573,0.751216
4.68,349.27015400365394,0.8196807
4.7,343.2780616267702,0.6007856
4.72,316.0058897275696,0.44685757
4.74,293.8776372837291,0.8894204
4.76,290.76826480740226,0.9336591
4.78,293.39574364125315,0.9096313
4.8,298.21918310750056,0.89410627
4.82,301.04603974037076,0.8919722
4.84,298.5287259397148,0.905674
4.86,295.1865716625773,0.93714535
4.88,293.2591607976697,0.935607
4.9,293.9562702019663,0.9419069
4.92,293.86378843897825,0.94290406
4.94,292.5340375586305,0.9201516
4.96,292.98302921746085,0.92191494
4.98,295.1073860445372,0.93378735
5.0,295.4553145741322,0.93618244
5.02,293.6588149112382,0.93958014
5.04,289.6580355798975,0.89524424
5.06,284.85823960967474,0.8760496
5.08,279.16337167741847,0.90115774
5.1,276.6759922283605,0.8830215
5.12,279.1036368928558,0.89605916
5.14,285.5852121959192,0.87622136
5.16,293.3190805170563,0.89372104
5.18,296.7752950510759,0.9169365
5.2,295.139414565317,0.94767344
5.22,291.4023712460042,0.9175424
5.24,288.00546259832595,0.9101619
5.26,286.82365562030884,0.88726485
5.28,286.7349851380516,0.8765867
5.3,288.19126292291617,0.8648483
5.32,283.71309103356754,0.8546669
5.34,278.94341634770296,0.8881327
5.36,277.60452875869646,0.89845264
5.38,277.47960861304966,0.90391654
5.4,276.78186718153887,0.88221824
5.42,276.09924508107304,0.87796766
5.44,275.32141927426073,0.87316453
5.46,275.50553031622434,0.8710012
5.48,275.6060521653453,0.83033943
5.5,275.51739433951934,0.77845377
5.52,273.9914899466994,0.7786544
5.54,273.7887842265797,0.68663526
5.56,274.0780748423834,0.33371568
5.58,290.4716124590853,0.5978098
5.6,327.16673945594994,0.4977161
5.62,350.1828997889993,0.8170716
5.64,339.99000206735894,0.78496426
5.66,334.2846766614854,0.8716931
5.68,333.72009196331544,0.84983116
5.7,334.84647156413706,0.80283403
5.72,337.02662360769386,0.58444476
