time,frequency,confidence
0.0,156.96045278437487,0.07088114
0.02,156.59583053894391,0.058269393
0.04,154.50701938005014,0.08124222
0.06,153.74951319585247,0.15748487
0.08,156.6052396194671,0.036903918
0.1,157.0270179510594,0.05187946
0.12,155.6422598812029,0.17673194
0.14,156.58342947081496,0.33888003
0.16,157.81309984190887,0.21984424
0.18,154.66683929044865,0.3580988
0.2,157.4584699048199,0.27668256
0.22,158.67476423198423,0.21826214
0.24,156.67086464595943,0.4723474
0.26,160.698855850062,0.4016763
0.28,159.71841693829123,0.64598054
0.3,156.90433767570573,0.81869054
0.32,155.15984936087114,0.72468024
0.34,151.89548974170924,0.7507887
0.36,150.479250030429,0.7959441
0.38,150.42669119538493,0.82922024
0.4,149.54715567702831,0.8365352
0.42,145.93117089568946,0.8346044
0.44,139.90319624044594,0.8010749
0.46,136.69997636108548,0.74128616
0.48,135.38780580728871,0.7799027
0.5,135.6218306606437,0.81615967
0.52,136.53931004990463,0.8173458
0.54,136.49270427574288,0.77538
0.56,134.9357992976263,0.79750055
0.58,135.3859727094138,0.7715874
0.6,134.4579203943908,0.7658471
0.62,135.2911839442485,0.79886204
0.64,136.1011546670058,0.8300892
0.66,135.72471821703033,0.8251647
0.68,135.59027762238122,0.7712713
0.7,135.6658806658445,0.7761848
0.72,136.25911770201793,0.7897545
0.74,135.95717948156738,0.7852093
0.76,136.1074003577904,0.84043133
0.78,136.25614813120276,0.84166086
0.8,135.14105264523772,0.78183824
0.82,134.84670945302844,0.7558366
0.84,134.94308988345563,0.78013766
0.86,135.13109985974302,0.80267644
0.88,134.66950389942366,0.80979633
0.9,134.37270561529698,0.84579927
0.92,135.3164117222572,0.79034954
0.94,135.03312408634477,0.7916417
0.96,135.6469887936619,0.82037526
0.98,136.12942230526667,0.8185111
1.0,136.75327394614015,0.8192689
1.02,137.18398904317806,0.82275105
1.04,136.31427880153916,0.8036966
1.06,136.55447273890533,0.810213
1.08,135.91443657457947,0.7859446
1.1,135.97457034681833,0.7809034
1.12,135.657205802428,0.7802615
1.14,135.6274449788572,0.79928374
1.16,135.37106741330626,0.77180266
1.18,135.411783638456,0.8146148
1.2,136.3958288615173,0.80528384
1.22,136.60121047392397,0.76761615
1.24,137.43072655006722,0.83055043
1.26,137.39403233588556,0.831233
1.28,137.6914318570596,0.85248435
1.3,137.65664400266257,0.817979
1.32,137.55898410870947,0.83381784
1.34,137.270308453315,0.82640755
1.36,137.30720173513762,0.84743863
1.38,136.6117940196944,0.7228463
1.4,137.06106840354576,0.78222674
1.42,137.42488947416243,0.8261155
1.44,137.63899060643186,0.8452391
1.46,137.81159887720688,0.80470836
1.48,138.52759362732894,0.83188236
1.5,138.62165799845715,0.8434961
1.52,138.59608019367965,0.8726201
1.54,138.63587010672475,0.85042083
1.56,138.60844920842788,0.8618195
