time,frequency,confidence
0.0,291.22285772270965,0.4026439
0.02,296.42186734280426,0.18860102
0.04,293.87194116761367,0.66173387
0.06,285.6951448643814,0.6770627
0.08,263.0894114588835,0.71397877
0.1,252.80256045781127,0.6814264
0.12,250.09980533024134,0.30129638
0.14,240.1421383235337,0.25362512
0.16,239.10481926651116,0.7332976
0.18,241.25435905595998,0.7700778
0.2,243.5261189058323,0.78954077
0.22,243.96202558769596,0.81896454
0.24,241.49067769294652,0.80395126
0.26,238.52122849549107,0.8490126
0.28,237.67613727440047,0.8370297
0.3,238.81304566989468,0.867141
0.32,241.05828286875226,0.82827485
0.34,243.08221450519574,0.83180743
0.36,244.3392712536587,0.86095154
0.38,242.30557212002077,0.7889049
0.4,240.2620652528151,0.83362955
0.42,238.68843362019376,0.8599624
0.44,239.18300048312983,0.8435725
0.46,242.3061646612104,0.8448889
0.48,244.47953533085797,0.8513587
0.5,245.64301516133966,0.8306797
0.52,244.63429146680033,0.8234755
0.54,242.51914758576518,0.81450623
0.56,240.7547399568645,0.8184099
0.58,239.5955499364876,0.86114526
0.6,239.26334962887836,0.86229587
0.62,239.45265984676908,0.86695945
0.64,240.9047750271053,0.8336317
0.66,240.87601510377056,0.83246624
0.68,239.0355130547195,0.85902023
0.7,236.29300263973573,0.88015753
0.72,235.00935784616476,0.8605571
0.74,234.68390306710344,0.8850481
0.76,235.1965142739937,0.8616876
0.78,235.6156194646337,0.86374485
0.8,236.6626763611274,0.869189
0.82,238.42136870747953,0.8596628
0.84,239.26562134257637,0.8696847
0.86,239.12891724224045,0.8725573
0.88,240.46831851889868,0.83440053
0.9,241.49509254596495,0.853646
0.92,241.49301723023876,0.8475785
0.94,240.57654869167055,0.8285916
0.96,239.07545299135228,0.8714981
0.98,238.89319950273688,0.8596423
1.0,239.17553744154634,0.88397604
1.02,240.24216850546867,0.8681338
1.04,240.5617808692956,0.84812176
1.06,239.35655285835108,0.852106
1.08,238.0891787980425,0.83162075
1.1,236.92207306123316,0.8867546
1.12,237.51289326991593,0.8666712
1.14,238.51828811673028,0.8766363
1.16,240.82205824065753,0.83273053
1.18,242.9256102284992,0.8450209
1.2,243.97835016325365,0.83648056
1.22,243.05166363940074,0.8164698
1.24,239.54480074527982,0.83774495
1.26,233.95039071158973,0.83875287
1.28,230.85572530650558,0.8696263
1.3,231.12607330642547,0.8700401
1.32,237.69706897026023,0.793778
1.34,249.94611547523766,0.7512814
1.36,260.8773822964546,0.7283479
1.38,263.27727864507926,0.84840834
1.4,255.03175778835896,0.50611854
1.42,233.66334969512306,0.51016986
1.44,212.25185162243508,0.43521753
1.46,199.63692710439796,0.8578738
1.48,199.90459508173353,0.82112485
1.5,208.74969909937033,0.812724
1.52,221.13210832802153,0.56504726
1.54,236.5715145171416,0.80919516
1.56,242.1722872020032,0.85019785
1.58,237.6559162226469,0.7690412
1.6,225.05936229502564,0.5450911
1.62,198.5717041359352,0.6473599
1.64,187.1586899235175,0.85010856
1.66,187.60636833683617,0.8427284
1.68,191.78149623326988,0.82485193
1.7,195.28300112097435,0.86335814
1.72,195.96414518826623,0.9062988
1.74,193.55960510777447,0.87771916
1.76,189.66693383107508,0.8574202
1.78,183.6552341890757,0.8591556
1.8,178.86874893957952,0.8756262
1.82,177.6075152930271,0.88631153
1.84,180.47278840096004,0.8435955
1.86,185.23283736768246,0.8709111
1.88,190.4983942237703,0.84652114
1.9,193.71907299114332,0.88066804
1.92,193.5562033804425,0.8776056
1.94,188.21005343227017,0.8118874
1.96,183.0589171409609,0.86969393
1.98,184.64854817408454,0.85634273
2.0,188.971067966794,0.8106661
2.02,193.84242730050153,0.85437536
2.04,197.65345216043283,0.88314193
2.06,203.8581706242058,0.8259969
2.08,213.04964448930664,0.714888
2.1,225.4573488092765,0.5601904
2.12,235.34008438319125,0.8514661
2.14,235.74645872922468,0.84747005
2.16,228.52870955787336,0.78369987
2.18,220.84336015383488,0.8543577
2.2,216.52004336959925,0.8408729
2.22,217.0565387640602,0.82717156
2.24,217.410318802601,0.8362006
2.26,218.87988325789618,0.8469306
