time,frequency,confidence
0.0,257.9003228505476,0.25312644
0.02,257.6563857256929,0.49426425
0.04,259.14851110949536,0.6572912
0.06,258.12133332576724,0.49464843
0.08,257.03786047789555,0.2605178
0.1,260.62704311572116,0.41780764
0.12,266.7594975741862,0.5759444
0.14,265.81943962248664,0.6963333
0.16,264.0036551017827,0.6591539
0.18,240.91487570978447,0.43284968
0.2,246.16889457025238,0.68729234
0.22,246.9852603303042,0.7236802
0.24,246.52732938994313,0.6044339
0.26,243.68881188005506,0.23515686
0.28,256.28787350914297,0.28892404
0.3,245.87820107276016,0.47226825
0.32,251.33230258601395,0.7148959
0.34,240.7438383801754,0.59207356
0.36,255.0345775911157,0.6047502
0.38,275.5511687068385,0.5499262
0.4,276.7360130678277,0.7694467
0.42,278.47295071541686,0.8993276
0.44,280.7832934716368,0.87818724
0.46,283.9702881246969,0.8317992
0.48,284.34518032701027,0.8385309
0.5,279.7516414547796,0.85471964
0.52,277.062963773809,0.8898467
0.54,275.52962894812816,0.85769135
0.56,272.9084443325199,0.7213321
0.58,266.7757211351135,0.46764213
0.6,233.80592841264246,0.27876076
0.62,208.7476897508085,0.42130375
0.64,185.89058361503612,0.38116398
0.66,166.27205911554938,0.23666313
0.68,145.96096560844995,0.82463074
0.7,126.55994970924132,0.746547
0.72,117.10863681730075,0.7688647
0.74,116.41941370272997,0.61936677
0.76,118.05832722353068,0.624103
0.78,119.92420135481149,0.7748197
0.8,121.17045440305773,0.8440435
0.82,123.25330963443533,0.7893754
0.84,123.70602489424354,0.8235817
0.86,122.71058133152812,0.85798097
0.88,122.6289529827365,0.86839134
0.9,122.78127638361224,0.8726027
0.92,123.53665692589419,0.8469437
0.94,124.68160496384414,0.7888322
0.96,126.57383576706508,0.798034
0.98,128.4532607712803,0.7974361
1.0,131.0948152390917,0.85083884
1.02,131.16583163360343,0.88817817
1.04,131.53958185225872,0.875537
1.06,131.8483045213067,0.830328
1.08,131.47773502019905,0.8064687
1.1,131.29960952554586,0.81979454
1.12,131.2325697212824,0.7939044
1.14,130.82345575799988,0.7771882
1.16,130.9230816521194,0.8666775
1.18,130.3909352544316,0.83106196
1.2,130.31792688332447,0.85584235
1.22,130.54059260490064,0.84583294
1.24,130.5375836562167,0.8539361
1.26,130.57086818036646,0.86555934
1.28,130.83800214184157,0.87007207
1.3,131.55325943689792,0.84663296
1.32,131.8984557924286,0.84094965
1.34,131.92206471775575,0.7756444
1.36,131.6368726657907,0.8061313
1.38,131.65965188818117,0.709646
1.4,131.40508213317364,0.7416289
1.42,131.21698613731988,0.7783923
1.44,130.81737727224922,0.7311966
1.46,130.1815664061825,0.7469919
1.48,129.5031364414689,0.7509959
1.5,128.35044087347416,0.7824788
1.52,127.7908500386578,0.7683488
1.54,128.75642961653068,0.7914999
1.56,129.07657883328372,0.80541396
1.58,129.87891751497236,0.7392491
1.6,130.33295406691985,0.7273127
1.62,131.31080533880447,0.8830993
1.64,132.03506541649372,0.8358134
1.66,132.0037906741837,0.7760997
1.68,132.10806598673065,0.6841074
1.7,131.41603544413528,0.7086823
1.72,130.6787297509529,0.6983976
1.74,130.68021991666203,0.7410393
1.76,130.9960540788457,0.8312272
1.78,130.94050155274655,0.88440853
1.8,130.89171688918182,0.843398
1.82,131.05633255491992,0.85947245
1.84,131.167674003548,0.8012182
1.86,130.84244012313934,0.7846099
