time,frequency,confidence
0.0,388.0832674175356,0.50191
0.02,388.84262768654736,0.6769266
0.04,390.56072707978467,0.757015
0.06,391.2016531611544,0.72566926
0.08,389.330521721783,0.6723629
0.1,389.73672487824336,0.7570424
0.12,367.90702036917827,0.3603757
0.14,318.4116004762091,0.7740382
0.16,298.1386419029791,0.58785903
0.18,291.0894951667595,0.1374952
0.2,269.6171273656673,0.10334778
0.22,260.5154812260085,0.25712183
0.24,261.46953074725866,0.5484114
0.26,265.7185810160097,0.42406008
0.28,268.393601372268,0.6712856
0.3,262.966351018996,0.47618112
0.32,263.56445746633597,0.5572451
0.34,268.71557895685635,0.68828285
0.36,265.43823211010044,0.525974
0.38,275.7641092570652,0.49752805
0.4,278.6742819024908,0.29413292
0.42,269.99546930848464,0.28007516
0.44,273.38042479769473,0.5941101
0.46,269.15430065324045,0.2467354
0.48,284.538220309115,0.27987012
0.5,307.5164976452968,0.26795542
0.52,321.61447527780103,0.22028068
0.54,349.4445166273207,0.15803978
0.56,368.1278886976443,0.10922041
0.58,390.33021849066216,0.3161026
0.6,388.9115233262429,0.37802956
0.62,387.2874944376722,0.14678995
0.64,385.71707976592324,0.102002196
0.66,389.7586121188866,0.11384305
0.68,388.4418052693487,0.23536302
0.7,386.9403033176274,0.23359148
0.72,387.78140036543897,0.2640231
0.74,388.0831636287444,0.3437109
0.76,364.1907984470356,0.3274571
0.78,322.42718074842844,0.27898785
0.8,292.79047398706086,0.24214624
0.82,266.7803122789929,0.1857791
0.84,268.54605799596146,0.16771008
0.86,264.12176628747335,0.22525083
0.88,271.02327751082436,0.37490487
0.9,265.05038907186304,0.106106095
0.92,252.99293610803832,0.18397234
0.94,238.71350337190634,0.12983969
0.96,229.19739405050052,0.16005637
0.98,214.27824844750774,0.10695851
1.0,207.04442412157118,0.095340386
1.02,203.75546230858018,0.105071954
1.04,195.29068818367236,0.11160045
1.06,188.75102820318136,0.0629503
1.08,185.94508947477917,0.047250688
1.1,179.07285919088804,0.092848055
1.12,188.90285349664325,0.19614731
1.14,196.45534386082113,0.23541397
1.16,198.15729766323403,0.42952815
1.18,196.79419839073216,0.48596373
1.2,198.6217134955623,0.30083853
1.22,201.00756438626888,0.3881847
1.24,200.67359264268345,0.2434027
1.26,203.5504481689108,0.5140935
1.28,206.52912057370844,0.5395484
1.3,203.22966598561507,0.43143526
1.32,181.85978596403928,0.19689383
1.34,183.0545060663382,0.53069645
1.36,179.96810588474813,0.5247468
1.38,179.53193417922517,0.3635238
1.4,188.72240694415044,0.28176132
1.42,210.30527741620543,0.31793767
1.44,203.47261565599206,0.24893919
1.46,199.08173846501015,0.37902537
1.48,180.98005456222805,0.4184984
1.5,182.03541401287043,0.35811698
1.52,204.6243703649834,0.20918639
1.54,195.3839834420704,0.44674185
1.56,185.9484950271575,0.41513216
1.58,187.80140992255215,0.3840518
1.6,184.15139353303567,0.3809702
1.62,199.7982125725046,0.5208614
1.64,204.44178703164522,0.6312913
1.66,205.26160907151777,0.5393411
1.68,187.00433399741203,0.18022972
1.7,192.44263550575505,0.38007423
1.72,183.99227356933125,0.4079092
1.74,188.09194995225735,0.53585744
1.76,185.60476910300568,0.528376
1.78,190.38437212121437,0.34388652
1.8,207.77086082621875,0.4581422
1.82,207.09767474803425,0.33547065
1.84,194.08517400182865,0.41419122
1.86,179.41409959447105,0.13708971
1.88,188.8857113019861,0.23106629
1.9,192.5630320138029,0.09715275
1.92,196.4817994519956,0.26122656
1.94,181.63432589725605,0.29036272
1.96,193.9624551056252,0.5804353
1.98,181.72070132480872,0.28472507
2.0,193.41199109208867,0.21736486
2.02,195.66893153812518,0.29374772
2.04,177.5544356318255,0.25251043
2.06,195.69239910234882,0.121274844
2.08,221.01509862718788,0.07611337
2.1,217.11201895588158,0.21815471
2.12,214.38689516057798,0.3645091
2.14,213.31803862930047,0.25748232
2.16,206.2781391717223,0.62081623
2.18,201.92762683616633,0.8524359
2.2,199.46375302650847,0.8955877
2.22,197.58800388188098,0.9065988
2.24,195.71465148008224,0.9185686
2.26,195.40256037311104,0.9073146
2.28,196.27467982630193,0.94270915
2.3,199.5144778091424,0.8816771
2.32,202.16124085737445,0.9050931
2.34,202.32617437940246,0.896833
2.36,201.35925178961713,0.88810366
2.38,197.62507084634882,0.8737317
2.4,194.26197215994972,0.67592984
2.42,175.60135888461915,0.63291866
2.44,167.30567818319201,0.4363436
2.46,158.4875649230206,0.6485379
2.48,169.57996352487163,0.34099305
2.5,182.80908222774372,0.18488646
2.52,198.31020519358486,0.5624604
2.54,207.0447335598074,0.7658352
2.56,207.56661842321407,0.7611249
2.58,203.61463960218555,0.8286854
2.6,201.53428769646155,0.8958508
2.62,194.93996760365098,0.77434826
2.64,186.3396179365327,0.8222421
2.66,185.00206196415914,0.8623644
2.68,184.54727608689126,0.8382337
2.7,181.24637117920616,0.8732464
2.72,178.12543692204468,0.86752844
