time,frequency,confidence
0.0,296.8743567153723,0.09116706
0.02,299.55128451982716,0.22817391
0.04,297.9026720107937,0.7860579
0.06,295.2748326533557,0.795506
0.08,288.9922205853192,0.8023963
0.1,267.9028682805037,0.77457386
0.12,257.6850968919324,0.538851
0.14,249.87170703081247,0.31736436
0.16,242.04661178262012,0.2814033
0.18,242.76665732715225,0.38037115
0.2,244.14597369731038,0.6496589
0.22,244.21540562377356,0.75442904
0.24,241.58918895289773,0.75005364
0.26,238.43905638497117,0.79535913
0.28,237.68449022602923,0.79264057
0.3,238.59074945153031,0.8334193
0.32,241.00109424788985,0.811882
0.34,243.02615525996512,0.82725465
0.36,244.19974807182072,0.8491172
0.38,242.22173876627608,0.78231615
0.4,240.3905540973574,0.8180151
0.42,238.68395875871474,0.85331774
0.44,239.22415174250372,0.8344205
0.46,242.3316783125854,0.8427032
0.48,244.3786480716619,0.85119903
0.5,245.71412873345693,0.8278539
0.52,244.92927392521463,0.8172515
0.54,242.577730706934,0.8077713
0.56,240.59141461241407,0.8181298
0.58,239.50990839154358,0.8572836
0.6,239.27536929540554,0.8537834
0.62,239.45220255989204,0.85704905
0.64,241.050893268423,0.83101505
0.66,240.8168362002353,0.824397
0.68,239.09723121955128,0.85530984
0.7,236.3516633029398,0.8757865
0.72,235.05927730786163,0.8573164
0.74,234.72645404086418,0.8837196
0.76,235.2378555213322,0.8561561
0.78,235.5697452141112,0.8593901
0.8,236.64761936169646,0.86454666
0.82,238.41848778914425,0.85084885
0.84,239.43284854316482,0.8638736
0.86,239.19732321515744,0.8685416
0.88,240.49100703794952,0.8315953
0.9,241.6048058354502,0.8502432
0.92,241.67273567533886,0.84325916
0.94,240.8001001589926,0.81331825
0.96,239.21015739047007,0.86440325
0.98,239.00159786476797,0.8552773
1.0,239.22121476204796,0.8806444
1.02,240.35487572314275,0.8604161
1.04,240.52351793930166,0.8433366
1.06,239.5207830860485,0.84007657
1.08,238.10040408403205,0.8222475
1.1,236.74208050722999,0.88071716
1.12,237.61153043971376,0.8508565
1.14,238.52684471995167,0.8643488
1.16,240.93910354641326,0.82705337
1.18,242.90205777036337,0.84146374
1.2,243.94569292626957,0.84229755
1.22,243.01438329172325,0.81416124
1.24,239.45490634076933,0.83117425
1.26,233.61220846024125,0.81077737
1.28,231.00932028212515,0.8685827
1.3,231.08405087223875,0.8618102
1.32,237.76947421628591,0.78062296
1.34,249.79472269851797,0.7386635
1.36,260.9276459640166,0.7042985
1.38,263.3698215869297,0.82339966
1.4,254.92271816719347,0.4955391
1.42,233.7217039361411,0.5222031
1.44,206.11806379902023,0.40159413
1.46,199.63900166775136,0.85042655
1.48,199.61263223993026,0.8117782
1.5,208.94836994591725,0.79016984
1.52,221.73679611555986,0.5575571
1.54,236.4674568249468,0.8168628
1.56,242.17689509906046,0.84902114
1.58,237.72713814632465,0.76662886
1.6,225.28661196801212,0.54244614
1.62,198.5890999526859,0.6467761
1.64,187.2135778024341,0.84754205
1.66,187.48807248658613,0.83678114
1.68,191.47979862846367,0.8126659
1.7,195.38322101777612,0.8630775
1.72,196.02640631124356,0.91056174
1.74,193.52265101357833,0.8739673
1.76,189.71120864324686,0.84450865
1.78,183.7247249327015,0.85337037
1.8,178.7921800999282,0.8612106
1.82,177.57288555469958,0.87880975
1.84,180.44486326188516,0.82982206
1.86,185.26376778200896,0.8598573
1.88,190.46975088523754,0.83099365
1.9,193.85853500543718,0.8719478
1.92,193.60262211275273,0.87205285
1.94,188.31641043765347,0.8129225
1.96,182.95609479760057,0.8616439
1.98,184.62322938487912,0.852226
2.0,188.77156750187322,0.8132902
2.02,193.8867787972768,0.8506158
2.04,197.7838384529268,0.87419194
2.06,203.95584970769048,0.8203509
2.08,213.1760483361519,0.7103752
2.1,225.52893002991357,0.57473576
2.12,235.20523006849263,0.8379804
2.14,235.71608508010002,0.8442012
2.16,228.62655933735226,0.78138816
2.18,220.82643073998528,0.8530169
2.2,216.43958353871062,0.8380872
2.22,217.0950008054538,0.8264222
2.24,217.32057898952155,0.83271575
2.26,218.90004823065155,0.84243095
2.28,218.73416490909716,0.8524878
2.3,214.88611690049663,0.8339095
2.32,212.83714651431993,0.8453142
2.34,215.31989635876909,0.832361
2.36,220.30973543944629,0.83486426
2.38,227.81507141484548,0.82249594
2.4,231.92987502496163,0.8399128
2.42,230.66757806044538,0.8420727
2.44,225.36676593275175,0.8426553
2.46,219.46603570073134,0.83007044
2.48,213.72997160031764,0.8370329
2.5,211.77521328217114,0.8249657
2.52,211.4913348770676,0.8480544
2.54,213.65935613916525,0.8625233
2.56,216.71270128495598,0.83732045
2.58,219.1496357374274,0.8474255
2.6,224.02596035856908,0.8333303
2.62,230.42637835633406,0.7948432
2.64,236.93602004503563,0.81773025
2.66,238.59295930335492,0.821965
2.68,233.72570721529473,0.78342974
2.7,224.02196962801605,0.75553155
2.72,206.30848092072256,0.7004566
2.74,199.18485398240585,0.8492198
2.76,195.57464548247492,0.8609518
2.78,193.66252284710447,0.86938006
2.8,191.96770558235275,0.8538269
2.82,191.68150702221521,0.8394546
2.84,196.01151535374328,0.8009925
2.86,208.5036275971991,0.6247522
2.88,232.04459336336856,0.53329605
2.9,239.2100852246674,0.8466767
2.92,239.35184581022784,0.82070875
2.94,232.60023832305507,0.7741705
2.96,222.5773880738727,0.7411376
2.98,213.09552330610134,0.82975125
3.0,211.5888671011652,0.8045255
3.02,213.34979509126754,0.80992043
3.04,218.43674144841634,0.8101086
3.06,221.5269396899981,0.8482614
3.08,226.23603675654573,0.83004147
3.1,233.0223956474702,0.84204817
3.12,240.68864876741446,0.79947215
3.14,244.2595922909793,0.86664397
3.16,243.92351888929082,0.822841
3.18,237.7830812531694,0.8109737
3.2,230.91090706313594,0.81643057
3.22,228.45186067313938,0.8689656
3.24,230.52730065146673,0.8537603
3.26,234.32698681790558,0.8889322
3.28,236.42592799798024,0.88959575
3.3,234.52759740360702,0.8563959
3.32,230.26888411154334,0.8189436
3.34,229.02763374927582,0.8685163
3.36,230.88152034077217,0.8650362
3.38,234.83195564693588,0.8611313
3.4,243.34037878692305,0.76785696
3.42,251.1560174137066,0.8467014
3.44,250.61089559282817,0.8352733
3.46,242.15065808997446,0.7221727
3.48,233.15506414040794,0.8039719
3.5,224.3803697184066,0.8532213
3.52,219.35674113561134,0.8585122
3.54,216.5530836353799,0.8419408
3.56,217.5556155116263,0.8390056
3.58,217.46825857970705,0.8438807
3.6,215.73282343136216,0.8386609
3.62,215.21443559079938,0.8485777
3.64,217.24046753108303,0.8244036
3.66,220.11182982772536,0.85076183
3.68,225.94079771723585,0.84637654
3.7,230.00902107324134,0.8309157
3.72,229.62745554387695,0.8039962
3.74,223.77729488710216,0.8616206
3.76,217.0637513497257,0.7793038
3.78,210.61387747077916,0.7867718
3.8,206.68085907340213,0.81257874
3.82,201.03734152293472,0.7951415
3.84,196.35148024004903,0.75292236
3.86,213.33255984144515,0.43343014
3.88,235.6350975649139,0.41447163
3.9,270.78959597213463,0.44259226
3.92,288.8542521948392,0.6354011
3.94,284.9706927150266,0.71404386
3.96,286.1486123930084,0.56946254
3.98,290.1424989015026,0.6871898
4.0,290.9680155415773,0.7826489
4.02,288.4858863515906,0.6887939
4.04,283.79095933239637,0.5349996
4.06,296.86024489594996,0.42049733
4.08,338.87563309460495,0.5112717
4.1,362.17786008646607,0.4576481
4.12,401.9452676788081,0.42850202
4.14,427.60191085461315,0.5517963
4.16,433.71402646277954,0.5544032
4.18,439.533946316738,0.38021308
4.2,443.9704799199659,0.5893301
