time,frequency,confidence
0.0,284.8240460881077,0.18107338
0.02,282.58521814747616,0.39106205
0.04,289.0520016361153,0.31800193
0.06,295.03869376108923,0.3974851
0.08,295.002542230209,0.5434085
0.1,293.74026255893864,0.5068038
0.12,296.13161760128014,0.6039364
0.14,295.7744086339942,0.44584927
0.16,294.7451828362313,0.50481033
0.18,295.36361197814426,0.53062844
0.2,297.14896786563406,0.6246791
0.22,296.8506908188096,0.7115485
0.24,294.41937188788455,0.7472027
0.26,294.50421906914744,0.7285725
0.28,295.770373972426,0.7562252
0.3,295.5061611153088,0.80030257
0.32,294.60254257254337,0.7621364
0.34,295.78263893060927,0.8032908
0.36,295.1325948014994,0.8297031
0.38,294.6150092861898,0.8227966
0.4,294.1162868748,0.8153475
0.42,295.1057090869423,0.788672
0.44,294.62160776875425,0.83556634
0.46,294.1408062390726,0.8095216
0.48,294.41753855193156,0.77330047
0.5,294.6106503863707,0.77252007
0.52,294.36854624742483,0.76228386
0.54,294.4795399713094,0.7026162
0.56,295.6090667173913,0.64131355
0.58,294.0380331093279,0.6092431
0.6,294.3979556672683,0.5236267
0.62,295.1657293644829,0.5237344
0.64,295.2864391798285,0.48671746
0.66,295.51096826635484,0.38284296
0.68,294.9623855037689,0.42153534
0.7,295.76313932352616,0.45113516
0.72,294.5887295744392,0.439566
0.74,294.68114233965645,0.46135014
0.76,295.2669315072915,0.42495546
0.78,296.1587985489859,0.50266474
0.8,295.6369940252927,0.57695615
0.82,295.46523211149685,0.5647114
0.84,295.8942299318552,0.62551737
0.86,295.7411735824616,0.6143666
0.88,294.5649680164489,0.6547477
0.9,294.4379858906132,0.69647324
0.92,294.24913599576035,0.6938216
0.94,293.81083484117335,0.66411483
0.96,293.2536537292961,0.60454476
0.98,293.2006641132041,0.6094199
1.0,293.8546707893064,0.5488602
1.02,293.27603235340194,0.5979687
1.04,294.009107139123,0.54449564
1.06,292.4254807011148,0.5060731
1.08,293.34818657318755,0.43805498
1.1,293.0572221416821,0.3577754
1.12,292.9885420897062,0.34186283
1.14,294.09802303060894,0.4103897
1.16,294.85105249267116,0.3296698
1.18,294.5731168216872,0.4056322
1.2,293.8074449266822,0.35086575
1.22,294.87482573235985,0.28173983
1.24,294.04135821785127,0.19162422
1.26,295.10955799639635,0.25013387
1.28,293.6389319991575,0.19351807
1.3,295.03551739896085,0.17262387
1.32,293.4737747025421,0.22436526
1.34,295.6272258137659,0.143954
1.36,295.80905985181505,0.1552801
1.38,295.75277845199054,0.19909672
1.4,294.29315923388845,0.3872474
1.42,296.0196457408114,0.36533135
1.44,295.42074659322196,0.31304178
1.46,294.9213732168604,0.33178562
1.48,296.39490341803,0.32821253
1.5,297.1851346823575,0.27856025
1.52,296.11456261199356,0.23337997
1.54,296.1447287444261,0.33274212
1.56,296.5720670875423,0.30575278
1.58,296.00252649212536,0.46268743
1.6,295.80173709873577,0.3314841
1.62,296.5606190309563,0.20452778
1.64,298.0698424839916,0.28591546
1.66,296.62613281451917,0.23437522
1.68,296.52836898526095,0.2630237
1.7,296.38410364503267,0.41739422
1.72,297.9941981108988,0.36043134
1.74,296.604450619402,0.40857
1.76,298.05466563678743,0.4251138
1.78,297.9627570325421,0.28138068
1.8,298.39448126992875,0.2688667
1.82,299.03190916989007,0.26456228
1.84,299.4390964786102,0.19147167
1.86,299.2049584362255,0.19959368
1.88,298.27071837969476,0.27002242
1.9,299.76683646212626,0.36457038
1.92,297.6157799321367,0.25671422
1.94,297.6068550869546,0.22080716
1.96,298.7501090868001,0.39189124
1.98,298.34861781009647,0.29085565
2.0,298.92378143979005,0.29970634
2.02,299.60403297254635,0.35708997
2.04,300.42910855223636,0.32910252
2.06,298.56020223927186,0.21975718
2.08,296.4725119168602,0.20524503
2.1,300.0932909773594,0.21866803
2.12,299.7163896256187,0.17694658
2.14,298.13768818017076,0.17146574
2.16,296.6094567094764,0.264788
2.18,300.38205133973895,0.18209216
2.2,296.9392435098975,0.21385846
2.22,296.2504243011011,0.23527949
2.24,297.0101302156576,0.25724465
2.26,298.33365799490963,0.19620092
2.28,297.3585702407579,0.23747118
2.3,297.7811178428532,0.26235312
2.32,296.0273094253936,0.26811838
2.34,295.72498082263854,0.24596271
2.36,295.7184410497493,0.24212395
2.38,296.35086865207006,0.28670976
2.4,296.10677447400525,0.2770968
2.42,295.72320965991247,0.19808085
2.44,298.91031002736685,0.22127213
2.46,304.7503657009312,0.172081
2.48,319.84426121124716,0.24887429
2.5,327.62177497666784,0.20275414
2.52,332.87778833201344,0.23601131
2.54,340.54626529952145,0.21027525
2.56,352.45153039189887,0.23742107
2.58,364.046557960564,0.13740295
2.6,366.5940201857983,0.11398321
2.62,367.03019503950236,0.20501259
2.64,364.83279000841355,0.22688396
2.66,367.35301059217966,0.38470778
2.68,367.95335022723225,0.5509529
2.7,367.24698722219136,0.57840186
2.72,366.1192622182046,0.5133953
2.74,366.5000281721051,0.57424736
2.76,366.98850306716463,0.46473068
2.78,366.897324017262,0.6742618
2.8,366.7911010365806,0.39603996
2.82,367.4318428657755,0.5651034
2.84,367.6150482026708,0.57961917
2.86,366.46812855029907,0.4230301
2.88,366.10317863168683,0.45172787
2.9,365.94842127400176,0.47532555
2.92,367.8415065534847,0.49510396
2.94,366.28546638577563,0.44188005
2.96,366.5575146054715,0.56181747
2.98,366.48679622145727,0.48221788
3.0,367.2613790914775,0.48013058
3.02,367.1235352419344,0.43423006
3.04,366.46808636667316,0.4868239
3.06,366.7458275605221,0.29763937
3.08,365.31241601557656,0.3038411
3.1,366.1377006518363,0.27115154
3.12,366.46658142677245,0.3032461
3.14,365.1930447384059,0.28007194
3.16,364.7633765923249,0.25206307
3.18,322.5599473713692,0.259655
3.2,292.91124059993393,0.24033503
3.22,293.0782309174556,0.35212582
3.24,294.5455090020318,0.37525234
3.26,292.94476218499346,0.38017547
3.28,291.66344456849635,0.5151914
3.3,265.3788413685606,0.20044145
3.32,231.08101559834822,0.6707674
3.34,215.12899598234665,0.85234034
3.36,205.05193736001354,0.7695546
3.38,195.59838504180738,0.7451407
3.4,183.17515685113773,0.7404354
3.42,177.47278229453218,0.83259606
3.44,174.25273190179763,0.7712943
3.46,172.40609463745446,0.82050663
3.48,176.6778691040172,0.7973846
3.5,182.32266818135247,0.7986377
3.52,190.92643032971955,0.746512
3.54,198.49204630748704,0.7303294
3.56,209.24923481446913,0.80842596
3.58,208.13907146652144,0.86586565
3.6,202.84472562254456,0.70585924
3.62,187.1341969129865,0.5477027
3.64,177.27829425339598,0.79920447
3.66,177.88584279264143,0.6645802
3.68,183.0503365224722,0.52610546
3.7,186.87999118217112,0.23529421
3.72,184.16542877636803,0.6154402
3.74,191.860554220558,0.7013277
3.76,194.78201432894633,0.7898382
3.78,195.71822869441968,0.33739612
3.8,201.018944346992,0.17654581
3.82,198.76660084752098,0.8577034
3.84,198.19725750229279,0.8652731
3.86,206.09650230902562,0.71749103
3.88,216.68202278308974,0.84364414
3.9,212.6614137516595,0.8222159
3.92,204.95324632533638,0.83782065
3.94,197.0858172924365,0.85865796
3.96,195.31810467546822,0.8733961
3.98,198.04341846075542,0.64500177
4.0,215.17710531215457,0.62630045
4.02,227.1011006357994,0.85512865
4.04,223.80813349586262,0.8409549
4.06,202.39035668967492,0.6425014
4.08,192.06923390735486,0.40903968
4.1,166.58837501954372,0.75646085
4.12,156.22816433640133,0.8571779
4.14,159.191758787771,0.80946773
4.16,165.69394372563625,0.7698233
4.18,178.33010803889283,0.63228595
4.2,192.62891251162438,0.60625076
4.22,205.0755647841657,0.67126024
4.24,214.64990384166475,0.85105777
4.26,217.20197133127186,0.8753779
4.28,217.86455671365297,0.8947438
4.3,217.7383228321548,0.88320935
4.32,217.4327759833146,0.89296913
4.34,216.77931788159665,0.8750879
4.36,215.6256644118593,0.89015615
4.38,213.3247708310721,0.9088501
4.4,211.61844365309534,0.86582303
4.42,209.77979300219005,0.8302566
4.44,207.79521754914146,0.8821855
4.46,205.7039952090801,0.8799321
4.48,203.38119848631987,0.8701921
4.5,201.1448839607628,0.89612925
4.52,200.41676099994112,0.8775802
4.54,199.06184854460219,0.89129853
4.56,196.9928634243833,0.91044176
4.58,195.92215830203082,0.90421003
4.6,194.76127253089115,0.8808816
4.62,193.37090458720908,0.8787693
4.64,192.45770554165802,0.8754493
4.66,191.14548076786537,0.84682345
4.68,190.71221914108185,0.848696
4.7,188.65749665413273,0.81704205
4.72,186.03298015588814,0.8584351
4.74,183.51953436270367,0.8541032
4.76,183.3013671561556,0.87781644
4.78,182.8620194777198,0.86789334
4.8,183.13049481881703,0.87191457
4.82,183.6581669634253,0.86897206
4.84,184.24794373504017,0.84986305
4.86,185.00656254685478,0.8540902
4.88,185.64945094374752,0.8522961
4.9,185.92779627950245,0.857103
4.92,184.16815299329983,0.8631873
4.94,183.90514126634656,0.85551536
4.96,183.37420312084532,0.8698348
4.98,182.39101064982336,0.8560409
5.0,182.00804335948405,0.87136275
5.02,182.1889987164097,0.8529111
5.04,183.2283101342384,0.853352
5.06,183.0074567097634,0.85881454
5.08,182.96027465910055,0.8431382
5.1,182.1594994276867,0.85433596
5.12,181.7614858322371,0.849999
5.14,182.58627496198216,0.82990676
5.16,182.6854605319744,0.85284907
5.18,182.06623858157445,0.8592161
5.2,182.16635087805284,0.8592359
5.22,182.19947933826262,0.86582124
5.24,181.99376704195114,0.87364125
5.26,182.14666793769427,0.8540255
5.28,182.806819780196,0.8396783
5.3,183.88550431011043,0.8543492
5.32,184.4254319731868,0.83957994
5.34,184.19971442643129,0.85093623
5.36,183.3847033340337,0.8551366
5.38,182.78668327871475,0.8585654
5.4,182.48177970478835,0.8556899
5.42,182.43343410370522,0.8682021
5.44,182.29843996376317,0.858766
5.46,182.78555129434537,0.8503844
5.48,182.57597038639238,0.85564065
5.5,182.31869526363215,0.8586486
5.52,182.78429073769172,0.8598511
5.54,182.76696181056667,0.86319584
5.56,182.9939634270156,0.85372335
5.58,183.05606603389663,0.86211306
5.6,183.21418757525748,0.86899257
5.62,183.39442954583348,0.8590044
5.64,183.6605060060615,0.854003
5.66,183.32987617861124,0.86718196
5.68,182.9997685784518,0.85239977
5.7,182.74746232489676,0.85269415
5.72,182.970420416047,0.87120616
5.74,183.3371648959205,0.8641108
5.76,183.373031167842,0.8512497
5.78,182.9250153655251,0.86602473
5.8,182.7557768014966,0.85683185
5.82,182.38693111419846,0.85046756
5.84,181.83618267347117,0.8574956
5.86,181.9174561630045,0.8716121
5.88,181.1510528485428,0.87279797
5.9,181.63330855544314,0.8812508
5.92,181.9667766510342,0.88208026
5.94,182.1566326746809,0.8715489
5.96,182.27151097954328,0.8676285
5.98,181.94788128155525,0.8776268
6.0,181.9306319720307,0.8770783
6.02,182.12334093859565,0.8668144
6.04,182.1413113291575,0.8727485
6.06,182.57053844125593,0.86040163
6.08,182.22575172549185,0.8621257
6.1,181.75694083395138,0.8564962
6.12,181.87664722410852,0.84358793
6.14,182.1701449463618,0.85551214
6.16,183.1484134108954,0.83053976
6.18,185.97049681975204,0.83847207
6.2,188.03229058889403,0.856688
6.22,188.77874058774847,0.83334863
6.24,187.99699214191935,0.85603607
6.26,186.82784881030398,0.8319114
6.28,184.62123702089053,0.8756758
6.3,183.26594131537195,0.8721121
6.32,182.4381447329321,0.8783797
6.34,182.21489458676845,0.872036
6.36,181.96235921727418,0.8788143
6.38,182.23494983610837,0.8722355
6.4,183.29710004853365,0.86757976
6.42,184.6452901498071,0.8525526
6.44,184.8074142422347,0.86653477
6.46,184.742311768035,0.8678678
6.48,184.54202298739077,0.8623512
6.5,183.58202091841574,0.86811626
6.52,182.7994892795603,0.8532777
6.54,182.61605908195537,0.8510045
6.56,182.46354628384836,0.86451375
6.58,181.9532064392226,0.8776633
6.6,182.03909145229755,0.8851175
6.62,182.07918437905238,0.8790104
6.64,182.29907246740765,0.863909
6.66,182.6616710814289,0.85752714
6.68,182.95855642365464,0.863458
6.7,182.7824267431652,0.86149573
6.72,182.77847740948346,0.86868703
6.74,183.22225171471797,0.8669027
6.76,182.8054171838042,0.8653415
6.78,182.23851034769558,0.86877084
6.8,182.27437993782104,0.86785567
6.82,182.34236212241566,0.8723586
6.84,182.49337952622002,0.8649413
6.86,183.22520423727707,0.87529457
6.88,183.8470376112328,0.86750686
6.9,183.87774762905823,0.8684414
6.92,183.9876540887299,0.863148
6.94,183.68342484926072,0.87268716
6.96,183.45190211169574,0.8692875
6.98,183.84013841905283,0.86826
7.0,183.7774698675725,0.87256587
7.02,182.94812326978504,0.8711966
7.04,183.0541465406843,0.8748432
7.06,182.728558134119,0.8740901
7.08,182.9117938161374,0.8584204
7.1,185.33605460207,0.8753633
7.12,189.05199958176595,0.81123793
7.14,190.94910793260294,0.84306556
7.16,191.20316304142432,0.8456962
7.18,187.07351980777753,0.83978283
7.2,183.0949877737666,0.8619424
7.22,181.02175494900018,0.8890593
7.24,180.37247697554446,0.8663865
7.26,180.69931265275554,0.85334915
7.28,181.2006375905652,0.8706299
7.3,182.05806341231005,0.86313
7.32,181.6929722152148,0.88182956
7.34,181.34184880785514,0.8634149
7.36,181.57555595592046,0.8740703
7.38,182.2588117280448,0.85481083
7.4,183.04105042196517,0.86358535
7.42,184.0534506497794,0.83909106
7.44,184.4613281031174,0.84769124
7.46,184.21465263901527,0.8365405
7.48,185.16385965781984,0.8681723
7.5,185.38858400633967,0.86602837
7.52,184.26607388799505,0.8478807
7.54,184.52854256995312,0.86655307
7.56,184.027376604824,0.8646413
7.58,183.85634266882317,0.86079055
7.6,184.01614143107787,0.8645622
7.62,183.82755734744197,0.8685165
7.64,183.48157697025937,0.8629824
7.66,183.0907822662939,0.8809304
7.68,183.4466231447459,0.8762783
7.7,183.6981990759891,0.8692261
7.72,183.40818115499528,0.882878
7.74,183.20702648142532,0.8737442
7.76,182.567935861246,0.8658898
7.78,181.2660760848209,0.89709604
7.8,180.94031695503037,0.880049
7.82,181.40333670016747,0.87698644
7.84,182.33099775848524,0.8617438
7.86,183.11132532752305,0.87211335
7.88,183.50282001763088,0.86541235
7.9,185.13343148162858,0.8618823
7.92,187.54795256961728,0.83965003
7.94,190.63884254383953,0.83778
7.96,192.84545824857707,0.8701942
7.98,192.58652426791178,0.87887937
8.0,190.0182596863763,0.83924496
8.02,185.15969664637691,0.83204484
8.04,180.9283337596902,0.8634763
8.06,179.32772426277262,0.8800666
8.08,180.77897067962365,0.8502128
8.1,187.41088386550885,0.7660272
8.12,194.5876322065058,0.8538591
8.14,201.68040242771852,0.81156474
8.16,202.94170438363125,0.7999005
8.18,195.26831754164925,0.68560374
8.2,184.68250457135065,0.2907602
8.22,163.56650172796705,0.76996446
8.24,153.63679104329344,0.73067296
8.26,166.0127595720003,0.3508711
8.28,172.713110329653,0.81231594
8.3,164.07781035438592,0.6145929
8.32,152.3298887771492,0.54467046
8.34,137.79693083689614,0.5707363
8.36,132.40052458004806,0.8840993
8.38,134.79266437328033,0.8466913
8.4,138.999502836661,0.8291161
8.42,142.44868786776107,0.8768504
8.44,141.60269141085985,0.8382697
8.46,137.04451023021213,0.8164596
8.48,132.1406529244511,0.88671464
8.5,130.98879044813845,0.89357406
8.52,133.5381018527242,0.82735497
8.54,138.87193106784662,0.77445626
8.56,147.97782272118678,0.839367
8.58,150.98377044613164,0.86498433
8.6,149.87992673112018,0.8369963
8.62,145.4087023819012,0.83407295
8.64,139.6626124143109,0.8726588
8.66,137.3432956701522,0.8927731
8.68,137.26473714230937,0.8895721
8.7,136.7049565760142,0.85055053
8.72,137.207166555761,0.87513727
8.74,136.97899055127525,0.86771756
8.76,137.1374311140353,0.8557284
8.78,137.7640010768401,0.86532176
8.8,137.93232736506636,0.83459336
8.82,137.97297138858337,0.84955347
8.84,137.20273175820145,0.85006404
8.86,135.17049974614196,0.8221724
8.88,135.44177751671373,0.83817416
8.9,135.97703175450525,0.84552956
8.92,139.1733976663042,0.81261647
8.94,147.1984584083005,0.7580536
8.96,157.23317911369577,0.7401178
8.98,163.4329284305126,0.8194196
9.0,167.96866758259426,0.85458475
9.02,169.5273339728859,0.87744516
9.04,168.09372046501971,0.85905904
9.06,166.7773904249674,0.8723995
9.08,166.3988544868022,0.8677348
9.1,166.71993776183552,0.86551476
9.12,167.18053034092904,0.8847325
9.14,167.7561771686071,0.873526
9.16,167.39538662849367,0.88068366
9.18,166.51292034010783,0.8683491
9.2,166.2845604804653,0.8697847
9.22,166.87912100882494,0.8786077
9.24,167.07406209651975,0.8789825
9.26,166.00686040813045,0.8554956
9.28,164.95616105121258,0.86671734
9.3,162.14036917656162,0.8365019
9.32,162.39963447682305,0.8308428
9.34,164.1257627138075,0.8090701
9.36,166.67800666393336,0.8465018
9.38,167.2471095527573,0.8635721
9.4,163.85273935196977,0.81168926
9.42,155.22250568283144,0.50565124
9.44,145.01407071855667,0.5752779
9.46,132.28378116796247,0.81938887
9.48,133.06837594288365,0.74942833
9.5,144.09099558302793,0.28260317
9.52,159.53106634075314,0.53808874
9.54,168.75320571097058,0.81920916
9.56,168.49224187771551,0.81790835
9.58,161.30371160642903,0.69541013
9.6,153.90038340425713,0.76449215
9.62,149.84713971950106,0.8249284
9.64,151.33899285589274,0.8434692
9.66,157.39500069211286,0.7155726
9.68,166.82866737500532,0.6425743
9.7,178.01186909907457,0.83667994
9.72,182.0590586835532,0.8437763
9.74,184.69256955543364,0.8731278
9.76,184.37236944786235,0.86506754
9.78,183.42475187143458,0.860893
9.8,182.85241258109792,0.8667111
9.82,183.66236379635598,0.8519184
9.84,184.4830443106062,0.85084796
9.86,184.95712099776338,0.87308896
9.88,185.18873771526324,0.8856984
9.9,183.92624245770514,0.86737037
9.92,183.5018081460551,0.86830187
9.94,183.01396119374633,0.86506903
9.96,183.16372207571717,0.8609048
9.98,184.0084854745366,0.84606284
10.0,185.23240287869703,0.86302537
10.02,184.7866694677436,0.86948687
10.04,183.5797818478726,0.85733896
10.06,183.6215295402437,0.85798115
10.08,183.26895902082464,0.85754156
10.1,183.0450082409524,0.82332253
10.12,183.129409224333,0.82613826
10.14,182.1405980155688,0.8475615
10.16,181.23461673702937,0.84708154
10.18,181.84087187633722,0.87163687
10.2,182.59438025907176,0.8518387
10.22,183.02662036406443,0.86157596
10.24,183.6180680788057,0.85771835
10.26,183.87015011853794,0.8596928
10.28,183.90551323244594,0.85522455
10.3,183.60487905031255,0.8620055
10.32,183.30297775880226,0.8636377
10.34,182.68964019076807,0.84189063
10.36,181.44718657499033,0.85548294
10.38,181.4344096434452,0.8507954
10.4,181.88411546569944,0.838899
10.42,181.8720030834251,0.8397608
10.44,182.65919016780998,0.8029753
10.46,184.37874935903568,0.8181394
10.48,186.61225818907383,0.8257426
10.5,187.91921411877365,0.8692261
10.52,187.23826750385743,0.86579853
10.54,186.40508694187565,0.8894993
10.56,184.94304386864206,0.9010015
10.58,183.58675269823405,0.87511677
10.6,182.8451837876462,0.8723756
10.62,182.02861443158585,0.86173433
10.64,180.8175736057072,0.8217901
10.66,179.80952771066288,0.8152876
10.68,177.9666348520385,0.85062706
10.7,176.01026503841405,0.7773414
10.72,173.6116921071049,0.8367597
10.74,172.10106669316818,0.8368953
10.76,169.64165822649235,0.8673177
10.78,169.15103664556432,0.88594973
10.8,167.75647913494407,0.8852023
10.82,167.18218742129298,0.87955654
10.84,166.50339812405406,0.8693408
10.86,165.40678304677326,0.87119496
10.88,163.11866578750784,0.8496263
10.9,178.95529967616497,0.84061265
10.92,204.55006199321474,0.8543823
10.94,236.44762508310345,0.8165056
10.96,265.19989243503903,0.81230885
10.98,289.79987075257645,0.7379113
