time,frequency,confidence
0.0,172.40379055131658,0.28659567
0.02,172.9994163760681,0.46933544
0.04,171.44315948795426,0.51390946
0.06,164.73732983990527,0.04295221
0.08,156.45708698657938,0.17700441
0.1,161.06008876816765,0.43161383
0.12,161.89326308730472,0.49615437
0.14,158.18777262551896,0.3691766
0.16,159.232121122379,0.51158047
0.18,151.56090669114462,0.4795263
0.2,163.27380223569656,0.10294866
0.22,166.40789772860106,0.0818075
0.24,171.1011635229121,0.06940734
0.26,175.97002516225746,0.17497855
0.28,172.70415567655778,0.07668357
0.3,184.20466220690116,0.101079516
0.32,184.8336302886962,0.1419205
0.34,190.23365782571102,0.14152746
0.36,197.0328554659406,0.0777583
0.38,210.21787148828338,0.09565253
0.4,221.47557765586538,0.09204236
0.42,229.9506583830038,0.20441332
0.44,236.8111219954477,0.14061706
0.46,253.3508072317544,0.12871696
0.48,256.978006331083,0.11802726
0.5,287.71545635640484,0.599361
0.52,284.17679735422087,0.8972003
0.54,281.9712261036762,0.92491955
0.56,281.50943299528376,0.92602944
0.58,284.0064541047105,0.9071514
0.6,287.318783165917,0.9005971
0.62,287.62931657478924,0.9029704
0.64,282.3044690880002,0.7502667
0.66,262.45582309383644,0.31211233
0.68,271.23420132577525,0.72933865
0.7,280.7381801122832,0.4224896
0.72,283.9477067285268,0.87115026
0.74,287.6637561644409,0.9133772
0.76,291.968253871411,0.91604614
0.78,291.40979558908504,0.9294119
0.8,290.2638852378043,0.9253262
0.82,288.7269601784126,0.91964525
0.84,289.96402133074474,0.9131188
0.86,290.69987021935265,0.92154115
0.88,287.08575635975046,0.84652025
0.9,282.90233082944405,0.84812427
0.92,285.59760001258843,0.9100038
0.94,288.5490565211584,0.8825801
0.96,292.7210007770504,0.91582125
0.98,293.18319336202495,0.93462604
1.0,290.7301843673371,0.9188969
1.02,285.26435382657786,0.8821562
1.04,276.45548331977955,0.8403987
1.06,270.0303067645049,0.8784202
1.08,273.05139949169154,0.8512799
1.1,283.5943812774083,0.840883
