time,frequency,confidence
0.0,220.87637791837054,0.15150565
0.02,218.9248207208735,0.39288026
0.04,220.85462292590137,0.503851
0.06,223.31130545083934,0.2366872
0.08,232.86356379624394,0.07409835
0.1,249.9297231064126,0.3021881
0.12,291.56056316893796,0.16373105
0.14,309.1342896823532,0.1664197
0.16,298.8520882130958,0.23704588
0.18,296.5753487535683,0.21106097
0.2,302.77086937782246,0.12174557
0.22,303.60103491987513,0.12744172
0.24,307.6419311619197,0.1335279
0.26,312.87767092151034,0.3557874
0.28,312.7757738520253,0.21643007
0.3,313.4500349483185,0.42069563
0.32,310.18162900486897,0.24415044
0.34,309.5681383282585,0.18416339
0.36,315.63845432429713,0.15743186
0.38,317.78353286357486,0.21710232
0.4,320.2250816711807,0.24323171
0.42,315.1143397711369,0.14547321
0.44,312.84150958740787,0.36222792
0.46,315.35951817806784,0.15672453
0.48,309.8900257478865,0.22882904
0.5,307.8906695626782,0.22461069
0.52,302.2258027658619,0.25866824
0.54,308.0726898645265,0.27362546
0.56,307.3017992298159,0.17372604
0.58,308.17184284948434,0.25938404
0.6,307.9705971140278,0.12588017
0.62,308.93929979556106,0.07424563
0.64,307.8617488183578,0.11154958
0.66,312.0182357805032,0.19314422
0.68,305.6294016150374,0.11609957
0.7,306.42044490618906,0.26293147
0.72,311.5468555816887,0.17932293
0.74,314.03353080958817,0.26561746
0.76,312.368365444924,0.28639022
0.78,313.6740722644568,0.28503206
0.8,313.8519717333777,0.13737503
0.82,312.4106709518802,0.15353929
0.84,310.6997690947609,0.14483301
0.86,312.227900138076,0.21326253
0.88,309.0827080829554,0.24197699
0.9,304.8781544202989,0.2530029
0.92,299.39162887040374,0.14518444
0.94,304.40754306236715,0.12910399
0.96,302.44872598403686,0.22640492
0.98,309.20188422322946,0.13655764
1.0,314.31906367611015,0.1973448
1.02,308.35578958517783,0.24569476
1.04,306.6412373709744,0.34618005
1.06,307.56455250741163,0.25717482
1.08,306.277399984148,0.16092373
1.1,306.27453943645486,0.14022285
1.12,312.81079288192353,0.2827037
1.14,304.28935580481436,0.20155492
1.16,309.1399835782009,0.14522073
1.18,306.9007633601148,0.14272706
1.2,306.79930226633235,0.24122263
1.22,309.07736637764185,0.2837595
1.24,306.482569998677,0.17464697
1.26,309.2334573156011,0.24626617
1.28,304.5623119165895,0.37036422
1.3,299.72060876440105,0.18872863
1.32,315.5522480488902,0.21253654
1.34,309.2300986092559,0.14722112
1.36,309.34475910347413,0.17172179
1.38,310.7956184602319,0.19568467
1.4,303.99746114838683,0.12246634
1.42,299.4100779841253,0.15243551
1.44,307.7185002997226,0.15853459
1.46,313.5744672904721,0.08162625
1.48,316.153294086327,0.14831041
1.5,317.96945283785976,0.101611905
1.52,311.8879635804319,0.08894185
1.54,314.4841937286666,0.16304618
1.56,314.77160149046017,0.2675857
1.58,313.8494564006626,0.18848038
1.6,310.4774301668321,0.12814263
1.62,309.37968208630315,0.28457445
1.64,293.8535890011203,0.08634251
1.66,314.634450864069,0.091741666
1.68,316.30368097318825,0.19521728
1.7,309.56662895050266,0.15085164
1.72,312.1180600725704,0.16694133
1.74,307.6047486660878,0.21025649
1.76,312.7114632532614,0.21486095
1.78,306.06744875397817,0.14273779
1.8,306.0441407713516,0.12818445
1.82,306.4745200386174,0.16965012
1.84,315.06475022578934,0.18793981
1.86,308.34356139934187,0.44221094
1.88,303.3133477287801,0.2331037
1.9,311.5436878397236,0.38242617
1.92,315.6842365965595,0.13246657
1.94,313.879443876512,0.107532695
1.96,315.4190602954766,0.16005519
1.98,316.933239755165,0.16675763
2.0,314.1204223407392,0.209361
2.02,311.30182269317777,0.19922821
2.04,322.9511671410773,0.23538971
2.06,339.7618846441038,0.17003985
2.08,369.5332323436386,0.2716263
2.1,389.60584912760714,0.18866241
