time,frequency,confidence
0.0,218.97316846002002,0.16528426
0.02,219.4872646244137,0.19920549
0.04,213.40946780458367,0.14188486
0.06,228.39209491968438,0.097291514
0.08,257.59721112004274,0.17979531
0.1,271.6790340177916,0.72271883
0.12,271.3229845624789,0.7836048
0.14,270.2024067876847,0.7759501
0.16,272.47782581481067,0.66808146
0.18,263.0921214480804,0.41605306
0.2,263.3772628991402,0.6783783
0.22,269.5051607242302,0.74663246
0.24,268.1101597792808,0.70063484
0.26,261.6061409203382,0.3642596
0.28,270.73789208993054,0.2530225
0.3,272.85874336008203,0.311615
0.32,267.63410775278817,0.39363718
0.34,270.945889732473,0.45223004
0.36,277.6076184654682,0.31920433
0.38,280.12033225721785,0.43130538
0.4,274.63533754112217,0.26840153
0.42,273.96867728416197,0.4039573
0.44,262.1750496994104,0.26826647
0.46,252.8554704806051,0.14899617
0.48,242.64376105234624,0.33701774
0.5,245.16345667530607,0.5004755
0.52,248.87135821015121,0.34617525
0.54,260.604745575127,0.20647198
0.56,242.33889103981147,0.34431517
0.58,244.1277635176308,0.21972728
0.6,242.07173996730768,0.4682684
0.62,239.31931896492665,0.5334078
0.64,239.5622938416405,0.12046897
0.66,241.91484629233787,0.4990747
0.68,243.0274299558332,0.5887742
0.7,241.60106986351792,0.2779466
0.72,249.8465478386462,0.14514278
0.74,244.8914965821224,0.5598349
0.76,245.554297088608,0.6098116
0.78,247.57622304682812,0.305915
0.8,245.46781432594105,0.21333756
0.82,243.07028995941022,0.5264914
0.84,241.80619304285113,0.38785607
0.86,241.69282416669543,0.6052166
0.88,240.4809059955113,0.33825985
0.9,235.79618014579614,0.17752196
0.92,228.90655825830498,0.3007799
0.94,210.8558909519765,0.34101242
0.96,201.81065797593743,0.20442154
0.98,186.14617171200376,0.19815469
1.0,171.94648468599496,0.42382312
1.02,161.86685896055775,0.3064057
1.04,149.11729136143478,0.22070773
1.06,145.5878171501302,0.2883946
1.08,147.1194284735903,0.2107331
1.1,149.33506700223256,0.27233854
1.12,147.1248279048884,0.37272573
1.14,146.1775561129323,0.56688213
1.16,147.11586457372965,0.50770843
1.18,148.58532081669023,0.49553123
1.2,149.20639722381057,0.5011231
1.22,148.69063754621703,0.42454013
1.24,147.56791160306872,0.39704224
1.26,147.80938402868026,0.4648041
1.28,149.09288942387715,0.4408214
1.3,148.25253074340287,0.37525058
1.32,147.2674033085802,0.6106593
1.34,150.15581320703293,0.5661106
1.36,147.7962592551148,0.48317257
1.38,147.08994858063295,0.60182
1.4,146.27999842792877,0.7296742
1.42,148.6766506804359,0.73617864
1.44,147.7815617303142,0.6664815
1.46,161.13937927319338,0.7076405
1.48,182.34090756787668,0.64186877
1.5,208.76676987274715,0.2192638
1.52,238.08623967015177,0.45910883
1.54,266.60644965015297,0.61488783
1.56,289.669634312083,0.35153452
1.58,291.32768420995797,0.6390534
1.6,294.0992212062525,0.89281386
1.62,294.5848145035053,0.93232477
1.64,294.97370153111194,0.9227228
1.66,298.98944896234303,0.8832158
1.68,305.97337545197627,0.84334767
1.7,309.47683028193853,0.7910187
1.72,287.77336292625984,0.41164327
1.74,266.11569954000475,0.77447903
1.76,279.64439812818836,0.5226561
1.78,284.79829485044183,0.89625454
1.8,286.282318282444,0.89550024
1.82,287.53561481623075,0.9137763
1.84,289.4958603899797,0.9108366
1.86,291.5218368966476,0.9259773
1.88,291.8912494598577,0.9198711
1.9,291.13600039752373,0.92618024
1.92,291.23265634406664,0.928461
1.94,291.53038548186936,0.9227338
1.96,292.71567133594147,0.91011375
1.98,294.5944513169558,0.93169
2.0,295.22140538388453,0.93308336
2.02,293.8532738292242,0.93744755
2.04,290.82386965415276,0.9148217
2.06,285.4274382285696,0.8976532
2.08,278.6917860012046,0.8821988
2.1,275.396806621779,0.8753896
2.12,281.7466986092665,0.88955194
2.14,293.5196694909887,0.6846912
2.16,311.34601444977426,0.79058266
2.18,318.1398537115275,0.89658886
2.2,317.5092698328015,0.9029716
2.22,310.87897301360437,0.870267
2.24,302.4626892500568,0.8985893
2.26,295.55565619518813,0.9233831
2.28,291.85104044274567,0.9140938
2.3,291.5821989198574,0.9244101
2.32,292.84736294108836,0.9216275
2.34,292.6147135863597,0.9179772
2.36,291.7337335176795,0.9185069
2.38,291.7686640562172,0.91839087
2.4,293.39503297667864,0.929057
2.42,294.3026151125168,0.93019056
2.44,295.4698284205864,0.92432475
2.46,297.63015863733494,0.8964238
2.48,302.458837769379,0.8548242
2.5,307.71408923836844,0.88495725
2.52,310.1348162775883,0.87290025
2.54,308.6425471053564,0.89555085
2.56,302.50814185919853,0.8843346
2.58,295.14244377747025,0.921517
2.6,291.6117121146849,0.91790277
2.62,291.6260751770012,0.92535996
2.64,292.8983777511985,0.9208312
2.66,293.5210174013619,0.9353104
2.68,291.38642643161074,0.91458637
2.7,285.6648139913285,0.89395326
2.72,283.690510895326,0.88360405
2.74,287.66155449151506,0.88236
2.76,295.4662048786398,0.8769804
2.78,305.2040609242858,0.7506207
2.8,319.51899085019454,0.79524004
2.82,323.1221237764232,0.873306
2.84,315.23277962483564,0.9019621
2.86,304.745555730359,0.8718126
2.88,296.24451911078313,0.8997722
2.9,292.7053060959664,0.91266894
2.92,295.65965293765356,0.89586705
2.94,305.3446238710821,0.8238413
2.96,315.8853971283988,0.888281
2.98,322.451594139116,0.89697725
3.0,322.4047719418553,0.8866087
3.02,316.64188129453044,0.91027915
3.04,308.5928614409796,0.8743439
3.06,302.18423696135824,0.89572763
3.08,298.47040930450794,0.90000236
3.1,295.8668908813215,0.9120825
3.12,293.337726172488,0.9227669
3.14,290.06983335948166,0.90963316
3.16,288.45546675455256,0.919015
3.18,291.99688530172307,0.8904474
3.2,302.1833012024933,0.6523671
3.22,317.92322448045917,0.52562904
3.24,351.7697881479104,0.375371
3.26,378.2194930716898,0.5812779
3.28,392.8208753542895,0.869944
3.3,390.03201444445773,0.8525821
3.32,372.6691396953812,0.5952008
3.34,358.0816887528828,0.82710445
3.36,354.5417827233508,0.89446825
3.38,363.78716380017363,0.54037476
3.4,385.7604827731833,0.6209142
3.42,393.94981104489,0.8874905
3.44,390.34795782798227,0.8462084
3.46,371.58729047181515,0.6651032
3.48,362.1364839068084,0.880005
3.5,366.35333881126064,0.7536591
3.52,385.3988553145877,0.45637727
3.54,407.5400322625182,0.84992635
3.56,402.97077483991535,0.76853347
3.58,391.2302147796721,0.4253541
3.6,352.946548357173,0.24059664
3.62,333.1913130005051,0.7478491
3.64,321.6616404966654,0.7363378
3.66,316.9498262150576,0.4251371
3.68,331.74375556717837,0.77818286
3.7,336.9815161820335,0.8101249
3.72,326.3807551125168,0.68162346
3.74,296.54251023797485,0.7975108
3.76,291.8236700447895,0.9132676
3.78,301.137478173648,0.76299584
3.8,315.25257300418923,0.89386016
3.82,318.1711075056355,0.9143637
3.84,311.211341846678,0.72058284
3.86,289.63246115535935,0.41901517
3.88,260.57473338295995,0.7958434
3.9,259.8611782932534,0.82520515
3.92,264.7741080621145,0.8806998
3.94,268.5519131200206,0.89900494
3.96,266.5684924797366,0.8912845
3.98,259.7278179565974,0.7710178
4.0,243.4729918393095,0.53676784
4.02,233.50353231523965,0.81276685
4.04,223.5177843415077,0.88934314
4.06,220.6972979380385,0.8993349
4.08,220.4310837341099,0.8927978
4.1,221.27829879327297,0.8737544
4.12,221.91773177496924,0.858002
4.14,221.2445491376767,0.8654666
4.16,218.95107856599031,0.847391
4.18,219.1754822177818,0.84970987
4.2,220.9652794306315,0.8934027
4.22,221.91953794627412,0.87119156
4.24,221.45525251668238,0.8750703
4.26,217.3343906806788,0.8223175
4.28,212.6276532926785,0.8585069
4.3,217.55353832013316,0.7508951
4.32,232.4826525948667,0.41292742
4.34,258.6911741560053,0.6044159
4.36,268.02244438112854,0.8774489
4.38,265.99963204358926,0.8540988
4.4,250.6435685974123,0.5122675
4.42,238.18797179794484,0.8314988
4.44,232.71755864155384,0.7931478
4.46,225.36478050638803,0.88028455
4.48,224.12248999038636,0.90135705
4.5,223.64444564791853,0.9024424
4.52,223.06849463402915,0.8949179
4.54,222.0875955055572,0.88011676
4.56,221.11790644723644,0.89237714
4.58,220.5780838680825,0.888795
4.6,219.22420805785126,0.84963447
4.62,220.13320180398168,0.867394
4.64,226.18734815626684,0.7194158
4.66,239.93352267017735,0.66968155
4.68,256.72286152989074,0.80680305
4.7,262.8220905175759,0.87861705
4.72,259.5696867362662,0.78581035
4.74,243.62619106869946,0.601811
4.76,236.37504853960172,0.88830966
4.78,228.5772607664357,0.8072278
4.8,222.22163415878228,0.90476596
4.82,220.22418905238172,0.9106921
4.84,220.0409439722081,0.91708434
4.86,219.76877746908175,0.904873
4.88,219.7557099623504,0.8911229
4.9,220.60340242372524,0.9036504
4.92,224.9410599983864,0.8234453
4.94,234.65580287111837,0.8435356
4.96,246.6818292967738,0.7079636
4.98,255.60849392580536,0.84890723
5.0,257.904308606835,0.81951094
5.02,252.7609683957917,0.75619966
5.04,240.26997993731115,0.764946
5.06,232.88731687231314,0.8014848
5.08,223.30981190109281,0.90034723
5.1,219.70005131976467,0.8844916
5.12,218.88811519269115,0.85777503
5.14,219.4323470586501,0.8492442
5.16,220.58967400748034,0.88222885
5.18,224.43850513916334,0.8389749
5.2,234.6429015371562,0.7805706
5.22,249.68847700385948,0.7466068
5.24,256.15113696756225,0.86107564
5.26,254.21477141307355,0.69068444
5.28,240.35780162161902,0.7552618
5.3,232.89969255575494,0.7943327
5.32,223.01967930308362,0.9045616
5.34,219.99812782939125,0.89000344
5.36,219.8065913385684,0.87690884
5.38,220.6436539045465,0.89737445
5.4,222.54369049822841,0.8811958
5.42,226.28538212855312,0.8503475
5.44,232.89257177482256,0.8623563
5.46,239.37753473346868,0.66544664
5.48,240.93216817631,0.23176949
5.5,234.81613673722472,0.7916772
5.52,240.52366975549714,0.46943384
5.54,238.95398822283883,0.25799692
5.56,234.11908574640378,0.647092
5.58,231.3944950623844,0.6564374
5.6,263.1054972296233,0.7253839
5.62,270.70699574180986,0.77399576
5.64,273.87266616969805,0.870605
5.66,267.1968856615375,0.8098504
5.68,241.74234349997715,0.5797073
5.7,234.75424077756907,0.8757746
5.72,230.444127214741,0.84383166
5.74,231.17397168235541,0.8696567
5.76,234.41387966759459,0.9126856
5.78,236.37364197967017,0.905447
5.8,235.89943668248426,0.9046798
5.82,234.39284474123653,0.90228015
5.84,233.2101398197496,0.88288414
5.86,231.96005578944175,0.8703172
5.88,232.00506450262628,0.879489
5.9,235.27271162747525,0.8632147
5.92,241.47626080117377,0.77120435
5.94,254.25838191560337,0.53112036
5.96,280.2976900694423,0.48544738
5.98,273.816187951079,0.56138635
6.0,260.4935881711709,0.3246711
6.02,237.99523352425499,0.24613667
6.04,225.7822791345219,0.17785774
6.06,199.77340399371548,0.7553731
6.08,192.90149770016737,0.85468125
6.1,194.23213692008,0.86650777
6.12,203.84909630404738,0.6952052
6.14,215.4383998946868,0.81086445
6.16,221.28278515891867,0.8996339
6.18,223.45734591781934,0.9092805
6.2,223.15528513134274,0.90585726
6.22,222.26636339152094,0.88621753
6.24,221.27798351446103,0.9074117
6.26,220.73077836616247,0.917247
6.28,219.98276758150595,0.9089127
6.3,219.95674396077743,0.90661603
6.32,220.74258001175295,0.9152293
6.34,220.86135868447528,0.9153083
6.36,220.71793407535466,0.9175998
6.38,221.13474506288992,0.9175785
6.4,221.65857765469454,0.9123927
6.42,221.49815826684022,0.92017955
6.44,220.71856038958913,0.92438877
6.46,220.56544216180043,0.9191517
6.48,220.4252146059684,0.92376006
6.5,220.28511344463666,0.9206289
6.52,220.41639447496837,0.9204684
6.54,220.27852091350405,0.92607385
6.56,219.87885104116796,0.9157543
6.58,220.13376560534934,0.918855
6.6,220.91414767287088,0.92596155
6.62,220.9256065591875,0.92587006
6.64,220.4846638413698,0.92283005
6.66,220.1543122710456,0.9223591
6.68,219.26024366190688,0.90010023
6.7,218.45866811028696,0.9002604
