time,frequency,confidence
0.0,218.01507567777156,0.18374129
0.02,217.78623878364596,0.28499722
0.04,217.451582537665,0.31279135
0.06,216.2303559794273,0.2993974
0.08,216.41742151829095,0.1861825
0.1,215.44075975341252,0.37031987
0.12,215.78860495496588,0.36898527
0.14,216.40181418748324,0.3797344
0.16,217.3526878682144,0.35736093
0.18,217.40636140980516,0.2814798
0.2,217.4377148795193,0.2854472
0.22,215.88770049803244,0.35201833
0.24,215.67947203031758,0.40006393
0.26,215.50877971613602,0.4184975
0.28,216.32965212129616,0.33956867
0.3,215.78125496784975,0.3282364
0.32,218.073841815968,0.30665496
0.34,215.69002905854208,0.37791663
0.36,217.76555238259817,0.29347017
0.38,215.0172242171463,0.2294805
0.4,215.53811189530234,0.3366285
0.42,215.44480903056808,0.35121754
0.44,218.05974991353884,0.36523712
0.46,215.91028269824562,0.31483248
0.48,215.58802698983382,0.31898546
0.5,215.03249075105103,0.39406368
0.52,215.50268287720013,0.30398023
0.54,213.07709907451215,0.373626
0.56,217.49925723693343,0.40082744
0.58,213.60480561339807,0.34215206
0.6,213.19703672147324,0.25526538
0.62,217.05214302549837,0.2995929
0.64,215.85746838244745,0.33245412
0.66,214.88743501444372,0.38464156
0.68,213.83366904581032,0.45510203
0.7,216.3241864820483,0.50772005
0.72,215.62870385878733,0.4363972
0.74,215.5688978544791,0.49882725
0.76,213.83070096515542,0.47278264
0.78,214.3085398461359,0.3804244
0.8,215.43656723207022,0.46540356
0.82,214.10818456650594,0.43439993
0.84,213.338513000363,0.4939331
0.86,215.30093736247898,0.5129329
0.88,214.85835385292228,0.60674345
0.9,216.82865043998547,0.4264152
0.92,215.9703487709976,0.38567364
0.94,215.00181938916154,0.35464284
0.96,204.2879466281532,0.40265468
0.98,182.81307400288114,0.37086514
1.0,169.18430073769142,0.48716938
1.02,152.85500026111808,0.49862152
1.04,143.46669439752517,0.39637548
1.06,142.58345262225137,0.26698437
1.08,144.03996183207943,0.25908318
1.1,143.85657275314261,0.630244
1.12,143.17345667557964,0.696502
1.14,143.33151228238083,0.6515524
1.16,143.69182899464292,0.6885147
1.18,144.0603667561873,0.61203253
1.2,143.87757597694892,0.488757
1.22,145.42257684332787,0.33171958
1.24,145.00681500323063,0.28955522
1.26,144.95117831435982,0.2560117
1.28,145.57774814624798,0.2107693
1.3,144.65836551066377,0.24258454
1.32,144.72443304597292,0.18005991
1.34,144.9882440710898,0.17015584
1.36,144.32517679923436,0.13062766
1.38,143.63058381000354,0.22152407
1.4,142.4730288455843,0.3124475
1.42,142.48970406397294,0.3781393
1.44,143.7743351399498,0.23633078
1.46,143.86587759634776,0.37661225
1.48,145.56983147665997,0.38229358
1.5,143.77191624917774,0.07271505
1.52,142.97031858988032,0.1769147
1.54,144.58583621999742,0.20033072
1.56,142.517616939715,0.28716475
1.58,144.1075715163343,0.3341098
1.6,144.0261212607168,0.14974661
1.62,144.25571982991255,0.23570801
1.64,144.5528293378116,0.32115507
1.66,144.4033082691583,0.40221512
1.68,160.42169054795554,0.21314922
1.7,180.86327926670407,0.25415957
1.72,208.76456349584103,0.25454447
1.74,227.32449895469705,0.45870894
1.76,251.3457296004964,0.26685956
1.78,288.8163910933862,0.28092235
1.8,319.3483351553992,0.43262386
1.82,362.5565486691032,0.29226214
1.84,417.04309164994754,0.37902614
1.86,461.22136786846204,0.29668185
1.88,514.2353466590969,0.3456423
1.9,565.7364074225695,0.49542648
1.92,569.7238711266367,0.43978688
1.94,570.379371017236,0.55575657
1.96,569.6169377341392,0.49295968
1.98,569.0709519811269,0.48457763
2.0,568.7811762725632,0.7037512
2.02,566.0016141055563,0.5411818
2.04,556.9806802335511,0.3695195
2.06,553.1165511676057,0.35795438
2.08,551.9173912443604,0.47597122
2.1,545.8573800743491,0.18618973
2.12,543.6067374657831,0.28199312
2.14,545.0498404086059,0.47003862
2.16,545.6792087690693,0.41150314
2.18,542.8619464709593,0.13873266
2.2,539.9351248587179,0.47417077
2.22,540.613064288056,0.67428637
2.24,539.0995518466129,0.2671471
2.26,546.9613138508408,0.46767426
2.28,547.1095577812883,0.21116984
2.3,546.6692063465036,0.31765863
2.32,547.6034332064544,0.29852995
2.34,553.37640430879,0.52194846
2.36,554.3508596477934,0.4335261
2.38,554.2348142903779,0.7236113
2.4,552.4632791184557,0.5556833
2.42,552.4283678466253,0.41587898
2.44,550.8436381434635,0.55021334
2.46,553.7720528414329,0.2880298
2.48,559.0252025811194,0.5141265
2.5,559.0666764495326,0.38046056
2.52,556.71067483784,0.37683406
2.54,548.5457673444386,0.33824962
2.56,544.505897946897,0.29369453
2.58,545.7724546028363,0.5120095
2.6,545.9298525038581,0.26561293
2.62,540.3280117131618,0.2296445
2.64,541.4397872616986,0.1617937
2.66,545.3869959034249,0.18066984
2.68,550.7496484154836,0.17084798
2.7,551.9180768305994,0.16640447
2.72,556.8287021306976,0.11407133
2.74,559.8769039141434,0.19932933
2.76,558.4122250081318,0.5707414
2.78,491.4875952090327,0.2053229
2.8,440.89026411520047,0.1282232
2.82,395.615994421286,0.37497285
2.84,346.3294282406199,0.55496156
2.86,304.8989362222799,0.8717414
2.88,282.52490450875666,0.90514636
2.9,281.043756366903,0.9126524
2.92,278.567147726685,0.90445375
2.94,276.1914363466047,0.8534152
2.96,273.21939506906887,0.85413766
2.98,270.95581196219905,0.87425005
3.0,272.2435846946133,0.87125885
3.02,273.51142868850087,0.8491547
3.04,274.7524329830659,0.83681524
3.06,272.19548465465573,0.6054303
3.08,274.40975258604743,0.6044941
3.1,283.074223921002,0.6976615
3.12,291.292773356949,0.69241416
3.14,293.0464436426981,0.8780436
3.16,291.4384630140976,0.91171426
3.18,289.99294072124854,0.90253794
3.2,288.83680381483606,0.88547957
3.22,290.1370683763043,0.8912072
3.24,290.35945615422116,0.9077815
3.26,290.72062372658127,0.90649766
3.28,290.26470706106454,0.90588903
3.3,287.7279629544276,0.9058949
3.32,286.06165839665255,0.88235706
3.34,278.26125848405974,0.8496418
3.36,269.39260983385554,0.8267994
3.38,259.692744038019,0.7813089
3.4,257.3164739052902,0.81740373
3.42,262.70225089338436,0.8663587
3.44,270.48086161201013,0.82259834
3.46,272.74585280413055,0.80608714
3.48,278.77102351886464,0.8373112
3.5,288.20194876763276,0.9018614
3.52,288.40415486918835,0.9151559
3.54,286.64293626151334,0.89234596
3.56,286.1714465494391,0.8922868
3.58,285.0540221842133,0.90421647
3.6,284.39281850599235,0.9045258
3.62,283.55150087206516,0.88439727
3.64,280.7613256412206,0.8849844
3.66,275.5409215301304,0.8683213
3.68,266.5433130628531,0.80201447
3.7,250.33632664757388,0.3847623
3.72,223.96505880385715,0.5538535
3.74,211.2418310417908,0.7009019
3.76,208.2923574497485,0.8567471
3.78,210.84051293832871,0.8440384
3.8,214.02514018104932,0.86483264
3.82,210.45977119655234,0.7628868
3.84,208.60972642598892,0.7997031
3.86,207.94518005719252,0.8551959
3.88,207.95531253648593,0.8661467
3.9,209.0394437666427,0.8637916
3.92,211.3178822730853,0.8562548
3.94,214.72305452572562,0.85987675
3.96,221.15917712223956,0.84155476
3.98,225.83758573190835,0.87214243
4.0,226.47938241425965,0.8726782
4.02,226.80796941733522,0.8616779
4.04,226.74349645063785,0.8606443
4.06,225.84263852070674,0.8707315
4.08,224.5790634567494,0.87331086
4.1,221.23572227921943,0.87898964
4.12,214.18971699141758,0.75540924
4.14,203.58104175596685,0.7928477
4.16,197.2390827981606,0.8612386
4.18,194.10157636115616,0.8813243
4.2,193.8432417551968,0.8812422
4.22,194.64340272915294,0.8856387
4.24,194.1306562799502,0.8845696
4.26,193.93863362699977,0.87504727
4.28,194.02234232700283,0.89307094
4.3,193.9730450327168,0.8753176
4.32,192.0735598607698,0.8423109
4.34,196.70324636193743,0.78585225
4.36,207.74651772569686,0.8109374
4.38,215.54992037649998,0.8184981
4.4,219.4333485976732,0.8419792
4.42,219.33900560052962,0.858629
4.44,218.28298224543673,0.85212857
4.46,219.01029290538534,0.84970194
4.48,219.47382831335116,0.8711123
4.5,218.47665469136982,0.86342365
4.52,218.38165368470374,0.8624145
4.54,217.58553747563494,0.85798514
4.56,216.15629949080332,0.8604663
4.58,216.79275858708456,0.84223247
4.6,216.99869311851214,0.8461406
4.62,216.78212665432565,0.84795403
4.64,216.53971114105403,0.85403013
4.66,217.50338202996502,0.8565968
4.68,217.85744472709027,0.8655846
4.7,217.74331583428636,0.8607208
4.72,217.8669458943949,0.8659022
4.74,217.85995674402383,0.85952497
4.76,217.72503792986407,0.8624379
4.78,217.6881288515918,0.8574799
4.8,216.96981562433626,0.8405598
4.82,216.77973419811303,0.84080166
4.84,216.9150234990667,0.84621465
4.86,216.12774129409362,0.8508731
4.88,216.20412818431504,0.8557386
4.9,216.27401897189577,0.84676284
4.92,215.96280660860782,0.85673165
4.94,215.04958847843,0.8408145
4.96,215.0061698758484,0.8394519
4.98,214.21296180303696,0.84528
5.0,214.8484915281353,0.83745813
5.02,215.669536049778,0.8465134
5.04,215.62988439576668,0.8567469
5.06,215.23820290592212,0.86050475
5.08,215.2458274913062,0.85786444
5.1,215.66941724462555,0.8616519
5.12,215.5532757878427,0.8569585
5.14,214.76555054001517,0.85135984
5.16,214.4375978659595,0.8496861
5.18,214.1807607412285,0.8655438
5.2,214.29638299234801,0.8537081
5.22,214.88769086430014,0.8489022
