time,frequency,confidence
0.0,149.33389437880848,0.4954079
0.02,137.66498791080102,0.19732039
0.04,140.41680980112557,0.51817876
0.06,140.73311672590026,0.7724924
0.08,142.5742395507228,0.76431626
0.1,143.05738502649118,0.8022332
0.12,140.62960186458025,0.6925416
0.14,139.9905749516396,0.8098225
0.16,140.3304410517372,0.8181309
0.18,141.12599523299605,0.84090084
0.2,141.52164107736934,0.79958606
0.22,142.3257686840929,0.8116073
0.24,142.09446828259232,0.8495072
0.26,141.8785051657212,0.8527109
0.28,141.4654649179913,0.82548827
0.3,141.57307804084556,0.8293663
0.32,141.7238980857153,0.83643687
0.34,142.0668623392285,0.85366374
0.36,141.93866174600083,0.8371513
0.38,142.54040366095603,0.8377406
0.4,142.5424678432594,0.83632267
0.42,141.87988809188255,0.8228202
0.44,141.3725215399949,0.6883994
0.46,141.1731041961017,0.5887956
0.48,141.20888457090751,0.64298356
0.5,141.5274445084359,0.7639663
0.52,141.75639282409068,0.7912423
0.54,143.91931532183204,0.61273015
0.56,146.19783009682084,0.7462616
0.58,145.5546437085822,0.45302993
0.6,144.7951655581378,0.42497125
0.62,142.89760099861726,0.7471956
0.64,139.85025693268219,0.58254635
0.66,139.51180602975143,0.80520374
0.68,140.82333014749733,0.7934097
0.7,141.62782057348724,0.8409689
0.72,144.09734244326282,0.77453196
0.74,146.12013834311432,0.69018096
0.76,146.9618884416957,0.54366493
0.78,144.20027099439878,0.40420172
0.8,143.56559166537275,0.6816436
0.82,141.91653409977414,0.6888404
0.84,141.35439810460807,0.76303256
0.86,142.22339207788116,0.8095309
0.88,143.6053275418814,0.63096035
0.9,143.1354858549337,0.81616306
0.92,140.83711389111772,0.8432623
0.94,141.0333462464404,0.84230983
0.96,140.86688315751093,0.8031339
0.98,140.09421479846844,0.8484324
1.0,140.80893175865577,0.85020894
1.02,141.2513701490592,0.4320073
1.04,140.57627991446466,0.69712806
1.06,140.74786522520688,0.8284751
1.08,141.66625556969436,0.6165061
1.1,142.8812530357684,0.7595737
1.12,144.25525768804224,0.83812886
1.14,144.67689393316866,0.71377367
1.16,143.55447804960536,0.6612566
1.18,140.8578546604728,0.8422546
1.2,140.08848913944098,0.8562312
1.22,140.9530180045129,0.872164
1.24,142.58094135586055,0.85089153
1.26,144.6384258381568,0.8812979
1.28,143.38309924363426,0.8782496
1.3,157.96394649280973,0.83445126
1.32,178.38786635903642,0.22805457
1.34,199.92670602200752,0.43306875
1.36,231.86840482685116,0.23157792
1.38,264.5649777500956,0.20586967
1.4,287.37736383184915,0.23663014
1.42,288.39269211491205,0.2981592
1.44,283.6495027863385,0.27110162
1.46,284.99911705563517,0.60256994
1.48,285.5951635248156,0.71956134
1.5,285.360846745075,0.6633351
1.52,286.43208634774163,0.44720122
1.54,287.10161705377567,0.54454494
1.56,283.78326212151546,0.7139427
1.58,282.27564087587365,0.5848223
1.6,286.20697842161843,0.69211435
1.62,285.3569142560371,0.87449163
1.64,283.90973351317433,0.86593914
1.66,282.80001457737717,0.88077265
1.68,283.0984836960246,0.87847036
1.7,284.5978749729596,0.87510896
1.72,284.598145779121,0.8579864
1.74,283.9069348188659,0.86823523
1.76,284.58750487884436,0.8282312
1.78,285.87555737674757,0.69108844
1.8,281.6288192631366,0.47859007
1.82,281.6529812031,0.7724936
1.84,285.71880356831593,0.8771466
1.86,283.9294917245007,0.85320693
1.88,283.01533583669004,0.8960193
1.9,283.72930982323123,0.9047108
1.92,283.65083273752396,0.8898586
1.94,282.6323007710914,0.9001977
1.96,283.04761851582964,0.8864305
1.98,282.99479826867537,0.88675165
2.0,284.27266833536845,0.89853305
2.02,284.77077756806347,0.89296454
2.04,284.7354320816133,0.892558
2.06,284.0754353836096,0.88376135
2.08,283.01974869112144,0.8651862
2.1,284.95072122467684,0.8707896
2.12,289.4339998858894,0.75989425
2.14,299.37267929025825,0.6513685
2.16,305.74222913797536,0.6797216
2.18,314.12924942237913,0.4704057
2.2,306.62746501085854,0.34899125
2.22,296.3351595181027,0.8574296
2.24,293.8151541997729,0.9241229
2.26,288.9304925985885,0.89477324
2.28,284.3862269548649,0.89553106
2.3,282.1085063238172,0.8979299
2.32,282.28449960795564,0.902098
2.34,283.89063335011815,0.8890339
2.36,287.07258891991455,0.86508983
2.38,295.5415957397142,0.6911621
2.4,306.7643090537388,0.79379547
2.42,309.1482312914578,0.7219855
2.44,300.3942240244105,0.80282223
2.46,296.13082492331597,0.9039217
2.48,289.779739079672,0.8949273
2.5,284.06871938045356,0.88431096
2.52,282.55778722895207,0.8934798
2.54,286.5738313947848,0.8699059
2.56,292.38569973058287,0.7695465
2.58,302.0974610604914,0.71609986
2.6,300.5051761740754,0.7357226
2.62,309.9084846588652,0.5548812
2.64,326.6216244936549,0.6527927
2.66,305.7585052214478,0.6003906
2.68,299.4055089172375,0.8657912
2.7,292.74737247244906,0.9004297
2.72,291.76798797607705,0.9088184
2.74,294.28257217908305,0.92278564
2.76,296.6560928403793,0.8911879
2.78,296.77725534760094,0.90352964
2.8,296.7048031778581,0.89592725
2.82,295.3449549720553,0.9217164
2.84,290.52007453645274,0.88764435
2.86,285.7852408750899,0.881606
2.88,285.1890037209576,0.88937384
2.9,284.8276712677259,0.89297825
2.92,284.4960679869383,0.89515746
2.94,287.16102020391656,0.8880085
2.96,286.76414526158703,0.8729862
2.98,286.48192888185,0.85102874
3.0,287.3866048071321,0.8385591
3.02,292.9520286140523,0.7411128
3.04,301.22797935960074,0.699952
3.06,299.4405396160205,0.57169867
3.08,272.5878605850406,0.44104025
3.1,250.77463018305895,0.7957165
3.12,251.96463266764277,0.8329995
3.14,252.36565042657554,0.86113465
3.16,252.40863778316668,0.86422765
3.18,253.17723577155346,0.8609237
3.2,252.69774484482417,0.8440523
3.22,252.79166565741704,0.8488095
3.24,253.13446105895116,0.85383403
3.26,251.7052508294052,0.8466965
3.28,247.72522111699675,0.80994594
3.3,242.84944170280397,0.80475146
3.32,243.27202958335005,0.8388414
3.34,244.2958165288111,0.86947703
3.36,246.15459560104765,0.8144456
3.38,249.8034521118455,0.82330817
3.4,250.06531516913273,0.8387846
3.42,250.15501178674182,0.8612164
3.44,251.00894085862777,0.8776321
3.46,251.80088974984866,0.83720285
3.48,254.56363320549082,0.75890684
3.5,255.01234924633786,0.7415999
3.52,253.44794662306055,0.7968503
3.54,253.38523578940806,0.8505696
3.56,253.8365779341963,0.72372043
3.58,252.5040721526256,0.63746285
3.6,253.33758189646176,0.66685236
3.62,253.81387427149232,0.73625803
3.64,253.2925838578666,0.8279873
3.66,253.60364551631864,0.8110585
3.68,253.7625055767899,0.84169155
3.7,253.09537057230702,0.8612249
3.72,252.9160690781012,0.8643513
3.74,253.39979084180925,0.86717516
3.76,253.35131318222068,0.85236335
3.78,254.71496707005434,0.84290653
3.8,254.5512888657352,0.835068
3.82,254.39275462910558,0.8675983
3.84,255.01402830311127,0.8650263
3.86,253.46105847656605,0.8542554
3.88,247.67050502914697,0.78169245
3.9,241.56539739365823,0.8006236
3.92,223.04648401200467,0.601381
3.94,196.75831547213775,0.58873034
3.96,179.03191807484174,0.5182104
3.98,152.02963764423754,0.5164188
4.0,141.17157445495604,0.7837622
4.02,137.48210168327356,0.867488
4.04,132.78066498689358,0.85521317
4.06,128.2430429626013,0.74757254
4.08,124.23688553318124,0.81172216
4.1,122.7097972246443,0.81260216
4.12,121.98934671409377,0.8315528
4.14,120.28505947555621,0.80803734
4.16,117.7729947446715,0.7954634
4.18,116.58235375038507,0.76591593
4.2,116.87749128129512,0.77853703
4.22,122.25573996469633,0.3700984
4.24,138.10031136682878,0.39474845
4.26,140.2898295655234,0.6018914
4.28,141.34327539972656,0.8128811
4.3,140.54982359064928,0.8585284
4.32,140.9036404029511,0.8253002
4.34,141.09130925837914,0.81312656
4.36,140.94913470659907,0.8286725
4.38,140.50010132507228,0.8535075
4.4,140.0501987390641,0.85520196
4.42,139.0125490504405,0.88404316
4.44,138.4629275331083,0.88341373
4.46,137.8675979297217,0.86414653
4.48,139.14120836504023,0.8421271
4.5,146.76622792203239,0.6892758
4.52,151.49110479022954,0.67813873
4.54,150.91167279419795,0.5543543
4.56,146.19390411852146,0.79741174
4.58,141.97852368166286,0.80756533
4.6,139.8505004351171,0.81687343
4.62,138.72883597563305,0.8898878
4.64,139.61899058694777,0.8768931
4.66,142.6667851974431,0.71976113
4.68,148.37472943671509,0.71213174
4.7,152.84471210557305,0.7479974
4.72,153.59417613650038,0.8054099
4.74,151.44844630476726,0.56572753
4.76,145.95814300017483,0.4099032
4.78,139.96567035186652,0.7645905
4.8,136.99515015578743,0.85389185
4.82,136.6142697754088,0.83174384
4.84,136.75207057221283,0.81662947
4.86,140.54131400613588,0.5959861
4.88,150.52173114678428,0.40281364
4.9,163.36472477675926,0.6066687
4.92,165.43502804280448,0.4332998
4.94,154.60482090062214,0.52193546
4.96,148.89050210708402,0.7001786
4.98,145.19732277959494,0.7573433
5.0,143.80053170814395,0.8054399
5.02,142.8073994422855,0.7940497
5.04,141.66446580094654,0.82008207
5.06,140.31759531210074,0.8254955
5.08,138.8108207411257,0.87311184
5.1,137.62687419913146,0.8625313
5.12,137.11697580591849,0.87215644
5.14,138.36704945557963,0.8693849
5.16,138.7813728146373,0.8646592
5.18,139.11587402138207,0.8764978
5.2,139.74663942292432,0.8446613
5.22,139.99437764996932,0.84805083
5.24,139.67910034526523,0.8550939
5.26,138.503559872654,0.85600406
5.28,137.20886168970634,0.8693224
5.3,136.95030314798922,0.85490394
5.32,137.80465849962545,0.86690056
5.34,140.54325015218686,0.8101281
5.36,145.048933511152,0.8379308
5.38,147.67020237069582,0.8547831
5.4,149.0079093009668,0.7859309
5.42,149.17819693286415,0.70722437
5.44,148.1358199148589,0.64604986
5.46,145.2926804644637,0.74228
5.48,141.0047702672972,0.8080524
5.5,139.94753337227812,0.844856
5.52,139.374718943707,0.8644066
5.54,139.82331896538585,0.8533538
5.56,141.50306820094843,0.8051083
5.58,141.12565564684013,0.80088264
5.6,140.0258084848661,0.8432049
5.62,140.43040831145132,0.8454348
5.64,139.57593041688594,0.86655545
5.66,139.00844059520148,0.8814222
5.68,139.47692812558486,0.8796049
5.7,139.4929180436846,0.8628274
5.72,138.76782642107563,0.8757872
5.74,138.92816969831867,0.8803247
5.76,139.62526563732456,0.8539854
5.78,142.32201370389146,0.8218913
5.8,146.74753646030328,0.84075135
5.82,148.62594329991938,0.84713316
5.84,148.69321333663382,0.777596
5.86,146.76424687367648,0.66557735
5.88,143.28861538992695,0.8200489
5.9,140.4991232075073,0.8115529
5.92,139.13397365355655,0.8590137
5.94,137.87992451098322,0.8573406
5.96,137.58810862308923,0.8638016
5.98,139.5489760982121,0.8486229
6.0,143.17781897760221,0.7981327
6.02,146.3228656948987,0.79983735
6.04,148.51806881565,0.78385544
6.06,166.13831414248256,0.81624246
6.08,190.85277737319373,0.79052734
6.1,216.74984915252477,0.5378758
6.12,254.39892295349378,0.7213448
6.14,273.9479115282037,0.6336863
6.16,283.9746793601397,0.7043865
6.18,290.83874533307267,0.78776324
6.2,293.1066648730432,0.83867204
6.22,291.3459043171045,0.8993436
6.24,287.04632817728594,0.83357286
6.26,281.0710483214016,0.8832573
6.28,281.65019874089273,0.8995639
6.3,284.17832333449167,0.89885116
6.32,288.25401137126704,0.8679625
6.34,295.15646284109056,0.8914917
6.36,298.84531360846256,0.8940266
