time,frequency,confidence
0.0,128.8181317276403,0.29310787
0.02,129.12672731110015,0.31742838
0.04,128.80945106666414,0.47747737
0.06,129.48372899888318,0.6775787
0.08,129.64566798367113,0.59481335
0.1,129.42075905796102,0.47473785
0.12,129.65052822619396,0.47790626
0.14,129.1522101769438,0.3842201
0.16,129.10775807467206,0.37936404
0.18,129.36128892314332,0.47646585
0.2,129.33657182302906,0.5924588
0.22,128.93588452579968,0.4146818
0.24,129.31374887687676,0.4992638
0.26,129.25858324725428,0.34310877
0.28,129.26218647746015,0.34757602
0.3,129.55542683444963,0.4131562
0.32,129.30050194066644,0.38732538
0.34,128.45715516005546,0.34855422
0.36,129.4568757743476,0.41503403
0.38,129.5052256032942,0.43122247
0.4,129.382404707143,0.34894106
0.42,129.50096691209234,0.39315978
0.44,129.14693448930205,0.27054513
0.46,129.47894053445475,0.4634633
0.48,129.76240191809873,0.4901879
0.5,129.41952811511862,0.5266713
0.52,129.07053170736637,0.3256163
0.54,129.32463248748206,0.4446015
0.56,129.27285217446627,0.23491277
0.58,129.34830277581275,0.35816747
0.6,129.9205597739027,0.5096677
0.62,129.43112365207264,0.5365497
0.64,129.03354351636952,0.43862462
0.66,129.61886652283974,0.40314814
0.68,129.2895784248377,0.29910168
0.7,129.46326324905075,0.3968898
0.72,129.62022637838825,0.40312523
0.74,129.0761647160292,0.39187106
0.76,129.11106221134793,0.3361886
0.78,129.74824596687856,0.39486834
0.8,144.82882150094707,0.3597601
0.82,167.94710956381454,0.247981
0.84,185.07315520917223,0.1452445
0.86,203.82232446419522,0.7098517
0.88,205.1293305584308,0.79092103
0.9,205.51870553050964,0.80630136
0.92,203.38613822848217,0.51444983
0.94,204.9344300696618,0.645054
0.96,205.90740865836622,0.77636355
0.98,205.45986454042753,0.6014979
1.0,205.17481984210178,0.7673361
1.02,205.40617314470748,0.8000343
1.04,205.33441748145935,0.78277016
1.06,204.81410017269357,0.79515785
1.08,204.2804222537532,0.82645214
1.1,206.24628038984656,0.796785
1.12,206.44431288482227,0.765968
1.14,204.9869225574416,0.5552981
1.16,200.7506848260499,0.34849098
1.18,205.2525675960749,0.22489025
1.2,202.88582223020856,0.3689511
1.22,205.1668832610524,0.5816884
1.24,185.8694411708828,0.19012068
1.26,183.92469572848984,0.45671132
1.28,190.81161404438285,0.50205886
1.3,193.36449749069132,0.14633003
1.32,183.4081028634422,0.18877712
1.34,178.67659380689133,0.36491606
1.36,173.13359237444848,0.16485393
1.38,171.17297512827383,0.18105815
1.4,179.65647653886646,0.21437967
1.42,175.82140501106454,0.16840112
1.44,164.12663197427054,0.12433373
1.46,161.19666264957968,0.23686326
1.48,145.91454006168334,0.18493988
1.5,152.24369239027112,0.2238629
1.52,144.8368358711839,0.18744616
1.54,142.8245214833947,0.08064552
1.56,139.76198603087946,0.115514375
1.58,126.91200662827262,0.28042722
1.6,139.20160141427328,0.35958484
1.62,139.1330133765973,0.17486094
1.64,136.40768416750475,0.14333595
1.66,132.7364940073462,0.21850772
1.68,131.86684340419066,0.13284086
1.7,129.73080993062118,0.08136097
1.72,135.50208127289136,0.13498823
1.74,139.12513054822966,0.21169597
1.76,127.96647491412043,0.15214743
1.78,130.81319540346004,0.050154254
1.8,134.5403701165206,0.20501757
1.82,137.464726168204,0.29812166
1.84,145.5799663343397,0.22563031
1.86,136.94575503061247,0.1519619
1.88,142.4677375125272,0.18369712
1.9,149.42412719722017,0.10837752
1.92,143.4928218639626,0.078849316
1.94,135.38288997423322,0.17520867
1.96,129.3317835491323,0.1412988
1.98,124.19114526060261,0.081332095
2.0,127.36138772196702,0.13628794
2.02,136.5028256034213,0.18030198
2.04,141.23272868057248,0.15965593
2.06,140.82256804451583,0.3864432
2.08,139.66065465812338,0.371663
2.1,139.22335347406892,0.14640781
2.12,138.56380714161094,0.048157997
2.14,138.86486963135275,0.37103307
2.16,138.43339943154075,0.15373145
2.18,138.53385943259815,0.16621952
2.2,138.64540608439967,0.37327114
2.22,150.12317872507896,0.20435533
2.24,165.5426452390137,0.25957236
2.26,183.18492087661056,0.07397363
2.28,181.06265490073417,0.09183096
2.3,183.2699321982285,0.08608588
2.32,183.57766343330388,0.11656045
2.34,180.50784410970653,0.1659224
2.36,183.39163148388388,0.23071127
2.38,191.55144071793327,0.26324493
2.4,211.9836836410875,0.12594113
2.42,223.68870791599224,0.21195334
2.44,219.07204205487324,0.2399929
2.46,216.4662304942762,0.3374634
2.48,203.82368915928393,0.52821755
2.5,199.99266612828063,0.8465275
2.52,201.45811972956005,0.86836207
2.54,205.6249040294611,0.8492971
2.56,206.70658103016908,0.85552114
2.58,207.1504040413613,0.864167
2.6,208.03031365637543,0.85348505
2.62,207.6416212628064,0.88477564
2.64,208.2453814022409,0.89255244
2.66,207.49386514823226,0.88043445
2.68,205.9898595836766,0.8751235
2.7,205.78459890905347,0.8915399
2.72,209.72487679332454,0.86904967
2.74,213.4564996265646,0.91962594
2.76,213.70442671755538,0.9252492
2.78,211.6981659780492,0.8871403
2.8,209.6694444542308,0.87175137
2.82,208.31452712998845,0.90734994
2.84,207.23438993006317,0.9087494
2.86,206.7951240843397,0.90315557
2.88,207.54339891729137,0.90173066
2.9,209.6934871275098,0.8699025
2.92,210.25557738815723,0.8784224
2.94,208.28504486279832,0.89160186
2.96,205.7560760264605,0.8995612
2.98,204.68490035736818,0.8824727
3.0,205.76268335325352,0.90605253
3.02,207.06159565269513,0.8927601
3.04,207.53445174383967,0.89438695
3.06,206.1095884196075,0.89737153
3.08,204.41356471647242,0.8803371
3.1,203.3388792605135,0.9129399
3.12,204.00776041739093,0.9066264
3.14,204.59871565217247,0.892325
3.16,205.24513189598935,0.8916354
3.18,207.21057808949794,0.9099047
3.2,208.56164607693614,0.90518284
3.22,209.08563328993012,0.885062
3.24,207.9146603679452,0.90978837
3.26,206.70567285246702,0.8866154
3.28,205.368556531711,0.8975833
3.3,204.18993069046618,0.90201885
3.32,204.79649117782913,0.88676697
3.34,206.7470035461471,0.88043886
3.36,209.39305541614544,0.8833758
3.38,210.49522474758925,0.8868335
3.4,210.4883079428262,0.8969265
3.42,209.4960239369484,0.8757846
3.44,206.84263587836696,0.8950602
3.46,204.82485352270342,0.86454433
3.48,203.03014013488837,0.90305334
3.5,201.78877077100705,0.9238011
3.52,203.40424510491795,0.9058403
3.54,208.23535988432883,0.90532035
3.56,212.37720624617378,0.90145564
3.58,213.41870058472307,0.9214055
3.6,211.1538694784095,0.88453346
3.62,206.98271999612712,0.85823804
3.64,203.91388863943564,0.8997066
3.66,201.8851975833329,0.91160554
3.68,202.15466533160625,0.91054976
3.7,205.31038653673275,0.8918893
3.72,208.46962346654524,0.9156763
3.74,208.6209963722328,0.91357744
3.76,205.9250423637077,0.9005321
3.78,202.3256105267787,0.9002454
3.8,200.63485312995655,0.9232094
3.82,200.8134923337301,0.9253676
3.84,202.42216798560145,0.90314883
3.86,205.84460181836067,0.88095987
3.88,207.77431222182724,0.90881014
3.9,206.20014582720017,0.8966441
3.92,205.28892686434818,0.8871289
3.94,206.66897079578894,0.90197176
3.96,206.71563070183598,0.89709747
3.98,204.31194844561944,0.892169
4.0,203.59254479494243,0.9080007
4.02,203.47061292918102,0.9169965
4.04,203.35169080295674,0.9087178
4.06,204.2609028191944,0.9098719
4.08,205.01773476320335,0.8871951
4.1,206.29253716899566,0.9031581
4.12,206.3059257839311,0.8934375
4.14,205.29482298206324,0.9056748
4.16,204.51209760947472,0.89090455
4.18,204.31787497574373,0.9092818
4.2,204.20207653203687,0.8935833
4.22,205.15811042988489,0.89786845
4.24,206.42295970716972,0.8921676
4.26,208.4708270353332,0.9067893
4.28,209.78959934110247,0.888417
4.3,211.04340431713607,0.91191876
4.32,210.4423532951763,0.8926965
4.34,207.2577700583076,0.8853293
4.36,204.19100801725892,0.8836071
4.38,202.21900039025246,0.9139027
4.4,202.0570219544027,0.9253534
4.42,203.15080730006758,0.9137097
4.44,205.13027345351674,0.8963353
