time,frequency,confidence
0.0,224.66231190632686,0.08986733
0.02,226.45304043362714,0.037403047
0.04,227.88003943517725,0.17846891
0.06,224.93176412632863,0.4397367
0.08,218.15675859964173,0.37116188
0.1,201.8671412184057,0.13483612
0.12,188.04106658332103,0.28370383
0.14,193.5401264001071,0.5913034
0.16,196.1809905806782,0.48342755
0.18,186.6214033509376,0.30187765
0.2,198.49627855006244,0.18253283
0.22,212.21374481574094,0.30566806
0.24,208.19294277501942,0.4589048
0.26,199.692747011497,0.5498934
0.28,193.2097840892628,0.74007964
0.3,193.81903169951335,0.7045522
0.32,203.80136326234611,0.40397087
0.34,201.86094204003953,0.33854645
0.36,201.0910042705689,0.24101311
0.38,205.78080522953397,0.28629386
0.4,199.29948902396762,0.5946181
0.42,205.1211907574103,0.23617521
0.44,193.04740165184722,0.31110054
0.46,181.59675193562632,0.18937874
0.48,199.30368227819244,0.3012558
0.5,185.41807301410176,0.20969951
0.52,187.69730178279121,0.42182297
0.54,195.37331065943633,0.39711982
0.56,197.03316415698995,0.41878235
0.58,200.9718736052426,0.2080855
0.6,193.6922929760952,0.7005889
0.62,195.66981708888676,0.868473
0.64,195.60020600674056,0.87107307
0.66,191.93459862416458,0.8175919
0.68,189.36385698737521,0.7812134
0.7,189.76981637864057,0.7766466
0.72,190.40571433467682,0.74384856
0.74,192.87425176367486,0.82477665
0.76,195.65328375334929,0.80385685
0.78,199.65321122895415,0.83154595
0.8,198.53177873849975,0.8551967
0.82,198.01999963065515,0.8548378
0.84,198.0308576603013,0.86112386
0.86,198.92070591841843,0.8698106
0.88,198.73853345810943,0.8707203
0.9,197.97484047113977,0.86886454
0.92,198.62596626701108,0.86599827
0.94,196.83850984580786,0.9009796
0.96,195.92740073616227,0.8996797
0.98,195.31521735122828,0.85939884
1.0,192.35255777444038,0.80323446
1.02,186.09605310289783,0.37643978
1.04,194.17566807085788,0.27653626
1.06,194.638091291454,0.24576156
1.08,195.36987962446702,0.693854
1.1,194.6334649705196,0.8066884
1.12,196.13190240073632,0.6883117
1.14,197.4193035140737,0.20164426
1.16,194.0664258470987,0.3302305
1.18,189.58250802920347,0.635293
1.2,193.25678219991661,0.6783573
1.22,193.88374848262208,0.8640857
1.24,194.76076723579047,0.8781654
1.26,195.80852431763205,0.8921935
1.28,196.32823978348893,0.90701467
1.3,196.54622398199453,0.9023188
1.32,195.19264465436234,0.8701134
1.34,193.79737993338244,0.8477309
1.36,188.06787704670072,0.68127584
1.38,177.3667095481309,0.3661836
1.4,187.45097210561258,0.5823473
1.42,195.8506780856281,0.62120473
1.44,195.01697318011867,0.7352513
1.46,193.66417092869955,0.5590054
1.48,183.43309960392617,0.34015703
1.5,185.58696318639673,0.43315718
1.52,187.63743412092344,0.50229406
1.54,188.2573438758148,0.33731982
1.56,207.17688617581922,0.3877994
1.58,198.50435335643846,0.61341965
1.6,197.48467698381512,0.8872731
1.62,197.82898481812126,0.8744275
1.64,199.58535557131955,0.84821534
1.66,202.06858042179908,0.85479134
1.68,203.30909290300352,0.8656035
1.7,204.3951402908417,0.84134424
1.72,205.74788895853408,0.8218965
1.74,205.49583073711221,0.8436798
1.76,203.16660124740577,0.8268317
1.78,198.65909437250477,0.8349155
1.8,196.75348073005927,0.90272814
1.82,196.38332554112884,0.8971331
1.84,198.61947745743737,0.84070426
1.86,202.5359031115569,0.8423953
1.88,202.06944145156524,0.8666215
1.9,200.1033187396427,0.846124
1.92,198.91096203213553,0.8709766
1.94,197.92720138297972,0.8597958
1.96,198.16582068615782,0.8573957
1.98,198.14976568631624,0.8563373
2.0,198.41673215781142,0.86328495
2.02,200.64245450497475,0.73133886
2.04,204.2864360970462,0.4585313
2.06,205.9278379009715,0.7927778
2.08,204.38235361188458,0.66037834
2.1,201.82682703287244,0.6181077
2.12,203.07770206419775,0.8317991
2.14,208.60418150257433,0.77480483
2.16,212.95142255883704,0.80372214
2.18,215.25013589931572,0.8238763
2.2,215.87503998240518,0.82605165
2.22,211.70449982443216,0.7402782
2.24,204.9278908877022,0.6624184
2.26,194.73032331978158,0.82335734
2.28,196.5708118922619,0.82221717
2.3,207.59859961062233,0.6310695
2.32,215.71137557866084,0.7982499
2.34,208.78251932966612,0.66532815
2.36,201.05156301130228,0.78594834
2.38,198.78985834535393,0.8533009
2.4,200.86757184600708,0.85315734
2.42,204.39343188265337,0.8140548
2.44,205.85210916153886,0.8051827
2.46,203.50172472467347,0.6213039
2.48,197.0381133301726,0.50875264
2.5,189.79462370469435,0.27613387
2.52,176.75366639343758,0.30988222
2.54,175.01938352339235,0.6948086
2.56,178.04183303186406,0.67249316
2.58,174.31215631448129,0.6461146
2.6,160.50478656856174,0.23261179
2.62,151.74141017527324,0.7982302
2.64,153.28997984106502,0.8241858
2.66,154.1822470854362,0.8397039
2.68,152.08303282469632,0.7864748
2.7,146.53774794813512,0.7409883
2.72,141.49951601934015,0.82655776
2.74,143.1854218731406,0.71501625
2.76,150.12728293120796,0.63253915
2.78,156.8509080422311,0.70271325
2.8,157.55296346170093,0.63405216
2.82,151.27683111861754,0.44276994
2.84,133.10075986955286,0.24863084
2.86,136.5390432748458,0.44761264
2.88,147.94303611540505,0.407574
2.9,149.97936105769452,0.5884964
2.92,162.4980572040032,0.57314265
2.94,188.69160379446345,0.49595448
2.96,203.03145903241835,0.3292243
2.98,202.54212177200674,0.5366986
3.0,204.73464343151318,0.47097456
3.02,202.78002859889725,0.29905012
3.04,188.00701914684421,0.24369149
3.06,190.25038564320863,0.3158984
3.08,204.01197748204146,0.38888377
3.1,207.08411101516305,0.46526608
3.12,208.14633420170998,0.45765704
3.14,192.4798114641555,0.3903306
3.16,194.25577577394463,0.5562804
3.18,198.85225168671656,0.24228942
3.2,203.6449195589665,0.2662406
3.22,203.5216672871844,0.42931148
3.24,200.36077042935779,0.29380426
3.26,210.7543506771625,0.38298547
3.28,208.42132783025593,0.24069692
3.3,214.4187512691536,0.21097633
3.32,212.43060208020432,0.10364642
3.34,218.20343038101242,0.23915038
3.36,219.70418698578197,0.108664624
3.38,216.9889423413582,0.11891242
3.4,214.68496636910612,0.25724447
3.42,207.71724438849898,0.16440932
3.44,197.26169176175802,0.20066118
3.46,194.3704042527628,0.16838464
3.48,201.81531583864867,0.38982698
3.5,207.84391163146836,0.32180083
3.52,201.56842955876806,0.22259776
3.54,194.3795641725838,0.37165782
3.56,191.95823204720784,0.51762253
3.58,186.97038533598226,0.44837776
3.6,189.8588312621965,0.28897023
3.62,194.86827178641892,0.17473428
3.64,180.11350909670898,0.18929307
3.66,200.380448841384,0.24132676
3.68,218.81029141611674,0.19396879
3.7,243.31700894602292,0.10331915
3.72,263.30218187730276,0.31877348
3.74,293.2811346717613,0.19772932
