time,frequency,confidence
0.0,184.05606176518245,0.10293254
0.02,185.46224312189793,0.030370805
0.04,181.9534636242757,0.2214694
0.06,185.1202527627322,0.2795483
0.08,182.9085411593037,0.22172558
0.1,176.3749479059214,0.24743536
0.12,171.30086251910734,0.15220037
0.14,175.1164809025303,0.10111644
0.16,194.7253957925781,0.53605974
0.18,195.9373107714423,0.86437154
0.2,199.21437492088012,0.8354424
0.22,202.65592762402224,0.82996666
0.24,198.96418507489557,0.7933483
0.26,195.0924244894064,0.8360357
0.28,194.6569477718059,0.8357446
0.3,196.2056419121228,0.47065815
0.32,198.32218531381847,0.44931674
0.34,197.57142548330626,0.62445956
0.36,194.3640934376358,0.35915273
0.38,194.87215965731076,0.8217199
0.4,198.29813642494898,0.84729624
0.42,201.75429882508075,0.82832414
0.44,201.26175434572048,0.8005422
0.46,196.47842728858933,0.62503695
0.48,184.98678906803318,0.4643622
0.5,188.69678460233467,0.43985018
0.52,189.35352086556412,0.27380455
0.54,194.8456415492689,0.74196506
0.56,197.72291948609984,0.8991112
0.58,200.5108381054276,0.8774632
0.6,202.93916011187875,0.8855306
0.62,203.67837146813386,0.8828678
0.64,203.7008110099744,0.8727479
0.66,200.90331017241866,0.8350076
0.68,194.97774685343896,0.7434709
0.7,179.22036980283366,0.32274756
0.72,159.35869621776862,0.2012491
0.74,148.7662302488022,0.581474
0.76,140.34626570844753,0.7228236
0.78,133.58546281287863,0.7564594
0.8,132.88587270227686,0.6871669
0.82,145.65309930739411,0.18201318
0.84,162.22740060222776,0.19222538
0.86,174.3158506790669,0.53598475
0.88,178.47273172936508,0.8147975
0.9,178.7366687719174,0.84490216
0.92,177.07637740701165,0.7795104
0.94,176.4393274967571,0.53148144
0.96,177.66602115786407,0.66529036
0.98,180.03203505545028,0.72715807
1.0,178.56335022118014,0.71262217
1.02,176.44281517751423,0.55696225
1.04,176.61139030276988,0.23362021
1.06,168.24792941610735,0.23464523
1.08,160.5623654612597,0.4451376
1.1,157.75528660081324,0.21439046
1.12,147.7362652170528,0.25084525
1.14,146.20850099805205,0.34353945
1.16,154.54042205026576,0.5834864
1.18,155.41601783906813,0.5224513
1.2,154.60984513644377,0.7863169
1.22,155.69988968222475,0.8272362
1.24,157.42116936975503,0.81466365
1.26,158.18486168032462,0.86195636
1.28,158.04560231334767,0.834375
1.3,158.4065179352372,0.8538032
1.32,157.29361536321727,0.8611766
1.34,155.44953747734863,0.83298856
1.36,148.7758430859431,0.6741049
1.38,142.50765013567846,0.80134004
1.4,137.05332746765595,0.23223597
1.42,124.34017820363204,0.6362585
1.44,122.65018129335397,0.7541446
1.46,121.25134079772481,0.2379481
1.48,119.83185969553247,0.16505294
1.5,120.48528572816643,0.52883065
1.52,124.52929955698505,0.36905703
1.54,139.93089653938205,0.60402524
1.56,146.4546217301702,0.29110137
1.58,151.12460794543085,0.21520393
1.6,158.25433802018838,0.43579802
1.62,166.72432437324102,0.1338023
1.64,175.3440890037774,0.16071692
1.66,173.41045392305983,0.3821991
1.68,177.36348934201416,0.27200794
1.7,179.51871414086654,0.19467248
1.72,181.4995746078017,0.14282067
1.74,184.88569984975447,0.26619115
1.76,185.27474481447626,0.25082913
1.78,187.8151681501743,0.18195483
1.8,192.29769168689856,0.28247344
1.82,198.23271132796322,0.29649246
1.84,206.78710689337316,0.25609842
1.86,185.7639501627544,0.16748664
1.88,170.76237919489637,0.141088
1.9,160.43100652379448,0.07573679
1.92,151.17371228898128,0.14402272
1.94,142.2371473580633,0.2033934
1.96,147.14722992485335,0.1743996
1.98,147.58559899673634,0.50264204
2.0,150.427130220754,0.10110292
2.02,142.80517371849288,0.33224398
2.04,139.0010693317038,0.6802219
2.06,134.0825120123219,0.22991882
2.08,146.70055791364894,0.21661133
2.1,154.22262586634156,0.6723523
2.12,156.69138629779542,0.77312535
2.14,157.08151482859282,0.7164113
2.16,156.57572267572584,0.62122273
2.18,156.7617387020314,0.74620926
2.2,156.11081527942642,0.83944774
2.22,155.96499427286813,0.8839659
2.24,154.96880445856192,0.81358534
2.26,154.72864570638188,0.6687677
2.28,151.43382783719363,0.18716018
2.3,155.66619099640695,0.23338379
2.32,157.22400911032452,0.76196104
2.34,162.85859901535338,0.8498329
2.36,165.30315826189363,0.8280026
2.38,169.7345547094866,0.76284736
2.4,174.9427302831216,0.330886
2.42,176.2633927803255,0.12173952
2.44,174.32155277599156,0.31690928
2.46,175.39794530785127,0.74520564
2.48,177.55825568401627,0.5174637
2.5,178.75595933153068,0.7216422
2.52,177.62938099498965,0.853923
2.54,176.8462736296348,0.8683131
2.56,176.80232439241192,0.5123948
2.58,174.9192911503542,0.4705868
2.6,169.52578995843413,0.3340206
2.62,158.68087766706932,0.25696367
2.64,137.53278850703646,0.43638608
2.66,130.0061204691804,0.3066354
2.68,128.16750386834076,0.1541851
2.7,136.92173732246897,0.1678485
2.72,143.85448338762578,0.6570772
2.74,157.20864713598195,0.30540678
2.76,158.79675443730153,0.6320834
2.78,157.43859719403807,0.6835258
2.8,156.3934805422144,0.74133736
2.82,158.6398649720493,0.7650412
2.84,159.64462867575006,0.76626617
2.86,161.59943067446517,0.7964786
2.88,161.6320146423969,0.8458908
2.9,160.514296254604,0.83548224
2.92,158.73143209073555,0.84961563
2.94,159.8036528613414,0.8512372
2.96,159.82904693000378,0.85731816
2.98,155.126432523187,0.80225915
3.0,150.53407631596212,0.71968156
3.02,147.11894724160715,0.7904574
3.04,145.14696388156477,0.8468749
