time,frequency,confidence
0.0,228.3993101782318,0.052753597
0.02,230.73757243123,0.22038722
0.04,232.18209014134095,0.40234524
0.06,257.1379631023104,0.2124897
0.08,298.1483308534514,0.10920846
0.1,325.5284533218993,0.106808245
0.12,334.08006908468474,0.11154239
0.14,352.4049883069797,0.37191087
0.16,374.9696150363683,0.15477869
0.18,355.58359790295725,0.506207
0.2,352.269971479694,0.40981284
0.22,393.8317653009757,0.1033336
0.24,437.2285179910259,0.4098081
0.26,444.40790094935505,0.62233436
0.28,445.9275523868673,0.50546765
0.3,430.2935502199375,0.34746933
0.32,448.7702370907614,0.25801143
0.34,432.93146845273395,0.1294833
0.36,403.33357824885627,0.14135966
0.38,392.3878602977152,0.26585358
0.4,408.70301581736413,0.52855456
0.42,391.1403863294163,0.5423472
0.44,397.85953364370124,0.8200362
0.46,401.32947194263267,0.86662817
0.48,402.5355489304457,0.8363538
0.5,362.7415989043127,0.24568519
0.52,323.6486080622773,0.75697786
0.54,287.628777933855,0.56688666
0.56,252.9608789532001,0.7868379
0.58,225.80362315691298,0.863962
0.6,227.7618675459297,0.8588933
0.62,225.97667226801906,0.89110243
0.64,222.2338917220235,0.9068869
0.66,220.09432576184304,0.92554975
0.68,220.94060908462453,0.92389715
0.7,221.3945532089505,0.90673625
0.72,222.29226775781456,0.8941157
0.74,221.7861513372449,0.89843166
0.76,221.14002536787842,0.9075686
0.78,220.05801323303163,0.9063943
0.8,219.75983752513827,0.90922195
0.82,219.8130821079295,0.886485
0.84,218.24873188501857,0.8460014
0.86,216.53048185488063,0.7789351
0.88,219.50387284223413,0.57597125
0.9,221.66013508053277,0.7548767
0.92,220.82722606657072,0.8764422
0.94,222.524786904569,0.8908398
0.96,224.29710832285113,0.8454122
0.98,226.87804559629186,0.8267736
1.0,223.85427176615758,0.86887753
1.02,223.093608984086,0.78932214
1.04,223.86439620219483,0.356924
1.06,221.19040751860436,0.48959288
1.08,221.3585925671731,0.6286717
1.1,222.93872795831925,0.9034294
1.12,222.99960029075226,0.91259754
1.14,221.5572970154547,0.8940688
1.16,220.98213056948995,0.8998129
1.18,221.0911138871775,0.88008946
1.2,220.66828832370027,0.84702736
1.22,220.90557964216006,0.8099332
1.24,221.2140094409445,0.77356094
1.26,223.3929037793285,0.7882461
1.28,223.18032074193385,0.8327624
1.3,220.73787611146614,0.5794253
1.32,220.59481104629674,0.47443023
1.34,225.70232534989597,0.55110437
1.36,230.54181793331534,0.73906004
1.38,230.4863105084267,0.8000268
1.4,229.07804328869727,0.88831633
1.42,229.9157768322949,0.82457745
1.44,230.5096806384509,0.8483055
1.46,229.44451974148893,0.88280696
1.48,229.9504221217416,0.85297954
1.5,228.02844086833915,0.89179236
1.52,225.2563350770718,0.8933599
1.54,222.7173562742126,0.895187
1.56,223.78386038637478,0.87417525
1.58,229.25387940373588,0.70471203
1.6,238.73719959164927,0.7652384
1.62,240.58434559205966,0.81291115
1.64,234.9214224488498,0.8390999
1.66,226.11704955157853,0.8575794
1.68,221.02097528968952,0.6583398
1.7,220.2414034132247,0.65597224
1.72,220.0926452533489,0.7637181
1.74,219.86189297759833,0.23885024
1.76,226.6905454250687,0.6935811
1.78,227.99880319641477,0.83745277
1.8,224.90894339205073,0.6913488
1.82,224.2984131194234,0.3348278
1.84,222.83472174593837,0.8222862
1.86,223.5141790225745,0.8797083
1.88,231.34306383202374,0.62050956
1.9,234.9545824463736,0.865099
1.92,232.39367775345613,0.76111424
1.94,223.67410492988245,0.8558439
1.96,220.70362639109348,0.90538156
1.98,222.15311211948435,0.8630546
2.0,223.24700422925622,0.88561493
2.02,224.13448518197444,0.835691
2.04,221.12910746741113,0.7049676
2.06,205.72430558827563,0.35491028
2.08,194.37767295442427,0.52248275
2.1,193.61157272016172,0.64964396
2.12,194.92290708856194,0.7428683
2.14,196.00598482219183,0.5113062
2.16,195.4871869081944,0.51571
2.18,202.22453850374208,0.46610364
2.2,206.20030208939073,0.3549763
2.22,221.68558633686925,0.28019908
2.24,222.9231196179232,0.3081537
2.26,222.70950843831545,0.2728971
2.28,209.36340085258024,0.26867092
2.3,208.21666374909043,0.5371547
2.32,218.00241591121178,0.75462735
2.34,222.19383888677953,0.60029125
2.36,222.8910588036052,0.260495
2.38,205.27060898496856,0.26897997
2.4,203.13951182522405,0.5145826
2.42,203.11275107341044,0.702821
2.44,203.12989027402014,0.41247898
2.46,201.28876873512309,0.62821794
2.48,196.96414144666898,0.39055833
2.5,212.00793567218847,0.1932458
2.52,230.1028959847156,0.06205733
2.54,222.87019189269986,0.25448334
2.56,225.43104007155114,0.3371214
2.58,228.65452338264072,0.3925997
2.6,225.14132811202916,0.25871295
2.62,224.04282469476104,0.17819825
2.64,222.95987756107817,0.44701022
2.66,225.29326594334418,0.19748561
2.68,217.45879145809656,0.35975358
2.7,220.50417872195294,0.35750422
2.72,214.0916164265538,0.4851588
2.74,202.2325952326864,0.39277217
2.76,200.83861827121376,0.43588886
2.78,208.95757571489975,0.40706432
2.8,230.60211272224285,0.1151419
2.82,230.27281824504905,0.69740313
2.84,225.5942657245103,0.29972076
2.86,203.04371127208637,0.7388774
2.88,204.31692389299917,0.8184199
2.9,210.90185157472723,0.78273135
2.92,214.57024290693948,0.876292
2.94,219.47338662667607,0.8386054
2.96,223.6409970193149,0.9106163
2.98,223.7274341721073,0.91511166
3.0,222.69805555302293,0.915183
3.02,222.66161406565598,0.9122791
3.04,223.48615126019575,0.91050947
3.06,222.67850865171664,0.89593035
3.08,222.31977199728792,0.8796285
3.1,221.6229806052816,0.88345975
3.12,221.05479989575915,0.9081233
3.14,220.9148678862408,0.9080556
3.16,220.5421247398262,0.90958107
3.18,221.29437794409444,0.9096193
3.2,221.9318932893614,0.8921308
3.22,222.01724712832632,0.8782382
3.24,221.287224622519,0.89837146
3.26,220.83843412325865,0.8959194
3.28,220.79838372052365,0.90386117
3.3,222.0446533981685,0.8812013
3.32,222.69290866395897,0.88748515
3.34,221.25687689317147,0.8640144
3.36,220.9016159813587,0.8651129
3.38,221.39112207458012,0.86728644
3.4,221.7056420134676,0.839589
3.42,224.17788534341867,0.8382537
3.44,230.5687793064959,0.8124555
3.46,233.36458617255946,0.89650863
3.48,230.91373408124795,0.7858739
3.5,230.44349120452623,0.64016175
3.52,230.28904669894328,0.6934382
3.54,229.99318212010294,0.7409297
3.56,227.92057865606893,0.746125
3.58,226.9256798146746,0.83331543
3.6,225.33392346503075,0.8569624
3.62,223.4574099557767,0.84706885
3.64,221.7130043121805,0.705541
3.66,222.8914561556181,0.78863615
3.68,221.33166906150578,0.8957378
3.7,220.83858372236648,0.8352072
3.72,221.9511391031821,0.75664663
3.74,208.26607477526068,0.6097796
3.76,203.17012942471075,0.70081514
3.78,201.63325257255767,0.780682
3.8,198.7871005059907,0.81428194
3.82,191.7785127577377,0.79405296
3.84,188.51146615894248,0.76198316
3.86,189.87728853486598,0.6966951
3.88,200.24575266798394,0.40956658
3.9,212.5809341687581,0.72087944
3.92,217.51539921145476,0.84906137
3.94,220.95063610259308,0.8529762
3.96,225.09649035791742,0.64742905
3.98,227.3193411573746,0.46159723
4.0,226.37599715250306,0.69155586
4.02,227.69339431528027,0.7706094
4.04,229.2427852082129,0.8531308
4.06,231.64435906268892,0.85579425
4.08,232.22914530765013,0.8207823
4.1,227.475461474538,0.84283966
4.12,224.19487886829617,0.8930377
4.14,220.2920658073197,0.8911468
4.16,219.6768107055469,0.87039167
4.18,221.85965467317328,0.8618643
4.2,226.12690650941028,0.84449124
4.22,230.28525110642445,0.8292115
4.24,233.5291764828571,0.87249404
4.26,236.2064920161102,0.8651688
4.28,236.6421583038051,0.8352554
4.3,235.09831212256262,0.8910134
4.32,234.35465340345422,0.8357863
4.34,228.3303889963783,0.84695077
4.36,226.4171665283702,0.88418305
4.38,225.87549157969661,0.8854293
4.4,227.25096567347788,0.8494685
4.42,230.31593742915575,0.69600934
4.44,246.97059443589595,0.34449184
4.46,258.09119271871435,0.62144446
4.48,255.66906391442143,0.4368634
4.5,236.86301396779436,0.7335547
4.52,233.95653581682066,0.8953819
4.54,235.61133657551008,0.85721266
4.56,239.20084275546566,0.8252304
4.58,241.63427251014332,0.8458874
4.6,239.4706623862461,0.6121094
4.62,227.10255910145844,0.80806255
4.64,223.6446863523483,0.88685226
4.66,225.9431163050722,0.7978023
4.68,233.83809033942384,0.65555954
4.7,243.4601121921959,0.6605189
4.72,241.06198441622112,0.6292442
4.74,231.78024003037484,0.77852315
4.76,225.77438426229668,0.8716421
4.78,226.18562930965976,0.86685765
4.8,229.86921315021567,0.84441495
4.82,230.15210871395058,0.8749773
4.84,227.77480888022887,0.8568069
4.86,221.74206739999664,0.77238846
4.88,200.88116984912523,0.5228045
4.9,196.47132301142767,0.6897565
4.92,207.94182314063437,0.64104056
4.94,233.64266905442423,0.5135814
4.96,265.5486989004477,0.5975312
4.98,284.23220613943045,0.42105418
5.0,313.830227676008,0.28966945
5.02,342.844275864475,0.19690017
5.04,342.21438672809364,0.63398385
5.06,348.92156841050934,0.80006087
5.08,352.2025650524756,0.88026273
5.1,348.3096278839401,0.74611855
5.12,336.2761048763668,0.2661854
5.14,330.4531796779619,0.20389417
5.16,335.86772491175896,0.33580092
5.18,347.7657102231967,0.6660104
5.2,355.3661349546806,0.8376776
5.22,354.3724413933739,0.83197445
5.24,347.5842130816502,0.809529
5.26,341.75868568569695,0.66250515
5.28,334.1690575866443,0.50059974
5.3,336.9464128716899,0.28448185
5.32,369.86026365549264,0.78512615
5.34,380.32964571541066,0.63911724
5.36,380.45601470267144,0.25230202
5.38,384.79167981612875,0.4218668
5.4,398.61874831982686,0.23986703
5.42,425.8989391147254,0.35397848
5.44,432.2498304565629,0.14383222
5.46,443.9849442098314,0.30018654
5.48,450.1167056710676,0.5468874
5.5,460.0551811196931,0.36898223
5.52,468.80378791391036,0.73561215
5.54,470.83259505709304,0.7572832
5.56,474.85188074453936,0.73818994
5.58,469.39245674034737,0.8456974
5.6,464.55852717845966,0.77861655
5.62,458.23159541197674,0.7687861
5.64,462.6608580684286,0.77598417
5.66,461.2662760739201,0.8003523
5.68,460.3462243723957,0.48766062
5.7,488.77535710315794,0.7863938
5.72,507.21775970576624,0.7498487
5.74,526.3495633849317,0.85049045
5.76,533.9693714594437,0.857586
5.78,527.1126728293596,0.6528964
5.8,502.0343572897715,0.4930145
5.82,484.3416575371645,0.77397406
5.84,476.2688941554037,0.85233307
5.86,474.97994811199806,0.8742236
5.88,477.0060021296021,0.876808
5.9,475.53112168431244,0.8707757
5.92,476.58237665011984,0.8873708
5.94,475.5234269937612,0.8964669
5.96,474.81241619554964,0.7712922
5.98,475.1632169446626,0.7341815
6.0,465.5870736839988,0.8742561
6.02,468.1699866446869,0.8788311
6.04,474.7331128371522,0.89274156
6.06,475.3775351659177,0.85373026
6.08,475.95178534809185,0.6113199
6.1,469.641795949458,0.46860328
6.12,457.5810386393117,0.66847384
6.14,447.8657574218494,0.45093197
6.16,396.25263521086924,0.788144
6.18,398.4658845519113,0.8879473
6.2,398.496705327588,0.8886704
6.22,398.5261024200114,0.88333976
6.24,400.42780285988033,0.8642101
6.26,401.941815585831,0.8319237
6.28,403.07049638738215,0.87009454
6.3,403.46662086495553,0.88247037
6.32,401.5955886379158,0.8251771
6.34,399.4763557019019,0.68155134
6.36,398.8760237490858,0.36564595
6.38,349.4186379139883,0.7619206
6.4,351.14692681407973,0.8575283
6.42,351.92092843518117,0.839965
6.44,357.2153204219907,0.7769233
6.46,354.64854850930664,0.85144913
6.48,348.1229160198848,0.7748631
6.5,342.2324824401815,0.70969427
6.52,339.75132763030473,0.6372932
6.54,342.4645161390605,0.72304463
6.56,347.83572032764175,0.79623455
6.58,351.29048070674855,0.89920205
6.6,351.695344891107,0.8933058
6.62,348.8456981564564,0.8579658
6.64,339.2639389438414,0.718512
6.66,326.7950284335267,0.81417066
6.68,312.016355822861,0.7544704
6.7,303.74342212431895,0.86168385
6.72,302.68910917664044,0.87820244
6.74,301.35225868861534,0.8840012
6.76,299.1588774449861,0.89709014
6.78,298.3948518616412,0.9087832
6.8,300.6544414278728,0.8537514
6.82,302.7428599260767,0.7931248
6.84,316.7007017397468,0.42624962
6.86,346.31390621317803,0.70970136
6.88,349.0327102367803,0.8216967
6.9,352.0230777131422,0.8219204
6.92,344.969431874331,0.76337236
6.94,337.15374250072676,0.78645134
6.96,330.0715675711445,0.854244
6.98,316.8979806778639,0.80317473
