time,frequency,confidence
0.0,260.6644495903358,0.1112203
0.02,256.107955861339,0.038334753
0.04,261.51550511689493,0.11857408
0.06,260.76376408209956,0.48650712
0.08,252.54360009024938,0.4520415
0.1,250.22920882404574,0.3206717
0.12,253.80693865190415,0.14133362
0.14,262.06052625837395,0.088250995
0.16,268.7447732673963,0.35661003
0.18,264.42588999836124,0.2738024
0.2,248.1351546855937,0.18082786
0.22,218.4210413816437,0.66405284
0.24,200.95019866264454,0.8192642
0.26,204.9987691851494,0.81972516
0.28,217.66299561948668,0.6899837
0.3,222.2445386324431,0.8956891
0.32,223.1753051875706,0.91657394
0.34,223.83340223779697,0.9094014
0.36,223.46682204496273,0.9063802
0.38,223.07142719043824,0.8773471
0.4,223.83369604836503,0.80492175
0.42,224.19318405006007,0.8157478
0.44,220.25023972928554,0.81408787
0.46,217.6481689633404,0.62933254
0.48,200.19188398615685,0.64044654
0.5,203.378385655661,0.6818397
0.52,220.172590984876,0.43982244
0.54,230.5470811377825,0.752937
0.56,233.96796452010508,0.9053594
0.58,232.85833733031325,0.88338953
0.6,231.64721487371963,0.78998286
0.62,231.51112512864256,0.7267717
0.64,231.38147292576764,0.8150798
0.66,228.26067601497695,0.7351023
0.68,221.71416487475165,0.8432999
0.7,220.36508224630094,0.8721175
0.72,213.02065840309876,0.6315074
0.74,193.05213144865172,0.3768549
0.76,173.75859021413905,0.4443137
0.78,165.3797860632943,0.6880276
0.8,157.53321305415685,0.5224936
0.82,158.06876037684702,0.6260125
0.84,169.7422351126538,0.23899135
0.86,189.33995120763063,0.5523598
0.88,195.60543766400787,0.8014761
0.9,196.82249117538748,0.9095958
0.92,198.11482721977495,0.8699272
0.94,197.4419068533942,0.8958807
0.96,197.15999335351955,0.9163282
0.98,196.59534538456091,0.90339714
1.0,194.21257906519372,0.74462354
1.02,211.10906500512903,0.41252464
1.04,237.81537706162536,0.2946442
1.06,264.2030809319289,0.3075417
1.08,293.51998382009253,0.18643321
1.1,313.2173384848188,0.15625094
1.12,342.93960347367005,0.4924824
1.14,350.29554143308405,0.47249782
1.16,350.45386030705833,0.704707
1.18,351.08574196983625,0.77878904
1.2,351.14345197886115,0.79456633
1.22,353.96968277238756,0.81419134
1.24,353.72174851940764,0.66967404
1.26,351.31332722429636,0.79278624
1.28,350.18023908984554,0.8459637
1.3,350.9439256965119,0.86002237
1.32,346.5192266118345,0.725281
1.34,336.95862755630276,0.5749839
1.36,322.5848014023325,0.32397392
1.38,315.6061500720101,0.37803522
1.4,326.3604813641117,0.78110284
1.42,322.15677652587203,0.78064543
1.44,309.3635877033949,0.5457866
1.46,317.37656783426684,0.18605146
