time,frequency,confidence
0.0,242.61424404478558,0.029633809
0.02,245.286033030436,0.05596728
0.04,238.7687802588151,0.095004685
0.06,246.3609124546652,0.4231817
0.08,243.17913101022737,0.49021393
0.1,239.94913851812612,0.63816667
0.12,236.40988486599298,0.7066429
0.14,231.58073468306492,0.69215626
0.16,231.2665541492004,0.64331675
0.18,232.8606324291079,0.6756239
0.2,236.8199183541552,0.719805
0.22,241.48857554530673,0.7973844
0.24,239.260936631096,0.76178825
0.26,240.87697841595718,0.5438959
0.28,238.80358607656945,0.5894846
0.3,238.61262864951186,0.6977645
0.32,236.24363234035383,0.7427187
0.34,236.93817238188672,0.58604264
0.36,238.18015702439155,0.66310084
0.38,238.0461630659418,0.74629986
0.4,234.96721125869726,0.806081
0.42,234.11015362051046,0.76430285
0.44,233.0168895034474,0.3896898
0.46,232.0895418752312,0.74685925
0.48,233.30257574890086,0.51416755
0.5,236.6598141413628,0.61849165
0.52,239.87810912876847,0.80985904
0.54,242.22867963661156,0.82454085
0.56,242.6279677223337,0.7810631
0.58,238.30078952831582,0.8242963
0.6,236.27969438367046,0.8457378
0.62,237.50120109698852,0.80193216
0.64,239.7726941007032,0.8788135
0.66,241.1554963914571,0.82247734
0.68,238.87547130112887,0.7385435
0.7,236.37507683115356,0.47948983
0.72,210.4750399547521,0.32563546
0.74,197.77461657813268,0.5503833
0.76,195.6817507232185,0.4484787
0.78,198.0624230857298,0.79725856
0.8,202.21997333634815,0.85577965
0.82,205.1233681816616,0.83133197
0.84,210.35863276774631,0.8433267
0.86,214.27546060596572,0.8702736
0.88,220.88356064430673,0.7369686
0.9,235.9263892344025,0.73450553
0.92,259.705087881054,0.4911834
0.94,272.41874411271215,0.8306819
0.96,270.5681322206332,0.82380223
0.98,267.2413145360261,0.79157335
1.0,269.0911288702337,0.57734317
1.02,267.15415941503585,0.65778315
1.04,283.08361547711075,0.6728672
1.06,293.2402413222461,0.850355
1.08,293.732988170387,0.8969474
1.1,286.249620322511,0.7240899
1.12,274.1963203762874,0.82416606
1.14,267.8553102029078,0.7334556
1.16,271.68720495213216,0.5581933
1.18,276.9522325428284,0.6577288
1.2,293.5033764036295,0.58043456
1.22,289.57820869294954,0.63966227
1.24,278.0072724639356,0.52207667
1.26,265.9968141081535,0.6798142
1.28,274.30504247398216,0.6549942
1.3,268.50962344776684,0.4382368
1.32,278.588498834446,0.73364043
1.34,273.31760928659367,0.5773345
1.36,252.91925776218807,0.18471599
1.38,242.9078271343584,0.31083277
1.4,239.1578011953381,0.63495386
1.42,235.01164842476174,0.5258367
1.44,229.112152848682,0.7327398
1.46,226.73964670017793,0.8240177
1.48,230.85376270548653,0.64971316
1.5,240.04406631348326,0.44830304
1.52,251.91973792016296,0.34593067
1.54,234.4124820564306,0.16395155
1.56,207.83764640117477,0.3380241
1.58,195.41529871756063,0.46923712
1.6,181.36280549706947,0.5103736
1.62,172.67957984484548,0.55108047
1.64,168.815301856826,0.2639909
1.66,173.60981643484143,0.65744936
1.68,178.9345460176615,0.53467333
1.7,201.14010636758817,0.6394299
1.72,207.47326802479532,0.83351326
1.74,207.8437846879532,0.78487897
1.76,211.3427476963633,0.5846945
1.78,216.76914209682838,0.7619827
1.8,216.9385424385378,0.8206135
1.82,214.79898525776275,0.8117284
1.84,200.5214568985356,0.5076659
1.86,177.7897256123492,0.5414468
1.88,169.89333705361335,0.57521975
1.9,163.85150789463142,0.31311446
1.92,162.5896989285309,0.38129047
1.94,161.22816485366326,0.20477788
1.96,161.21514981999673,0.13720292
1.98,162.67445460827088,0.25196803
2.0,163.05282173945136,0.61403894
2.02,164.81681823468975,0.7162163
2.04,169.55059398380385,0.7743926
2.06,170.95473109986568,0.7396896
2.08,177.02169855667466,0.64953494
2.1,185.15970692730815,0.6413344
2.12,193.1187972729562,0.337737
2.14,199.0978612244167,0.29384166
2.16,207.90649531869002,0.5986922
2.18,213.744355530372,0.4195961
2.2,208.1683095278538,0.45239595
2.22,196.43294656097726,0.25009084
2.24,187.7472675032713,0.70312077
2.26,181.11428581218618,0.77464515
2.28,178.50866660137433,0.7476468
2.3,175.36944893777186,0.5375764
2.32,175.05730221226327,0.14037347
2.34,179.617199101359,0.12952906
2.36,182.1740623855514,0.60315394
2.38,177.40351634922504,0.41668954
2.4,178.89060704111617,0.3757752
2.42,173.39717892680676,0.52209175
2.44,171.66710013958226,0.4472209
2.46,167.04309286205944,0.0906209
2.48,165.1424630542358,0.3017081
2.5,162.1979078850882,0.4321934
2.52,159.08682299006105,0.35858887
2.54,159.2387008702018,0.5967205
2.56,158.70475878646096,0.5201547
2.58,157.81721998842278,0.67854977
2.6,156.60591298970857,0.4968844
2.62,157.28150054183078,0.4737498
2.64,159.11673469839604,0.13600044
2.66,163.53503287633492,0.31664526
2.68,171.15944302460872,0.3735433
2.7,195.9437909197128,0.39325017
2.72,204.60810829720953,0.60379624
2.74,201.2216725082734,0.7562294
2.76,197.47569485545085,0.7261497
2.78,192.04902660174898,0.7868025
2.8,187.94857077604806,0.7582022
2.82,188.03775201905378,0.7966597
2.84,189.6729610832826,0.7664981
2.86,193.64606417858903,0.68177485
2.88,206.38947141534797,0.5900264
2.9,213.96155806003893,0.52067304
2.92,214.31612744029624,0.13981889
2.94,211.39632387531213,0.3102727
2.96,201.40421111488484,0.15845911
2.98,199.81317748456345,0.63375854
3.0,197.43044632358405,0.5442153
3.02,189.55810515730138,0.44517568
3.04,189.1137843004719,0.6256949
3.06,187.93482754488437,0.77880615
3.08,183.6441547626681,0.7383387
3.1,179.5887056165206,0.8019534
3.12,179.81975490599933,0.816965
3.14,180.6918692412893,0.6272789
3.16,179.16697099667059,0.48225427
3.18,176.99805789689506,0.7286544
3.2,173.34029988019023,0.5489477
3.22,168.41990423018166,0.5878179
3.24,164.84285131507346,0.56853163
3.26,162.94740852067514,0.6483475
3.28,160.80584111094524,0.6831825
3.3,159.53667331823632,0.78219587
3.32,159.38140782728988,0.7833791
3.34,159.14292658756958,0.44188225
3.36,159.62674488734655,0.79750955
3.38,158.9385958626389,0.79039085
3.4,156.70431043671135,0.79505193
3.42,155.7696032328353,0.7878512
3.44,157.35241186911966,0.66697466
3.46,157.79161953634218,0.5986898
3.48,158.57705653385483,0.6327751
3.5,159.4225336560341,0.79475516
3.52,160.7979651718347,0.7870843
3.54,158.6823742452633,0.7572079
3.56,158.31965059046172,0.67791426
3.58,161.55023709307375,0.4638094
3.6,163.0593001471506,0.32423633
3.62,161.391811300465,0.15252714
3.64,159.984182970042,0.3926507
3.66,158.87732643203597,0.6197804
3.68,158.25485028307935,0.8469792
3.7,158.63150927442837,0.7032812
3.72,159.17682351290506,0.7348901
3.74,166.9883664745473,0.3643264
3.76,181.61074866183725,0.4904701
3.78,182.80455073275152,0.722433
3.8,185.0382808715908,0.7862652
3.82,183.2940540421635,0.6815739
3.84,177.92538554396455,0.22581974
3.86,174.51703838591584,0.7704522
3.88,164.46792057489077,0.72939575
3.9,160.31173404702872,0.67363566
3.92,157.01418792948778,0.6647631
3.94,157.3691481814135,0.74302846
3.96,158.29725352712902,0.7194741
3.98,160.2153002710109,0.72133166
4.0,158.86345066405337,0.7509879
4.02,158.50447323745507,0.7995296
4.04,159.41927961393841,0.8171576
4.06,158.92597050877282,0.69104725
4.08,159.23699735967608,0.6946639
4.1,160.36295293264087,0.865294
4.12,161.0793576769345,0.8345832
4.14,163.0858203411344,0.65778095
4.16,167.88255905391117,0.43273014
4.18,172.20401306147264,0.36223674
4.2,178.47345739049555,0.58667046
4.22,183.95932985631333,0.5367275
4.24,186.15538717892446,0.45552385
4.26,186.48865567589257,0.6808938
4.28,183.44856921612833,0.5567448
4.3,182.1175902708363,0.751825
4.32,182.5227321925384,0.80250406
4.34,182.47607999799436,0.8424276
4.36,181.5714200959096,0.866232
4.38,180.27626660135556,0.84170187
4.4,179.48124465212774,0.8702189
4.42,179.61870276100353,0.8502353
4.44,182.43360058741933,0.8499737
4.46,183.34245900357155,0.8623648
4.48,205.32501784170333,0.83741784
4.5,227.25240040600653,0.77468425
4.52,262.267235132656,0.6426574
4.54,293.08772379375387,0.710109
4.56,335.04204551229896,0.78897744
4.58,360.6275922370523,0.77716655
4.6,358.6120743923192,0.81646335
4.62,356.7333454175303,0.8356141
4.64,356.2213391314948,0.8480427
4.66,356.34496896207366,0.8250965
4.68,355.95960495219407,0.83456945
4.7,354.8019206379283,0.872588
4.72,356.95293129239957,0.80381024
4.74,358.3075841962286,0.8044163
4.76,359.18900413368874,0.772789
4.78,361.14217248037835,0.72728384
4.8,359.3524922957507,0.7868193
4.82,358.95748160751174,0.6885471
4.84,356.0560693147671,0.64104384
4.86,329.249123691944,0.48439372
4.88,286.562147429158,0.42784458
4.9,260.79695513258804,0.36035517
4.92,237.45369716834108,0.63140327
4.94,209.76007403023615,0.5049795
4.96,187.72388320282712,0.36683428
4.98,185.05205511643265,0.655748
5.0,183.43000362094523,0.7842294
5.02,183.42494447959024,0.79866785
5.04,182.77032238561816,0.6814032
5.06,181.9225961175164,0.55753565
5.08,182.98183239906552,0.75145173
5.1,183.79362622032485,0.77945143
5.12,182.88628434636647,0.7575098
5.14,181.21625017181412,0.6641686
5.16,179.76957047669032,0.7254422
5.18,181.0454523045706,0.65718925
5.2,189.72004573494627,0.26257062
5.22,190.9755313747819,0.47635502
5.24,209.1907558883205,0.4498296
5.26,213.0442598020236,0.78716487
5.28,213.98305106117232,0.8358576
5.3,205.85901398189705,0.6266124
5.32,196.30485474257222,0.5972297
5.34,180.28087005607776,0.6181991
5.36,179.49217835036703,0.6560737
5.38,185.049626442069,0.52050525
5.4,206.97352496373003,0.49750692
5.42,221.40359298264622,0.73661923
5.44,218.86215981490207,0.75151926
5.46,206.0737403650695,0.4705319
5.48,188.57410044623012,0.5466547
5.5,188.10274689586936,0.25249407
5.52,189.67109799207617,0.27538303
5.54,190.2867093042914,0.5617676
5.56,187.60754205953089,0.79522896
5.58,183.06492440802546,0.7378158
5.6,181.88151460320114,0.7345363
5.62,180.227048336734,0.5519952
5.64,180.1151067139527,0.5195885
5.66,183.80494137904503,0.35262033
5.68,182.43171737858484,0.15104602
5.7,179.21738578330715,0.08698364
5.72,184.00184461273648,0.24703105
5.74,184.71091157839697,0.663602
5.76,183.45160905675635,0.5048168
5.78,179.2936766467018,0.6543466
5.8,173.65872424868235,0.21037771
5.82,171.40349212995758,0.2834518
5.84,187.54296896316188,0.33443516
5.86,193.92722844905842,0.34048152
5.88,208.20772839371676,0.5318817
5.9,212.09134066611637,0.78210944
5.92,210.88744773283437,0.8232723
5.94,210.078612134246,0.8436191
5.96,210.78229393968454,0.8795271
5.98,209.44082632583698,0.7969804
6.0,204.99781019823433,0.42911056
6.02,209.21882211370018,0.25404128
6.04,209.74202230687956,0.6227556
6.06,209.61890101646043,0.62082076
6.08,208.8804680259468,0.65395415
6.1,208.85509899645496,0.5977699
6.12,210.7868828223469,0.6463094
6.14,211.76289316624494,0.37608835
6.16,216.55538107321095,0.23360014
6.18,216.04309294199305,0.2688463
6.2,213.33494088747753,0.5916041
6.22,209.01512001381306,0.47943175
6.24,203.92347890250477,0.53934056
6.26,205.25925008718173,0.5493236
6.28,204.5978007148384,0.6137344
6.3,207.3765365556398,0.8160003
6.32,211.96338307054754,0.7070025
6.34,214.22949182010427,0.70130545
6.36,214.8415866576841,0.70719254
6.38,209.85798309290777,0.5819322
6.4,206.27135607822885,0.82517993
6.42,206.16040950962014,0.84503424
6.44,208.08345433723514,0.79981124
6.46,213.87819664046043,0.7694904
6.48,216.08548400572994,0.8336117
6.5,216.14143325372828,0.83737797
6.52,215.92663135019922,0.860643
6.54,213.3294351174692,0.814764
6.56,206.42611369574013,0.8175719
6.58,200.6486273820232,0.8102645
6.6,196.35459439408734,0.8910766
6.62,195.71094997009763,0.85929114
6.64,206.51383957378297,0.7097038
6.66,216.4270726630755,0.6190505
6.68,230.75280334744022,0.83511704
6.7,226.40769857998578,0.8296995
6.72,244.16307363580913,0.4699821
6.74,275.2659705503373,0.46543968
6.76,304.3502236919378,0.31796816
6.78,331.17467379062634,0.37302038
6.8,352.29073250057706,0.3253575
6.82,349.8845161742662,0.5686723
6.84,345.8437343889546,0.6542364
6.86,346.91752854921344,0.6398602
6.88,347.8077594505158,0.71002793
6.9,348.9024355789114,0.7210665
6.92,353.593775270281,0.59457934
6.94,369.0104668149155,0.24646002
6.96,376.7399266997998,0.10888222
6.98,352.1285414413791,0.3122839
7.0,345.0914428452261,0.15732564
7.02,325.6562123495768,0.37881392
7.04,300.0850003439786,0.30487302
7.06,278.30778055909883,0.11111041
7.08,248.94124169690548,0.131658
7.1,234.52301853379797,0.101426706
7.12,236.28226560555333,0.12959817
7.14,210.1422667275345,0.26624218
7.16,188.09141875596754,0.30138555
7.18,180.25463046929207,0.18900296
7.2,188.88613555420645,0.14563508
7.22,204.9287916004329,0.118484996
7.24,214.35608391646912,0.18323874
7.26,200.74257616436054,0.16638029
7.28,196.32957713479504,0.3084059
7.3,192.31394868592145,0.20101751
7.32,187.38047813354711,0.09114073
7.34,199.11292522200097,0.14732079
7.36,208.0664382225761,0.096569344
7.38,187.45386174192743,0.2159894
7.4,166.68932493832932,0.18971618
7.42,161.6070957453295,0.2079458
7.44,161.44339013424565,0.3088761
7.46,160.8623537640432,0.11753491
7.48,159.00536584277427,0.35860887
7.5,156.83167493508628,0.12350675
7.52,155.90387707461903,0.4067983
7.54,151.48642081955128,0.32167435
7.56,144.9930983685799,0.18026236
7.58,145.2757182266006,0.20364593
7.6,147.96595372047565,0.1587559
7.62,144.7115257817141,0.13999332
7.64,145.6108256398792,0.34034207
7.66,144.7404715561742,0.21961121
7.68,143.46667994778704,0.09359342
7.7,160.28247980973333,0.5386944
7.72,175.8026151132344,0.1255118
7.74,189.80983143233323,0.4331554
7.76,196.75241432224584,0.73574716
7.78,203.143513631435,0.55623996
7.8,221.17168450033975,0.51998013
7.82,252.2153856152217,0.83130217
7.84,269.4810402344227,0.83978486
