time,frequency,confidence
0.0,146.90958431644293,0.10637316
0.02,146.02710780293495,0.049003743
0.04,145.3907203907374,0.7093111
0.06,143.75005908456782,0.31040728
0.08,144.24370922101187,0.19663447
0.1,146.10725352248932,0.24975689
0.12,160.08993389714803,0.3919103
0.14,159.90299461214713,0.11859784
0.16,156.84977505836474,0.35464805
0.18,156.26881851522478,0.35896382
0.2,154.6062494656516,0.17887004
0.22,148.50699762555638,0.16314338
0.24,147.5310434381353,0.30356565
0.26,144.1217294451197,0.19004774
0.28,146.42709419878923,0.1885671
0.3,148.63688764968063,0.18293534
0.32,147.96659340274542,0.55292207
0.34,145.31393508755784,0.42775708
0.36,143.92445570420634,0.25947368
0.38,135.45221374727282,0.14894095
0.4,143.84792195626378,0.36891246
0.42,147.31964551025501,0.14005303
0.44,148.63778772944895,0.06629714
0.46,146.82864979495804,0.16990249
0.48,148.16859642191403,0.13131358
0.5,151.68322451592417,0.12856628
0.52,156.79002753964653,0.12004363
0.54,155.77082429418343,0.113430806
0.56,158.526925021409,0.17741707
0.58,162.2152347201737,0.16568802
0.6,167.01876222895223,0.21238647
0.62,168.95413065180378,0.21125653
0.64,164.44642946136838,0.10803617
0.66,148.34794021482827,0.20112051
0.68,147.49523375057453,0.21511684
0.7,152.9904656896055,0.23477802
0.72,159.36036775081604,0.13344388
0.74,153.92732862572683,0.17961572
0.76,149.32233561773702,0.09451876
0.78,145.81873301391025,0.12679611
0.8,146.33585129390926,0.10486167
0.82,146.35676468148455,0.27788854
0.84,141.22426155858187,0.17474104
0.86,136.62795318192062,0.43995124
0.88,139.7927531570412,0.1794409
0.9,138.41400019606382,0.16330205
0.92,134.54683379143523,0.18817915
0.94,130.5806734259281,0.20244204
0.96,128.89012317730123,0.33384803
0.98,130.2311328654185,0.17033203
1.0,140.76252279465496,0.088972464
1.02,145.45321347722285,0.09131984
1.04,146.72784247530734,0.20827363
1.06,147.3929005987589,0.27577004
1.08,150.0840333225659,0.3003224
1.1,154.44695683004343,0.26403797
1.12,156.20339979670007,0.05150216
1.14,156.0763530159883,0.0642312
1.16,156.30038127711347,0.21752281
1.18,154.6196520805417,0.531226
1.2,156.36768942914577,0.24440393
1.22,158.42024469869602,0.18576485
1.24,157.5747167711238,0.17686626
1.26,157.88926831566292,0.114806235
1.28,172.19235508788137,0.26276705
1.3,185.38146291490608,0.20517811
1.32,200.021822849077,0.088436335
1.34,216.9065040546016,0.28760698
1.36,230.02843517573555,0.6741394
1.38,237.83311388213988,0.67256343
1.4,254.05605932294498,0.71845853
1.42,263.2958435548421,0.8689753
1.44,270.0016109206498,0.86056024
1.46,273.5272185065826,0.86242473
1.48,268.9247124915689,0.8334396
1.5,257.17027793803004,0.42646307
1.52,235.10629980143568,0.6930975
1.54,230.30062947912063,0.8265809
1.56,235.3717734208919,0.8647913
1.58,245.0763629318209,0.78443164
1.6,258.51861426678056,0.6778506
1.62,277.20223785900214,0.7497381
1.64,286.1787396651407,0.8356056
1.66,285.01393770820255,0.73178226
1.68,265.43323914241785,0.37867114
1.7,251.72616139274768,0.7486533
1.72,251.07447866290835,0.8100654
1.74,244.80190758959048,0.74206007
1.76,246.91140359660676,0.82688904
1.78,255.4698236373037,0.8305416
1.8,271.77400670337096,0.54938877
1.82,281.3710546410637,0.9285123
1.84,279.5427773800754,0.8049318
1.86,270.9833467919982,0.3654684
1.88,231.85080647060758,0.4651407
1.9,207.74118015682092,0.6777593
1.92,220.84306586410915,0.40191364
1.94,224.97973166481194,0.6945785
1.96,228.3682468262828,0.74309623
1.98,234.30718213815507,0.7343043
2.0,237.48856294547818,0.8515497
2.02,220.3183758494671,0.32110432
2.04,194.3298786366625,0.24089877
2.06,174.8055617960064,0.28530276
2.08,176.00611517494318,0.6137239
2.1,179.00353069256124,0.8451952
2.12,183.01950573920556,0.7603472
2.14,193.05282292312825,0.43817422
2.16,201.68630320242954,0.74501324
2.18,200.8847553309781,0.876414
2.2,196.57316127313527,0.8080933
2.22,183.43723287457638,0.6118078
2.24,169.22587405017833,0.73045635
2.26,165.49080431512013,0.819208
2.28,168.78139260735253,0.7477938
2.3,176.0767818551176,0.6131184
2.32,189.9996206860704,0.70850873
2.34,197.99698100099727,0.83061653
2.36,197.35549507706963,0.8119546
2.38,192.86592738809287,0.65774715
2.4,168.4638185034583,0.5456741
2.42,165.02883342611653,0.8636447
2.44,163.1520997445349,0.85603
2.46,162.04669341104645,0.83840644
2.48,164.74879978811376,0.82825637
2.5,170.73276875532827,0.82830346
2.52,172.7241219310008,0.8526629
2.54,168.33411114415833,0.7962212
2.56,162.70079653824254,0.80300725
2.58,162.84191120610078,0.8000369
2.6,168.17716041972506,0.71592873
2.62,172.36921513081552,0.4636286
2.64,188.87821512003202,0.14305162
2.66,204.66905793412428,0.24065952
2.68,207.56994433850494,0.69991183
2.7,197.90566170191443,0.42065904
2.72,193.17048924207194,0.2032686
2.74,195.63394928467162,0.4739249
2.76,189.8212655865652,0.4338454
2.78,185.44063952614496,0.48750505
2.8,185.35235278303347,0.19549471
2.82,196.3874330170124,0.39445567
2.84,208.06833188835284,0.6586305
2.86,208.93147571821513,0.73554635
2.88,200.65385319246326,0.354435
2.9,197.4150769290554,0.41524246
2.92,199.6560166504869,0.13162352
2.94,201.0100197521271,0.32643032
2.96,215.2484215873707,0.5251067
2.98,226.61726073755028,0.7855309
3.0,232.386164191386,0.8523359
3.02,233.37354739389605,0.8798324
3.04,232.69708795386404,0.85006005
3.06,229.8014035198422,0.62661725
3.08,210.5251890309664,0.6005997
3.1,214.84732447039573,0.687911
3.12,228.21770845671972,0.56754845
3.14,237.87311131829372,0.8184122
3.16,252.68565910585522,0.6762403
3.18,261.19726610308936,0.83791935
3.2,262.5172672068968,0.8916393
3.22,256.95160901894695,0.4497354
3.24,230.5052287307065,0.57524836
3.26,220.4928635540728,0.8418339
3.28,236.7578099793472,0.31476662
3.3,262.494677626771,0.5221609
3.32,278.14652470986925,0.55505127
3.34,313.8540193378567,0.43310308
3.36,313.9351857927779,0.6317308
3.38,291.1116031799541,0.51240027
3.4,283.934125868282,0.26338762
3.42,303.0878656612955,0.32042488
3.44,325.3343779942477,0.13088416
3.46,309.0256672941637,0.48765117
3.48,305.81606249565095,0.7930045
3.5,303.82372829552804,0.86384475
3.52,301.8997623803134,0.87861246
3.54,301.079933084741,0.89334273
3.56,297.223602856977,0.846699
3.58,286.7375401846063,0.79945457
3.6,282.08177032963175,0.9095894
3.62,288.44411019455407,0.8547478
3.64,293.02715033183836,0.83325994
3.66,297.16556174273387,0.8815616
3.68,299.50090418406086,0.8678063
3.7,307.4300913347937,0.7607649
3.72,330.08899025653074,0.39094618
3.74,342.9856857114208,0.40519774
3.76,346.39252743764524,0.2467198
3.78,347.9802623961026,0.14089826
3.8,334.8233353916924,0.43672767
3.82,327.62269169765864,0.73197275
3.84,328.73042989100213,0.8223366
3.86,328.2485684159127,0.8343085
3.88,332.62458340023625,0.8123019
3.9,335.56059116057736,0.84970945
3.92,335.9267960903256,0.82553256
3.94,330.099600609841,0.8091212
3.96,318.1263222382118,0.65816164
