time,frequency,confidence
0.0,290.1752840207143,0.09737547
0.02,291.4074537130771,0.06403448
0.04,290.9214327447286,0.52806306
0.06,283.7990993717731,0.5641531
0.08,277.6821821929444,0.7499713
0.1,281.07851509779215,0.90549266
0.12,283.79298909792675,0.88213265
0.14,282.26870781554055,0.8310204
0.16,279.68291180736736,0.5523399
0.18,275.85200365694124,0.36352083
0.2,281.6247176469198,0.8329324
0.22,291.7267684084056,0.6464072
0.24,304.08936971190053,0.8219342
0.26,302.53870342787667,0.90161383
0.28,299.12589155189204,0.90199316
0.3,297.66229891113903,0.91978246
0.32,293.3052160909112,0.91436374
0.34,287.6124349318821,0.879854
0.36,276.2704533499181,0.83310616
0.38,265.6245179378769,0.86470807
0.4,256.929975513738,0.7725762
0.42,253.51096964938134,0.8673605
0.44,252.77115599601373,0.83871627
0.46,255.9085168656392,0.8604325
0.48,257.7664158530413,0.811045
0.5,254.8698637033953,0.77654123
0.52,254.80941068959095,0.7842684
0.54,257.93541120760887,0.811361
0.56,257.77396957626587,0.8490051
0.58,256.66836101104315,0.8182264
0.6,255.40868377771065,0.68975544
0.62,249.86022199329594,0.7800003
0.64,237.56357501350067,0.6384694
0.66,229.00685534267197,0.7853396
0.68,221.53874476604514,0.79501253
0.7,213.98021825358194,0.6531066
0.72,229.2569104533219,0.29901794
0.74,250.14710367950602,0.3547391
0.76,246.183623898889,0.6661388
0.78,262.50091506986627,0.39523584
0.8,278.425392916274,0.71310544
0.82,278.20281195589354,0.9028228
0.84,278.2450390090006,0.91982174
0.86,277.61421869507717,0.9097315
0.88,276.53854894581934,0.8897469
0.9,275.76753681334986,0.898236
0.92,275.8602829959066,0.89197487
0.94,275.7996366869514,0.88638777
0.96,278.94924265610064,0.9213426
0.98,281.388415647316,0.92505646
1.0,282.23158126894356,0.9286177
1.02,282.36562144788513,0.9187904
1.04,281.21117521267314,0.92197216
1.06,280.73570573917726,0.9302836
1.08,280.48066651428235,0.92663693
1.1,279.42396769861654,0.9121234
1.12,277.2238587526349,0.81266356
1.14,279.60246819874226,0.5353552
1.16,280.28748253605903,0.9064082
1.18,279.0032988304368,0.9218317
1.2,277.79959958695525,0.9247978
1.22,278.21481094015945,0.92946243
1.24,279.4430125776671,0.9205981
1.26,279.49580130005404,0.9216582
1.28,279.42350924778714,0.91468894
1.3,278.38231327078927,0.9279145
1.32,277.3164463641802,0.9060264
1.34,278.1983858120183,0.907738
1.36,277.8369633869475,0.9059617
1.38,277.48531950812514,0.9100302
1.4,277.8600427438278,0.9126995
1.42,279.30146976640185,0.9098301
1.44,279.9681775197232,0.89372027
1.46,280.2308278094169,0.8990703
1.48,279.4016087814938,0.9037647
1.5,278.9095836416198,0.91704714
1.52,280.21325708314674,0.92514944
1.54,281.2010949498595,0.9352879
1.56,281.421091591267,0.92829734
1.58,283.25896565552046,0.9055616
1.6,283.0251124933122,0.90863985
1.62,282.41625182663853,0.92725456
1.64,283.61882966702217,0.9260958
1.66,284.4823538813394,0.92671925
1.68,284.72789444311513,0.9178095
1.7,285.32380211990056,0.91233563
1.72,285.83644895095676,0.9066814
1.74,286.51239374617245,0.89694566
1.76,286.09623863855415,0.8979971
1.78,285.0237012830211,0.8957913
1.8,284.4553080002004,0.85623467
1.82,283.3834509994387,0.8686564
1.84,284.9661176613282,0.9190518
1.86,283.72912032490933,0.91298676
1.88,281.3777451427451,0.9297857
1.9,281.4741536870897,0.9343152
1.92,281.5021047789338,0.93069434
1.94,281.84253352684675,0.92611706
1.96,283.0683035404297,0.9044498
1.98,281.22602770426255,0.87379366
2.0,272.7195898806,0.8016887
2.02,261.83213468153576,0.74087065
2.04,256.2642649487945,0.7908078
2.06,254.81948747061836,0.81407505
2.08,251.6736253874133,0.7609607
2.1,250.78288624077172,0.7338232
2.12,286.05033992466315,0.57505155
2.14,313.12407189722364,0.8624591
2.16,306.9122519000097,0.82937104
2.18,297.8955078118773,0.912137
2.2,294.61830015231106,0.9371976
2.22,292.16028128935807,0.8801748
2.24,287.8733820687244,0.902248
2.26,286.3072427679359,0.8864922
2.28,285.6355130405497,0.90888506
2.3,287.19898371012755,0.90199226
2.32,292.86274711555,0.867712
2.34,300.95120781319747,0.8200316
2.36,303.42670176016503,0.8565651
2.38,297.653955857556,0.89556026
2.4,289.0976148649198,0.80272555
2.42,275.1097759147784,0.8625675
2.44,266.7242991881053,0.87328756
2.46,260.8266898835458,0.80974925
2.48,257.73403918760374,0.81370646
2.5,256.1048079529667,0.8338535
2.52,256.615776410098,0.7777465
2.54,257.4933198813138,0.8392438
2.56,256.91967899366585,0.7774482
2.58,259.7740859541406,0.7497442
2.6,267.591934093783,0.8170838
2.62,270.53089450891406,0.77602464
2.64,278.1772514326487,0.8382779
2.66,283.7118949491094,0.83494484
2.68,290.4636028531747,0.86783355
2.7,289.43356539632595,0.88377833
2.72,287.0617472161859,0.89473
2.74,285.15908246079044,0.9123001
2.76,285.0559817032813,0.9208913
2.78,286.1360513436454,0.891426
2.8,286.2472497429632,0.88270545
2.82,286.39487829016,0.8949151
2.84,289.7264399383764,0.9071247
2.86,295.08247563899704,0.9163268
2.88,297.57958802059454,0.9073898
2.9,294.5102784980936,0.9337847
2.92,289.3066079782258,0.8670986
2.94,285.8224089935741,0.8902999
2.96,280.36364009416764,0.82616484
2.98,270.7225158363659,0.68342924
3.0,280.49432919617715,0.21260433
3.02,284.5779881712102,0.6842916
3.04,282.28023662503773,0.80914736
3.06,287.28336910457153,0.8402784
3.08,287.46540049396026,0.8033435
3.1,296.6604152094701,0.44190976
3.12,311.40065193881713,0.7213507
3.14,308.50584369079485,0.867257
3.16,303.8303014324173,0.8388345
3.18,293.79985456733215,0.88035727
3.2,285.9512551448791,0.87085235
3.22,280.862383382676,0.90759754
3.24,281.05741760793626,0.9145818
