Index,AudioPath,SegmentList,StartFrame,EndFrame,Primary_Label,Secondary_Label,Tertiary_Label
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4251575466099944, 1.489019068544272, 1.4826805533347425, 1.4723954301581357, 1.394610352040798, 1.4109858069367958, 1.4265751852879454, 1.4312882526861916, 1.5751302834016512, 1.5091945058651144, 1.5014420815313243, 1.5040597948614105, 1.5174131800450052, 1.5362927120945722, 1.545724115433768, 1.5539811471971543, 1.5642658629858897, 1.562349507618887, 1.5446407758488996, 1.5103709752338237, 1.4958829219954326, 1.493068695667367, 1.5100697746326874, 1.539845686243115, 1.5362992583560042, 1.521351165054685, 1.5122858817922569, 1.5048065185355408, 1.5066207001152423, 1.506498636708859, 1.508528336940709, 1.5254501216830745, 1.5531546878814428, 1.5656339838893902, 1.5538839322731282, 1.5344547025991977, 1.543964890627216, 1.5859817646360097, 1.6190330917572953, 1.636509814485788, 1.6412608529035595, 1.6095529523639638, 1.5580315584862936, 1.4805012036781084, 1.4944941221946468, 1.578336498218067, 1.6400165405509073, 1.5873376365062426, 1.5285605033931595, 1.5113651512609592, 1.5271616501635146, 1.553968158463114, 1.5650582312897354, 1.547188662089816, 1.4980469347690455, 1.4429759272005958, 1.343827768520015, 1.330642313718485, 1.3536214782320692, 1.3252653867139152]",70,130,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4783103897870022, 1.4753762147795746, 1.4720357870588203, 1.4559400651050194, 1.4368449897280688, 1.4329074049090076, 1.41332526439855, 1.4120113559955256, 1.4798682186108811, 1.5211577957133842, 1.536917067861915, 1.5417419691694334, 1.5372377524092664, 1.5396437532958664, 1.5441595309275795, 1.5449930715979892, 1.5494446841694591, 1.5534866417005275, 1.5366366417753503, 1.51093343050122, 1.4772601895049486, 1.4680414213740465, 1.4913703895932202, 1.5033838382584692, 1.5062941221542694, 1.5093897121438022, 1.5097932692256044, 1.5096866724704203, 1.5030122142407096, 1.4928816634081168, 1.4867237831477442, 1.5188100680787675, 1.646109814502432, 1.7443387305949642, 1.7060396204485675, 1.613759387008161, 1.5683495234013958, 1.5553207621690122, 1.5616843506056526, 1.5792740700578172, 1.5806680657561, 1.575546893064784, 1.559084825659514, 1.5553743849003692, 1.548028086110009, 1.5336409986681852, 1.5216911426767787, 1.52487717930796, 1.564603978514136, 1.5674825320571903, 1.5321527486493824, 1.5123846713090938, 1.5110703412016846, 1.5163576068862503, 1.5192445232807958, 1.5206621584181352, 1.5181587887732684, 1.507630004809234, 1.4650194399572711, 1.3901720187676696]",680,740,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4868112616581697, 1.4832172079376564, 1.4831924028710903, 1.4868309180501773, 1.4865003199170832, 1.4864815477255946, 1.4988893335860385, 1.515551382424978, 1.507157807454505, 1.5022929079133596, 1.5107955249081622, 1.528922101776652, 1.5895115064547205, 1.6657178210531445, 1.6416552259741497, 1.5870278269910427, 1.5633765207116157, 1.5505928295977982, 1.5493612725928247, 1.5507200618276695, 1.540449416787276, 1.5322921796274325, 1.5354526480041937, 1.5462884638056955, 1.5581253070563117, 1.5744652571095767, 1.5952798827178478, 1.5945643800172122, 1.5828291848965412, 1.5727628487808554, 1.5692573799582197, 1.5733454573541932, 1.5805326777781434, 1.579026715943072, 1.5715774414088255, 1.555235471968017, 1.5411884303938668, 1.5313789660896089, 1.5382008852387732, 1.5552662227906562, 1.5994830004058265, 1.6942384319408184, 1.780897591627673, 1.7573807870597968, 1.5493997587006676, 1.476357664672556, 1.4332983484282558, 1.4317006320874366, 1.4600529803451128, 1.4812486273662628, 1.493167192342257, 1.492783136312441, 1.4874161841835716, 1.4816285982534922, 1.4777034195546823, 1.4773660538138818, 1.4673737309432535, 1.4558239619198052, 1.4255789828090293, 1.3857987268525234]",1080,1140,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.5142372100453998, 1.5336306488610452, 1.541084124385426, 1.5433233129061672, 1.5257873818162788, 1.5142211328023234, 1.5140642065943868, 1.5232552343428474, 1.5317352101568509, 1.5274722439771435, 1.5122695999498916, 1.5032588670667733, 1.5149789896204242, 1.5380559069824262, 1.5454049954540277, 1.5205113931197132, 1.4860505035461185, 1.4818210527917806, 1.4746201906353895, 1.4498439923699995, 1.3243979658260063, 1.4318277712329486, 1.4934728520473175, 1.5100184360989688, 1.5189210594801916, 1.5049358057733384, 1.559859821210274, 1.6402577692236515, 1.5907889751954158, 1.560489093567818, 1.519685729388762, 1.490060823618386, 1.5101144003464126, 1.6131887363359467, 1.629805492925191, 1.5890239889965898, 1.513797121816281, 1.4917864738166202, 1.5039946643530553, 1.523882208887758, 1.567130473333273, 1.5477646293349632, 1.549888892770371, 1.562558960894999, 1.5800732693249664, 1.568901042471308, 1.550336925827291, 1.537388942832764, 1.5303644246938986, 1.536320859432477, 1.558474740619657, 1.5895288922117548, 1.588609792810901, 1.5617162217439873, 1.5372201284248164, 1.517096005163773, 1.488705558859361, 1.4376685788290102, 1.4032720254286242, 1.371621155076365]",3260,3320,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4770926133203826, 1.482362292748443, 1.4830777019791224, 1.4742160149458237, 1.4696983684714084, 1.4780313285498523, 1.4841462583695917, 1.4905652521695651, 1.4857828210991664, 1.4785550999826798, 1.4727725188063223, 1.466982900306335, 1.4738689046950362, 1.479996590458521, 1.483022304013466, 1.4801490671726183, 1.4742798393038583, 1.4689830303929874, 1.477004424671662, 1.4897614741237954, 1.4945964062051105, 1.4883934352930008, 1.4862844816827918, 1.4857294046905325, 1.4831965626590418, 1.489585531175294, 1.5002721707383455, 1.498860449748755, 1.4977051701662845, 1.4998808354420423, 1.4999927438071328, 1.4972458414495355, 1.4961938102291577, 1.5002088942426268, 1.5069924995956, 1.5038667623505155, 1.5000148865474832, 1.49734010529073, 1.4974716152973755, 1.5016775414145678, 1.5023929874400344, 1.5008147168405723, 1.5044126774599988, 1.5107116705920651, 1.496497417844241, 1.4734484886343138, 1.4450292493394268, 1.4321346663059462, 1.4577180941988104, 1.4592980583035444, 1.4194924999267968, 1.4104490848752953, 1.4106645911286475, 1.435359099379956, 1.439240933774485, 1.446064706704395, 1.4648393397669697, 1.476545807756968, 1.4807373040229264, 1.4706118190911277]",4280,4340,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4902662076160054, 1.4905285130337758, 1.482176427035188, 1.4800719088179548, 1.4814459873520094, 1.4896596523537804, 1.494624177848747, 1.4931935158633942, 1.4798287970683004, 1.4769842047511903, 1.4925139403678958, 1.5006132932099503, 1.4930318637936502, 1.487303446030756, 1.480590102525967, 1.4786889491515012, 1.483772517998366, 1.4935567116960409, 1.4889443508257136, 1.4885093326357324, 1.4907624086265363, 1.4876563473081057, 1.4878139701756716, 1.4932084780107642, 1.499843371301187, 1.500978397481496, 1.5009603822640576, 1.4967658237331445, 1.4955981544056816, 1.498976650503424, 1.498257423607098, 1.4919300129224864, 1.4875753759245685, 1.4859172704019008, 1.4877503546945383, 1.4883222033557597, 1.4896471041602406, 1.49396143443203, 1.499799666655136, 1.496999709598502, 1.4948570352320172, 1.4977105578609602, 1.4984694893485428, 1.4971816954787387, 1.4988809261248954, 1.5003762250367307, 1.4964542096982276, 1.4916516496947525, 1.4935892433475946, 1.490689225518295, 1.4869027720159498, 1.4850060257559126, 1.4700314231873073, 1.440042630984741, 1.3328216801154031, 1.4909739844747456, 1.503459632375473, 1.5061992139249505, 1.5037344175031673, 1.4942352657512934]",4400,4460,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4530099247211492, 1.474160560258833, 1.484738394622598, 1.4871995755498102, 1.4658723491198622, 1.5044383119803275, 1.5544892154462495, 1.5702246203905603, 1.5646943230538033, 1.570267021511198, 1.5718818314644765, 1.5670490161902817, 1.5820120369708013, 1.5667768684591925, 1.5429845442938428, 1.523879210054245, 1.5039235553259471, 1.5090056570041768, 1.5486921568739178, 1.5972313771424096, 1.6138663598778953, 1.599536420020361, 1.5578063126811783, 1.5208139303287054, 1.5063214525942468, 1.4978836196294525, 1.510636723811716, 1.522631233485471, 1.5491900792809483, 1.6269076114579648, 1.7427210669655395, 1.7430190027879051, 1.6687630165847596, 1.5752134642197428, 1.531001767845848, 1.5291028730016574, 1.5669053042246857, 1.5949737814859335, 1.5956166676072423, 1.5756650622103634, 1.546794519084319, 1.5058410680603227, 1.4967076673994089, 1.499443958349561, 1.5151538272882146, 1.5748479287702437, 1.5913151750611192, 1.56487306790901, 1.5174240463188615, 1.5062187621350782, 1.506745300526438, 1.5152793338573718, 1.5401463123079815, 1.5631242556284464, 1.5516423399664152, 1.5182858574689768, 1.473447091145591, 1.3930152445910515, 1.33392504333899, 1.3399042671830084]",4500,4560,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.48091203933367, 1.480558586885156, 1.4762771267356516, 1.4800098962730324, 1.480239150499348, 1.4886068853388728, 1.487180553078328, 1.4879720644747438, 1.4791730167879904, 1.4749415635792218, 1.476397385177109, 1.4799340945464647, 1.48440327785175, 1.485995410264417, 1.4854995941850315, 1.4855888742022918, 1.48242758344908, 1.483909712435938, 1.4818017864287174, 1.475122461798975, 1.4766186850149132, 1.4790121674366363, 1.487804232215031, 1.4829747675175975, 1.4818171975978085, 1.479159858779005, 1.483824402668099, 1.4829494213009262, 1.4902170507763524, 1.493605742483055, 1.496942775314715, 1.491203550702881, 1.485003140993712, 1.4921607356690765, 1.4952551329862276, 1.4996362213432806, 1.499826584576134, 1.4907997143891938, 1.483469258516441, 1.4835996096078996, 1.487425832152694, 1.4935935521083503, 1.4902836457421789, 1.4905107597821352, 1.4866303572403623, 1.4884755353543708, 1.4910818877488092, 1.4868788035277771, 1.491754158563848, 1.4917597164089562, 1.4865296550322318, 1.4579802244419011, 1.4242804682836177, 1.412823539051984, 1.3252121969611663, 1.4355737316983563, 1.4667595670859066, 1.4122671347290887, 1.2801023862766698, 1.4591076827900695]",5020,5080,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.5027532702768285, 1.484125502094754, 1.4712845482835275, 1.448113330402712, 1.4664968160127, 1.4926061353668458, 1.514611994548108, 1.530909187448908, 1.5322979546402211, 1.5287986408204364, 1.5266597782749387, 1.5256145818427655, 1.527104736186755, 1.5387833208143, 1.5429248497327614, 1.5286586878072002, 1.5076221066892217, 1.4873709655818157, 1.4858033766775147, 1.507943991687319, 1.5254723161402175, 1.5408216415438063, 1.586224720287508, 1.6588161505234102, 1.697786305503738, 1.6797487324017333, 1.6239434893577127, 1.5660796173351486, 1.541447576307975, 1.5399423767036242, 1.5581355007931617, 1.5656254864509895, 1.5693852940314434, 1.55981731890171, 1.5447921256089765, 1.5266449137870786, 1.5137220810137804, 1.511415061162377, 1.5189925571414888, 1.52541356411318, 1.534539509062899, 1.537688388168208, 1.523911096586943, 1.5023133631428964, 1.4948932185506922, 1.4860419984496875, 1.4941893745592212, 1.5012285153271732, 1.4968852326949829, 1.496223356478351, 1.5014805960772577, 1.4941354375006166, 1.4658632505335805, 1.424348718266783, 1.3986010454367213, 1.367157967021488, 1.3494406659208351, 1.3513493425462106, 1.3851592875244891, 1.4191101805993225]",5120,5180,0,4,2
0,C:\Desktop\Python\CarnaticAnnotater\Kharaharapriya\Kharaharapriya_CSVs\Kharaharapriya_Chakkaniraja01_vocals_131_53_C3.wav,"[1.4731458833116493, 1.4463280148724762, 1.467795920066814, 1.509661468130845, 1.5239264417316325, 1.5152584871498904, 1.4699637595380315, 1.4626242817099886, 1.4831382735986518, 1.5033224518003572, 1.5071407595569233, 1.4972053983489009, 1.481329029038562, 1.4632862574534384, 1.4488291302161764, 1.453660889125122, 1.4608184043911818, 1.4653149492807724, 1.4876567179509508, 1.5158136644399125, 1.534637188666103, 1.5472743092203562, 1.5548953705661377, 1.5615158656423678, 1.5698265234297473, 1.5804530006340698, 1.5755880628106258, 1.554541526283623, 1.5412788853181996, 1.5257691416462165, 1.5085105709482782, 1.5189391101404432, 1.531110483327097, 1.5281622105764936, 1.5282491556778066, 1.531878508626926, 1.5409205227168503, 1.5470554422331906, 1.5454493485256118, 1.5463180436245223, 1.5557681550992584, 1.5547649809605502, 1.543581545252369, 1.5218809059316034, 1.5112672361073771, 1.510279888717024, 1.5067263403385454, 1.5040461627856672, 1.500844082729299, 1.5122210857988398, 1.5199102231368753, 1.4960495257796973, 1.4757401410183024, 1.4431646431701914, 1.4008971215100068, 1.3805979521875875, 1.3692949126534837, 1.3554457888095677, 1.3492813354182354, 1.3422870613677438]",5200,5260,0,4,2
