Frame,Time,frequency,confidence
0,0.0,283.54930867740075,0.08257441
1,0.02,288.50306133326126,0.40817186
2,0.04,284.1073820662749,0.16937125
3,0.06,287.06942435536314,0.65846777
4,0.08,286.85987696415384,0.803594
5,0.1,285.39543853977693,0.8458998
6,0.12,283.88909142666273,0.88314533
7,0.14,286.2982989962327,0.8128455
8,0.16,290.88133473540785,0.826982
9,0.18,266.25195867791746,0.275629
10,0.2,271.913224136504,0.5160879
11,0.22,272.89877502672687,0.78905225
12,0.24,266.1669725472374,0.69429195
13,0.26,283.92757173518663,0.6075672
14,0.28,287.95837762013485,0.63996005
15,0.3,291.0255562896322,0.7502754
16,0.32,292.2158740725601,0.8226558
17,0.34,294.16395526850704,0.6564455
18,0.36,291.9923020189973,0.63436276
19,0.38,293.20774132434127,0.79960775
20,0.4,295.4084176268192,0.87704444
21,0.42,292.7685712204789,0.8372627
22,0.44,292.97666603777367,0.8583482
23,0.46,295.0233496729553,0.8824095
24,0.48,296.09549040969216,0.8937795
25,0.5,294.33081403002564,0.8695622
26,0.52,294.06423497846197,0.90360016
27,0.54,292.935776604518,0.8505086
28,0.56,285.20525305000757,0.8403041
29,0.58,287.20722252488406,0.46461722
30,0.6,295.0922137724879,0.6659119
31,0.62,297.3223943656811,0.81239915
32,0.64,293.4542487374985,0.7743595
33,0.66,292.7486860564553,0.85380983
34,0.68,293.48423484286235,0.74804825
35,0.7000000000000001,294.4439711767037,0.83958286
36,0.72,295.1933042588299,0.90338075
37,0.74,294.70472780452235,0.8797704
38,0.76,293.96039139314604,0.85885733
39,0.78,293.40291015925754,0.9007876
40,0.8,292.0940290549625,0.77718997
41,0.8200000000000001,294.9604939707573,0.8238764
42,0.84,295.03684976964576,0.7870499
43,0.86,293.95706109423475,0.8890993
44,0.88,293.37074587197543,0.89521676
45,0.9,292.2762254313421,0.85310787
46,0.92,289.73460056873427,0.82151544
47,0.9400000000000001,295.20553942588106,0.7413415
48,0.96,295.28013627306996,0.7631341
49,0.98,292.70749359280796,0.8412375
50,1.0,293.1972127813487,0.8678158
51,1.02,292.826204481385,0.85869503
52,1.04,292.562391445563,0.71955025
53,1.06,293.4584200400182,0.85047543
54,1.08,295.5287733452837,0.86905086
55,1.1,295.6457787027432,0.7372605
56,1.12,294.72864463925833,0.8710754
57,1.1400000000000001,292.9535062767584,0.8455211
58,1.16,294.57083658890167,0.8064246
59,1.18,293.35803714335424,0.8899982
60,1.2,293.08435226189096,0.88986367
61,1.22,293.54265805750265,0.85961413
62,1.24,293.42296664877296,0.7585619
63,1.26,294.880419932446,0.8499963
64,1.28,295.0949214744097,0.86953527
65,1.3,295.35116560980686,0.8365496
66,1.32,292.7435468147026,0.7535137
67,1.34,294.05441332206266,0.86787444
68,1.36,293.73576099773544,0.8938384
69,1.3800000000000001,292.9368498990294,0.9028555
70,1.4000000000000001,293.99364206387185,0.9158244
71,1.42,293.0932238664039,0.87291825
72,1.44,291.08687209617955,0.88249004
73,1.46,291.252409890319,0.8760413
74,1.48,293.9479554219993,0.89698064
75,1.5,293.57669552938955,0.9137818
76,1.52,291.79912279222094,0.8687879
77,1.54,292.6639245788974,0.8358193
78,1.56,290.2655727341608,0.84664917
79,1.58,293.90718208429774,0.80077004
80,1.6,292.07221670004856,0.7656499
81,1.62,294.64610825257324,0.73150015
82,1.6400000000000001,293.18977052596256,0.81117296
83,1.6600000000000001,290.91168573057746,0.7448956
84,1.68,291.691871381771,0.78269285
85,1.7,292.4617664632442,0.85311097
86,1.72,294.2075577891348,0.88227844
87,1.74,294.14403908433,0.7155007
88,1.76,294.6464097214396,0.86840004
89,1.78,291.16484967564946,0.90484446
90,1.8,291.36822776332275,0.9069908
91,1.82,292.15188767151335,0.8781271
92,1.84,288.2797970234284,0.9187087
93,1.86,290.5812727759442,0.8999575
94,1.8800000000000001,292.88918758717773,0.89789164
95,1.9000000000000001,294.2883155003135,0.93579125
96,1.92,293.99829685184415,0.9418095
97,1.94,293.77821141216634,0.9378817
98,1.96,295.79660070378986,0.9290231
99,1.98,294.9044498044508,0.94028944
100,2.0,295.78030360297197,0.9217406
101,2.02,297.62771253552074,0.9125678
102,2.04,297.73283745663866,0.9163567
103,2.06,294.8951799499522,0.936768
104,2.08,286.5193846972586,0.8291017
105,2.1,275.63750215183984,0.8278224
106,2.12,267.7954554686375,0.8249484
107,2.14,260.90541197411244,0.7542298
108,2.16,251.8687859751665,0.6620053
109,2.18,252.78870159418813,0.7680279
110,2.2,256.20803858149634,0.8172214
111,2.22,256.4792975830719,0.812875
112,2.24,253.21355599451158,0.6725688
113,2.2600000000000002,243.48293599266987,0.6274171
114,2.2800000000000002,240.36096324750707,0.53730667
115,2.3000000000000003,235.34984138618685,0.46289724
116,2.32,261.0979190007654,0.57226646
117,2.34,256.1710643262048,0.43555564
118,2.36,265.6852995772334,0.3490576
119,2.38,265.8556635819008,0.7822442
120,2.4,269.66435193214016,0.70404875
121,2.42,268.09874257879596,0.69236267
122,2.44,265.6865134157307,0.8472984
123,2.46,268.17752926591464,0.81528795
124,2.48,272.3017517361189,0.8138068
125,2.5,268.92147239711005,0.8664247
126,2.52,270.0150636466621,0.8546319
127,2.54,269.46480346917303,0.858803
128,2.56,268.5351305067687,0.84477466
129,2.58,271.6602712204396,0.5960873
130,2.6,268.4429486643414,0.57917035
131,2.62,254.47692671485652,0.6476786
132,2.64,258.50190708877,0.61755574
133,2.66,260.4517844984388,0.59111595
134,2.68,243.50578806222768,0.4132185
135,2.7,273.18126664158785,0.3360149
136,2.72,262.9841894502778,0.72798043
137,2.74,257.55849929598656,0.64131105
138,2.7600000000000002,261.12118947754817,0.68085396
139,2.7800000000000002,255.1363633520488,0.4011743
140,2.8000000000000003,248.89617410155492,0.7962558
141,2.82,247.73472554230358,0.77626723
142,2.84,250.94310568835914,0.65050405
143,2.86,253.1170495983024,0.6329618
144,2.88,259.01163678377395,0.5060766
145,2.9,259.41603706104297,0.80599385
146,2.92,260.1889596943628,0.82789254
147,2.94,260.84726143133423,0.61692476
148,2.96,251.78361128357383,0.5711377
149,2.98,265.29646604418286,0.6920916
150,3.0,265.6679919987959,0.74434555
151,3.02,243.896168747159,0.4115919
152,3.04,242.00875610113047,0.64351773
153,3.06,254.05508996543202,0.1932457
154,3.08,262.88194198388106,0.4596901
155,3.1,254.47720714628366,0.40633684
156,3.12,256.25812434519605,0.39930966
157,3.14,259.8850876195607,0.57647306
158,3.16,255.95335210195773,0.4478066
159,3.18,255.77695766165556,0.29810044
160,3.2,260.9961690123591,0.2126091
161,3.22,261.20223095207484,0.39918238
162,3.24,258.9253489606579,0.37799525
163,3.2600000000000002,259.12946793399675,0.31477475
164,3.2800000000000002,256.6197277247532,0.3338984
165,3.3000000000000003,258.381052450906,0.33513266
166,3.3200000000000003,257.13642141115525,0.47286895
167,3.34,258.69790974601244,0.5290546
168,3.36,259.03684802472037,0.3981447
169,3.38,256.9848812432306,0.52740026
170,3.4,258.806636300083,0.3717917
171,3.42,257.9319704069911,0.35982957
172,3.44,259.0006303640563,0.39003998
173,3.46,258.3765764509909,0.5213193
174,3.48,259.0732786216637,0.34362963
175,3.5,257.8079170563128,0.40626073
176,3.52,258.5779557849785,0.376695
177,3.54,257.5178793417054,0.489517
178,3.56,257.28349365218173,0.35561195
179,3.58,244.18865882432266,0.35870373
180,3.6,218.09828078880736,0.51412034
181,3.62,203.65045648996042,0.41672102
182,3.64,182.22002074249826,0.4085831
183,3.66,169.778890493199,0.4807356
184,3.68,154.63414389520128,0.41494754
185,3.7,139.7851764224397,0.36276057
186,3.72,129.0371693130139,0.40032896
187,3.74,129.32096828361477,0.47751546
188,3.7600000000000002,129.14755723494142,0.42312723
189,3.7800000000000002,129.2016747501173,0.42063233
190,3.8000000000000003,129.0957251550611,0.44954723
191,3.8200000000000003,129.03493950068435,0.35931218
192,3.84,128.97890693048907,0.4294936
193,3.86,129.21581322387019,0.32530993
194,3.88,128.67575412370564,0.3902477
195,3.9,128.58621995586833,0.38558224
196,3.92,128.7214162885313,0.30246285
197,3.94,129.61687312520132,0.36589998
198,3.96,128.73384124011136,0.34283838
199,3.98,129.39063485854504,0.38126537
200,4.0,128.59219224626443,0.30305722
201,4.0200000000000005,128.5665158674022,0.36984128
202,4.04,129.38816722414975,0.41726866
203,4.0600000000000005,129.47670082137327,0.39137918
204,4.08,129.61908238672063,0.39490265
205,4.1,128.61607416586364,0.2786884
206,4.12,128.5004515211308,0.21334705
