Frame,Time,frequency,confidence
0,0.0,167.85592160775622,0.090827204
1,0.02,167.93702895462158,0.026336038
2,0.04,168.68909324911127,0.083909415
3,0.06,168.9363281368017,0.25258785
4,0.08,173.94334431453572,0.13768221
5,0.1,177.51260756435886,0.3898663
6,0.12,177.18446562178565,0.72154176
7,0.14,180.76853772666763,0.7511929
8,0.16,181.3464653063993,0.7027007
9,0.18,176.24593089556106,0.5255884
10,0.2,173.8867288072814,0.6759918
11,0.22,175.16466880177316,0.68132967
12,0.24,179.49566773679857,0.7845999
13,0.26,181.72542311801368,0.5287966
14,0.28,183.69051200803636,0.41903976
15,0.3,182.91433922139333,0.2371775
16,0.32,185.45101072120383,0.29885533
17,0.34,185.97353770872044,0.33914936
18,0.36,185.34474391691919,0.47683886
19,0.38,181.93365580546723,0.13218495
20,0.4,178.7034823790152,0.40761042
21,0.42,179.9361341762345,0.486462
22,0.44,181.1819053688743,0.48728758
23,0.46,179.8882890158259,0.5639236
24,0.48,177.21849115953833,0.38577846
25,0.5,175.44132073539248,0.6322473
26,0.52,176.41247180916946,0.6789216
27,0.54,179.29996158078615,0.4272271
28,0.56,180.42018808211918,0.40956107
29,0.58,180.1197594890147,0.3991362
30,0.6,180.15349588726548,0.59428906
31,0.62,177.23657026158295,0.6039305
32,0.64,174.69927135970866,0.6356804
33,0.66,175.32397660065544,0.5735632
34,0.68,177.17440590621493,0.7681188
35,0.7000000000000001,176.72660380507415,0.7847575
36,0.72,173.35744711269328,0.80857724
37,0.74,169.87012511052822,0.7431087
38,0.76,171.87831935461332,0.6432819
39,0.78,174.0927376537096,0.4718985
40,0.8,178.83336950573312,0.5962614
41,0.8200000000000001,180.42065092688998,0.61737025
42,0.84,180.43808812409816,0.74833643
43,0.86,180.96707005077874,0.6292421
44,0.88,176.6448418544909,0.34491238
45,0.9,165.53165314781398,0.22940753
46,0.92,152.25826216208552,0.0743042
47,0.9400000000000001,163.77307414308095,0.21213768
48,0.96,173.91536687868035,0.2075201
49,0.98,183.80591978627533,0.49794048
50,1.0,182.12935707037718,0.53543764
51,1.02,180.20481981490573,0.621159
52,1.04,176.7929833949027,0.3699597
53,1.06,179.37830500121876,0.3396418
54,1.08,177.65010907302195,0.25693837
55,1.1,175.92371263007348,0.079922155
56,1.12,176.70524894817018,0.5001966
57,1.1400000000000001,171.11716227492974,0.16611156
58,1.16,169.3902513231016,0.49274072
59,1.18,176.57599030397006,0.7376218
60,1.2,179.0864050650467,0.8629865
61,1.22,177.20288764933866,0.8309115
62,1.24,172.38527843651323,0.7594705
63,1.26,169.66837523824861,0.7145815
64,1.28,180.6506324859507,0.66761005
65,1.3,184.81399013965284,0.7067081
66,1.32,186.0073460362446,0.7070667
67,1.34,183.07173484581142,0.7332367
68,1.36,182.0284568419963,0.80352455
69,1.3800000000000001,182.85865765868834,0.5224945
70,1.4000000000000001,185.8374146927953,0.559752
71,1.42,185.65129986548655,0.8518678
72,1.44,186.36095645670315,0.5658624
73,1.46,191.04033804656038,0.18845682
74,1.48,196.21523813618217,0.3841007
75,1.5,197.31478999286108,0.57649434
76,1.52,199.4810925890708,0.4343619
77,1.54,207.7886976968146,0.60887736
78,1.56,210.0221309221914,0.72142583
79,1.58,203.26565075594132,0.51428115
80,1.6,185.8060663560575,0.21644418
81,1.62,166.7809916049711,0.8168787
82,1.6400000000000001,161.6690531050138,0.64306295
83,1.6600000000000001,166.97262435505453,0.81356144
84,1.68,171.18058869953023,0.75636065
85,1.7,179.2337544377251,0.8347125
86,1.72,180.96056017611045,0.87850946
87,1.74,179.76839322598863,0.71672726
88,1.76,171.5821946996419,0.47182885
89,1.78,155.7679049489213,0.22079404
90,1.8,143.8544455524351,0.102645956
91,1.82,126.70351792293309,0.58989453
92,1.84,119.66251730274368,0.7547868
93,1.86,122.42003576253413,0.6051476
94,1.8800000000000001,124.85924575518878,0.251816
95,1.9000000000000001,127.53591053730568,0.4120607
96,1.92,130.24291421790065,0.46954718
97,1.94,132.64420603136693,0.2711122
98,1.96,139.08988506929225,0.13087402
99,1.98,137.85168381669342,0.19849038
