Frame,Time,frequency,confidence
0,0.0,150.83445085935713,0.058702767
1,0.02,150.46233139290547,0.07417021
2,0.04,151.6111338057565,0.21829847
3,0.06,149.63592788654634,0.11895552
4,0.08,144.06747870658154,0.13038002
5,0.1,140.83570749343994,0.43926653
6,0.12,151.26407321029086,0.38281867
7,0.14,156.79851659650612,0.28648883
8,0.16,143.47842553374045,0.44170162
9,0.18,149.12622588034642,0.33488846
10,0.2,162.79852407556444,0.54702175
11,0.22,171.2344804793787,0.17113592
12,0.24,162.07239967604977,0.19713604
13,0.26,147.60052921868245,0.22952868
14,0.28,140.68691374300195,0.301778
15,0.3,137.5253675141653,0.5742744
16,0.32,138.01774896001365,0.41417083
17,0.34,155.3368193872145,0.37507987
18,0.36,154.7031048205555,0.31420994
19,0.38,155.90122341279547,0.59505993
20,0.4,169.36408210949932,0.22222161
21,0.42,174.80294850195463,0.6284007
22,0.44,165.58597527735483,0.60942674
23,0.46,159.43034964303288,0.6145431
24,0.48,175.81970159910256,0.4114013
25,0.5,183.88404521411243,0.74948776
26,0.52,185.53198621786146,0.8402515
27,0.54,184.026044265074,0.8265179
28,0.56,181.14849016896545,0.8543227
29,0.58,179.60109769888004,0.8955134
30,0.6,179.17856285231082,0.88314015
31,0.62,179.91322384108042,0.86357653
32,0.64,181.5204194308174,0.8482202
33,0.66,182.067236004028,0.83091515
34,0.68,180.17316441407667,0.79877317
35,0.7000000000000001,176.75912691214404,0.77798694
36,0.72,172.69375906651067,0.74562216
37,0.74,165.03962656079366,0.73314536
38,0.76,152.8642677750034,0.734009
39,0.78,149.28322448556014,0.8424703
40,0.8,150.256674076837,0.8729162
41,0.8200000000000001,153.152662384017,0.83735734
42,0.84,158.1048818267499,0.85989225
43,0.86,160.77892348044375,0.84085995
44,0.88,161.91429436190262,0.8389834
45,0.9,161.56302377451692,0.8625697
46,0.92,161.08843253719164,0.8604501
47,0.9400000000000001,160.11280096590963,0.85836434
48,0.96,161.09235787579334,0.83307374
49,0.98,164.23562148627352,0.8217823
50,1.0,166.71722219324283,0.8790909
51,1.02,166.75844999384748,0.8783766
52,1.04,164.6772329310002,0.8451004
53,1.06,161.96369021861216,0.8200033
54,1.08,159.21871773262998,0.85360587
55,1.1,158.52424959479993,0.8583377
56,1.12,162.02732755973938,0.80256987
57,1.1400000000000001,165.35491120368124,0.8639885
58,1.16,166.51266696812033,0.86517316
59,1.18,165.61743171479196,0.8370568
60,1.2,161.6012164757085,0.76001257
61,1.22,158.19922718138733,0.84605145
62,1.24,158.52486695712668,0.85735595
63,1.26,161.29176222366286,0.7989505
64,1.28,165.77663777279628,0.8186432
65,1.3,168.4976635608355,0.83806974
66,1.32,169.20291653126873,0.8388568
67,1.34,162.92641629410622,0.49660614
68,1.36,152.34539643118902,0.7487451
69,1.3800000000000001,151.16772253468503,0.80767393
70,1.4000000000000001,146.46730141668434,0.79712915
71,1.42,144.96459200291474,0.4399222
72,1.44,146.8581999802827,0.57767284
73,1.46,149.70544885085081,0.4432716
74,1.48,148.38178948788473,0.550982
75,1.5,143.43441694161072,0.6248256
76,1.52,139.30417621958875,0.59182477
77,1.54,155.72545153959175,0.41752148
78,1.56,159.78933723540007,0.8455381
79,1.58,161.63510700387445,0.85163474
80,1.6,161.96505210703077,0.83222765
81,1.62,161.6591180123532,0.82514244
82,1.6400000000000001,162.47115931417505,0.813781
83,1.6600000000000001,162.75112134161782,0.8151926
84,1.68,162.43831369516204,0.7728172
85,1.7,160.4926618335358,0.68959284
86,1.72,158.0574667205961,0.6792103
87,1.74,157.32674466247255,0.55383074
88,1.76,149.26894462501946,0.47244376
89,1.78,143.2793602922198,0.32217807
90,1.8,147.4285595368567,0.35088685
91,1.82,159.88611052184697,0.19660221
92,1.84,166.8235025705983,0.46418616
93,1.86,164.96283519275266,0.7656754
94,1.8800000000000001,166.8322183296618,0.8731032
95,1.9000000000000001,166.6413154889712,0.8655665
96,1.92,165.0464379755973,0.845114
97,1.94,162.9060581123568,0.8346653
98,1.96,162.74324761530238,0.8277024
99,1.98,163.60287636082933,0.84574914
100,2.0,164.7905981052118,0.8683805
101,2.02,164.53628530928856,0.8531501
102,2.04,162.7153654912692,0.83724546
103,2.06,162.36971837435078,0.8413074
104,2.08,161.6738680735633,0.86308324
105,2.1,161.59659155094317,0.86800253
106,2.12,163.36734556886813,0.8398932
107,2.14,165.7851798284923,0.829847
108,2.16,168.28965827652797,0.8313795
109,2.18,166.8149719332785,0.84260356
110,2.2,165.81791862341726,0.8459475
111,2.22,165.83022028996947,0.8685299
112,2.24,165.69873704312516,0.8650497
113,2.2600000000000002,166.80707323085846,0.86025894
114,2.2800000000000002,167.56828976237477,0.8658117
115,2.3000000000000003,166.14706094459646,0.7916489
116,2.32,153.06290504731268,0.43914387
117,2.34,146.13397053029317,0.8169811
118,2.36,147.4079605290797,0.3781725
119,2.38,160.76565155800103,0.46008188
120,2.4,171.75985169596134,0.69893956
121,2.42,173.7808272287897,0.82251483
122,2.44,168.39955017641174,0.7524682
123,2.46,159.43244463819332,0.33471936
124,2.48,142.5398555353553,0.52466667
125,2.5,131.27491563067213,0.34129432
126,2.52,145.73540577785596,0.40381128
127,2.54,163.84931012418247,0.2989828
128,2.56,163.02856125618436,0.70816064
129,2.58,164.80585230001708,0.84703404
130,2.6,164.69533807096747,0.82563704
131,2.62,161.54529074285153,0.79858977
132,2.64,160.95000039801843,0.8378509
133,2.66,161.80130513638272,0.82861954
134,2.68,162.69699615098034,0.8296617
135,2.7,162.89589519098055,0.83868074
136,2.72,163.13244905377573,0.85010695
137,2.74,164.00849191296487,0.82386047
138,2.7600000000000002,166.66997418633176,0.76632595
139,2.7800000000000002,171.02919315035263,0.6612387
140,2.8000000000000003,168.4735756240752,0.28154942
141,2.82,176.05565470683786,0.392635
142,2.84,176.77057651130593,0.49573937
143,2.86,176.7733448173831,0.8192736
144,2.88,177.69056377521304,0.8546073
145,2.9,183.24492939487476,0.72890806
146,2.92,191.6566259063711,0.8587606
147,2.94,189.79055187769714,0.8221595
148,2.96,182.63681314163503,0.5576787
149,2.98,161.7595321660919,0.36746475
150,3.0,149.08365365882548,0.797064
151,3.02,153.26311066480847,0.56467736
152,3.04,165.69450595213283,0.80342007
153,3.06,167.2421199149991,0.8424653
154,3.08,169.06236159187972,0.43597603
155,3.1,162.2627198975885,0.24006927
156,3.12,150.4828994172231,0.2874313
157,3.14,146.807072176824,0.41615215
158,3.16,153.27638115062823,0.66731524
159,3.18,160.62319317716853,0.6614913
160,3.2,162.5009789418197,0.8256521
161,3.22,163.1480911743664,0.8335604
162,3.24,163.41655121775645,0.8347528
163,3.2600000000000002,163.0935327816532,0.8398253
164,3.2800000000000002,164.18370228226644,0.8260805
165,3.3000000000000003,159.2796396265842,0.75345147
166,3.3200000000000003,152.55782762102538,0.78968245
167,3.34,152.9396617517598,0.81797785
168,3.36,160.59641096568865,0.7101429
169,3.38,167.30120584079316,0.671744
170,3.4,173.94840507033695,0.34603465
171,3.42,162.84314905540654,0.28413993
172,3.44,149.52201587548717,0.43889007
173,3.46,155.70332984466407,0.40259233
174,3.48,156.00223428863288,0.8330246
175,3.5,154.40317420148324,0.8554214
176,3.52,158.67010015660153,0.818256
177,3.54,161.95899924086325,0.8358891
178,3.56,164.39313360826733,0.82146853
179,3.58,166.39416537147028,0.83951515
180,3.6,162.64947890862484,0.785982
181,3.62,160.27545431126865,0.83205414
182,3.64,162.01623981995317,0.79548085
183,3.66,165.102523102334,0.8191322
184,3.68,168.14329515284155,0.86364084
185,3.7,169.9308295089961,0.87109846
186,3.72,170.20385761819722,0.8518413
187,3.74,166.98137998535879,0.75316054
188,3.7600000000000002,157.69962993056777,0.6072279
189,3.7800000000000002,155.3067491911696,0.6454329
190,3.8000000000000003,157.82963936668233,0.47699702
191,3.8200000000000003,177.31745249906635,0.30427808
192,3.84,185.41434141963185,0.7836794
193,3.86,189.45771209515684,0.83363837
194,3.88,185.83187207185864,0.7171838
195,3.9,175.74457950743783,0.2809787
196,3.92,182.24805521781175,0.13183603
197,3.94,186.85892420948963,0.29372904
198,3.96,171.2491528889641,0.27285632
199,3.98,173.1522989255638,0.19341855
200,4.0,155.75769028898574,0.653146
201,4.0200000000000005,143.4382067903997,0.8630992
202,4.04,143.4046866337166,0.64020926
203,4.0600000000000005,142.3186843441537,0.12664413
204,4.08,144.12430600784242,0.07636673
205,4.1,151.01273696534636,0.33775508
206,4.12,157.78048549799783,0.14265317
207,4.14,170.7798671888841,0.5328665
208,4.16,173.07087529239598,0.83425534
209,4.18,173.56166617101618,0.80704695
210,4.2,174.01389356534122,0.7168786
211,4.22,174.2714835680831,0.5217214
212,4.24,179.51495310345842,0.5988326
213,4.26,177.69136402813797,0.5643858
214,4.28,180.5432899754968,0.72440314
215,4.3,181.43360946345152,0.8102844
216,4.32,171.7300580293247,0.5932085
217,4.34,167.32835856348575,0.8199328
218,4.36,167.36006122707755,0.8728046
219,4.38,163.78160316732345,0.6304434
220,4.4,151.1730052096002,0.5207846
221,4.42,157.41407562502656,0.33194855
222,4.44,165.37969641789505,0.3543774
223,4.46,184.60437801452258,0.44591492
224,4.48,186.71762878058985,0.82582194
225,4.5,188.8765289381476,0.771198
226,4.5200000000000005,188.4551992343782,0.8077501
227,4.54,184.2309534362882,0.80986786
228,4.5600000000000005,183.3662899868341,0.76103145
229,4.58,187.4983772548762,0.8066989
230,4.6000000000000005,189.21633223970392,0.8160789
231,4.62,188.66706762028218,0.7573465
232,4.64,178.8813750688435,0.53482485
233,4.66,176.7781633136755,0.7331458
234,4.68,176.818477057754,0.8087985
235,4.7,177.63477751575752,0.8427919
236,4.72,179.0835661702258,0.81725526
237,4.74,175.844472024432,0.44357753
238,4.76,162.46424373121454,0.25050116
239,4.78,151.67129042547688,0.6578258
240,4.8,158.17716204112722,0.80459285
241,4.82,161.51090849307155,0.8608598
242,4.84,163.43759901218948,0.83894575
243,4.86,166.0271399488477,0.88014233
244,4.88,166.05170659102373,0.88108957
245,4.9,165.48052035182192,0.8509898
246,4.92,162.7752507808793,0.8316319
247,4.94,162.99745797313778,0.8536777
248,4.96,163.98252913107098,0.8519851
249,4.98,162.73954292114064,0.8090831
250,5.0,159.60760795096377,0.8063079
251,5.0200000000000005,158.527003660587,0.8268171
252,5.04,151.65520262795806,0.7625927
253,5.0600000000000005,147.56042220905343,0.8969917
254,5.08,147.79320314830588,0.8870239
255,5.1000000000000005,155.35272152031635,0.761739
256,5.12,161.47309659227898,0.8196161
257,5.14,164.3742072110281,0.82618254
258,5.16,165.13901011559796,0.86414653
259,5.18,164.56419985851971,0.87009454
260,5.2,164.14012941292873,0.8529656
261,5.22,165.6017315539675,0.8744794
262,5.24,167.93929724320645,0.8723922
263,5.26,167.43006237626534,0.8778545
264,5.28,162.53225797565455,0.72334003
265,5.3,147.40258035892182,0.7631315
266,5.32,151.76792675784176,0.7843079
267,5.34,167.13024524167795,0.46540046
268,5.36,170.43374224833565,0.8563118
269,5.38,173.6579168731025,0.86028874
270,5.4,176.47726239154576,0.8219517
271,5.42,175.20509776120952,0.79559666
272,5.44,170.6122881900012,0.52845335
273,5.46,153.36031202316798,0.15741342
274,5.48,140.12381776545726,0.6629271
275,5.5,143.05471635636405,0.8302462
276,5.5200000000000005,146.04136972001672,0.7572085
277,5.54,147.14568700942812,0.21610859
278,5.5600000000000005,152.4581017842382,0.6475794
279,5.58,161.7661223702882,0.25991634
280,5.6000000000000005,162.33572108750502,0.38036767
281,5.62,155.15358159578025,0.7015451
282,5.64,156.4415604493253,0.8826294
283,5.66,161.78288008550695,0.7841112
284,5.68,164.55934198532216,0.7952871
285,5.7,160.9640907922059,0.7024679
286,5.72,150.1611302320912,0.5847982
287,5.74,144.79617813153698,0.45381173
288,5.76,150.9121090593372,0.3245974
289,5.78,160.1437793420034,0.4336841
290,5.8,159.51518544037634,0.8002269
291,5.82,159.70840717920458,0.85185736
292,5.84,158.98621534414394,0.83940244
293,5.86,157.75561129955014,0.8518802
294,5.88,156.9102949266602,0.7906617
295,5.9,155.03367179863767,0.8310851
296,5.92,155.81377285621878,0.8591922
297,5.94,157.14393094365062,0.84621096
298,5.96,158.19767572387684,0.8015657
299,5.98,162.20607033397985,0.6248524
300,6.0,166.66926256852327,0.80565864
301,6.0200000000000005,167.32142867601112,0.86233735
302,6.04,165.40585861124998,0.85545146
303,6.0600000000000005,161.47917982355546,0.8487718
304,6.08,159.44138697442315,0.884706
305,6.1000000000000005,159.1383109251416,0.85875773
306,6.12,159.35853809519597,0.85631305
307,6.140000000000001,159.94697684653795,0.83687073
308,6.16,160.88685917170142,0.8425999
309,6.18,159.70704117299286,0.8726144
310,6.2,159.45426906472272,0.8546951
311,6.22,158.97251705937535,0.8453798
312,6.24,158.50793083664547,0.83300465
313,6.26,162.1078580636085,0.79248905
314,6.28,167.08887955926735,0.8480615
315,6.3,168.21335491092248,0.84195876
316,6.32,167.39685699840464,0.89307773
317,6.34,164.55539663637,0.8588488
318,6.36,161.39277654019497,0.8178233
319,6.38,159.91190718979672,0.8297082
320,6.4,157.89536202272768,0.8364333
321,6.42,156.27073907484333,0.8346034
322,6.44,171.08846152878783,0.68216133
323,6.46,192.09590902895502,0.4677706
324,6.48,215.0135544888737,0.20452698
325,6.5,240.83229834702578,0.6196446
326,6.5200000000000005,266.1804713478342,0.4496138
327,6.54,296.3090018269731,0.28029263
328,6.5600000000000005,327.63812067205265,0.39107567
329,6.58,320.3399947641227,0.62653106
330,6.6000000000000005,322.13726886648993,0.5629347
331,6.62,329.92817597230834,0.6152289
332,6.640000000000001,330.5551837803398,0.70861983
333,6.66,325.3305876288946,0.16468579
334,6.68,328.1713429648677,0.5426036
335,6.7,310.871566899872,0.26466978
336,6.72,291.8589201387574,0.8093461
337,6.74,289.58611701765466,0.89233285
338,6.76,285.96052635877334,0.86064243
339,6.78,287.11277594535954,0.74662256
340,6.8,290.2246380977727,0.6749111
341,6.82,271.1547750777475,0.3565039
342,6.84,264.8376153560034,0.7018856
343,6.86,261.89588430177673,0.8035217
344,6.88,261.3250887413808,0.8399732
345,6.9,261.8426686590529,0.87261736
346,6.92,262.2869602894238,0.80375767
347,6.94,279.8418413689478,0.64297795
348,6.96,288.6389622671719,0.84734845
349,6.98,295.90058850613934,0.80075437
350,7.0,307.8354723112827,0.65110624
351,7.0200000000000005,319.05139381686877,0.7142501
352,7.04,325.41810895340336,0.85179526
353,7.0600000000000005,328.8221272015263,0.8581155
354,7.08,330.9469395695693,0.88894916
355,7.1000000000000005,329.87729494813715,0.8717714
356,7.12,328.55440814977385,0.86151624
357,7.140000000000001,329.2024476679191,0.8688667
358,7.16,329.9843338216498,0.8681809
359,7.18,327.5044394084878,0.84319377
360,7.2,318.8741269312338,0.8280152
361,7.22,316.6256460513576,0.8789778
362,7.24,324.9666750874175,0.77747273
363,7.26,328.9053916321876,0.843485
364,7.28,331.05359987140196,0.8759286
365,7.3,332.01212409718954,0.8694265
366,7.32,331.9337667887463,0.88364834
367,7.34,330.92655609442824,0.90831226
368,7.36,331.18742490571117,0.7946607
369,7.38,329.45551265031264,0.669335
370,7.4,328.50261813026856,0.8329066
371,7.42,330.25911363950576,0.8715373
372,7.44,333.79446496199427,0.8585675
373,7.46,334.7616667214903,0.85809666
374,7.48,332.80078897635417,0.84370935
375,7.5,326.90378999596504,0.82974875
376,7.5200000000000005,319.1635029776178,0.7761088
377,7.54,315.1506130100622,0.81441736
378,7.5600000000000005,324.24860517905137,0.6860944
379,7.58,330.87498485823636,0.85741746
380,7.6000000000000005,334.17471217980494,0.85020393
381,7.62,335.0385711090282,0.82902557
382,7.640000000000001,334.599942719764,0.8457123
383,7.66,334.4431526299675,0.858336
384,7.68,334.27864175560717,0.8610692
385,7.7,334.40946687533545,0.8496621
386,7.72,333.3076722338743,0.8328531
387,7.74,330.02477112231736,0.85220236
388,7.76,318.5824859472316,0.56546825
389,7.78,316.546181842511,0.74503326
390,7.8,319.5739982992865,0.8731908
391,7.82,316.89232907407995,0.82593286
392,7.84,314.04842283431503,0.66416
393,7.86,320.8460196321511,0.64111996
394,7.88,323.9643204383066,0.32533765
395,7.9,315.9735838704453,0.2722693
396,7.92,320.31481085461826,0.8115312
397,7.94,312.6069294234962,0.84774566
398,7.96,309.03051813451077,0.82268745
399,7.98,306.07424007829894,0.7514864
400,8.0,305.91845330486814,0.7459513
401,8.02,316.46556720393744,0.35141167
402,8.040000000000001,328.0117182414207,0.46061605
403,8.06,315.3104427204239,0.37142766
404,8.08,297.09221302870014,0.10308843
405,8.1,282.00323098186334,0.12812649
406,8.120000000000001,274.7488986661765,0.41147196
407,8.14,278.796812549501,0.4928599
408,8.16,317.07302491002747,0.41688037
409,8.18,311.04469695910075,0.7952225
410,8.2,306.77482917357094,0.77799696
411,8.22,300.1387680211705,0.64088035
412,8.24,295.9716083577255,0.36829993
413,8.26,315.75973408589465,0.39145264
414,8.28,300.3809230648682,0.5422659
415,8.3,314.97324750712085,0.44363
416,8.32,320.8919860977739,0.6320971
417,8.34,321.6532498388884,0.5385572
418,8.36,315.82024629522243,0.5016484
419,8.38,302.3776631872178,0.58490837
420,8.4,295.2079978201767,0.22917227
421,8.42,289.7246239081296,0.39808026
422,8.44,291.0785577987385,0.47535357
423,8.46,295.53723101006625,0.6920151
424,8.48,301.4775790965185,0.26955515
425,8.5,280.65032879474427,0.62383986
426,8.52,284.6311954727131,0.34654722
427,8.540000000000001,312.48602159658157,0.2942226
428,8.56,330.11855386477146,0.25229365
429,8.58,331.54881018886056,0.42525306
430,8.6,332.5910866237589,0.61672413
431,8.620000000000001,330.8029684639057,0.79532844
432,8.64,329.0163475444404,0.78852695
433,8.66,328.4257701298027,0.85229814
434,8.68,328.3440780764971,0.86025405
435,8.700000000000001,327.9130687232366,0.8715916
436,8.72,328.9488115934352,0.8648708
437,8.74,329.66139658971935,0.8853178
438,8.76,329.3264268621085,0.87009996
439,8.78,326.01726713300457,0.86177325
440,8.8,320.3277305878618,0.84624696
441,8.82,317.77009765640105,0.83897257
442,8.84,322.06158622242407,0.79870325
443,8.86,326.14856332898,0.84293526
444,8.88,330.20941788789264,0.8598444
445,8.9,330.9921533510743,0.8843208
446,8.92,329.609809395593,0.88805234
447,8.94,329.32330218626385,0.87722045
448,8.96,329.56925302532784,0.8813129
449,8.98,329.37056301072664,0.8644764
450,9.0,329.6268404777907,0.8886694
451,9.02,329.84849143462895,0.8903679
452,9.040000000000001,329.80705935439744,0.8617238
453,9.06,329.3053418383499,0.85141206
454,9.08,329.04792983745176,0.8558404
455,9.1,328.4714497282554,0.85235244
456,9.120000000000001,327.7154357317601,0.85155714
457,9.14,327.99342979913894,0.8457042
458,9.16,329.4100427995685,0.8750398
459,9.18,330.00662600022457,0.88067275
460,9.200000000000001,329.38993126646085,0.85209316
461,9.22,329.50630705168567,0.8511961
462,9.24,329.8003535977497,0.87688977
463,9.26,329.3634009122775,0.884645
464,9.28,328.7113261768317,0.82959193
465,9.3,325.35679937727025,0.57374805
466,9.32,325.2786262610562,0.6261485
467,9.34,326.8014703065744,0.8491556
468,9.36,328.7863378437104,0.8512807
469,9.38,330.22644333700964,0.8689965
470,9.4,332.25083930422386,0.8457125
471,9.42,334.30876259204365,0.8486855
472,9.44,335.1210443911399,0.8522162
473,9.46,335.445802161659,0.85632074
474,9.48,334.64250705603894,0.85082877
475,9.5,332.7895316492843,0.8251802
476,9.52,331.3631173859668,0.77831453
477,9.540000000000001,332.35692788027575,0.67922974
478,9.56,334.15163828547384,0.78802955
479,9.58,330.3695689787582,0.86602336
480,9.6,322.92336560342017,0.6870378
481,9.620000000000001,301.35241233539966,0.42091438
482,9.64,289.6655782702899,0.75016797
483,9.66,287.872809548477,0.67576385
484,9.68,295.28052585415213,0.51472175
485,9.700000000000001,313.4714030735472,0.6246435
486,9.72,335.58030470541473,0.3733281
487,9.74,331.7322500774409,0.7025593
488,9.76,326.7617117369054,0.7942008
489,9.78,315.1718740661518,0.77797896
490,9.8,319.4560588296624,0.8568847
491,9.82,318.97193572500544,0.7938472
492,9.84,295.4363934238445,0.63931406
493,9.86,288.4352932430995,0.8873944
494,9.88,283.7869747547525,0.824113
495,9.9,303.86466464657497,0.6704346
496,9.92,328.68086578172074,0.5976972
497,9.94,330.38516854159155,0.85733706
498,9.96,331.49779988821774,0.87916094
499,9.98,332.38080344683146,0.8742058
500,10.0,333.1916127660986,0.8403828
501,10.02,330.9466075255075,0.85809076
502,10.040000000000001,327.7060678678464,0.8457674
503,10.06,330.6907604449167,0.8405323
504,10.08,340.1145677177254,0.43428138
505,10.1,362.5446291815337,0.79123354
506,10.120000000000001,370.3880085692149,0.8736225
507,10.14,371.4457853278074,0.9052629
508,10.16,372.59900992577434,0.9091411
509,10.18,373.7220332490963,0.86192036
510,10.200000000000001,374.8957042622965,0.85005534
511,10.22,374.7246696361731,0.8071398
512,10.24,379.6933079449422,0.57504463
513,10.26,388.7004259060691,0.7016641
514,10.28,382.8308552162337,0.68994224
515,10.3,385.8650374956618,0.50371873
516,10.32,385.9354959900369,0.35409236
517,10.34,351.5515675480642,0.3329982
518,10.36,339.7193351639738,0.322217
519,10.38,334.5338994869977,0.14685185
520,10.4,328.0694963718647,0.29124337
521,10.42,327.106907111145,0.5013211
522,10.44,292.3183779979821,0.551633
523,10.46,286.94670414418414,0.7966932
524,10.48,286.3409164221688,0.80293286
525,10.5,288.0596365094686,0.7896967
526,10.52,288.7228266710593,0.77907586
527,10.540000000000001,299.69182468591487,0.29725033
528,10.56,321.21552280026714,0.37256682
529,10.58,322.02167037765037,0.72838145
530,10.6,323.926988030713,0.7807765
531,10.620000000000001,326.9031710442778,0.76172364
532,10.64,324.7412258187489,0.77905744
533,10.66,329.0719074059464,0.8143952
534,10.68,327.172351876505,0.6515473
535,10.700000000000001,330.3904642631222,0.75620294
536,10.72,333.9718842615286,0.8000385
537,10.74,334.71461975404617,0.83346295
538,10.76,334.037568933065,0.86172223
539,10.78,332.38479967005304,0.8692409
540,10.8,327.3335811549362,0.8220532
541,10.82,319.41842120087836,0.7856129
542,10.84,315.30237714055374,0.80387497
543,10.86,323.6551884798914,0.61399937
544,10.88,328.8067445665454,0.67379487
545,10.9,330.28206834059415,0.7328614
546,10.92,333.462936500118,0.72637373
