Frame,Time,frequency,confidence
0,0.0,299.15660457178825,0.084281646
1,0.02,302.6592449531605,0.033140004
2,0.04,304.13844663665543,0.38911918
3,0.06,303.4851213449222,0.23052779
4,0.08,289.4510923804287,0.47049418
5,0.1,280.0861216233769,0.5174086
6,0.12,271.4102538418745,0.16688575
7,0.14,256.9919580940383,0.12583737
8,0.16,253.3590743531845,0.2741512
9,0.18,259.1516793660629,0.17186198
10,0.2,283.60724758625304,0.18445475
11,0.22,279.61933640493197,0.47901234
12,0.24,273.47245687695886,0.6947755
13,0.26,271.5453170234452,0.85386384
14,0.28,274.08918576458694,0.7674005
15,0.3,290.9716572245694,0.29927307
16,0.32,272.12985191614797,0.7054541
17,0.34,239.4402220837779,0.7491604
18,0.36,219.68833758109344,0.55880684
19,0.38,204.23828905844226,0.42113826
20,0.4,182.95773466823195,0.20849854
21,0.42,163.45608236462976,0.56517553
22,0.44,152.21153025283573,0.52911276
23,0.46,152.40874765149417,0.6079267
24,0.48,156.20232894010346,0.6384858
25,0.5,152.41705030266698,0.79387814
26,0.52,147.97992294365616,0.8805778
27,0.54,145.21021082754663,0.9099805
28,0.56,143.32939016872666,0.81911504
29,0.58,143.19188430926567,0.74083126
30,0.6,145.37201167255427,0.6575189
31,0.62,151.44623900061436,0.37552294
32,0.64,157.31007891328056,0.6812577
33,0.66,157.25439711498342,0.8119534
34,0.68,155.30831377331876,0.801624
35,0.7000000000000001,154.44392097280354,0.8306707
36,0.72,154.8021715869253,0.7799278
37,0.74,153.0494699221376,0.663661
38,0.76,151.34671898766183,0.82514995
39,0.78,149.2424130596341,0.8018257
40,0.8,149.21964010086162,0.53160584
41,0.8200000000000001,150.64072378079757,0.6252041
42,0.84,150.43118598505484,0.53948426
43,0.86,149.46375886944847,0.2180126
44,0.88,149.94925473441367,0.4871638
45,0.9,152.81532295980557,0.5282742
46,0.92,156.2930523548524,0.4433175
47,0.9400000000000001,160.6484783017175,0.52355146
48,0.96,156.9231804560757,0.32641035
49,0.98,152.0783240923659,0.23732375
50,1.0,149.02061178659795,0.4243336
51,1.02,150.49328708634462,0.7527873
52,1.04,151.9104376020474,0.8327204
53,1.06,154.06499050970234,0.6987594
54,1.08,151.38414072639782,0.36245814
55,1.1,150.7357123867273,0.5589446
56,1.12,149.48476670905598,0.2637455
