Frame,Time,frequency,confidence
0,0.0,179.5987126017624,0.09135302
1,0.02,181.2896987486469,0.04832965
2,0.04,181.16344503772066,0.09954308
3,0.06,180.02125474196973,0.12794086
4,0.08,179.74694290071244,0.12086992
5,0.1,179.7778529127041,0.16603056
6,0.12,183.95639027943176,0.061247982
7,0.14,183.83323685212557,0.11842167
8,0.16,181.05869816887062,0.16222356
9,0.18,180.73076602646074,0.1800171
10,0.2,180.0418814992006,0.38909417
11,0.22,187.5534587488217,0.63434017
12,0.24,184.65843449031593,0.2114302
13,0.26,193.05765612516478,0.2123749
14,0.28,193.8686988359666,0.4220454
15,0.3,190.28056229937113,0.38093314
16,0.32,185.43019074375502,0.54180825
17,0.34,179.7089988996493,0.3999239
18,0.36,184.4835877463753,0.13743348
19,0.38,191.73589960717356,0.17864272
20,0.4,200.0258224343294,0.11886032
21,0.42,215.88207340197215,0.44505155
22,0.44,213.55232601583853,0.55072105
23,0.46,212.9070781917791,0.5869345
24,0.48,192.64547959299972,0.38395914
25,0.5,170.0719527631925,0.18654513
26,0.52,152.82011635500706,0.64562017
27,0.54,156.91462087429238,0.8212778
28,0.56,163.13818443514606,0.7174518
29,0.58,164.90903227644043,0.8279094
30,0.6,164.25548293599505,0.8428676
31,0.62,163.10555618352592,0.81291145
32,0.64,162.7921710293743,0.80110776
33,0.66,161.29593346256917,0.7379185
34,0.68,160.11668299329284,0.6695242
35,0.7000000000000001,163.38730773700732,0.42326555
36,0.72,166.9119489659269,0.74939334
37,0.74,169.03685049891084,0.73977697
38,0.76,169.06928991185703,0.6118486
39,0.78,163.8304289796664,0.60685533
40,0.8,159.66699703228434,0.5714146
41,0.8200000000000001,162.12371047705633,0.67176485
42,0.84,164.83062192571123,0.8295038
43,0.86,164.94474446048292,0.81439877
44,0.88,165.80679153636197,0.8015993
45,0.9,167.88467139700882,0.8322381
46,0.92,165.53760965096257,0.8571932
47,0.9400000000000001,165.13104787901116,0.8816742
48,0.96,166.6608980556418,0.8507848
49,0.98,170.47746519820296,0.7969985
50,1.0,171.34104067765094,0.8150054
51,1.02,169.82506394146296,0.7803177
52,1.04,164.36522168870266,0.55280465
53,1.06,158.83164904918482,0.5466522
54,1.08,164.67767722723107,0.7804333
55,1.1,165.73756395601976,0.5747148
56,1.12,165.57947791965978,0.65863013
57,1.1400000000000001,165.9888301645264,0.7760831
58,1.16,165.71966981689474,0.64218324
59,1.18,170.80608823708374,0.43127543
60,1.2,172.17380534387524,0.41183957
61,1.22,170.96398807155634,0.38912722
62,1.24,174.8794222233982,0.09288538
63,1.26,175.49804177571298,0.7122672
64,1.28,178.85492287112413,0.7437217
65,1.3,184.01348608826683,0.6736883
66,1.32,186.89032369135842,0.718567
67,1.34,185.4048877074688,0.7918844
68,1.36,184.20686306517754,0.24749964
69,1.3800000000000001,170.4493241959649,0.3963864
70,1.4000000000000001,159.96082171521596,0.5898155
71,1.42,161.8171679084547,0.8463843
72,1.44,163.5475873245302,0.80599076
73,1.46,166.65470294289563,0.8283596
74,1.48,166.25658958880294,0.8332783
75,1.5,164.67907700085772,0.688782
76,1.52,146.55352609944697,0.23316179
77,1.54,145.01072112633906,0.77685267
78,1.56,148.7316919467721,0.6274143
79,1.58,153.33248455114818,0.4622534
80,1.6,156.97342301831486,0.39068586
81,1.62,173.89351683923695,0.39404216
82,1.6400000000000001,172.81696019289387,0.5688624
83,1.6600000000000001,163.67490325868812,0.620545
84,1.68,146.58179078269634,0.42046973
85,1.7,141.36271971184493,0.68754977
86,1.72,146.9245099822432,0.82386506
87,1.74,154.3412986843418,0.70032203
88,1.76,158.81794516429787,0.42118308
89,1.78,160.4508973518886,0.07010402
90,1.8,157.03707860525233,0.4247436
91,1.82,156.041051243609,0.16154122
92,1.84,153.9449702481939,0.20050457
93,1.86,159.64746165173688,0.55201143
94,1.8800000000000001,159.79999464544127,0.8468156
95,1.9000000000000001,161.64721619611444,0.8513815
96,1.92,165.57164969608272,0.8537627
97,1.94,166.5605646543759,0.8552624
98,1.96,164.51582275843742,0.78001106
99,1.98,160.81202199487083,0.36851576
100,2.0,144.0493213523793,0.17914256
101,2.02,128.07370288590502,0.28274164
102,2.04,135.17702054502766,0.25154898
103,2.06,141.19316191799288,0.38354656
104,2.08,146.50307394304127,0.7519091
105,2.1,151.25157673200826,0.7985472
106,2.12,160.6347994048538,0.59068066
107,2.14,161.4522038963093,0.29100704
108,2.16,168.80594138091627,0.10266976
109,2.18,176.96603352050346,0.11566091
110,2.2,186.3541494483626,0.13770516
111,2.22,172.85508018620035,0.30399984
112,2.24,176.90399363495217,0.7339113
113,2.2600000000000002,176.5389936571651,0.7085067
114,2.2800000000000002,169.17002737658657,0.48731595
115,2.3000000000000003,149.59250427539754,0.26846716
116,2.32,130.24480718429035,0.7442311
117,2.34,119.62036723695817,0.81404763
118,2.36,117.96969103836142,0.51448935
119,2.38,121.48782426500296,0.52805436
120,2.4,124.67377724514455,0.17752439
121,2.42,137.9669407054752,0.76680416
122,2.44,141.2767367374535,0.65859187
123,2.46,134.6304478845156,0.1864583
124,2.48,136.72421461889815,0.58826613
125,2.5,141.90909008133403,0.24576825
126,2.52,148.6690305393298,0.12990306
127,2.54,154.7054203797246,0.12161919
128,2.56,171.76909158744542,0.6606786
129,2.58,176.6410540622976,0.7019539
130,2.6,166.27232097406227,0.3297078
131,2.62,162.50699499731954,0.27070254
132,2.64,165.92891394145934,0.69735193
133,2.66,165.41184084867774,0.5463128
134,2.68,160.4678057896942,0.09962603
