Frame,Time,frequency,confidence
0,0.0,172.7676108616495,0.12970957
1,0.02,171.32064447243772,0.16040309
2,0.04,175.55028821648054,0.14058222
3,0.06,171.36151078064972,0.08165652
4,0.08,172.35530517778696,0.08976204
5,0.1,175.14971817685336,0.11424301
6,0.12,173.32684308208925,0.10267457
7,0.14,170.2809046278049,0.23782988
8,0.16,173.88626736455748,0.09913392
9,0.18,174.43616253009324,0.11750248
10,0.2,173.7043777081362,0.097174734
11,0.22,170.66832689077543,0.17615975
12,0.24,171.2406098915165,0.04508836
13,0.26,172.65656926576912,0.14110091
14,0.28,167.25922317915303,0.20641717
15,0.3,179.03588296162883,0.11035072
16,0.32,169.42973382260033,0.08920132
17,0.34,168.15635310589798,0.073127545
18,0.36,146.88344334929332,0.4874273
19,0.38,129.73438165619874,0.307085
20,0.4,130.4076687921847,0.3276207
21,0.42,130.3951026011906,0.15017101
22,0.44,131.43873160094148,0.1687281
23,0.46,128.73151625862343,0.2247256
24,0.48,137.79359925241667,0.17858084
25,0.5,155.60991813782732,0.048420694
26,0.52,169.5601335090905,0.07510725
27,0.54,172.6832215453478,0.08339189
28,0.56,187.5021773186148,0.094998166
29,0.58,209.41368827072094,0.06511809
30,0.6,226.87353045654558,0.48815688
31,0.62,225.89322519749544,0.674428
32,0.64,225.66126535368278,0.7689024
33,0.66,225.65169471388822,0.8339373
34,0.68,225.54372073997357,0.8580185
35,0.7000000000000001,225.6089677458472,0.8583958
36,0.72,226.3103263231027,0.85963213
37,0.74,226.01192780800798,0.8586318
38,0.76,225.11987696015996,0.8393824
39,0.78,226.00069167416956,0.8493267
40,0.8,227.94507085272204,0.8590372
41,0.8200000000000001,229.58438415602072,0.8487133
42,0.84,230.87355599538608,0.8641702
43,0.86,231.59196965795192,0.8419649
44,0.88,233.21011477103377,0.8529403
45,0.9,235.67025825662085,0.8425684
46,0.92,237.3303042426777,0.82005227
47,0.9400000000000001,237.66459028929492,0.8360628
48,0.96,238.29685170696874,0.83098626
49,0.98,238.4571728013033,0.84165835
50,1.0,239.3004171417132,0.8442988
51,1.02,240.47264880129694,0.8271177
52,1.04,240.46240742706843,0.8296214
53,1.06,240.0593679259741,0.8381238
54,1.08,239.45349876778016,0.85563344
55,1.1,238.54421817257543,0.8378522
56,1.12,236.40772614757438,0.847752
57,1.1400000000000001,235.56124435747375,0.8318667
58,1.16,233.96443714808464,0.8591186
59,1.18,233.2985068008668,0.84989655
60,1.2,233.54131391012493,0.83337176
61,1.22,236.3219708836584,0.81345046
62,1.24,239.59492036488837,0.81359184
63,1.26,239.20248732800115,0.83631516
64,1.28,238.12233783805115,0.8444994
65,1.3,237.94310738001656,0.81915
66,1.32,236.67596008047954,0.84730744
67,1.34,237.1894386210019,0.8353229
68,1.36,238.4370597044156,0.8471451
69,1.3800000000000001,240.4766017858367,0.82849646
70,1.4000000000000001,241.4162345841065,0.8467858
71,1.42,241.67655288330891,0.85074246
72,1.44,240.2964018742466,0.7939501
73,1.46,237.96298295166235,0.8417362
74,1.48,236.96279024444556,0.8675289
75,1.5,236.63482729164832,0.8811291
76,1.52,236.51436458244967,0.8719994
77,1.54,236.89981041378556,0.881933
78,1.56,238.15334987114656,0.8523386
79,1.58,237.98320703479263,0.8577619
80,1.6,238.30342475227243,0.84689873
81,1.62,237.97223431792193,0.8585342
82,1.6400000000000001,238.05536765012818,0.84996873
83,1.6600000000000001,238.37196842988007,0.8757621
84,1.68,238.54120397933005,0.8635855
85,1.7,237.6362796382648,0.86990446
86,1.72,237.48056738928437,0.8715881
87,1.74,237.55373815425318,0.88082844
88,1.76,239.02209747374042,0.8820416
89,1.78,240.38864638523833,0.8606047
90,1.8,240.70603607897954,0.8507921
91,1.82,240.942498332421,0.84488213
92,1.84,240.1606242019218,0.8635807
93,1.86,238.35010953862644,0.84304225
94,1.8800000000000001,237.01751269285114,0.860278
95,1.9000000000000001,236.5011280854987,0.8664423
96,1.92,236.43012135782246,0.8834119
97,1.94,236.73879601827537,0.86095864
98,1.96,236.85244324064206,0.87419987
99,1.98,240.45717434125262,0.85559714
100,2.0,243.8334338634019,0.8502077
101,2.02,244.5205361393701,0.8580807
102,2.04,244.31577579510775,0.84167093
103,2.06,241.86611378486396,0.8135816
104,2.08,239.35874572839737,0.84040433
105,2.1,236.7271365440434,0.8561452
106,2.12,236.40670671589035,0.88142437
107,2.14,238.07801046401093,0.85296196
108,2.16,238.04559021810903,0.8578685
109,2.18,238.53057101111972,0.86416984
110,2.2,239.50613355802386,0.87708443
111,2.22,240.3791452147683,0.8630611
112,2.24,240.46582907594012,0.833312
113,2.2600000000000002,240.0485401010138,0.87470514
114,2.2800000000000002,239.95195865711798,0.8768952
115,2.3000000000000003,238.25067974172143,0.8638294
116,2.32,238.25791242929938,0.8585261
117,2.34,238.64210774178053,0.87012213
118,2.36,239.24354271719517,0.8825427
119,2.38,239.07046050041555,0.8747281
120,2.4,239.06509901411252,0.88311917
121,2.42,239.5901322286013,0.86910295
122,2.44,239.08383567551425,0.8939307
123,2.46,239.8109463329952,0.88342464
124,2.48,239.55898225941672,0.8950162
125,2.5,238.50503888430836,0.8784177
126,2.52,237.69721258388185,0.8825127
127,2.54,238.54547065521788,0.8831201
128,2.56,239.4905131415015,0.8959854
129,2.58,239.7842545951025,0.88893497
130,2.6,240.24265419707714,0.8634764
131,2.62,240.49637386996434,0.8756986
132,2.64,240.01435465659858,0.8848457
133,2.66,238.65741088876473,0.8894316
134,2.68,238.8084762925443,0.88995665
135,2.7,239.87911290706757,0.8806887
136,2.72,241.04618785299232,0.8762944
137,2.74,241.67511377228027,0.88050133
138,2.7600000000000002,241.42487218322162,0.8775076
139,2.7800000000000002,241.5850090908059,0.8777157
140,2.8000000000000003,242.30968134405376,0.86663914
141,2.82,241.95046016141794,0.87895054
142,2.84,241.5911673906635,0.8812251
143,2.86,242.1910629432541,0.8772763
144,2.88,242.37232517360042,0.87251794
145,2.9,243.35329809010491,0.8403631
146,2.92,243.98801150988913,0.8550871
147,2.94,244.3055445981504,0.87185615
148,2.96,243.69986243859256,0.8505115
149,2.98,243.79973609957176,0.8550192
150,3.0,243.76075859755818,0.8450334
151,3.02,243.97351405478787,0.8636313
152,3.04,243.5078371365779,0.8389889
153,3.06,243.22074041138637,0.83276594
154,3.08,243.07697009932878,0.82309276
155,3.1,243.64038386954348,0.8539234
156,3.12,243.6726264742457,0.84717953
157,3.14,243.63725006184444,0.843583
158,3.16,242.39527552509284,0.83881897
159,3.18,241.27568214197584,0.8617037
160,3.2,240.91389593103887,0.8387552
161,3.22,241.2722538748173,0.82910955
162,3.24,241.65751493854248,0.8648605
163,3.2600000000000002,241.83808541619268,0.8631543
164,3.2800000000000002,241.12729775232935,0.8349633
165,3.3000000000000003,239.8312554124223,0.8742117
166,3.3200000000000003,239.69817875995324,0.87094736
167,3.34,239.90006089599294,0.86104894
168,3.36,240.31228901035757,0.8617392
169,3.38,240.4124582001998,0.8443657
170,3.4,239.8288662369529,0.8783797
171,3.42,240.1210801656059,0.86512613
172,3.44,240.24447904527534,0.8569473
173,3.46,240.53754569263486,0.863009
174,3.48,240.37999061767965,0.85274494
175,3.5,239.08677255340163,0.88892484
176,3.52,239.23459282412432,0.88403386
177,3.54,238.05972510805157,0.85880613
178,3.56,237.07073601140735,0.8784005
179,3.58,236.76398273391683,0.89882576
180,3.6,236.03357530359503,0.8731312
181,3.62,232.40301593159018,0.82564014
182,3.64,230.367854572434,0.8721186
183,3.66,230.44256237711866,0.869441
184,3.68,231.16212802017662,0.8657998
185,3.7,232.9859708835929,0.871628
186,3.72,234.92021391557356,0.8720076
187,3.74,236.33850609373593,0.86026925
188,3.7600000000000002,237.52685712975557,0.8633269
189,3.7800000000000002,236.69643358276534,0.85515255
190,3.8000000000000003,234.74565689853787,0.8703583
191,3.8200000000000003,233.92772198430674,0.84323066
192,3.84,234.27338703139066,0.8315394
193,3.86,235.8153568067513,0.85760593
194,3.88,237.2136480945909,0.8769979
195,3.9,237.4941868129887,0.87353337
196,3.92,237.37782113550674,0.8743913
