Frame,Time,frequency,confidence
0,0.0,232.2395808944552,0.16314848
1,0.02,233.27361213921787,0.20921412
2,0.04,228.1334193262881,0.169634
3,0.06,232.05860753464424,0.1743751
4,0.08,229.60884747069315,0.091167755
5,0.1,229.61301401552933,0.10445044
6,0.12,228.85237886695177,0.23628251
7,0.14,233.16394776891036,0.63297725
8,0.16,237.1883451407102,0.65327305
9,0.18,234.5814290109645,0.5105859
10,0.2,225.4606230396917,0.5227182
11,0.22,238.80040846032617,0.40277988
12,0.24,231.18316012160744,0.6739075
13,0.26,228.7881965538453,0.44135717
14,0.28,232.78715032119726,0.4338202
15,0.3,235.441239995368,0.5342691
16,0.32,226.61154977211484,0.43039072
17,0.34,232.14208083537724,0.2533107
18,0.36,232.01420143502622,0.4298564
19,0.38,232.67190682525919,0.83793056
20,0.4,234.05537476328794,0.88480705
21,0.42,233.9217594606627,0.8563448
22,0.44,234.56811099071555,0.8532385
23,0.46,235.4047688654382,0.82610255
24,0.48,235.00756730126108,0.8363778
25,0.5,235.08025320749164,0.86186254
26,0.52,235.99557457344508,0.84138817
27,0.54,234.97854928856893,0.81011605
28,0.56,232.5163648859256,0.78394866
29,0.58,236.55033867164875,0.43634897
30,0.6,246.24948030307888,0.5283703
31,0.62,249.21881462824092,0.75309634
32,0.64,240.01043895400684,0.7173078
33,0.66,235.48565673044894,0.87987846
34,0.68,235.77231130332433,0.8923996
35,0.7000000000000001,236.67784026239832,0.8707108
36,0.72,240.75937072903065,0.75747705
37,0.74,249.13512916332365,0.79075164
38,0.76,240.01576158391018,0.50435734
39,0.78,231.00761610157377,0.78734
40,0.8,235.47524736654677,0.7955532
41,0.8200000000000001,235.90131570612533,0.80274296
42,0.84,235.53539875459037,0.83745545
43,0.86,238.37944555786717,0.78689057
44,0.88,237.99925715364748,0.29866928
45,0.9,236.48169200311756,0.5531756
46,0.92,245.362319108026,0.6303712
47,0.9400000000000001,248.1170880883448,0.819977
48,0.96,239.9024140271743,0.7603294
49,0.98,239.97977047178492,0.8590103
50,1.0,238.93635237102848,0.8100182
51,1.02,233.72152892299724,0.8504138
52,1.04,231.87119066902528,0.85277134
53,1.06,230.72278077182514,0.85585105
54,1.08,232.11237803197622,0.8342286
55,1.1,233.90611685957845,0.89221126
56,1.12,233.754896926093,0.87931246
57,1.1400000000000001,233.4520417195193,0.8694571
58,1.16,233.749124211357,0.8778077
59,1.18,235.08338752511662,0.8664719
60,1.2,235.05908259398325,0.88838065
61,1.22,234.0006468488028,0.9142617
62,1.24,232.3146599110783,0.8685274
63,1.26,230.4348935723424,0.87916243
64,1.28,230.58165152097362,0.87247586
65,1.3,232.19149889962404,0.8651945
66,1.32,232.66338077086368,0.8587983
67,1.34,230.4334204151307,0.86176693
68,1.36,223.63389913481205,0.84855604
