Frame,Time,frequency,confidence
0,0.0,224.73490384686758,0.10460378
1,0.02,226.82464508189778,0.03260511
2,0.04,225.58191438331735,0.19597502
3,0.06,210.7783916308997,0.25311807
4,0.08,200.18006616891128,0.29090968
5,0.1,188.70210547008892,0.46195716
6,0.12,181.7213066142259,0.6477637
7,0.14,178.55324262506576,0.6823733
8,0.16,179.2635666694909,0.71721244
9,0.18,179.19487389422105,0.33326647
10,0.2,166.87027182736753,0.44670683
11,0.22,170.52475671368381,0.6023256
12,0.24,178.8820120347952,0.5646674
13,0.26,180.2445629839983,0.41861033
14,0.28,175.3909408978237,0.18548845
15,0.3,173.89904808877006,0.21574575
16,0.32,176.17018431982447,0.4901841
17,0.34,168.48603139501193,0.22376786
18,0.36,158.63485202551567,0.11406275
19,0.38,158.3099070279839,0.29201895
20,0.4,162.13798208048675,0.58384573
21,0.42,160.4571814361208,0.83516294
22,0.44,160.93863313481805,0.5307126
23,0.46,162.0555809663662,0.40808576
24,0.48,163.5774919595152,0.3816218
25,0.5,160.85330684827318,0.62345684
26,0.52,161.88736581283362,0.81426424
27,0.54,161.9671405872145,0.32460943
28,0.56,161.82448733462257,0.3790511
29,0.58,162.12502482969455,0.13126533
30,0.6,164.81397410942117,0.16844939
31,0.62,160.38124046326664,0.091475986
32,0.64,162.68145807575226,0.10986064
33,0.66,161.31366992647338,0.2415326
34,0.68,165.09282248640173,0.28905165
35,0.7000000000000001,161.6206344211524,0.1997236
36,0.72,162.00477307388132,0.46492532
37,0.74,161.96740368136543,0.66958714
38,0.76,161.86540429992158,0.56801546
39,0.78,161.7825334278424,0.75386846
40,0.8,162.09146815997158,0.6105028
41,0.8200000000000001,164.42752394657214,0.5231072
42,0.84,179.25518061769634,0.63475716
43,0.86,187.16882617450952,0.75254685
44,0.88,209.10773873776577,0.78037083
45,0.9,216.40571204451362,0.8349454
46,0.92,226.64176666333685,0.71835285
47,0.9400000000000001,241.30441193844763,0.6651023
48,0.96,257.8981240663737,0.6215272
49,0.98,263.7733919310188,0.7323019
50,1.0,259.5486426381939,0.77790934
51,1.02,251.9532246029186,0.49569002
52,1.04,237.47570307520198,0.760733
53,1.06,233.99276664015545,0.80601776
54,1.08,238.3558903298637,0.78944564
55,1.1,243.74888722714275,0.79028684
56,1.12,251.48624181206685,0.707886
57,1.1400000000000001,255.55656490589385,0.67816186
58,1.16,241.1305258485985,0.46764454
59,1.18,236.94547900731817,0.3835248
60,1.2,246.34728453096957,0.52533937
61,1.22,251.48723131836792,0.5919886
62,1.24,237.82049023555197,0.36766687
63,1.26,239.2995623895265,0.57330716
64,1.28,234.93813344138562,0.8199467
65,1.3,236.58837538001336,0.84593344
66,1.32,237.18779076721728,0.77012664
67,1.34,234.33430801125212,0.836851
68,1.36,233.72341745758075,0.88731444
69,1.3800000000000001,234.79309018573701,0.8334635
70,1.4000000000000001,239.66677360779687,0.8618605
71,1.42,245.82111803836244,0.78207684
72,1.44,242.1083503815516,0.7166711
73,1.46,228.28762134481343,0.5984355
74,1.48,203.48509742043603,0.5770502
75,1.5,196.13419378034433,0.88572377
76,1.52,193.73776459870808,0.86184514
77,1.54,195.34863910495898,0.8340155
78,1.56,204.54138773851702,0.56732607
79,1.58,210.94649817866804,0.7999699
80,1.6,212.91983472925548,0.74408317
81,1.62,213.068821473181,0.8012717
82,1.6400000000000001,210.98328382511497,0.7826737
83,1.6600000000000001,208.03705511443957,0.8584362
84,1.68,205.6526587114044,0.8546859
85,1.7,204.24128369496276,0.7711042
86,1.72,203.2091071421811,0.6336204
87,1.74,187.19294892550045,0.7247451
88,1.76,177.38138997989918,0.39815095
89,1.78,169.31006340595263,0.4458727
90,1.8,172.53547401412956,0.2665736
91,1.82,183.32674197900533,0.22757351
92,1.84,190.00642430274863,0.48286116
93,1.86,190.64174502676283,0.81049216
94,1.8800000000000001,190.18280617866304,0.8146721
95,1.9000000000000001,188.45189473178235,0.82877254
96,1.92,188.97186594736513,0.81516
97,1.94,191.26173645118968,0.71438074
98,1.96,195.44388244841517,0.6254754
99,1.98,201.59060286618544,0.7337084
100,2.0,205.9877569754519,0.5178585
101,2.02,210.7624794905394,0.7720757
102,2.04,211.85788127028468,0.6187196
103,2.06,209.3691150057808,0.56263494
104,2.08,202.87607898685263,0.63503873
105,2.1,198.15554716553052,0.85084856
106,2.12,194.96398256116356,0.83174616
107,2.14,193.96637958307616,0.8287923
108,2.16,194.4187898241313,0.83668494
109,2.18,194.15042539227616,0.8199044
110,2.2,194.91794411816383,0.82810473
111,2.22,198.29543019464435,0.79599124
112,2.24,203.08531994438516,0.6964862
113,2.2600000000000002,209.1603543947133,0.5447245
114,2.2800000000000002,213.20622971000745,0.7090188
115,2.3000000000000003,210.65905825611975,0.3197518
116,2.32,205.32972956047885,0.62626284
117,2.34,199.1014437687407,0.83937865
118,2.36,196.54898866372906,0.8928309
119,2.38,196.96265246887125,0.89075184
120,2.4,199.52829585857953,0.854249
121,2.42,202.19292885356342,0.8373201
122,2.44,207.36317734533873,0.74097097
123,2.46,212.41732292502337,0.6173482
124,2.48,213.60344387011705,0.8119098
125,2.5,209.6995063517947,0.875434
126,2.52,208.12946052845967,0.31687367
127,2.54,199.27140371312117,0.5913758
128,2.56,193.15630213221638,0.810244
129,2.58,192.68728622260596,0.6580426
130,2.6,202.42309330488365,0.39759874
131,2.62,211.33424211950611,0.5921136
132,2.64,215.32840373659047,0.81266665
133,2.66,210.8839340626359,0.6259212
134,2.68,206.70026294838914,0.7479657
135,2.7,200.7783516483656,0.73563695
136,2.72,193.7282397306363,0.8109704
137,2.74,195.84388929738583,0.6755284
138,2.7600000000000002,206.3007444444253,0.78516096
139,2.7800000000000002,211.58586428986206,0.8207562
140,2.8000000000000003,212.15782245335842,0.8593403
141,2.82,207.93896127061123,0.817466
142,2.84,201.73864256528339,0.49790975
143,2.86,193.27282889806614,0.22241841
144,2.88,171.41670691653962,0.2026136
145,2.9,158.99564613829963,0.23411094
146,2.92,151.17449023516534,0.5300467
147,2.94,154.1590300665875,0.4027816
148,2.96,169.14273500722575,0.2866081
149,2.98,186.25490386086344,0.24085778
150,3.0,198.82381677605568,0.53029466
151,3.02,203.9918446224971,0.27590653
152,3.04,198.68123045829137,0.41114166
153,3.06,189.4552025140742,0.17180967
154,3.08,187.7381563102776,0.23795664
155,3.1,192.20041756138076,0.30438453
156,3.12,202.48943270185424,0.5518159
157,3.14,205.76057102186866,0.65580475
158,3.16,205.1649137492617,0.20434014
159,3.18,209.0916960315238,0.19512437
160,3.2,217.03510029583276,0.50463116
161,3.22,227.1964574460551,0.7646925
162,3.24,220.1076970538244,0.68007743
163,3.2600000000000002,196.63064369406894,0.68278205
164,3.2800000000000002,185.49066511798475,0.7845208
165,3.3000000000000003,184.22094087266714,0.84746003
166,3.3200000000000003,188.38856508758087,0.5804803
167,3.34,206.23501849652175,0.46914247
168,3.36,210.51234737393943,0.6563009
169,3.38,215.9117926803613,0.7662176
170,3.4,215.43618387944088,0.7569448
171,3.42,212.325189272926,0.78403234
172,3.44,208.0152931328792,0.7547663
173,3.46,205.2531281708684,0.62944067
174,3.48,186.72676496797783,0.274623
175,3.5,192.41134650992126,0.5101702
176,3.52,203.7042242848075,0.3588536
177,3.54,207.55861088449367,0.13738514
178,3.56,200.68892139399625,0.16036533
179,3.58,233.48726052108094,0.1524022
180,3.6,258.5912597091509,0.70129097
181,3.62,252.46764428645548,0.71732056
182,3.64,246.15006638753863,0.7574298
183,3.66,241.8497245596633,0.8346043
184,3.68,244.65928954664562,0.8647847
185,3.7,246.58662240059272,0.8532933
186,3.72,242.6630560160637,0.71782815
187,3.74,238.1409865482588,0.84834296
188,3.7600000000000002,237.05408882318574,0.8643212
189,3.7800000000000002,241.97006142085405,0.77320874
190,3.8000000000000003,260.7248483370899,0.38830298
191,3.8200000000000003,290.31965670694484,0.7194731
192,3.84,296.6775364315466,0.87131304
193,3.86,287.5487870926387,0.51422215
194,3.88,262.51752699415664,0.59644836
195,3.9,245.8758573646074,0.6844771
196,3.92,244.80992804027974,0.8379322
197,3.94,248.3548981080158,0.82100415
198,3.96,252.8033160019623,0.8323051
199,3.98,254.41639882391667,0.8445821
200,4.0,252.924672806094,0.80331886
201,4.0200000000000005,246.7575763202288,0.7810676
202,4.04,237.71125516727574,0.8273361
203,4.0600000000000005,235.82907366691316,0.88683593
204,4.08,242.5440612360072,0.8504028
205,4.1,247.52603472025845,0.8831382
206,4.12,250.06881338893973,0.81826097
207,4.14,250.88396472854959,0.7715792
208,4.16,250.7109401049,0.86718535
209,4.18,249.1408275144536,0.80617386
210,4.2,244.36099834527164,0.6838727
211,4.22,239.61170585297342,0.60130847
212,4.24,238.56228553238452,0.76229364
213,4.26,239.96751498130325,0.8862474
214,4.28,239.53178149549422,0.8219577
215,4.3,235.95563595173346,0.8272783
216,4.32,233.09105980690612,0.8694313
217,4.34,233.84304299503702,0.8811859
218,4.36,238.50190346649921,0.8642248
219,4.38,241.744531179482,0.87265766
220,4.4,242.73926484785247,0.8488482
221,4.42,243.1746457825126,0.8406738
222,4.44,241.99077463545706,0.86153805
223,4.46,238.3309845143774,0.82752156
224,4.48,237.23167027342893,0.882924
225,4.5,239.47601403810756,0.8697171
226,4.5200000000000005,244.22767012169396,0.81286174
227,4.54,247.43207768709595,0.865217
228,4.5600000000000005,247.11415985928392,0.85271263
229,4.58,243.36208670706102,0.807519
230,4.6000000000000005,238.42948842669028,0.84170717
231,4.62,237.23832249195118,0.88212264
232,4.64,240.81548929442008,0.8329647
233,4.66,244.92596289333284,0.8636744
234,4.68,247.1407679336296,0.8626791
235,4.7,244.98805271795118,0.85683167
236,4.72,242.5578536992279,0.8267549
