Frame,Time,frequency,confidence
0,0.0,130.56479834367008,0.06615195
1,0.02,130.31016860239492,0.05709822
2,0.04,129.46219909474604,0.23459353
3,0.06,129.45046389932034,0.24371698
4,0.08,129.33834305085287,0.18464969
5,0.1,128.43705000711157,0.19867916
6,0.12,129.01021382630944,0.21439162
7,0.14,128.95261170340908,0.16645317
8,0.16,130.17443545880266,0.20082031
9,0.18,129.81320252597908,0.2663619
10,0.2,127.80992991931376,0.13976072
11,0.22,129.9945525333449,0.11751436
12,0.24,144.4661518069969,0.109272026
13,0.26,164.06222192093,0.3038769
14,0.28,180.69987872219667,0.30519184
15,0.3,205.80739955754547,0.13200825
16,0.32,205.90953354844623,0.123647176
17,0.34,206.14614224379147,0.11818018
18,0.36,207.34469198903852,0.10034007
19,0.38,203.61905612357737,0.10203801
20,0.4,200.71250151972723,0.20554972
21,0.42,202.32790092649134,0.2743955
22,0.44,206.05210773669498,0.24653377
23,0.46,205.74072945261042,0.2876153
24,0.48,206.5857485230812,0.15590833
25,0.5,205.7908410802189,0.13412999
26,0.52,205.44211088087852,0.16770875
27,0.54,206.91702269131073,0.10245805
28,0.56,205.73684755534967,0.107768044
29,0.58,207.95122686976578,0.08270888
30,0.6,206.4566146087477,0.17353101
31,0.62,200.96725314262497,0.0796157
32,0.64,200.79778862986262,0.15296933
33,0.66,204.0192757586337,0.09594236
34,0.68,204.8791961101952,0.34713376
35,0.7000000000000001,205.7693204157138,0.30307126
36,0.72,205.64052002584896,0.35465977
37,0.74,206.44502294661916,0.43034777
38,0.76,205.2464011996447,0.44165465
39,0.78,200.3073281525708,0.16546547
40,0.8,200.1118956713138,0.06693083
41,0.8200000000000001,201.48658143075664,0.15484697
42,0.84,205.58320569063176,0.24386846
43,0.86,206.0881643332233,0.5002042
44,0.88,206.20308622107981,0.4053897
45,0.9,192.77865827415724,0.3235948
46,0.92,190.19655680726643,0.090460174
47,0.9400000000000001,182.50134713780565,0.13477816
48,0.96,175.79186425659634,0.07166441
49,0.98,171.30828329512133,0.084984474
50,1.0,165.13161277963601,0.13011442
51,1.02,152.92138744003285,0.09245265
52,1.04,143.68489062687186,0.3930893
53,1.06,134.54975261135363,0.32112324
54,1.08,128.6469918767165,0.3398243
55,1.1,118.74234471035221,0.25796494
