Frame,Time,frequency,confidence
0,0.0,1964.8900560814811,0.013913017
1,0.02,1964.8900560814811,0.013913017
2,0.04,1964.8900560814811,0.013913017
3,0.06,1964.8900560814811,0.013913017
4,0.08,1964.8900560814811,0.013913017
5,0.1,1964.8900560814811,0.013913017
6,0.12,1964.068533402543,0.015817685
7,0.14,1966.3938574322433,0.15477428
8,0.16,1938.1796375341137,0.440817
9,0.18,1965.2747219166777,0.08825205
10,0.2,1911.8024770333843,0.1544411
11,0.22,1723.0168311824004,0.1620203
12,0.24,1623.5275409208714,0.09601327
13,0.26,1643.823778634434,0.22716177
14,0.28,1551.0341526098375,0.294657
15,0.3,1409.2862580741687,0.060180396
16,0.32,1386.619659702661,0.1617856
17,0.34,1579.4654923625635,0.51459396
18,0.36,1581.8684404634091,0.6105806
19,0.38,1575.193268416376,0.45838794
20,0.4,1571.6967311828357,0.56239533
21,0.42,1574.3822085164234,0.5622332
22,0.44,1574.3280114465176,0.72214913
23,0.46,1574.3559970390597,0.8167689
24,0.48,1581.4663935552105,0.81947625
25,0.5,1587.043854467092,0.7771187
26,0.52,1590.8797969059765,0.6942429
27,0.54,1591.6651335069548,0.64684075
28,0.56,1599.6936637846454,0.67736506
29,0.58,1618.985945515838,0.73732126
30,0.6,1618.001542821899,0.73058355
31,0.62,1604.8318100411564,0.2844442
32,0.64,1584.6950509617395,0.39082897
33,0.66,1596.710128458582,0.50270927
34,0.68,1601.6373449304544,0.55565107
35,0.7000000000000001,1616.2820650638441,0.6732271
36,0.72,1655.101881308763,0.63319266
37,0.74,1686.6235445348457,0.65988994
38,0.76,1674.8086342774739,0.28889814
39,0.78,1598.5919482463612,0.41700324
40,0.8,1593.7239293367363,0.5158513
41,0.8200000000000001,1559.7711199953555,0.46662042
42,0.84,1559.7479396437252,0.7408059
43,0.86,1576.5780542520665,0.5597006
44,0.88,1462.889096209026,0.19090259
45,0.9,1403.6773872781855,0.3062234
46,0.92,1404.3403705667297,0.20263083
47,0.9400000000000001,1403.6413720526627,0.11326072
48,0.96,1507.1514310583873,0.1730884
49,0.98,1548.9353450221965,0.23418324
50,1.0,1525.929136419597,0.29773793
51,1.02,1475.738919165294,0.3518406
52,1.04,1456.556688198177,0.43038777
53,1.06,1429.8890539241847,0.4745065
54,1.08,1417.1543307987263,0.29692551
55,1.1,1526.7391768043694,0.16119625
56,1.12,1540.554310397868,0.5021056
57,1.1400000000000001,1581.9172798277446,0.27391344
58,1.16,1585.922162958679,0.08676581
59,1.18,1399.568388535667,0.19177826
60,1.2,1408.2072872705094,0.18520719
61,1.22,1541.6428002439402,0.25335917
62,1.24,1551.0518354325416,0.26879784
63,1.26,1557.797463721853,0.38399068
64,1.28,1475.556640467579,0.12561688
65,1.3,1463.185371544687,0.15849929
66,1.32,1422.6021068475472,0.32412872
67,1.34,1429.8697538894407,0.55505764
68,1.36,1469.0428873232904,0.5322404
69,1.3800000000000001,1447.4473987842512,0.36976445
70,1.4000000000000001,1421.7266214281572,0.5240032
71,1.42,1413.0417199025055,0.6580976
72,1.44,1465.91939254665,0.5531068
73,1.46,1473.2119690953289,0.48550978
74,1.48,1471.1775883847754,0.6255902
75,1.5,1486.0936433848688,0.6894306
76,1.52,1461.7829818923667,0.19045927
77,1.54,1463.6591456598449,0.510211
78,1.56,1485.2350127327172,0.8613299
79,1.58,1508.1440878641272,0.74072206
80,1.6,1571.159602636484,0.47474563
81,1.62,1601.7287023773295,0.44241345
82,1.6400000000000001,1580.8566381672995,0.7488961
83,1.6600000000000001,1573.4657071943318,0.7928278
84,1.68,1564.9609289208468,0.7727852
85,1.7,1571.0577369950179,0.76681745
86,1.72,1570.6815495420701,0.7425542
87,1.74,1567.91875119554,0.62428856
88,1.76,1557.071507052624,0.392028
89,1.78,1547.025406912981,0.6202004
90,1.8,1569.508971631204,0.5990039
91,1.82,1592.010710677379,0.21337232
92,1.84,1506.3386928098464,0.35207692
93,1.86,1509.6454166746275,0.42727423
94,1.8800000000000001,1485.7274184379773,0.17519547
95,1.9000000000000001,1457.6037370083632,0.2816534
96,1.92,1433.5784527572973,0.2727963
97,1.94,1411.0400932260743,0.7294884
98,1.96,1416.4295865251738,0.8002547
99,1.98,1440.204748000805,0.5392228
100,2.0,1478.4861600700988,0.6054542
101,2.02,1529.8662477717482,0.55071235
102,2.04,1593.637513001388,0.1810984
103,2.06,1400.9639734015732,0.20790811
104,2.08,1407.0764262211403,0.49072433
105,2.1,1419.3839355877349,0.25017288
106,2.12,1430.1132114732948,0.21162209
107,2.14,1442.4860947505745,0.36118278
