Frame,Time,frequency,confidence
0,0.0,149.58873946426365,0.054564558
1,0.02,151.2147427817271,0.23411915
2,0.04,151.0163291095796,0.17480838
3,0.06,149.40146236625435,0.12248195
4,0.08,149.10109311899538,0.078034796
5,0.1,149.8825196190077,0.15191068
6,0.12,153.04755160233213,0.31584495
7,0.14,157.48815168109383,0.627846
8,0.16,155.72698026856295,0.83443445
9,0.18,150.14706616180246,0.8021842
10,0.2,149.22682378226224,0.87999916
11,0.22,149.780188175005,0.88161033
12,0.24,148.9391675650671,0.89225
13,0.26,146.1068998818011,0.8781665
14,0.28,143.8614904124039,0.8716371
15,0.3,142.55974782555685,0.8280386
16,0.32,140.6672066510141,0.60127807
17,0.34,145.72475574951423,0.25311702
18,0.36,156.4689484016257,0.6598593
19,0.38,162.484802895204,0.7390622
20,0.4,166.6951042436845,0.8447784
21,0.42,167.66131840282617,0.8722823
22,0.44,166.91302930321223,0.8855306
23,0.46,162.69518398020358,0.7670382
24,0.48,157.6649607395083,0.7900293
25,0.5,150.2433993814034,0.6809054
26,0.52,145.42697667512283,0.8266046
27,0.54,144.60729741383804,0.27946216
28,0.56,147.33917762745935,0.44532228
29,0.58,150.36505179327736,0.43854025
30,0.6,153.99642155753432,0.5574664
31,0.62,154.10175254660845,0.67531216
32,0.64,153.2175770778009,0.46338066
33,0.66,155.38836874478295,0.48162124
34,0.68,147.65993778732266,0.35976654
35,0.7000000000000001,147.72219025166015,0.33709413
36,0.72,149.22739445927388,0.8411329
37,0.74,150.5297749890698,0.86644894
38,0.76,153.99085880946845,0.76739514
39,0.78,158.37041866651,0.72164214
40,0.8,162.16735264856052,0.54735184
41,0.8200000000000001,166.0422804297005,0.59635645
42,0.84,167.85181625326805,0.5221293
43,0.86,168.49345335863302,0.5864457
44,0.88,164.79470096827146,0.5835887
45,0.9,151.256991831801,0.3590807
46,0.92,149.2159993860653,0.36585718
47,0.9400000000000001,165.819855367,0.71022475
48,0.96,164.85677834070714,0.76388854
49,0.98,156.66876122807008,0.3589238
50,1.0,156.57932827153365,0.46495155
51,1.02,155.7298285978756,0.3449875
52,1.04,165.14738794691792,0.3761116
53,1.06,165.5838793878741,0.26083544
54,1.08,157.3531846338943,0.38133207
55,1.1,155.95673278662798,0.2986353
56,1.12,150.8809118428478,0.05432013
57,1.1400000000000001,156.22692800283656,0.41726428
58,1.16,149.9703156017079,0.23321095
59,1.18,160.06515686385384,0.20587747
60,1.2,151.40484281038167,0.55657935
61,1.22,162.9430078578962,0.37437722
62,1.24,151.12567844060652,0.5387918
63,1.26,142.70089586254824,0.73019946
64,1.28,139.37457647659582,0.5603447
65,1.3,141.86891492599878,0.8216618
66,1.32,142.55274993462072,0.8919809
67,1.34,145.07316017396076,0.87006766
68,1.36,147.91715125398144,0.848042
69,1.3800000000000001,149.7618473151048,0.77286947
70,1.4000000000000001,149.75571008740317,0.7668478
71,1.42,148.28118455799455,0.80694306
72,1.44,149.32340361034537,0.84281534
73,1.46,157.32371175245964,0.5386199
74,1.48,161.9127377404539,0.80195236
75,1.5,158.30778879710368,0.7974212
76,1.52,153.91302007731082,0.7695012
77,1.54,152.0068590887254,0.85515386
78,1.56,149.85590833742117,0.8865379
79,1.58,146.00338405599655,0.84176904
80,1.6,142.04320417321958,0.55089235
81,1.62,144.2979893764278,0.3670248
82,1.6400000000000001,147.578071423369,0.86322826
83,1.6600000000000001,144.96358459349037,0.8974935
84,1.68,142.79474893748701,0.8751125
85,1.7,141.09090877716613,0.8092987
86,1.72,138.43273356666796,0.8331464
87,1.74,136.9032689212949,0.81573045
88,1.76,131.1708255531339,0.84468096
89,1.78,125.23037374671894,0.7750485
90,1.8,119.75490260565847,0.41580582
91,1.82,124.15909010985101,0.32502082
92,1.84,131.6540806145909,0.3297636
93,1.86,133.18802877924003,0.1532657
94,1.8800000000000001,133.34578434008694,0.316664
95,1.9000000000000001,134.40775806372102,0.79415274
96,1.92,133.19720096070887,0.8809991
97,1.94,132.18769287890737,0.73255813
98,1.96,137.14268270912552,0.8127849
99,1.98,139.47412143096778,0.8851728
100,2.0,138.59222913462358,0.84988856
101,2.02,139.94923756907608,0.8429205
102,2.04,138.79188775937303,0.8787327
103,2.06,137.1877653573301,0.8651899
104,2.08,136.2223398656392,0.86414516
105,2.1,134.69853114026728,0.81575525
106,2.12,135.93910947420915,0.81818545
107,2.14,141.56771198865943,0.82081693
108,2.16,147.03034672540636,0.8601525
109,2.18,156.53218916335027,0.5237509
110,2.2,173.1826941455611,0.5548546
111,2.22,181.2504227367992,0.803571
112,2.24,203.05209403005165,0.40502617
113,2.2600000000000002,213.15261010142905,0.8179149
114,2.2800000000000002,214.3946083578818,0.7256021
115,2.3000000000000003,206.702793282884,0.61594397
116,2.32,211.3695307151669,0.50497836
117,2.34,218.49142709363466,0.35699326
118,2.36,209.38877793597942,0.2557469
119,2.38,214.1663858936754,0.15928736
120,2.4,207.25821061599518,0.31133178
121,2.42,186.08670864664964,0.6430235
122,2.44,161.48474206663764,0.2804396
123,2.46,144.3020827893481,0.5603208
124,2.48,131.6655772366931,0.70709056
125,2.5,128.88882803729177,0.85290235
126,2.52,127.79802853094361,0.8574388
127,2.54,126.98796892934533,0.84886473
128,2.56,125.51596941281241,0.83165574
129,2.58,123.56793234315732,0.8610871
130,2.6,120.71554558541217,0.8531492
131,2.62,121.93189659762892,0.82196665
132,2.64,124.03335876003351,0.83916056
133,2.66,126.29874620398994,0.7708614
134,2.68,128.31842076709322,0.74464554
135,2.7,131.56870506957125,0.59423363
136,2.72,135.46591922187875,0.62931746
137,2.74,137.07045393792862,0.7931014
138,2.7600000000000002,136.89720854770806,0.85033834
139,2.7800000000000002,136.04810225962146,0.8564063
140,2.8000000000000003,135.6658404979093,0.7369032
141,2.82,132.4186348955373,0.6804544
142,2.84,131.49791417921625,0.72048885
143,2.86,133.85934191389688,0.7691743
144,2.88,135.01016226994372,0.7408892
145,2.9,132.77088634715224,0.8574832
146,2.92,129.90489030114202,0.88850796
147,2.94,128.57513608505826,0.8652022
148,2.96,125.15658888980057,0.8316798
149,2.98,123.8868405719368,0.8726391
150,3.0,126.7803795354881,0.83172154
151,3.02,127.3210774492118,0.847718
152,3.04,124.30114517583318,0.8625768
153,3.06,120.69941061662115,0.77385473
154,3.08,111.84197262355242,0.5592313
155,3.1,117.46001943629102,0.44604528
156,3.12,120.99991049550097,0.8689365
157,3.14,122.53187460646382,0.8952215
158,3.16,122.61418802201081,0.90627587
159,3.18,123.08038445368972,0.8841522
160,3.2,124.75603123266858,0.80434674
161,3.22,128.1990488768752,0.8082997
162,3.24,130.9141874541297,0.77419
163,3.2600000000000002,137.36720244232833,0.7688916
164,3.2800000000000002,145.10160621438322,0.47464177
165,3.3000000000000003,158.08285752363022,0.12425475
166,3.3200000000000003,177.70865196766462,0.25129366
167,3.34,190.4809348793064,0.1341449
168,3.36,213.14257661801224,0.13791901
169,3.38,226.47920639934506,0.08314025
170,3.4,246.65732544523655,0.45516372
171,3.42,274.58249165991435,0.5595192
172,3.44,300.08210026110964,0.48037726
173,3.46,320.3661062134429,0.13349515
174,3.48,349.1018311202041,0.22133978
175,3.5,374.0423677039978,0.16881987
176,3.52,414.66884175811936,0.40954167
177,3.54,466.35396404481764,0.47302386
178,3.56,488.3391536776073,0.32768112
179,3.58,483.0118572715944,0.12476287
180,3.6,489.1525301887834,0.21890725
181,3.62,491.43138702199747,0.22491682
182,3.64,546.1541245999541,0.23991145
183,3.66,605.5015027056868,0.07767684
184,3.68,650.4113972852161,0.2282183
185,3.7,708.542986842307,0.24308959
186,3.72,769.7900305786003,0.5339918
187,3.74,873.4960956586737,0.42597812
188,3.7600000000000002,933.5797180056768,0.24769649
189,3.7800000000000002,1014.2415920089247,0.060467076
190,3.8000000000000003,1132.095355383043,0.027320234
191,3.8200000000000003,1251.7940115664614,0.041029427
192,3.84,1277.7173447777548,0.03311259
193,3.86,1306.0764457780137,0.077084064
194,3.88,1415.5361951043542,0.018564722
195,3.9,1564.1758797766088,0.018904425
196,3.92,1646.7555339208943,0.022806225
197,3.94,1679.793085819318,0.017342413
198,3.96,1722.428918166907,0.014536986
199,3.98,1748.1708234447033,0.015926303
200,4.0,1774.7314722023123,0.018570894
201,4.0200000000000005,1796.5790476235966,0.03999494
202,4.04,1805.6236208058776,0.04434674
203,4.0600000000000005,1812.0268844936381,0.029877923
204,4.08,1791.6933780502918,0.03889438
205,4.1,1793.7027764230277,0.059255905
206,4.12,1785.4723081680395,0.07978536
207,4.14,1789.604088286305,0.05241176
208,4.16,1797.5972599368874,0.04430772
209,4.18,1798.59082313092,0.05604404
210,4.2,1813.5677767464617,0.09546514
211,4.22,1814.5502649363716,0.05945632
212,4.24,1772.784915027836,0.05439858
213,4.26,1766.4051683387927,0.13415828
214,4.28,1763.7906760614053,0.07988535
215,4.3,1680.799562848632,0.04777976
216,4.32,1679.287314840164,0.11607065
217,4.34,1756.2701987368598,0.059773374
218,4.36,1775.5317235932114,0.047519848
219,4.38,1780.2247890991362,0.079452135
220,4.4,1783.5633663885405,0.05707772
221,4.42,1790.644783614846,0.06450623
222,4.44,1791.6447967316287,0.18129522
223,4.46,1796.1238052116378,0.2550663
224,4.48,1809.7109569889385,0.21177158
225,4.5,1805.8139401946332,0.16267985
226,4.5200000000000005,1792.9824026596157,0.13380605
227,4.54,1810.3579760215118,0.0914129
228,4.5600000000000005,1794.040961740244,0.098597184
229,4.58,1791.7003934977981,0.117534764
230,4.6000000000000005,1795.1030012481058,0.10682931
231,4.62,1794.5126726656877,0.12501591
232,4.64,1787.851518778931,0.16938698
233,4.66,1788.6108501596743,0.17900948
234,4.68,1802.8954310243303,0.11347236
235,4.7,1820.1983009069631,0.06627435
236,4.72,1781.2541564505025,0.04890758
237,4.74,1779.5594969980239,0.12956202
238,4.76,1780.652235696507,0.13416636
239,4.78,1777.3869520329426,0.10216422
240,4.8,1770.8893714306587,0.12641454
241,4.82,1766.2267313610973,0.060718335
242,4.84,1756.173531717489,0.028716149
243,4.86,1762.469639040314,0.033495054
244,4.88,1765.492495802546,0.105450265
245,4.9,1776.0997427314564,0.16390172
246,4.92,1786.2836722183195,0.21116042
247,4.94,1795.426803065338,0.1436118
248,4.96,1800.5018320713789,0.060109485
249,4.98,1805.4313799725387,0.04217462
250,5.0,1784.2853804638717,0.12233964
251,5.0200000000000005,1777.0354252569077,0.19347997
252,5.04,1781.976197647161,0.2294522
253,5.0600000000000005,1773.6062551070604,0.15451439
254,5.08,1756.677097824108,0.05099607
255,5.1000000000000005,1745.6604057358074,0.07807374
256,5.12,1760.7095508129228,0.20151167
257,5.14,1769.5582525707143,0.2988418
258,5.16,1794.924758883084,0.16589093
259,5.18,1791.6037609276245,0.062447563
260,5.2,1782.1036514882392,0.08970479
