Frame,Time,frequency,confidence
0,0.0,321.43960627115507,0.25698
1,0.02,317.62915030414314,0.45985815
2,0.04,310.2241657647758,0.14629409
3,0.06,311.43100033017083,0.53243685
4,0.08,314.683056345277,0.5055399
5,0.1,316.9867854131537,0.6176815
6,0.12,313.9168576559769,0.27602926
7,0.14,314.88993208361427,0.27178237
8,0.16,283.04050724884223,0.37858063
9,0.18,281.4440834973481,0.5576746
10,0.2,253.17451670838528,0.2113399
11,0.22,253.6372553514036,0.6223314
12,0.24,253.4473155938218,0.45294374
13,0.26,255.90410304345554,0.35154366
14,0.28,263.00584743367125,0.61177146
15,0.3,263.98728250147843,0.8490647
16,0.32,262.10871407677524,0.75498444
17,0.34,273.739989068115,0.33896148
18,0.36,261.6459016589617,0.30534196
19,0.38,277.5338296634615,0.4775685
20,0.4,270.8332298696883,0.62159437
21,0.42,266.1745670533361,0.5931171
22,0.44,262.4447341017123,0.733273
23,0.46,265.9797790665634,0.83327174
24,0.48,269.58520781226684,0.79351354
25,0.5,269.32757565758754,0.7101313
26,0.52,269.45778547572775,0.46957326
27,0.54,274.8400270963967,0.56114507
28,0.56,265.72066300831983,0.6626745
29,0.58,260.8405495196935,0.32997546
30,0.6,265.9475955998446,0.41278458
31,0.62,259.36007234308636,0.37732348
32,0.64,264.1982679866214,0.28145254
33,0.66,259.8476258619756,0.16960572
34,0.68,257.63220883219003,0.28069696
35,0.7000000000000001,249.48465215170864,0.24793333
36,0.72,254.33461544594107,0.14546084
37,0.74,255.9995060163132,0.3468107
38,0.76,249.49092116636152,0.32367188
39,0.78,283.8845566393728,0.1779691
40,0.8,311.1034623370734,0.26505595
41,0.8200000000000001,312.729121160386,0.19318588
42,0.84,308.4591285172382,0.15404873
43,0.86,298.9092884347444,0.18562698
44,0.88,295.0058036769715,0.13051097
45,0.9,278.2269223452989,0.14864428
46,0.92,253.83795013834725,0.3393323
47,0.9400000000000001,256.1034050181275,0.35308108
48,0.96,259.04077616245763,0.1205376
49,0.98,272.06928646251606,0.13950115
50,1.0,279.7767337864469,0.08570544
51,1.02,277.14985594849236,0.18093222
52,1.04,263.74908046947894,0.12389556
53,1.06,264.79780237732894,0.18351439
54,1.08,264.33211734347014,0.52575684
55,1.1,281.5856810775688,0.6804211
56,1.12,286.26617715703406,0.46576452
57,1.1400000000000001,280.0555204876208,0.5506697
58,1.16,280.38699316400096,0.75835115
59,1.18,275.6822798632278,0.5345004
60,1.2,273.4689399405002,0.6157291
61,1.22,278.0128813358337,0.5708395
62,1.24,271.4761705012471,0.38908413
63,1.26,281.13084964191944,0.6511476
64,1.28,281.9743298468706,0.82805115
65,1.3,275.2380555770362,0.75273937
66,1.32,272.3301276499938,0.7072725
67,1.34,272.02929782072414,0.65478164
68,1.36,275.04386631535215,0.5160806
69,1.3800000000000001,277.6322974164301,0.5649589
70,1.4000000000000001,271.9050133767778,0.40495616
71,1.42,278.552534066473,0.2734645
72,1.44,275.85535734617866,0.2997562
73,1.46,276.25719906846365,0.49025694
74,1.48,275.8356338391133,0.61720175
75,1.5,280.5848578048425,0.6602428
76,1.52,284.6578905340386,0.73507357
77,1.54,314.57377559905837,0.28835094
78,1.56,323.8412847732616,0.421214
79,1.58,332.4983206578259,0.27749112
80,1.6,336.0454402067818,0.6859099
81,1.62,338.2169096993815,0.75899863
82,1.6400000000000001,334.1856481962492,0.60964996
83,1.6600000000000001,324.82552038919124,0.30696076
84,1.68,337.1147093336876,0.2560466
85,1.7,338.80616474151,0.63256574
86,1.72,331.9968478064293,0.53999996
87,1.74,326.21603845272097,0.44672367
88,1.76,304.9510533920014,0.39143497
89,1.78,297.1159691468327,0.5396434
90,1.8,299.2628663570552,0.5574422
91,1.82,295.95032912027466,0.7338263
92,1.84,292.565211253433,0.85275906
93,1.86,286.2164402852351,0.82943046
94,1.8800000000000001,287.2978337493504,0.38197154
95,1.9000000000000001,296.0714441708727,0.641635
96,1.92,304.48010350719403,0.4684174
97,1.94,307.7202247661717,0.529822
98,1.96,296.53000396899847,0.25430068
99,1.98,305.5301158098464,0.6955786
100,2.0,305.19901012791405,0.85218036
101,2.02,305.54549182793085,0.8379991
102,2.04,308.76049609718706,0.8561821
103,2.06,307.8548428552875,0.85239685
104,2.08,306.1594265131095,0.84665316
105,2.1,307.16829481680554,0.8420985
106,2.12,308.3856764700386,0.8563225
107,2.14,308.4202185384131,0.8520959
108,2.16,308.85414018868863,0.84727263
109,2.18,309.6166427121782,0.8518089
110,2.2,312.4069069060309,0.86228853
111,2.22,314.8929525124625,0.8606064
112,2.24,318.07875488308196,0.84251213
113,2.2600000000000002,321.2514921377647,0.81697387
114,2.2800000000000002,323.82318241227097,0.82503533
115,2.3000000000000003,323.1152332806661,0.8338945
116,2.32,320.43283400056123,0.8576565
117,2.34,318.48304458265466,0.84778345
118,2.36,317.315282605042,0.8594985
119,2.38,314.6961448734784,0.86667943
120,2.4,313.3908234210291,0.8487821
121,2.42,316.2111768663589,0.8779025
122,2.44,326.19913000966596,0.7634452
123,2.46,329.63592240809896,0.8699396
124,2.48,323.79827931692614,0.5436597
125,2.5,328.0763792255337,0.52573025
126,2.52,333.828267016369,0.49576643
127,2.54,331.6017865439517,0.76401013
128,2.56,330.30667615046934,0.9029634
129,2.58,326.04117052246863,0.81276345
130,2.6,315.4047055261936,0.5374558
131,2.62,303.81109735748885,0.49574065
132,2.64,305.2203502380497,0.78354764
133,2.66,309.6207346153566,0.80167043
134,2.68,314.96317459832096,0.872114
135,2.7,323.61944624114267,0.76085144
136,2.72,330.1110494796724,0.8637932
137,2.74,335.11077651742664,0.71386963
138,2.7600000000000002,335.66572340671314,0.5229082
139,2.7800000000000002,322.3412802364213,0.68104243
140,2.8000000000000003,321.0660640724564,0.58786106
141,2.82,331.4120860755724,0.82703114
142,2.84,332.89203659658796,0.8450563
143,2.86,335.0180796603132,0.81861424
144,2.88,332.5617848533967,0.80222416
145,2.9,330.9154198298954,0.81673056
146,2.92,334.0018375669362,0.8053953
147,2.94,325.7046274616278,0.6005987
148,2.96,307.4250479833431,0.76713836
149,2.98,306.8565820417986,0.82866096
