Frame,Time,frequency,confidence
0,0.0,1947.6182516321737,0.06818648
1,0.02,1943.1635385465493,0.06786518
2,0.04,1973.7014858074358,0.7408117
3,0.06,1973.4184812322574,0.63821423
4,0.08,1975.5625790411746,0.39877224
5,0.1,1948.1329480936915,0.24477272
6,0.12,1951.6026567386525,0.41196105
7,0.14,1976.7639221521185,0.37667274
8,0.16,1965.1508119516602,0.6452432
9,0.18,1966.816505573655,0.29094332
10,0.2,1864.7669354445586,0.09407164
11,0.22,1727.4382163812518,0.09970346
12,0.24,1667.010742185911,0.38680622
13,0.26,1741.0972832988691,0.14956611
14,0.28,1668.3673531538188,0.2890176
15,0.3,1636.9018836014916,0.465753
16,0.32,1623.506380728269,0.32515815
17,0.34,1610.4441695988178,0.35762766
18,0.36,1667.4410171248198,0.23934549
19,0.38,1666.4201884208082,0.1505311
20,0.4,1608.2282849296123,0.22886874
21,0.42,1740.7117119254656,0.1304421
22,0.44,1834.103439103615,0.23979083
23,0.46,1949.7660070202821,0.08990496
24,0.48,1957.0733831068742,0.16602507
25,0.5,1956.2276923960326,0.031149551
26,0.52,1955.367054202219,0.19319312
27,0.54,1955.371518633001,0.12742494
28,0.56,1959.9900166560312,0.05269745
29,0.58,1958.0249823732051,0.09503909
30,0.6,1859.2329252563754,0.0649198
31,0.62,1683.54728316123,0.15160985
32,0.64,1675.679136272638,0.591913
33,0.66,1683.2673537956632,0.59820485
34,0.68,1683.7995220169685,0.45967254
35,0.7000000000000001,1692.8848965488537,0.21356033
36,0.72,1686.038715141885,0.23532304
37,0.74,1690.5485365215054,0.16597949
38,0.76,1684.2504071254905,0.20635504
39,0.78,1669.0269522429544,0.15302475
40,0.8,1637.2523397937662,0.26954338
41,0.8200000000000001,1644.7259222279956,0.41711587
42,0.84,1663.2698141875198,0.46049044
43,0.86,1615.684269144982,0.4197469
44,0.88,1644.0861321192137,0.39274007
45,0.9,1657.8207937763589,0.22466479
46,0.92,1597.7509865535237,0.18261704
47,0.9400000000000001,1704.4379918148559,0.1372991
48,0.96,1851.5111951543029,0.107452296
49,0.98,1951.5271617042795,0.081962965
50,1.0,1953.2807278339815,0.16326374
51,1.02,1963.0734810319318,0.09558414
52,1.04,1954.0735041124196,0.057470933
53,1.06,1950.9479355393048,0.14982778
54,1.08,1958.702153906028,0.074772984
55,1.1,1959.6624274229612,0.074733175
56,1.12,1963.8270116521448,0.08394197
57,1.1400000000000001,1961.804856368418,0.08795995
58,1.16,1956.3940167318033,0.11679608
59,1.18,1961.1840257923848,0.40947467
60,1.2,1809.424898874383,0.19923247
61,1.22,1683.1969955674574,0.12646541
62,1.24,1724.290674690392,0.16891745
63,1.26,1741.7334896435282,0.56691134
64,1.28,1709.0410006988755,0.21705168
65,1.3,1689.795409019647,0.39573604
66,1.32,1690.473533734841,0.3593216
67,1.34,1667.7654138952723,0.29088777
68,1.36,1659.9891741460478,0.7417836
69,1.3800000000000001,1665.6126505027241,0.5649409
70,1.4000000000000001,1662.3804486614163,0.5722839
71,1.42,1642.1283132804265,0.19117059
72,1.44,1637.2730592252256,0.32056636
73,1.46,1636.4862753057214,0.35585403
74,1.48,1515.0954774165132,0.1001662
75,1.5,1344.3612939377133,0.09371624
76,1.52,1204.839928298583,0.07629366
77,1.54,1105.091157184261,0.3790843
78,1.56,947.296308781568,0.09561208
79,1.58,889.740524313177,0.27183595
80,1.6,777.1634029103866,0.059049968
81,1.62,693.7630237706323,0.028768508
82,1.6400000000000001,702.0376513974386,0.042678546
83,1.6600000000000001,675.4793194656157,0.06868659
84,1.68,692.882011897417,0.08448017
85,1.7,706.2521663679267,0.09101594
86,1.72,676.5362831410143,0.24338701
87,1.74,675.5795108456412,0.089246675
88,1.76,672.9538755407632,0.09483367
89,1.78,661.9906309580251,0.13930814
90,1.8,664.7145552607606,0.15034133
91,1.82,665.7023717592721,0.22036585
92,1.84,666.1687148727933,0.11793047
93,1.86,604.7052437544261,0.09572701
94,1.8800000000000001,556.6022431428419,0.07407296
95,1.9000000000000001,512.4595449676647,0.085149355
96,1.92,469.7276426621551,0.13792789
97,1.94,415.1005776101579,0.14568943
98,1.96,375.2719602672792,0.07548918
99,1.98,341.4157560351706,0.22771049
100,2.0,303.2605274990121,0.029410223
101,2.02,278.7945491067552,0.09323236
102,2.04,251.3205607440591,0.17007677
103,2.06,227.70460373365765,0.08756567
104,2.08,203.8649553608582,0.28126615
105,2.1,182.8388428935723,0.094333015
106,2.12,164.7650809683177,0.060742952
107,2.14,147.69186087700393,0.115340866
108,2.16,127.33512680513576,0.03498164
109,2.18,116.83189069119607,0.17691548
110,2.2,103.77780240077286,0.23804578
111,2.22,90.09288378661591,0.09810322
112,2.24,82.31892981355044,0.05788469
113,2.2600000000000002,74.13157864540486,0.10784902
114,2.2800000000000002,63.08804095223535,0.09993703
115,2.3000000000000003,56.60542679532262,0.46018678
116,2.32,48.68905356126273,0.5202774
117,2.34,42.868538860942316,0.6583747
118,2.36,43.38321071723051,0.7531231
119,2.38,41.541389679892795,0.60762405
120,2.4,42.4560097208025,0.62612724
121,2.42,44.22844205034957,0.716437
122,2.44,43.03262410955793,0.7256969
123,2.46,42.593889625941785,0.652133
124,2.48,42.94763526414407,0.6748127
125,2.5,43.13956292241265,0.7253014
126,2.52,42.24554467169324,0.5585953
127,2.54,45.260870230052205,0.5566288
128,2.56,43.558537768087966,0.77555126
129,2.58,42.34759430636962,0.61742723
130,2.6,43.50061742433098,0.6496246
131,2.62,43.21908087918726,0.73897254
132,2.64,41.69105611623176,0.60633886
133,2.66,43.02705578402269,0.6941492
134,2.68,43.75911688440085,0.8135222
135,2.7,43.01319447634284,0.7362161
136,2.72,43.16655196051104,0.76736546
137,2.74,43.112492970249875,0.7277533
138,2.7600000000000002,43.45545048254184,0.77439666
139,2.7800000000000002,43.82080953902607,0.8136536
140,2.8000000000000003,42.36703644949334,0.6525767
141,2.82,42.58107223079796,0.62838686
142,2.84,43.67545065091869,0.81679654
143,2.86,42.941181890949,0.7220751
144,2.88,43.102280173390064,0.6942682
145,2.9,43.16144654353017,0.72129923
146,2.92,43.536951523471956,0.75437343
147,2.94,43.779898857597566,0.7965875
148,2.96,42.67052871475555,0.6330179
149,2.98,42.99042393671736,0.7107234
150,3.0,42.64952195878608,0.6598841
151,3.02,42.906076629291846,0.5908794
152,3.04,43.51880463730428,0.76049566
153,3.06,43.26281687466087,0.7445719
154,3.08,42.262487563502205,0.53550065
155,3.1,43.73016387402963,0.62865555
156,3.12,42.91824501908089,0.67189455
157,3.14,43.832501854852886,0.72761464
158,3.16,45.02130220298695,0.5663134
159,3.18,44.15785893878365,0.67206216
160,3.2,44.078270458005406,0.34920207
161,3.22,43.88958007197264,0.30689025
162,3.24,43.367237478488825,0.034878775
163,3.2600000000000002,43.038195401770274,0.0876641
164,3.2800000000000002,42.988524443332345,0.30970308
165,3.3000000000000003,40.37858214859305,0.26185226
166,3.3200000000000003,41.759521207334544,0.051757146
167,3.34,41.99012781178666,0.03751465
168,3.36,43.11367470937249,0.057437662
169,3.38,43.31840435377363,0.26266086
170,3.4,42.58768603833638,0.6486826
171,3.42,43.28397007792602,0.6894567
172,3.44,43.18801327602772,0.22348893
173,3.46,41.54902940753239,0.36330882
174,3.48,43.06990363612446,0.34218195
175,3.5,45.68683370123043,0.34264272
176,3.52,43.016628006748036,0.23492832
177,3.54,44.03630965596349,0.24767458
178,3.56,41.55183447683573,0.18550387
179,3.58,43.646530896043,0.063728526
180,3.6,46.2136851637939,0.06256149
181,3.62,48.342254349958196,0.070454724
182,3.64,52.776906458007325,0.059186473
183,3.66,54.80105647558925,0.03638752
184,3.68,58.35015651315515,0.080476284
185,3.7,62.62790052295486,0.045891345
