Frame,Time,frequency,confidence
0,0.0,171.08007098180107,0.1648994
1,0.02,173.34846610621028,0.35685247
2,0.04,170.84555956728911,0.20367473
3,0.06,167.03061798831172,0.220592
4,0.08,182.1336032613702,0.21247256
5,0.1,205.40828599212634,0.65787625
6,0.12,225.03552713309062,0.25411904
7,0.14,221.56327956044262,0.6089531
8,0.16,222.51440204752367,0.7079078
9,0.18,222.40349610771494,0.7792691
10,0.2,218.65379793877094,0.7359956
11,0.22,220.80204597274792,0.24171972
12,0.24,230.4906052082286,0.38195294
13,0.26,245.80587769173377,0.23546356
14,0.28,258.36330781021854,0.22949576
15,0.3,259.709127500382,0.5022012
16,0.32,257.62515194587263,0.31806302
17,0.34,251.52719185077513,0.40038005
18,0.36,257.4727543265512,0.76977515
19,0.38,250.79854344315157,0.55648386
20,0.4,241.50810448575328,0.40008944
21,0.42,236.5499977932174,0.24227315
22,0.44,232.60157255572193,0.09094803
23,0.46,212.81617560959265,0.28884652
24,0.48,195.70981127491058,0.17141415
25,0.5,180.14297345276958,0.117229916
26,0.52,157.4229749630252,0.13415658
27,0.54,145.6746321468162,0.28678742
28,0.56,139.6911944348209,0.3892429
29,0.58,140.1060421174593,0.17020029
30,0.6,137.41431409984185,0.114268854
31,0.62,148.0729036017472,0.27857205
32,0.64,148.45543794472957,0.44625998
33,0.66,158.1520050743961,0.21476616
34,0.68,168.67114747729843,0.2608552
35,0.7000000000000001,187.32851241676144,0.26555735
36,0.72,196.9802107704454,0.3947159
37,0.74,192.11773702919814,0.45812193
38,0.76,180.66378486146476,0.32712436
39,0.78,173.0814379472528,0.7706073
40,0.8,167.41564717736827,0.765543
41,0.8200000000000001,155.75285455156717,0.5655308
42,0.84,144.79548557335855,0.43886685
43,0.86,141.30150644420408,0.3942663
44,0.88,137.20153210347524,0.1782536
45,0.9,123.94351297139659,0.08229634
46,0.92,113.83252067235283,0.10531149
47,0.9400000000000001,117.5482956177629,0.24772774
48,0.96,121.54086690399205,0.20677271
49,0.98,124.18285860783934,0.14557141
50,1.0,124.19388888390955,0.095247775
51,1.02,125.03863355826829,0.3481703
52,1.04,127.17028952838994,0.12704276
53,1.06,121.61250907648183,0.75659823
54,1.08,119.81720859699035,0.79865813
55,1.1,120.4650293792489,0.7726977
56,1.12,120.21903633098681,0.3550205
57,1.1400000000000001,122.12347151465431,0.25066587
58,1.16,120.56201116259162,0.10757686
59,1.18,120.9805049838664,0.40949312
60,1.2,131.2290543916062,0.26433817
61,1.22,146.0397701371573,0.17620768
62,1.24,159.02837232527574,0.2655224
63,1.26,170.55027288412592,0.22924209
64,1.28,159.6107562455001,0.38568583
65,1.3,148.07499214993865,0.41730228
66,1.32,137.861715094777,0.25428057
67,1.34,124.45388831207089,0.13665678
68,1.36,117.03185421881672,0.15859896
69,1.3800000000000001,112.97334241336009,0.14234109
70,1.4000000000000001,110.56358374277437,0.4074167
71,1.42,108.49675521708564,0.33029488
72,1.44,110.81638614507327,0.24653623
73,1.46,109.27202116571428,0.27674693
74,1.48,119.82156829338928,0.5232115
75,1.5,121.47134450980992,0.68325865
76,1.52,121.3793784230861,0.6311566
77,1.54,120.383500408643,0.47735712
78,1.56,109.66638055761135,0.14448476
79,1.58,109.72350736999083,0.1134851
80,1.6,118.49505917222817,0.16319534
81,1.62,123.70964601789778,0.37573358
82,1.6400000000000001,128.46749180680865,0.17180786
83,1.6600000000000001,135.85934186034603,0.34618008
84,1.68,138.11565479519749,0.15712836
85,1.7,143.0474652587616,0.09565911
86,1.72,149.94827020645988,0.14268135
87,1.74,151.11698731994534,0.10103325
88,1.76,156.7297240575351,0.081944175
89,1.78,161.21770935900955,0.10011313
90,1.8,152.86062412709762,0.3141819
91,1.82,143.9995830925562,0.18700574
92,1.84,143.58176444261542,0.26612315
93,1.86,141.31339132110367,0.44495147
94,1.8800000000000001,137.92608150239855,0.21547101
95,1.9000000000000001,133.81208117919482,0.09327272
96,1.92,129.67355466736385,0.1272509
97,1.94,128.06032730539,0.16373168
98,1.96,123.78290866025074,0.5331655
99,1.98,125.7660483064843,0.36498138
100,2.0,116.87257744326561,0.2263285
101,2.02,113.1997954224339,0.5632192
102,2.04,109.75906945388842,0.31899506
103,2.06,119.34579585740158,0.21831979
104,2.08,126.43841403712486,0.5642612
105,2.1,122.74582278571361,0.39216435
106,2.12,119.79909059174054,0.3070576
107,2.14,122.86288353140874,0.10194754
108,2.16,120.93607494421946,0.62007034
109,2.18,120.91512739484267,0.6878683
110,2.2,121.01609660057491,0.4144561
111,2.22,120.89555406270442,0.30815333
112,2.24,117.06993546352447,0.13020347
113,2.2600000000000002,112.90034566351244,0.3316095
114,2.2800000000000002,119.56526858993217,0.13974278
115,2.3000000000000003,125.37667270163655,0.1939099
116,2.32,118.69628623901937,0.17602104
117,2.34,117.7410292640274,0.5735722
118,2.36,117.00708884388888,0.2112889
119,2.38,117.94518758585241,0.28328055
120,2.4,114.83200765286996,0.38326365
121,2.42,115.49602583580653,0.28327838
122,2.44,112.82127921065728,0.25513837
123,2.46,115.91386143954715,0.23007526
124,2.48,119.92193412118439,0.26410416
125,2.5,120.97706722891189,0.51004446
126,2.52,124.33269169599424,0.38261652
127,2.54,137.08791881125936,0.648707
128,2.56,159.96655489465877,0.41777796
129,2.58,182.1371583949667,0.35636663
130,2.6,212.26891244327658,0.7234043
131,2.62,231.20160380934973,0.83578146
132,2.64,232.41945517604736,0.70003104
133,2.66,232.8697706953649,0.26932454
134,2.68,251.61861043960042,0.37834334
135,2.7,267.40971244330854,0.117564194
136,2.72,265.4716454620166,0.589344
137,2.74,268.12238382501687,0.5494667
138,2.7600000000000002,261.818194452567,0.36630565
139,2.7800000000000002,246.3833493792831,0.16884322
140,2.8000000000000003,220.8267640909028,0.4197498
141,2.82,218.73481963559533,0.67809725
142,2.84,215.8081868009776,0.65404856
143,2.86,207.7732738798687,0.59859526
144,2.88,209.05739199149448,0.53586316
145,2.9,216.62877071576034,0.37371868
146,2.92,221.03146806409586,0.5935226
147,2.94,232.92067667122052,0.31646028
148,2.96,236.66962929548276,0.7030526
149,2.98,235.83098369783784,0.77780724
150,3.0,228.02990962058806,0.7749367
151,3.02,227.5239794108201,0.82169676
152,3.04,226.94739578757964,0.72982365
153,3.06,221.341610133981,0.3895875
154,3.08,218.47500009762507,0.36627707
155,3.1,217.89126643435165,0.18333437
156,3.12,250.27903767311125,0.49956656
157,3.14,265.4819540228134,0.5634515
158,3.16,264.6029861416006,0.55262274
159,3.18,271.0903437740176,0.18732898
160,3.2,286.72260104828996,0.12783545
161,3.22,289.37087002656006,0.2654896
162,3.24,297.8741091176332,0.22072756
163,3.2600000000000002,295.2588695135876,0.21865293
164,3.2800000000000002,293.6616821437508,0.23276174
165,3.3000000000000003,283.65496590599946,0.3827424
166,3.3200000000000003,277.1570969806721,0.20824887
167,3.34,273.894287319626,0.3021414
168,3.36,273.18052012266617,0.21534522
169,3.38,268.5517134243555,0.5108082
170,3.4,261.2753427550075,0.32447183
171,3.42,250.73734285159037,0.54200447
172,3.44,245.44161417570558,0.11498005
173,3.46,237.80416983851939,0.17856827
174,3.48,231.3483627394241,0.25463632
175,3.5,228.30812122375235,0.2558789
176,3.52,223.60195717898083,0.10669187
177,3.54,221.63846241660437,0.13117424
178,3.56,221.24472705824888,0.09607206
179,3.58,219.21165214125577,0.24649794
180,3.6,220.72696479358507,0.48592043
181,3.62,212.99117038319127,0.42068714
182,3.64,205.83209527397588,0.6094924
183,3.66,206.0132696119657,0.7305554
184,3.68,213.77571092459493,0.3947921
185,3.7,190.44769375267649,0.09494941
186,3.72,203.5306513064607,0.5380461
187,3.74,215.85617023723142,0.33473298
188,3.7600000000000002,220.75471144360137,0.2466321
189,3.7800000000000002,217.38235218586476,0.30774122
190,3.8000000000000003,216.41062421587924,0.47575426
191,3.8200000000000003,218.15321756398646,0.552426
192,3.84,215.67843710863303,0.6454731
193,3.86,216.00377554329708,0.62309873
194,3.88,220.23577623047674,0.52577144
195,3.9,220.58538430500593,0.8284679
196,3.92,218.52459131737518,0.7278747
197,3.94,219.53564256184518,0.47543153
198,3.96,224.00645654977424,0.07890665
199,3.98,221.1375530449189,0.6559814
200,4.0,216.9902888625307,0.61809325
201,4.0200000000000005,217.69928469055833,0.15238221
202,4.04,216.33107908686452,0.31019038
203,4.0600000000000005,202.19379710149255,0.31361523
204,4.08,196.3422506323499,0.45433855
205,4.1,198.20195417092356,0.38756257
206,4.12,193.60878094521468,0.34352672
207,4.14,198.61573120984713,0.42530218
208,4.16,178.55141697673136,0.28761843
209,4.18,167.2550032368503,0.30289814
210,4.2,155.7312648992861,0.20413221
211,4.22,154.04485439398954,0.3011423
212,4.24,157.7435954704838,0.58235586
213,4.26,157.3207435951698,0.3860399
214,4.28,141.12895369441924,0.27329385
215,4.3,144.93627944521918,0.5665805
216,4.32,148.2049948592149,0.81989855
217,4.34,149.38319774278756,0.8082007
218,4.36,149.51967003958987,0.7603324
219,4.38,147.6132535648173,0.45976594
220,4.4,147.5942088839938,0.2114958
221,4.42,147.38854308086877,0.362973
222,4.44,147.59092690944712,0.62337196
223,4.46,147.5584283064015,0.26092774
224,4.48,146.2467025851441,0.3281032
225,4.5,153.987818238224,0.48289678
226,4.5200000000000005,170.38138999594958,0.50377804
227,4.54,185.14590177421425,0.4247903
228,4.5600000000000005,199.97828443182806,0.41895223
229,4.58,206.086642275186,0.18868369
230,4.6000000000000005,216.9500870780452,0.17036378
231,4.62,224.91276041177122,0.112920724
232,4.64,248.17708531068985,0.1959049
233,4.66,265.8340015060434,0.30387333
234,4.68,268.99488678786923,0.42439288
235,4.7,271.4497133177862,0.5708935
236,4.72,260.696587591837,0.32236248
237,4.74,259.5779831769909,0.15722884
238,4.76,249.27000207101347,0.17241347
239,4.78,237.38389109871008,0.16815445
240,4.8,222.70907719740052,0.43668273
241,4.82,217.5695380696091,0.5301397
242,4.84,214.5831658394816,0.47336057
243,4.86,215.73556112380322,0.545751
244,4.88,213.77965563735648,0.71738464
245,4.9,213.85363285823058,0.7215289
246,4.92,219.43154361841857,0.27044067
247,4.94,221.39814236259113,0.3443934
248,4.96,225.71066532963,0.36507988
249,4.98,238.47984103670302,0.16029575
250,5.0,235.777164500937,0.4780349
251,5.0200000000000005,232.58925542515837,0.3303633
252,5.04,233.25285043018084,0.11517329
253,5.0600000000000005,236.66183778143966,0.18947048
254,5.08,226.1443046103172,0.4437079
255,5.1000000000000005,222.93478940738225,0.4677237
256,5.12,226.36225056100312,0.467593
257,5.14,228.82116771021572,0.122084215
258,5.16,225.61117432278894,0.112660915
259,5.18,225.44188948314198,0.3474889
260,5.2,221.26815184595316,0.5051899
261,5.22,220.67913363358684,0.4875349
262,5.24,220.70485046151913,0.3075014
263,5.26,220.82646181918622,0.15273035
264,5.28,222.47157549553745,0.34248713
265,5.3,221.22597171403032,0.115920715
266,5.32,213.2191449960355,0.54397845
267,5.34,205.15818899865704,0.6154644
268,5.36,203.10373146905533,0.61213493
269,5.38,205.2185892499774,0.4638364
270,5.4,203.9191520527222,0.21698177
271,5.42,202.99571919815423,0.28828022
272,5.44,209.17992001054193,0.5904565
273,5.46,213.5404781515459,0.8079876
274,5.48,212.20753659343063,0.78357697
275,5.5,206.42614493393205,0.73353076
276,5.5200000000000005,205.5596545992302,0.65308774
277,5.54,212.53795041123328,0.4830646
278,5.5600000000000005,205.2083113422989,0.6883235
279,5.58,206.75515949718886,0.509442
280,5.6000000000000005,211.88353635652027,0.46928185
281,5.62,219.75746393329393,0.6335757
282,5.64,223.69644046423045,0.2658206
283,5.66,228.7762580745286,0.32150224
284,5.68,207.68597805930324,0.49023366
285,5.7,210.15594111955434,0.46357375
286,5.72,220.67587759551455,0.16919662
287,5.74,232.8447370890784,0.181245
288,5.76,223.64224848074622,0.2689841
289,5.78,220.89068408048553,0.3146005
290,5.8,215.2994480050209,0.67821735
291,5.82,215.9044996472019,0.66844785
292,5.84,215.83755340568476,0.43287492
293,5.86,213.43640248076224,0.3540922
294,5.88,207.62408625157437,0.18129548
295,5.9,203.81798199769204,0.62596595
296,5.92,201.72536698122673,0.7561336
297,5.94,207.2249965477371,0.76207805
298,5.96,212.44889529305073,0.82877195
299,5.98,213.9078926312986,0.71122736
300,6.0,211.00612510535058,0.5917065
301,6.0200000000000005,205.22122835358317,0.61026585
302,6.04,207.60715727687375,0.6386148
303,6.0600000000000005,214.0132183239173,0.7888988
304,6.08,218.19452680519208,0.7660834
305,6.1000000000000005,220.92807329490196,0.3996682
306,6.12,218.99528768003194,0.25228444
307,6.140000000000001,220.41128538956002,0.22361773
308,6.16,223.77982966920794,0.17213924
309,6.18,227.5946175056622,0.54025936
310,6.2,225.38730955633324,0.5655163
311,6.22,224.49334457243947,0.67180896
312,6.24,221.8322486138158,0.7876781
313,6.26,219.5835379681077,0.62709427
314,6.28,207.10210168390864,0.514516
315,6.3,182.19583235423002,0.7607749
316,6.32,171.7796364433729,0.8250394
317,6.34,159.56522227339082,0.7890051
318,6.36,146.6310799726058,0.6710798
319,6.38,134.76598533716592,0.40980774
320,6.4,122.01750052178234,0.81150043
321,6.42,114.22409661151099,0.45924005
322,6.44,105.40089162885553,0.60187995
323,6.46,108.09347520144635,0.74514407
324,6.48,108.85916870578454,0.8076094
325,6.5,110.3535122058233,0.8302755
326,6.5200000000000005,111.71730661467278,0.75642145
327,6.54,112.95498476694738,0.6386391
328,6.5600000000000005,114.81293221632156,0.66372883
329,6.58,116.88996369946038,0.7797839
330,6.6000000000000005,117.93448289733482,0.764115
331,6.62,119.45797532119188,0.8448497
332,6.640000000000001,119.59083979270984,0.8602563
333,6.66,119.90333298172234,0.850817
334,6.68,120.68674896692742,0.8708602
335,6.7,120.78168067255456,0.8683831
336,6.72,121.49677475500617,0.8808084
337,6.74,122.2549088420483,0.9036669
338,6.76,122.30207962031257,0.88731265
339,6.78,122.230786990909,0.8997449
340,6.8,122.71769015753566,0.91186225
341,6.82,122.96099448406935,0.91292137
342,6.84,122.08105971735948,0.8893049
343,6.86,120.64724805164371,0.87717026
344,6.88,120.7978925484687,0.8699701
345,6.9,121.23422268363271,0.88925236
346,6.92,121.76423507505147,0.87748975
347,6.94,121.72348056154715,0.8604753
348,6.96,120.80059479316212,0.8904467
349,6.98,119.12839679053533,0.8758469
350,7.0,119.42382521896567,0.8802618
351,7.0200000000000005,119.50059196116392,0.8898754
352,7.04,119.18674677879464,0.86181056
353,7.0600000000000005,118.99889855494243,0.8780374
354,7.08,119.476085837634,0.8844226
355,7.1000000000000005,120.29101817146547,0.87403655
356,7.12,120.94446892692906,0.8747583
357,7.140000000000001,121.12537327434299,0.8650975
358,7.16,122.08219464800202,0.8925734
359,7.18,123.13888653655616,0.90413904
360,7.2,123.60281428808833,0.90003973
361,7.22,122.91525199746036,0.89618516
362,7.24,122.89825561264401,0.89798206
363,7.26,122.74000705005818,0.8971579
364,7.28,122.4994501180833,0.90090436
365,7.3,122.79730936304878,0.9008696
366,7.32,123.0559785924423,0.9015041
367,7.34,122.7410811215619,0.91189665
368,7.36,122.32708355862107,0.9056292
369,7.38,121.96453238052563,0.8951239
370,7.4,121.85307970547107,0.88657326
371,7.42,121.15526871229831,0.8941956
372,7.44,120.57924694308761,0.86283267
373,7.46,121.21571838038408,0.86544955
374,7.48,120.87259865094056,0.84341264
375,7.5,121.5488694035237,0.7962287
376,7.5200000000000005,121.7640900071551,0.8286581
377,7.54,122.43780459032818,0.88387334
378,7.5600000000000005,122.14911977087269,0.88265026
379,7.58,122.26847487607223,0.8732275
380,7.6000000000000005,123.24724485926545,0.8532484
381,7.62,122.41346655712505,0.8781127
382,7.640000000000001,121.14126662386631,0.8931113
383,7.66,122.2295269613791,0.8511423
384,7.68,122.82290729088825,0.8605098
385,7.7,123.37155026041067,0.8580962
386,7.72,122.21428679415192,0.8576338
387,7.74,121.94305108670133,0.83979535
388,7.76,121.88684437741365,0.8648508
389,7.78,121.42580992822991,0.8727027
390,7.8,121.35888124886598,0.86022484
391,7.82,120.85133515312987,0.81930655
392,7.84,120.0918799076224,0.6969154
393,7.86,121.3022737333069,0.8272313
394,7.88,121.2277940452459,0.86069185
395,7.9,122.3154355864747,0.86728895
396,7.92,122.35174557901514,0.8805007
397,7.94,122.09686403840738,0.88357806
398,7.96,123.07342016506821,0.88783395
399,7.98,121.67005555621415,0.85620666
400,8.0,122.15598544436885,0.8512919
401,8.02,121.82500229008608,0.83163476
402,8.040000000000001,120.80695805342495,0.8617153
403,8.06,120.98335715659026,0.85939527
404,8.08,121.14167974983096,0.72697186
405,8.1,119.25759510881105,0.48905516
406,8.120000000000001,119.08219336867023,0.6033404
407,8.14,120.61148416628512,0.81529665
408,8.16,121.10374766324355,0.8184905
409,8.18,123.39598937702264,0.81110764
410,8.2,121.76352687758367,0.82553434
411,8.22,121.48714026359784,0.86695004
412,8.24,122.0871978062082,0.86083347
413,8.26,121.21525594444428,0.7208098
414,8.28,122.20533756661978,0.66841817
