Frame,Time,frequency,confidence
0,0.0,311.40461405610114,0.3411388
1,0.02,314.85390852224765,0.8516486
2,0.04,317.9435216662955,0.839345
3,0.06,317.55216512453467,0.84958446
4,0.08,311.8591457921844,0.7643291
5,0.1,305.2797263604594,0.63306105
6,0.12,307.7118403417179,0.57542694
7,0.14,310.33568140649237,0.29660583
8,0.16,337.9958758511105,0.19918996
9,0.18,294.50590510660686,0.5638083
10,0.2,274.54922691943506,0.5915408
11,0.22,266.70056571616794,0.86295456
12,0.24,264.53713100453405,0.88265204
13,0.26,266.66152466380174,0.8712074
14,0.28,266.4392582028728,0.892272
15,0.3,263.27540361575797,0.8245583
16,0.32,250.17878188626057,0.5194071
17,0.34,247.12272111425926,0.8412653
18,0.36,251.01807042697715,0.82603353
19,0.38,251.79053630768365,0.7812421
20,0.4,250.43034127109237,0.6969715
21,0.42,246.52863080885513,0.4131537
22,0.44,242.18201390709763,0.48462412
23,0.46,239.3781934300354,0.7112906
24,0.48,240.67847745549255,0.63073134
25,0.5,241.58654633344565,0.5188941
26,0.52,246.25157755754032,0.6631582
27,0.54,245.55549588702857,0.6677387
28,0.56,234.40271140961332,0.5056056
29,0.58,257.31321744646806,0.4634202
30,0.6,260.99851361165173,0.7855289
31,0.62,279.74451881814286,0.5572643
32,0.64,291.63841370535533,0.25803488
33,0.66,333.27886501523784,0.29207352
34,0.68,372.07456100738403,0.6488966
35,0.7000000000000001,375.21854089167704,0.58448887
36,0.72,365.2633742432602,0.21173592
37,0.74,372.84495583303215,0.16087572
38,0.76,373.678519711905,0.1586559
39,0.78,374.75241229163476,0.25166005
40,0.8,370.54709434372086,0.19979376
41,0.8200000000000001,363.07794502867324,0.1960333
42,0.84,362.01069047418684,0.35333544
43,0.86,356.3475352422181,0.17650081
44,0.88,321.490672602122,0.08679222
45,0.9,278.5113370847778,0.4163742
46,0.92,255.49346335650355,0.28198805
47,0.9400000000000001,256.7124265446426,0.33468688
48,0.96,259.1342024567515,0.07205076
49,0.98,258.4590015541698,0.41578886
50,1.0,257.04727304575624,0.42072132
51,1.02,256.0890982244324,0.24153502
52,1.04,259.40559611052925,0.31956595
53,1.06,259.9062080289117,0.32083917
54,1.08,264.12041469064087,0.32147613
55,1.1,274.8675398231223,0.26987502
56,1.12,269.1207118168252,0.43178207
57,1.1400000000000001,266.39084220035846,0.3309909
58,1.16,269.85527892266805,0.38493624
59,1.18,271.2708208545789,0.23817748
60,1.2,272.2157239183807,0.16699341
61,1.22,288.93094329370365,0.7558749
62,1.24,309.92213984301185,0.30505976
63,1.26,342.3544344916207,0.53646165
64,1.28,347.352118406914,0.8289797
65,1.3,347.6037383121266,0.82884675
66,1.32,345.56636409592153,0.8276212
67,1.34,343.8135561285489,0.8127653
68,1.36,341.3703594545894,0.8190735
69,1.3800000000000001,334.72622054671655,0.7767829
70,1.4000000000000001,325.9890666874113,0.8247766
71,1.42,322.0743331695072,0.857687
72,1.44,322.61443649413565,0.8408222
73,1.46,323.2143854352526,0.8176921
74,1.48,324.60115219785365,0.7916355
75,1.5,324.5308339726881,0.82565343
76,1.52,323.98330124092956,0.82972795
77,1.54,329.71172033670837,0.8557887
78,1.56,332.7238515229962,0.77598625
79,1.58,342.67761523152564,0.34284374
80,1.6,374.3402727665196,0.5347339
81,1.62,416.9016276214816,0.49883372
82,1.6400000000000001,452.4342118849311,0.74296886
83,1.6600000000000001,449.641862303256,0.80018747
84,1.68,439.91230475533223,0.77749306
85,1.7,398.0770680156272,0.27044764
86,1.72,354.0806373166192,0.42523575
87,1.74,320.5159209743301,0.45133695
88,1.76,316.03609707526306,0.33515072
89,1.78,315.5227798410039,0.8468959
90,1.8,315.0742416155474,0.89419705
91,1.82,309.272605066315,0.74022615
92,1.84,296.3542915874222,0.5770627
93,1.86,312.6344784025767,0.42238584
94,1.8800000000000001,336.2171339256327,0.4807174
95,1.9000000000000001,346.8027381134107,0.7438588
96,1.92,353.3941012189566,0.8739869
97,1.94,365.830581242949,0.69408125
98,1.96,384.6051292345035,0.6177444
99,1.98,395.7919344872148,0.8463333
100,2.0,400.3403546967146,0.8779441
101,2.02,399.94577901211085,0.86772287
102,2.04,395.25343011347337,0.7756907
103,2.06,370.0855004865598,0.54895175
104,2.08,369.10575024059915,0.24761407
105,2.1,375.02752989321027,0.65845895
106,2.12,373.2520094949132,0.7078333
107,2.14,370.0143242533167,0.8730841
108,2.16,363.9774988389522,0.7256169
109,2.18,353.3821678119992,0.61262953
110,2.2,343.5789900647703,0.4071338
111,2.22,350.56353012050545,0.5933093
112,2.24,352.1144404945503,0.8197566
113,2.2600000000000002,350.2034412235512,0.8698244
114,2.2800000000000002,351.20024409456846,0.85597193
115,2.3000000000000003,350.25100308145056,0.67394143
116,2.32,339.63140677100597,0.5390951
117,2.34,338.4124430217819,0.75923705
118,2.36,338.3061692306992,0.80620736
119,2.38,336.8248770946807,0.7867697
120,2.4,332.48217981432725,0.80417085
121,2.42,327.77971757021993,0.85128313
122,2.44,322.9765773593286,0.8330323
123,2.46,317.1105574775858,0.78928894
124,2.48,314.28157040543374,0.50947297
125,2.5,317.74217970325884,0.8265427
126,2.52,322.3767748423048,0.8485473
127,2.54,329.0232601082442,0.7541439
128,2.56,352.6151478073863,0.49862874
129,2.58,369.98585075943004,0.55436575
130,2.6,390.4282367969838,0.37280267
131,2.62,385.88729619402284,0.3806879
132,2.64,358.65530995897973,0.6156506
133,2.66,350.1700696426782,0.31644157
134,2.68,331.47352996457045,0.29234302
135,2.7,322.9753360210851,0.3130824
136,2.72,287.5182726972887,0.4323067
137,2.74,290.61634016592745,0.34879473
138,2.7600000000000002,293.116148584871,0.28217506
139,2.7800000000000002,285.6529387299167,0.19175833
140,2.8000000000000003,276.70914650388033,0.5518898
141,2.82,275.50894512606123,0.789521
142,2.84,269.56289077053947,0.5401534
143,2.86,266.10736984182734,0.56478524
144,2.88,267.1725908015639,0.3564184
145,2.9,268.3242575778531,0.4636694
146,2.92,271.4573970567394,0.19822994
147,2.94,286.39982167872415,0.50751907
148,2.96,294.636624330058,0.6892251
149,2.98,290.4985696162039,0.37518552
150,3.0,319.33718234015197,0.50924873
151,3.02,368.5745812667369,0.35939118
152,3.04,396.83406678327776,0.3496656
153,3.06,398.486268117847,0.5062804
154,3.08,395.21102706137214,0.7730144
155,3.1,395.26046751393767,0.88831425
156,3.12,394.59681647946934,0.8486591
157,3.14,389.84914238180534,0.5554777
158,3.16,376.2002239702554,0.324252
159,3.18,382.1084613864699,0.6089194
160,3.2,368.2298964212429,0.44478053
161,3.22,356.73919759068843,0.81009
162,3.24,352.67977095563765,0.84452415
163,3.2600000000000002,345.46120016416637,0.56923354
164,3.2800000000000002,346.89165545696756,0.36702618
165,3.3000000000000003,357.7666934852567,0.420663
166,3.3200000000000003,352.72884704792466,0.59755886
167,3.34,347.70591896052537,0.66878176
168,3.36,349.59847021807684,0.89346445
169,3.38,349.843138737977,0.9117115
170,3.4,349.27342319315176,0.8958878
171,3.42,347.5192917693675,0.820808
172,3.44,343.6189579791221,0.62921226
173,3.46,340.010175984718,0.444271
174,3.48,340.3298889060938,0.77329576
175,3.5,338.2604280077593,0.80669874
176,3.52,335.4622890429752,0.8137699
177,3.54,333.89172752155383,0.79098094
178,3.56,328.1090637763262,0.7402314
179,3.58,315.4832666827251,0.8138459
180,3.6,310.7263783959985,0.83448136
181,3.62,308.15719255183893,0.82965225
182,3.64,312.2318781828427,0.85384774
183,3.66,315.2661222227858,0.867173
184,3.68,325.298580501753,0.6988481
185,3.7,330.51314208807975,0.71074903
186,3.72,331.1097142699009,0.33155158
187,3.74,334.19019161891197,0.50313616
188,3.7600000000000002,340.8867121995916,0.82022613
189,3.7800000000000002,345.27153750138166,0.63893926
190,3.8000000000000003,345.7962040478018,0.3802511
191,3.8200000000000003,340.14928155088955,0.22205839
192,3.84,316.84412988253155,0.3457035
193,3.86,294.3557098067453,0.27351803
194,3.88,283.63205604544066,0.7257379
195,3.9,268.2044743717674,0.60978436
196,3.92,267.44441665879464,0.8388175
197,3.94,269.6048438001148,0.8785459
198,3.96,271.8224597529456,0.8628839
199,3.98,277.1257877853451,0.8615764
200,4.0,278.1956475215246,0.888212
201,4.0200000000000005,276.00384724038156,0.63399136
202,4.04,262.55674403894363,0.2945252
203,4.0600000000000005,271.0168713056333,0.6141969
204,4.08,276.35773198590994,0.24034439
205,4.1,274.60636810383863,0.3068236
206,4.12,275.2531223966199,0.5518048
207,4.14,296.7062002315282,0.5983044
208,4.16,295.41559107311554,0.86513764
209,4.18,285.59528197780946,0.8548906
210,4.2,278.62058255925535,0.89049304
211,4.22,275.29518959941026,0.63655853
212,4.24,283.76611712285813,0.38566998
213,4.26,290.39794425003197,0.32346073
214,4.28,288.35338979157416,0.54606545
215,4.3,283.31943645232315,0.8139272
216,4.32,275.0427107938133,0.654788
217,4.34,250.14036168342244,0.4063272
218,4.36,234.03163922054227,0.7626158
219,4.38,249.47978787942054,0.4949005
220,4.4,253.79627899635867,0.8416287
221,4.42,252.7810300524111,0.75603676
222,4.44,250.18715184006732,0.7442308
223,4.46,247.20551518039656,0.72864467
224,4.48,238.0738185165217,0.5244006
225,4.5,243.10672857904947,0.060386352
226,4.5200000000000005,248.97792158032814,0.58425856
227,4.54,258.5268411078421,0.4530681
228,4.5600000000000005,253.31429036656073,0.6376986
229,4.58,247.88265686382218,0.75302577
230,4.6000000000000005,237.39740549290954,0.70720613
231,4.62,233.74950206445732,0.87624294
232,4.64,230.2653461235411,0.84055746
233,4.66,227.4706186790944,0.8578831
234,4.68,226.31466839427003,0.84987706
235,4.7,223.4916288279372,0.8731322
236,4.72,220.34862568459494,0.8405958
237,4.74,217.23799256308124,0.7378471
238,4.76,212.92196620571264,0.78808546
239,4.78,207.8195628516459,0.8008623
240,4.8,203.52287590246348,0.832896
241,4.82,202.28530706022795,0.74688226
242,4.84,206.49848938298913,0.514099
243,4.86,201.53403259399823,0.32819477
244,4.88,192.0350280112834,0.48925596
245,4.9,184.11140827598075,0.15826322
246,4.92,180.18531135994044,0.29545024
247,4.94,171.7449964246454,0.38991475
248,4.96,161.70561008792015,0.23531139
249,4.98,157.41265602740305,0.12939762
250,5.0,150.64055710435093,0.21398346
251,5.0200000000000005,152.83808802856703,0.30860785
252,5.04,155.53018831325087,0.35835624
253,5.0600000000000005,155.76432251522377,0.2694227
254,5.08,156.58609986846514,0.346752
255,5.1000000000000005,154.3875442217936,0.20490938
256,5.12,155.85502732635152,0.15756193
257,5.14,155.39908731390472,0.17198709
258,5.16,155.73353829055043,0.24504033
259,5.18,155.6836878682939,0.33257475
260,5.2,151.62305683962902,0.5049793
261,5.22,151.26068042235175,0.43536454
262,5.24,149.34972749455935,0.14704391
263,5.26,151.61182018079535,0.26376936
264,5.28,150.96038652424448,0.48248947
265,5.3,172.73236686758725,0.31281793
266,5.32,193.38849945871715,0.2353518
267,5.34,222.23001136736613,0.49791968
268,5.36,244.5814588004696,0.52886736
269,5.38,270.6971379085933,0.6029918
270,5.4,308.32840023105837,0.42075214
271,5.42,317.513067549247,0.8142768
272,5.44,326.4756006926183,0.8087849
273,5.46,336.48344053415025,0.63287425
274,5.48,350.8717943968087,0.8439221
275,5.5,356.89652814068216,0.8773193
276,5.5200000000000005,359.17471473654507,0.88730675
277,5.54,358.1841917394563,0.8738561
278,5.5600000000000005,355.7005937318482,0.5396288
279,5.58,361.804285751328,0.6968014
280,5.6000000000000005,365.3398376327981,0.8363145
281,5.62,369.67303504254164,0.8793125
282,5.64,368.03932985839873,0.76155627
283,5.66,363.3271817159269,0.4525961
284,5.68,353.4862033827903,0.3258773
285,5.7,355.1926496475624,0.7211565
286,5.72,366.2201106627941,0.4661219
287,5.74,366.57182941833946,0.8126518
288,5.76,368.788279824667,0.8585594
289,5.78,375.39946000969934,0.8108979
290,5.8,386.3600644774307,0.74103796
291,5.82,397.7639782770028,0.7452074
292,5.84,411.755763311019,0.87091243
293,5.86,419.34249053828717,0.8407204
294,5.88,418.941880314132,0.7310783
295,5.9,405.1999242058889,0.41465223
296,5.92,371.4868414370082,0.52959436
297,5.94,335.8916341201404,0.60159355
298,5.96,294.8827532404618,0.3954617
299,5.98,269.67066086355874,0.58251363
300,6.0,271.1036843288536,0.7940305
301,6.0200000000000005,267.9133047716936,0.34410498
302,6.04,262.71530002544495,0.16592787
303,6.0600000000000005,261.1876252372141,0.33371067
304,6.08,262.1059543794125,0.52423286
305,6.1000000000000005,266.53813572911866,0.25288182
306,6.12,281.2529315986722,0.116943404
307,6.140000000000001,298.1831415490675,0.3552115
308,6.16,309.7220422362432,0.55647135
309,6.18,311.1945415867358,0.1933954
310,6.2,349.07556035743227,0.5096465
311,6.22,346.27378267755114,0.25221723
312,6.24,351.6269560993351,0.4687743
313,6.26,381.4465568387609,0.43922552
314,6.28,392.9570245226295,0.7433555
315,6.3,398.8115571719805,0.865505
316,6.32,404.33914079687963,0.8708366
317,6.34,405.3447846750089,0.78042674
318,6.36,399.49401783702916,0.5539582
319,6.38,389.96935558073034,0.1688558
320,6.4,375.84161043738055,0.35596994
321,6.42,373.9393672199713,0.7694979
322,6.44,375.4722273850281,0.8729681
323,6.46,375.3782293128109,0.78110445
324,6.48,367.5998038250834,0.519711
325,6.5,356.1424917979369,0.78688294
326,6.5200000000000005,355.8901336046571,0.8432869
327,6.54,358.76001590829384,0.81657875
328,6.5600000000000005,356.6040987408417,0.7419144
329,6.58,358.20251847124297,0.66035366
330,6.6000000000000005,355.93374969322645,0.7513834
331,6.62,367.3845765399886,0.68555224
