time,frequency,confidence
0.0,224.4091243544284,0.0630476
0.02,224.904785075118,0.06289707
0.04,226.42117214856216,0.47551024
0.06,222.74908085373622,0.5471209
0.08,220.25715554261794,0.40378723
0.1,230.16764507564102,0.29598087
0.12,242.18803572790264,0.5459112
0.14,256.4069853327047,0.35185167
0.16,257.6459057713064,0.65506613
0.18,257.2102923268142,0.6824486
0.2,255.84059782830334,0.8375026
0.22,255.8677368719555,0.7695984
0.24,252.05042628169775,0.6918055
0.26,250.2455537081048,0.69931424
0.28,248.82417174141182,0.7935515
0.3,249.79678042057998,0.8676757
0.32,250.63817355017238,0.8218222
0.34,250.05218672912181,0.7496358
0.36,250.33258925219218,0.83630925
0.38,250.21914392356322,0.69212073
0.4,250.80465339075133,0.6564355
0.42,255.0590885715934,0.75000805
0.44,259.55422372826433,0.8376577
0.46,259.20014565764257,0.82768047
0.48,258.39342722074866,0.81481314
0.5,259.625955440302,0.8562522
0.52,259.6424092809432,0.8206785
0.54,253.22120693385418,0.7155588
0.56,245.60839595630858,0.5195888
0.58,228.0104999374869,0.36218658
0.6,242.11176259948928,0.46316966
0.62,256.0947847064822,0.33773506
0.64,259.0612489554659,0.44815066
0.66,231.22908971908387,0.31606746
0.68,252.61578320631003,0.30948204
0.7,255.9884019150751,0.6668407
0.72,256.3879017395437,0.39305422
0.74,259.6216862792646,0.58492196
0.76,265.9413333721033,0.64287937
0.78,274.05047237663223,0.82699597
0.8,273.1910551139221,0.86039096
0.82,269.5903191546251,0.8759347
0.84,265.0482743906356,0.90935755
0.86,263.28002714029924,0.86330926
0.88,258.8398183496833,0.54656535
0.9,240.19036475487127,0.45659617
0.92,245.15858029639736,0.69111073
0.94,255.89529077750444,0.5573559
0.96,257.4693321915999,0.81291443
0.98,258.30072724028093,0.8626789
1.0,258.4265629918804,0.84147644
1.02,257.8998184881617,0.77728647
1.04,250.3586922314585,0.28593466
1.06,248.31287590434124,0.27684245
1.08,247.34866414726054,0.30277735
1.1,254.76860922332753,0.5994374
1.12,258.24842982127456,0.76865023
1.14,260.84218311245854,0.82830995
1.16,260.21546721781,0.81635845
1.18,258.3652494630626,0.71792483
1.2,247.8883297857031,0.56629217
1.22,235.25214123547772,0.3149056
1.24,259.795760130598,0.27079242
1.26,258.66537720975145,0.7206362
1.28,256.5317778289272,0.8822412
1.3,256.73066851214855,0.89905924
1.32,256.2765685485871,0.8942484
1.34,255.37782074066644,0.8668698
1.36,256.94097995337137,0.8824799
1.38,258.6062437351346,0.8410574
1.4,257.30537891045105,0.84486824
1.42,257.78097806758456,0.8325897
1.44,258.86335488086354,0.8430628
1.46,259.4217232348444,0.86368334
1.48,259.30557714661444,0.87056357
1.5,257.59512146430063,0.849176
1.52,254.03082981301668,0.79552406
1.54,249.05487010058317,0.74183846
1.56,250.59698702636172,0.80205476
1.58,256.13483327620446,0.7458246
1.6,260.1863057679413,0.79574895
1.62,260.9808316748385,0.82104164
1.64,261.2948300205191,0.82232034
1.66,257.09474523633077,0.6630185
1.68,246.21241390484238,0.4136249
1.7,253.2886224600355,0.4349171
1.72,261.6452789156207,0.18074079
1.74,258.9538026284919,0.61140406
1.76,257.1182194533257,0.74512947
1.78,263.81598059565414,0.78009725
1.8,268.48227220833724,0.8605421
1.82,265.27558687862995,0.83895814
1.84,262.23480598259675,0.8980163
1.86,263.0040499868207,0.9079455
1.88,261.17620491974066,0.8678684
1.9,257.955078531405,0.37898496
1.92,227.60667114628296,0.75790316
1.94,226.98078838092084,0.8310894
1.96,225.88926371095772,0.7810913
1.98,239.15696164079594,0.330237
2.0,257.6767560009418,0.7221022
2.02,258.481667799343,0.8235389
2.04,250.07605564990612,0.5035393
2.06,251.55903066895587,0.52170163
2.08,255.65205469162063,0.6699496
2.1,255.97604668356428,0.8012667
2.12,257.12976951740114,0.8409611
2.14,258.40070290243756,0.8292499
2.16,258.28697571541153,0.82220936
2.18,258.2008875276366,0.8075137
2.2,258.02218357899216,0.7679415
2.22,251.42713222251658,0.7925777
2.24,245.04372514322696,0.72954273
2.26,248.6891430128062,0.7346997
2.28,253.03905889055721,0.78058887
2.3,257.8882579555499,0.7756449
2.32,256.65206530588694,0.70498556
2.34,250.9673826323002,0.60325754
2.36,252.60658035332995,0.79552126
