time,frequency,confidence
0.0,337.37852365067056,0.095813066
0.02,336.6293222404239,0.030674227
0.04,338.4338135586255,0.19507149
0.06,333.1064551949657,0.5562647
0.08,333.98706993398207,0.82658374
0.1,335.7230987411681,0.84141403
0.12,334.60684334820684,0.8127646
0.14,331.6011775151421,0.8711972
0.16,331.4476405887607,0.8888298
0.18,333.2174900119603,0.86148477
0.2,334.8677615558964,0.87463254
0.22,334.8996935006081,0.8784138
0.24,335.42284895883495,0.86170286
0.26,335.46225658763456,0.84909296
0.28,334.42928547076804,0.8591926
0.3,334.705288080243,0.87532914
0.32,337.29355396531247,0.7966569
0.34,337.5877563913593,0.80630034
0.36,334.92026161001274,0.84648734
0.38,332.9908675245662,0.8426132
0.4,332.04878461948573,0.8793594
0.42,331.9205905480577,0.87310755
0.44,333.96937895199704,0.83939314
0.46,335.41518224891104,0.83819485
0.48,335.4552808983246,0.8419493
0.5,334.15522260904277,0.8489924
0.52,334.60412578799213,0.8466444
0.54,334.88960039631274,0.8492719
0.56,334.95472190981616,0.84942144
0.58,334.77410265336397,0.85212255
0.6,334.2539120610628,0.85743266
0.62,333.7421895593927,0.8559544
0.64,333.1307010392293,0.8518495
0.66,333.3542227229396,0.8511783
0.68,333.8037449414839,0.86036795
0.7,334.3110380542586,0.8679483
0.72,334.9957973088292,0.8548089
0.74,334.8511398213845,0.8222712
0.76,333.11260788617716,0.8443179
0.78,332.4899584459721,0.86696464
0.8,333.3468537428439,0.8170272
0.82,336.2814934457131,0.8077245
0.84,337.51806742048956,0.8044834
0.86,333.9894999625579,0.8398819
0.88,332.604663866121,0.8729297
0.9,338.99733827652705,0.67092836
0.92,329.6131571931125,0.7612802
0.94,324.4316161016624,0.8651627
0.96,325.8917112161753,0.8557104
0.98,326.4793278677811,0.8661035
1.0,326.41470593091003,0.87104064
1.02,325.5260004154041,0.824824
1.04,323.4827984084767,0.74786794
1.06,318.9196835651938,0.79015625
1.08,301.802014821672,0.6252112
1.1,286.9745255588108,0.6589581
1.12,263.79867805857396,0.34941465
1.14,238.7854102711499,0.803733
1.16,230.4576088962618,0.4875025
1.18,210.67340031529244,0.6161501
1.2,233.52688317899572,0.7397327
1.22,254.53348686449868,0.69987524
1.24,280.57793964895825,0.5029322
1.26,285.28142459133846,0.7911598
1.28,287.4339461855148,0.88144857
1.3,278.97018298514917,0.8453895
1.32,266.0908785204564,0.7498878
1.34,251.0578871104261,0.71414053
1.36,245.0336017268941,0.8131112
1.38,248.48437901817152,0.7773234
1.4,262.1230046742235,0.58518076
1.42,278.0148693736812,0.6522876
1.44,298.88983130748517,0.51268816
1.46,315.229904712517,0.8155116
1.48,320.68902726756227,0.84890056
1.5,321.9105537270068,0.8686054
1.52,318.84035629102357,0.8692923
1.54,316.17455037026764,0.9036313
1.56,308.6666261146413,0.4635212
1.58,283.649246361059,0.8396225
1.6,273.2752514613337,0.77439296
1.62,263.43087013275317,0.8233093
1.64,256.6031794357575,0.8563832
1.66,262.97502238531763,0.8340832
1.68,278.9906000766286,0.6082011
1.7,314.45568686877726,0.4442205
1.72,329.28379820177184,0.7651074
1.74,335.88337767207855,0.7355831
1.76,347.279538481773,0.65380836
1.78,329.00078454761484,0.16689137
1.8,286.1713447333885,0.37383392
1.82,271.0776623403708,0.30164227
1.84,269.70802545019393,0.53772426
1.86,284.13652373768326,0.4321104
1.88,266.6948342145028,0.38711992
1.9,307.81650336258826,0.17521894
1.92,337.35886467525404,0.45715734
1.94,338.4976882507475,0.7630896
1.96,336.1173642612141,0.75401634
1.98,333.90226577530456,0.4990936
2.0,330.0492334313241,0.6955793
2.02,332.53423939768516,0.8636664
2.04,331.49940825982725,0.87482023
2.06,330.6795614885005,0.8767865
2.08,332.1366053516075,0.87956023
2.1,333.37517121118447,0.86660045
2.12,332.2235424049225,0.87639606
2.14,330.7331395331612,0.60095954
2.16,331.07035541197035,0.7556542
2.18,331.19703176696476,0.87469774
2.2,330.419014884347,0.8822073
2.22,330.5681458204288,0.8802654
2.24,329.8589720791691,0.8509226
