time,frequency,confidence
0.0,661.462740811151,0.09442513
0.02,667.188985926208,0.04113722
0.04,674.744566198367,0.13062507
0.06,699.7998423274731,0.4163517
0.08,702.7242134661237,0.82561624
0.1,708.9068729846963,0.6652919
0.12,705.7403649144636,0.36157882
0.14,690.2634933553612,0.20693678
0.16,687.9574139707559,0.18033376
0.18,676.4695090818112,0.1976515
0.2,653.1414730448904,0.15658396
0.22,647.898013409927,0.34226274
0.24,624.3502511594313,0.124442145
0.26,616.7859222993015,0.12807813
0.28,600.195818211294,0.07300076
0.3,590.0444961878586,0.0885712
0.32,580.0268750564876,0.35417387
0.34,551.4127588694223,0.24017808
0.36,531.1645783854791,0.1793598
0.38,525.3030187437743,0.45158336
0.4,527.7093468305283,0.42710778
0.42,528.2651820847348,0.56121564
0.44,516.6899657858249,0.5943874
0.46,501.3086425060752,0.7427906
0.48,469.02944381202815,0.696288
0.5,461.7859187751221,0.12052971
0.52,440.4748833656166,0.117552094
0.54,435.61770893898813,0.14956096
0.56,443.6190405582368,0.01808509
0.58,466.0060513678795,0.020706464
0.6,486.2193774119737,0.0132407835
0.62,494.0058858490806,0.014208973
0.64,521.8185917194634,0.03943433
0.66,536.7326177050235,0.27868664
0.68,538.3985557361747,0.3878985
0.7,536.8537690475648,0.4775446
0.72,515.0679265904081,0.43480882
0.74,470.4551481815136,0.85835874
0.76,416.7055631030217,0.79223007
0.78,403.18738277836104,0.21474233
0.8,384.8204078374309,0.1174175
0.82,352.0133014826953,0.18353198
0.84,317.3113324679563,0.18003488
0.86,289.56257743288523,0.19854343
0.88,273.2869701382131,0.27940026
0.9,269.1285565075054,0.24319293
0.92,264.9771012320027,0.44072697
0.94,267.3225462121093,0.5236161
0.96,270.12054817927077,0.68403494
0.98,268.9749031227094,0.7034161
1.0,266.71545380363955,0.22840625
1.02,274.41215865936124,0.4194157
1.04,272.3972087489065,0.45638502
1.06,270.3973922139304,0.75230753
1.08,269.7269410166312,0.7069417
1.1,269.470872403656,0.5856015
1.12,289.13943019645774,0.44038677
1.14,326.6717693251315,0.3637727
1.16,372.3300007311843,0.23484296
1.18,407.3195060518554,0.22863753
1.2,407.84527113708356,0.46754813
1.22,406.85520744790034,0.66032314
1.24,408.19029437973825,0.7136857
1.26,412.5239549221612,0.7259939
1.28,407.1516438203462,0.63290536
1.3,403.8036934628406,0.27461228
1.32,432.742600873517,0.10887251
1.34,474.4971258762962,0.06485254
1.36,483.1066275176105,0.6036251
1.38,487.2651571589318,0.60264516
1.4,493.39689339583515,0.6624265
1.42,502.8060476842644,0.43327764
1.44,503.22269646535966,0.3513994
1.46,513.9983163998908,0.1638683
1.48,505.11281590798524,0.40511158
1.5,509.5852569431634,0.374363
1.52,534.7903051038603,0.24255748
1.54,541.0227610026973,0.092440665
1.56,531.6481166390265,0.3245475
1.58,501.02352118325325,0.6622649
1.6,490.4576009218568,0.14261991
1.62,474.64055112420374,0.025427654
1.64,462.4720402524423,0.1880253
1.66,451.0364138601692,0.15370205
1.68,434.3582779812807,0.06767306
1.7,436.2140940460367,0.13115035
1.72,418.2480521443042,0.5508102
1.74,416.3861329543055,0.6321678
1.76,424.6566465834701,0.5222003
1.78,420.47520087368406,0.14214511
1.8,426.02951526123894,0.3079496
1.82,415.86379235446134,0.22114408
1.84,410.8401035075253,0.31098464
1.86,408.8338236192965,0.40248573
1.88,401.49510070928454,0.2546082
1.9,403.9836669511481,0.1400559
1.92,401.11414450800453,0.07645865
1.94,400.41036871529656,0.5803039
1.96,399.49100405945876,0.7945887
