time,frequency,confidence
0.0,661.010495834704,0.096221216
0.02,663.8019947543866,0.04245559
0.04,672.0902966570226,0.12295569
0.06,664.1768767536763,0.14037299
0.08,662.0192470041275,0.08230399
0.1,615.9878504522087,0.2190706
0.12,584.0065635413769,0.253827
0.14,528.7502808205877,0.63594306
0.16,492.0027474282295,0.55182827
0.18,446.4678353805143,0.15941949
0.2,416.5097564444958,0.17330594
0.22,386.3412073459814,0.116155215
0.24,347.2518599822282,0.3076281
0.26,326.71599556304614,0.099430315
0.28,300.38600723575155,0.2741062
0.3,298.52356495791616,0.34038207
0.32,302.1863146067232,0.115170926
0.34,283.68776315322,0.108219326
0.36,274.9184405998302,0.17951122
0.38,266.5117711359224,0.11725692
0.4,262.7720828323205,0.06529654
0.42,261.8589582458074,0.07684169
0.44,250.44680097302353,0.14355816
0.46,242.74556843035793,0.11457717
0.48,236.8648075760856,0.10098552
0.5,231.93646340046388,0.21782643
0.52,231.44638751920883,0.10308875
0.54,219.8106635858647,0.13357964
0.56,197.17390523223736,0.19077516
0.58,187.6419322814186,0.29757926
0.6,175.23596292061632,0.050305434
0.62,171.74247939021376,0.19110258
0.64,169.57746494028288,0.2888335
0.66,166.50108453536387,0.17402127
0.68,167.97903975592843,0.34351984
0.7,171.8354055285819,0.39769503
0.72,172.59316337366477,0.20436454
0.74,184.7562074118866,0.060862
0.76,195.98552380819586,0.14930686
0.78,214.72692975055836,0.19162096
0.8,228.6737474399594,0.17321077
0.82,229.82963825626643,0.18605019
0.84,232.84800174131811,0.12215512
0.86,234.5480454742959,0.22805405
0.88,237.46203150525702,0.4151565
0.9,243.1741505741871,0.7646941
0.92,248.71954754410066,0.84187675
0.94,254.21277813555182,0.8375894
0.96,259.29924874807375,0.81920195
0.98,262.6942371720069,0.8910873
1.0,260.7766634654755,0.7891128
1.02,258.14272574877907,0.40055716
1.04,259.515657560177,0.15733153
1.06,259.6550528021869,0.48545197
1.08,261.5755472315908,0.58965206
1.1,262.2912994951657,0.66348505
1.12,259.36211301296504,0.22662146
1.14,261.0994047574043,0.7574358
1.16,263.6336209417449,0.8838128
1.18,264.8307779641231,0.8724092
1.2,265.3781338442087,0.8869376
1.22,264.31360361813887,0.8751594
1.24,263.2462632077982,0.890811
1.26,262.57248552009366,0.88835
1.28,261.1718174854126,0.8783375
1.3,257.5608739032936,0.74766684
1.32,250.01814773200317,0.63082784
1.34,242.78271790325363,0.7482983
1.36,249.65074875325524,0.43223608
1.38,261.2556354029437,0.70577276
1.4,264.874767173032,0.7847799
1.42,264.4721124769756,0.8336635
1.44,258.1282148308767,0.7079589
1.46,248.3921572187484,0.6722076
1.48,241.36578521441163,0.5915096
1.5,237.12023179462633,0.83637714
1.52,233.48518996397175,0.53249484
1.54,230.80521882838855,0.8615893
1.56,231.60372789949162,0.1928385
1.58,228.4898639595388,0.102603726
1.6,229.12416539106803,0.2248671
1.62,224.9826205163826,0.45065695
1.64,221.30296079578136,0.47536275
1.66,226.82023634653203,0.20969467
1.68,230.13708300375453,0.6814899
1.7,232.9860165596062,0.69073284
1.72,236.488626176023,0.719483
1.74,235.20956076008858,0.7857899
1.76,234.37722742933892,0.49108094
1.78,234.6872177758306,0.2486643
1.8,236.26908068937217,0.13060154
1.82,233.66949556257936,0.38015422
1.84,230.6575155820568,0.28039518
1.86,235.27275969152956,0.10466586
1.88,237.03203929412928,0.06793535
