time,frequency,confidence
0.0,224.14065752659465,0.06573457
0.02,223.22553948356042,0.049989898
0.04,222.30980284068377,0.05949086
0.06,251.89641996323215,0.4055661
0.08,255.86107136989244,0.57876027
0.1,263.9085441320366,0.7351054
0.12,263.89320996952006,0.84815276
0.14,262.6323815637111,0.8670405
0.16,261.590475403992,0.81580997
0.18,258.5982860821983,0.7141962
0.2,259.66876451428305,0.6689491
0.22,257.2240506959631,0.69836944
0.24,257.920138602463,0.43545085
0.26,239.61836936188132,0.6140475
0.28,240.39132624328445,0.7054547
0.3,239.8151699090613,0.5223466
0.32,246.18208724610088,0.3211955
0.34,233.21704628739695,0.48923132
0.36,226.59283811490823,0.5061902
0.38,221.00897141528185,0.18227534
0.4,217.80404319464182,0.40804628
0.42,214.33027675292666,0.27392098
0.44,210.17462389548766,0.194234
0.46,202.54684736036722,0.3248322
0.48,192.29715720351248,0.14554715
0.5,201.16445449280062,0.4371765
0.52,203.0248965813037,0.6686225
0.54,196.91053334509974,0.6798841
0.56,197.13542106212077,0.7127739
0.58,196.5928532366325,0.6425111
0.6,192.9275175594299,0.63187325
0.62,201.62527313660345,0.5172907
0.64,220.86824619314652,0.42978245
0.66,246.79237399066,0.5984986
0.68,263.3793783565934,0.6519066
0.7,267.5886742712726,0.72996294
0.72,267.98965115942315,0.80725694
0.74,266.70915914201197,0.7470155
0.76,265.2887740624791,0.63121754
0.78,241.0826918739623,0.31922692
0.8,237.01566818605696,0.647439
0.82,232.8957129399177,0.4643537
0.84,261.49500009754433,0.4398075
0.86,262.17446152288863,0.70460784
0.88,260.8618241719649,0.70094824
0.9,258.9667708520328,0.6150699
0.92,253.86413895483102,0.1352241
0.94,236.00308086579804,0.2336396
0.96,219.6118774608218,0.5841267
0.98,203.61009940942634,0.30018303
1.0,206.9886729233697,0.68216586
1.02,197.19296082046316,0.56294155
1.04,197.5885580648804,0.7774679
1.06,199.73808261939615,0.7343349
1.08,205.4402608705735,0.78052866
1.1,202.2437548140141,0.7959335
1.12,197.89086311343254,0.7980108
1.14,195.16096627787178,0.66351473
1.16,191.2990635782609,0.6521952
1.18,193.83787919482498,0.54480577
1.2,209.06087019391308,0.24148238
1.22,230.54430007397718,0.2334823
1.24,260.3167760695951,0.52827126
1.26,273.0243452493766,0.85037196
1.28,269.8553301475087,0.8749455
1.3,269.08173431836866,0.887922
1.32,268.13266560331834,0.8130244
1.34,267.75236519610667,0.67769134
1.36,266.370390549346,0.6000609
1.38,266.1674050511565,0.7267661
1.4,269.40475400401215,0.7948809
1.42,268.8644036622068,0.49099687
1.44,267.5352824715989,0.34951684
1.46,269.98344828805796,0.61758715
1.48,271.1016806549106,0.6066767
1.5,268.753447688938,0.55071115
1.52,269.402355001768,0.4565345
1.54,264.9914098772692,0.66726327
1.56,259.98992515776484,0.7117245
1.58,258.3660672089603,0.6231055
1.6,260.34775040373034,0.7584931
1.62,260.0896762540657,0.8187176
1.64,257.5221815595043,0.6268168
1.66,236.56456329081297,0.6521668
1.68,233.5742412555844,0.7760351
1.7,265.26052194957924,0.72465277
1.72,266.4625186521194,0.8371061
1.74,266.91240167912196,0.8522462
1.76,266.15934089100284,0.8783336
1.78,264.96496686139847,0.85783786
1.8,267.53097991104016,0.7476884
1.82,264.26386272561325,0.7993253
1.84,262.54103644334555,0.6713364
1.86,264.7271763416488,0.8253295
1.88,262.6281015145509,0.7948345
1.9,259.5168656337838,0.59116054
1.92,257.7357386157744,0.77210206
1.94,261.5555496416049,0.80109364
1.96,257.68488262734616,0.7847557
1.98,245.17201293502404,0.5178458
2.0,238.82667952191494,0.8022177
2.02,258.5981850016039,0.4401687
2.04,260.068969074102,0.7460649
2.06,258.953102972044,0.77430797
2.08,260.67525545443254,0.7387368
2.1,247.9789132445897,0.4969308
2.12,243.82728729748155,0.78216374
2.14,233.6596914058018,0.62578195
2.16,258.60336764052136,0.25749654
2.18,270.3847287602848,0.5694963
2.2,276.8778597510261,0.84407663
2.22,276.7603344137034,0.82116514
2.24,267.03366672044996,0.80039096
2.26,262.0689124963155,0.40568542
2.28,230.73871672696254,0.50788826
2.3,223.38054708702987,0.35919714
2.32,253.80680809548716,0.48728302
2.34,253.36957667343188,0.82158566
2.36,251.548434956575,0.6756506
2.38,255.87351002378796,0.81971633
2.4,260.7474286564234,0.8453939
2.42,262.60043167886226,0.8859614
2.44,261.0635630515241,0.78576
2.46,254.5167375498494,0.70322657
2.48,250.31218163327407,0.8502031
2.5,256.03540956748867,0.7669125
2.52,257.9155303237193,0.83850527
2.54,257.5618657956269,0.83552194
2.56,263.28321950001873,0.83799183
2.58,265.689873195347,0.8786944
2.6,260.8906483126371,0.6651386
2.62,246.68360054188923,0.63560116
2.64,245.91650679758007,0.8276342
2.66,244.72054816271012,0.84265697
2.68,256.00123264605304,0.33927447
2.7,272.35760330956475,0.75704193
2.72,269.5237023699431,0.83521533
2.74,266.29905713065307,0.74081385
2.76,265.24339317931765,0.51895297
2.78,258.269714961496,0.35105553
2.8,255.94058554828266,0.41353938
2.82,256.49454999439627,0.78521234
2.84,263.3907299071282,0.7822485
2.86,268.2359536651621,0.86838776
2.88,268.59287367501474,0.83516335
2.9,266.76381196170894,0.6142057
2.92,243.65862579718012,0.2716372
2.94,220.23489375301455,0.23830007
2.96,201.74904163333133,0.43541074
2.98,195.0215062378049,0.46698287
3.0,207.55072843607883,0.54602736
3.02,232.14766823400788,0.35651022
3.04,235.57023286273093,0.71516764
3.06,237.19674450538963,0.6916982
3.08,234.9041589980104,0.60351247
3.1,256.4115558409188,0.55551136
3.12,258.7371042391965,0.7168349
3.14,260.5246828730078,0.45071742
3.16,262.20069059056686,0.3645622
3.18,261.55330922810424,0.53759646
3.2,259.5914041673543,0.6690749
