Index,AudioPath,SegmentList,StartFrame,EndFrame,Primary_Label,Secondary_Label,Tertiary_Label
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[0.9601059764463384, 0.9907013018343978, 1.0017919727930291, 1.0055540161127934, 1.0070285443343665, 1.003068260890721, 0.9741273691085748, 0.9072596889820496, 0.9624945228886784, 0.957548253470408, 0.966916622532414, 0.9618909462751816, 0.9901282506081586, 1.0115461973742492, 1.0209579311754124, 1.0093588972056131, 0.994771864400926, 0.9898051938208198, 0.9926278644830786, 0.987932790876498, 0.9959788387011194, 1.00210007068438, 0.995723490384557, 0.9958095681850776, 1.00142562107424, 1.0075924505969425, 1.004877727457924, 1.0029925368128303, 0.9966931287716656, 0.9928040993107954, 0.9927338968785212, 1.0065896861298285, 1.0115655868851818, 1.0093028644319224, 1.012973585185594, 1.0039841774616671, 0.9914531989514108, 0.9889309787923886, 0.997042847470696, 1.0092234692336783, 1.0136733574813577, 1.0047215450836653, 1.004474620469333, 0.9991345247115284, 0.9926112358041518, 1.0022904515023274, 1.0139801405658693, 1.0088733331460753, 1.0024896998309485, 0.9954387830663326, 0.9921016921189616, 0.9949779511337714, 0.9969263114160064, 0.9979850831057756, 0.995657852728946, 0.995043035130423, 0.9882366239708918, 0.9648731921535364, 0.9363871424597524, 0.9191360417864056]",170,230,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[1.0327506709792107, 1.0313594782626414, 1.0279950190892282, 1.0283948913114576, 1.0415588294217897, 1.042969576722904, 1.038366417545976, 1.031652286953609, 1.034335575945656, 1.0425425566723092, 1.0540210891690267, 1.0459293269728054, 1.0517146589480333, 1.0578292689309952, 1.068840481828215, 1.0632789472029356, 1.0704328313396445, 1.069683840248784, 1.047851279841285, 1.0337477900924938, 1.0366418604500025, 1.0428645996089132, 1.0745748018406314, 1.064087881247752, 1.056575547192621, 1.0583046477615403, 1.059459557606629, 1.05900758152608, 1.0620405848815282, 1.0648989328861271, 1.0620706623635956, 1.0622721005195717, 1.068893185288513, 1.0696041059136048, 1.0654073056665143, 1.062827433737366, 1.0616150958785304, 1.0588990634368702, 1.0621802970986278, 1.0662609514873032, 1.0610999964928511, 1.0554241340340804, 1.0616691840142718, 1.0672581492953588, 1.0647297344589302, 1.070500808828138, 1.0788828591400852, 1.076746785695612, 1.075346681189749, 1.0758961381088588, 1.072243685470731, 1.070153655919994, 1.0710148399493575, 1.0692783210006658, 1.0687694832344696, 1.0728350996422835, 1.072911180798216, 1.071333409867103, 1.0719989049597656, 1.0695566907409435]",400,460,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[1.0616905285803864, 1.0581839940544984, 1.054882907144061, 1.0537151606302748, 1.057878441330065, 1.0624905335783024, 1.0659456560156362, 1.066187637644099, 1.0650344514826104, 1.0655087645831551, 1.066181965072945, 1.068982763059752, 1.0683626483844582, 1.060922934984996, 1.050846261672072, 1.0548162285379752, 1.062919921902768, 1.0664964214986443, 1.0697844069303148, 1.0703898083458585, 1.0631222351148335, 1.04968981031489, 1.0458897404182883, 1.0675043214192117, 1.0752634150306462, 1.055556849029436, 1.0119033531031376, 0.995256145634136, 1.0161236237259628, 1.054367651044302, 1.0664329977183238, 1.0634677663489318, 1.0643640793632738, 1.0661195008122475, 1.0659857390277945, 1.0601098988292617, 1.0459022742854474, 1.009019974211422, 1.021782070210554, 1.047156669820088, 1.0715192912726217, 1.0740656582820698, 1.0694430579831142, 1.0601852366818083, 1.0628396408740763, 1.073345407997616, 1.0562626754438047, 1.0524647676853294, 1.0670398743546952, 1.0765687206331005, 1.0721754382809106, 1.0709116609030662, 1.0756016421015469, 1.066802637402141, 1.0717205628082074, 1.0712430934650563, 1.0599814614412837, 1.0682579898662072, 1.0604405387243152, 1.0570150119799149]",470,530,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[1.013852229199548, 1.0150665626624198, 1.0119973821482051, 1.0122680736595653, 1.014870111468051, 1.0169888579256026, 1.0183843640935122, 1.022092074278767, 1.021892991714349, 1.0199345347251552, 1.017794311997304, 1.014703157168019, 1.0133574749507894, 1.0143668378064812, 1.0156469442759937, 1.0159726266361586, 1.009594277751223, 0.9958743540375252, 0.9799081446144904, 0.97227823551688, 0.973599392864006, 0.9721411567826184, 0.970669730459029, 0.9583698232541912, 0.9495530978422831, 0.943107215732076, 0.9229992211146671, 0.9070933613087984, 0.8912215990030461, 0.8729897399208852, 0.8453758267882283, 0.7983246321322199, 0.7857765860613074, 0.888774147129533, 1.0156009812478983, 0.9936109810177244, 0.9929454846858148, 1.0090701589697335, 1.014537179438037, 1.0104733911779475, 1.007801334527162, 1.0069793827936837, 1.0098262514581091, 1.010055661642728, 1.0115395167088137, 1.008672668647685, 1.0113906491471651, 1.013699927976086, 1.0112357572749282, 1.0074061666495202, 0.9936663263164452, 0.9936489765224514, 1.0243748858818127, 1.0142991633256984, 1.0203553558272591, 1.0059597229640058, 0.9872065831005896, 0.9805149931940552, 0.9927801088723645, 1.0050161336259744]",720,780,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[0.9681508254801264, 0.9807571790120894, 1.0080953826795158, 1.0144908358929143, 1.006268104557636, 0.9604030962167246, 0.9445180479371768, 0.9497741511275976, 0.9707027007156044, 0.987850027760112, 0.9926542290142064, 0.9912738533325798, 0.9993111762622048, 1.0019827976310227, 1.0037226943561193, 1.0087287621582997, 1.010874025378392, 1.0044371823750688, 0.9940785949413103, 0.9915805623421092, 0.9951761483274112, 0.9986457163648728, 0.9963469206332922, 0.9944788215428324, 0.9968697268275076, 0.9985803840568432, 1.0005204088264892, 1.0010486936278564, 1.0010246046256073, 0.9983866201106452, 0.996450738601547, 0.9965203846466544, 0.9947549698735528, 0.995032528295286, 1.001753366652149, 1.0039389857307233, 1.0044037998858848, 1.0061681877384565, 1.0046495530142776, 1.0033980972208727, 0.9967981575042404, 0.9914982536586308, 0.992090203967419, 0.9959008323138304, 0.9886385908660372, 0.968554266840418, 0.9988853469793644, 1.0037442105065886, 0.9932210994874556, 1.0056207385605762, 1.0204004403437212, 1.0180416246047412, 1.0194298578669554, 1.0153010026298546, 1.007462847969443, 1.0009978802998307, 1.006884378370254, 0.9263254020368648, 0.938589025445512, 0.9171526713515455]",1240,1300,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[1.0022527440946862, 1.0011668872418544, 1.0013389463935567, 1.001335285941515, 1.0020169244950687, 1.0029815205166377, 1.0042960157904444, 1.008191264204364, 1.009583727380421, 1.005366977149566, 1.0002148469667786, 0.9959032402945296, 0.9957222302451884, 0.998642752365448, 1.0023947985092758, 1.000348552558584, 0.9969806790507996, 0.9925681843441116, 0.9929158026091552, 0.9982121232128822, 1.0056462689231, 1.0039144332735574, 0.9960260286754582, 0.981568612073664, 0.9895075600972256, 0.999372916677461, 0.9943689391409688, 1.0010183902816836, 1.027391347439245, 1.0292711672743855, 0.979167188871524, 0.9818625978544708, 0.9942231433507022, 1.005018044788327, 0.9985701754360468, 0.988717994015254, 0.983909734961856, 0.9857045835277386, 0.9872136448238036, 0.9908374650121784, 0.995072568864847, 0.9949047175536158, 0.9903085470778576, 0.9816745885583572, 0.9763420945540552, 0.9763463106928464, 0.9855564192633792, 0.9982131144202534, 1.0035500380941111, 1.0095614958353587, 1.0055026515198917, 0.998820843279994, 0.9961880436757108, 0.9973298417626304, 1.0004718698770425, 1.0030623864491532, 1.0004338099986296, 0.9912134730104268, 0.9746563241997674, 0.9660475581835042]",1360,1420,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[1.1358755983239213, 1.2790326207069924, 1.2994682731380056, 1.267476648055936, 1.2040301570438092, 1.092895322300824, 1.013147307957158, 1.014755737027343, 1.0235242191130045, 1.0317419066618427, 1.0318772064637156, 1.019356583194252, 1.0023962638155774, 0.9904057146361074, 0.982183214864928, 0.9886556928942858, 0.9961110400111716, 1.0021575783228325, 1.0097220761431371, 1.008489468611875, 1.007744107692505, 1.0040888053238457, 1.0016039516487385, 1.0001578721094455, 0.9978999672471216, 0.9970431290258612, 1.0025990128446702, 1.004216602547694, 1.0013272999118037, 0.9967888681316922, 0.9918615404192588, 0.9872794845359892, 0.9875030317983088, 0.9903463353191296, 0.9909552632064406, 1.005306738515492, 1.0092344376164102, 0.9990790937445851, 0.990577395765638, 0.9810566558669218, 0.9831911257243364, 0.9981306428870336, 1.0082706925952432, 1.0142891273864505, 1.006923837905131, 0.9978664882113704, 0.9976189022714884, 1.001495677718261, 1.003223261302371, 1.004065903722395, 1.004655217054602, 1.002221886374176, 1.007577249281454, 1.0144721388683322, 1.0178813412685397, 1.007993747724898, 1.0005517429460469, 0.9885247451186936, 0.9745281621986688, 0.9871445373393318]",1430,1490,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[0.9976886781360436, 0.9837596326111874, 0.9780698298252268, 0.9851184521050904, 0.9942559983779444, 0.993767915130649, 1.0009884745013655, 1.0038647681409714, 0.9987611057066303, 0.9976850024692387, 0.9989935006126802, 0.9984780124771616, 0.991509579589065, 0.9886451096735618, 0.9886237535773044, 0.9960856265220444, 0.9991465164098396, 0.998347217270898, 0.9859165643561638, 0.9579200389980276, 0.9283991144406748, 0.950061565544985, 1.0228417055578298, 1.0418936914398285, 1.030162819845471, 0.9970031687113712, 0.9002745114333762, 0.7984138675502508, 0.8300325513951805, 0.866248859205345, 0.8763214963919531, 0.901154567607998, 1.009813265833933, 0.9865647957772288, 0.9526325338755064, 0.9345161016666128, 0.9167515727970342, 1.0050485014473145, 1.014965773123209, 1.0170661886377126, 1.0123894776512186, 1.017044341891672, 1.0229439851897817, 1.034977090429517, 1.036978082876554, 1.0234091875527, 1.0054483837176362, 0.994881750969196, 0.9928787708207706, 1.0752857192222218, 1.105424678431276, 1.1026634319183068, 1.039169491451719, 0.9743316591944392, 0.9363379989756008, 0.944397488030983, 0.9665217776606904, 0.980826592566992, 0.9902398287106222, 0.993330358419342]",1540,1600,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[0.990985734547818, 0.9998590726431636, 1.004233598912154, 1.0062908777456698, 1.0088721506593048, 1.000159708251963, 0.9754959600087102, 0.9908130339305252, 1.0076389296624395, 0.9729989065181158, 0.9895045344545674, 0.9937299687327402, 0.9933836017039162, 0.9976156189036428, 0.9981748371550512, 0.9776059321867272, 0.946035008588174, 0.9388964611685896, 0.939747226002714, 0.969525131878018, 1.0276935253140025, 1.0524137994466192, 1.021008789736628, 0.9605312513029144, 0.8660733244687056, 0.8251024103957196, 0.9274375711900588, 0.9627691047752208, 1.0066177904100118, 1.019720411085622, 1.008766729065497, 0.9760663575658808, 0.9399630669242584, 0.9345752138135864, 0.9755598134771964, 0.9991283107970602, 1.010207565672318, 1.0070772723603376, 0.9917535036804876, 0.9690027113556924, 0.9663480074794164, 1.0019007217896885, 1.0074158496842571, 1.0141356521709304, 1.008056604466153, 0.9984737973252252, 1.0003592891281647, 0.999378804745541, 1.0010185499699642, 0.9999200099262756, 0.9850305585940512, 0.9531675673715706, 0.948884691014276, 0.9888203650729924, 1.039230449607659, 1.0579259321625525, 1.0413340046242376, 0.9606729159908268, 0.92707262169995, 0.8260827739773408]",1630,1690,0,1,1
0,C:\Desktop\Python\CarnaticAnnotater\Panthuvarali\Panthuvarali_CSVs\Panthuvarali_Chandana01_vocals_258_11_C4.wav,"[0.9638770338599546, 0.9712033544218174, 0.9747719614612746, 0.9716109830856918, 0.9700777568158576, 0.9678591381253084, 0.9709220865766705, 0.9742016606671998, 0.9754522800729584, 0.9734533843557512, 0.9694631726292472, 0.9661395262740092, 0.9730824652887056, 0.9750048587599026, 0.9726615589514688, 0.9761035090805176, 0.97916134885009, 0.978360285184306, 0.9699846961770676, 0.958679018900196, 0.9518041240604528, 0.9622373455691902, 0.9713534489437106, 0.980833988968619, 0.985345112479239, 0.9746674040641404, 0.9677967550356764, 0.9662313674872643, 0.967693151372796, 0.9684625507403654, 0.965665067872746, 0.9639837821338678, 0.9642696991554002, 0.962212643024953, 0.9684469389527104, 0.9713680240621247, 0.967933833315523, 0.9602382929965044, 0.9538944799718674, 0.9521284372225334, 0.9584007355932472, 0.9643311013795952, 0.9658908930254386, 0.9669595839559176, 0.965123023502092, 0.9581901825131498, 0.9546777937175768, 0.9608424057539756, 0.967673274874575, 0.9676219069478686, 0.963530678925815, 0.9572928964493068, 0.9584828514220108, 0.9662399421160728, 0.9739659354075754, 0.9703218328319348, 0.9230227542893684, 0.9161874494275524, 0.9116878617186608, 0.9199802425520488]",3540,3600,0,1,1
