time,frequency,confidence
0.0,235.42726351103317,0.20866688
0.02,235.49998044188482,0.44462153
0.04,238.6756809389867,0.3303249
0.06,257.19655953759485,0.43579063
0.08,258.38235072791656,0.53162384
0.1,257.10890012014426,0.46591297
0.12,255.8673586863796,0.65979284
0.14,253.46943832007753,0.7015716
0.16,250.2542766222988,0.3332648
0.18,253.2487180357233,0.15000175
0.2,247.11317947183662,0.070317686
0.22,247.87257803360643,0.051685404
0.24,251.39249834217654,0.056507863
0.26,251.17380239596633,0.06339855
0.28,250.14559095887267,0.30855697
0.3,253.0711950197161,0.1289778
0.32,259.8243073995656,0.09428938
0.34,276.3404527596328,0.07608618
0.36,298.38234407108575,0.06938816
0.38,305.78817966481483,0.22219653
0.4,306.2762625935603,0.12942123
0.42,306.96684636697023,0.08169347
0.44,309.60584565911756,0.1096671
0.46,310.3587411831769,0.16646676
0.48,307.87385681132184,0.41412652
0.5,307.05985036519195,0.67178226
0.52,308.1126697080858,0.7643432
0.54,306.8587744612421,0.39932016
0.56,308.53484194797,0.2910875
0.58,306.79785701334583,0.21961607
0.6,303.8794215470779,0.06164244
0.62,308.50149826592474,0.06719506
0.64,303.8518793932603,0.09771073
0.66,296.69727064858085,0.083450265
0.68,292.89263375364953,0.14754874
0.7,305.43351221935166,0.49665663
0.72,302.49943499570077,0.5608474
0.74,301.3542761085414,0.8230345
0.76,297.2873827266347,0.9105947
0.78,293.9067489051736,0.9509062
0.8,294.2237539087598,0.9499907
0.82,296.96685856665306,0.91369873
0.84,300.35830840928736,0.8851447
0.86,300.8865313297799,0.89463097
0.88,301.70133564548894,0.89136624
0.9,303.1543588034152,0.87418926
0.92,303.11750448606716,0.87900674
0.94,301.7529851288424,0.9061822
0.96,301.2699988760863,0.9071558
0.98,304.0131745177124,0.8826563
1.0,307.7063219021153,0.89089614
1.02,307.02863148443873,0.8728861
1.04,299.1756063725291,0.87873244
1.06,287.3218381422593,0.6739528
1.08,266.07210364079197,0.5063592
1.1,258.85160525591755,0.69680285
1.12,263.17387368696444,0.87552905
1.14,264.94178324312935,0.30746344
1.16,258.75215245375165,0.33812842
1.18,266.873551441931,0.46043515
1.2,260.93314268767864,0.80860233
1.22,264.30844407723714,0.75950813
1.24,266.0934229088599,0.2389534
1.26,259.6222641754435,0.5316963
1.28,248.9590202871237,0.85341066
1.3,250.52025082832125,0.8822442
1.32,256.44955363938413,0.8554685
1.34,265.97985322816334,0.8709696
1.36,271.9951010117225,0.8937197
1.38,273.14910687089133,0.8649135
1.4,266.6662706509073,0.86631787
1.42,255.81486733681953,0.8296543
1.44,250.51505010662868,0.8842732
1.46,252.3779885742482,0.87764466
1.48,259.2687658475191,0.8135625
1.5,267.6606584266893,0.8747366
1.52,270.88045627016834,0.8893572
1.54,274.1976896129183,0.88476366
1.56,274.4411819561116,0.89817333
1.58,273.4824864953895,0.87202525
1.6,270.84022168653627,0.887054
1.62,269.7588186877066,0.88403857
1.64,264.61724018120367,0.8425752
1.66,257.9479888224339,0.7785369
1.68,248.8728446384876,0.57340086
1.7,236.55388213776013,0.79245746
1.72,232.2652496126456,0.8272282
1.74,232.13196929766465,0.8248716
1.76,235.26260818349274,0.81743926
1.78,248.42007186635027,0.61719084
1.8,258.4918651305381,0.8017328
1.82,262.1626736873794,0.87038577
1.84,262.3073462191453,0.89474434
1.86,259.20248757380193,0.8525562
1.88,256.47282853875186,0.8536754
1.9,254.86109402553103,0.8655598
1.92,251.73640011605502,0.8579335
1.94,249.2711928751476,0.861367
1.96,249.8202792379186,0.86211663
1.98,250.62170595149092,0.87207127
2.0,252.58621949905506,0.88260597
2.02,254.36843695904446,0.90743846
2.04,255.0708910701306,0.87612367
2.06,255.06089232073268,0.86398685
2.08,255.2973529088472,0.8697759
2.1,254.34649443028437,0.8749667
2.12,254.58712318951416,0.88501465
2.14,255.55929221435665,0.8918631
2.16,255.90115325977416,0.893997
2.18,256.3398997467613,0.8844483
2.2,256.22083422730026,0.8785141
2.22,256.1025326332393,0.8804181
2.24,256.1912527551263,0.88562596
2.26,257.001050665097,0.86473656
2.28,257.42542380222335,0.8590911
2.3,256.93941497878563,0.8850856
2.32,256.1955325424662,0.8866034
2.34,255.53119196750703,0.8629271
2.36,253.67776901545696,0.88361233
2.38,253.6485916486779,0.8995215
2.4,254.69698205491923,0.8918784
2.42,254.89803419040044,0.88359874
2.44,255.2704405148106,0.8695658
2.46,256.44046963514825,0.8756702
2.48,256.98185156542513,0.8685778
2.5,257.48319242517147,0.86657536
2.52,257.59772833910523,0.8461951
2.54,257.29086082278366,0.86888736
2.56,256.9372404348555,0.87325925
2.58,256.4816301897486,0.87638664
2.6,256.83902197345867,0.8581506
2.62,256.8060038645049,0.8732542
2.64,257.3338387103251,0.8795965
2.66,257.5291459027192,0.8596955
2.68,258.25469101865673,0.8436352
2.7,258.491514392099,0.85352856
2.72,257.30968434877707,0.861577
2.74,257.24457707867236,0.86406714
2.76,256.93733673326636,0.8760598
2.78,256.7911645605112,0.89042175
