time,frequency,confidence
0.0,239.06170163708782,0.11949282
0.02,247.83053775923267,0.06467874
0.04,244.220396127578,0.2530023
0.06,239.99239690272907,0.30648914
0.08,242.0982816660663,0.20745902
0.1,244.8203467886884,0.22325292
0.12,245.78858826535293,0.1852641
0.14,244.53275949123295,0.3505268
0.16,239.44586209101954,0.43557587
0.18,251.1553164948234,0.12034719
0.2,253.36379922714104,0.27890483
0.22,258.0012558635926,0.5954077
0.24,260.24919641810686,0.8334251
0.26,260.3391613602186,0.8714815
0.28,257.00176530768454,0.8601801
0.3,254.91998015263206,0.8409528
0.32,254.7312947703228,0.8463467
0.34,254.66189693213238,0.8334894
0.36,254.13588890659565,0.83703035
0.38,253.13018475307229,0.82538104
0.4,250.72096516969629,0.82710934
0.42,247.55745944835803,0.82476026
0.44,246.42113229645412,0.83081686
0.46,247.2694900715848,0.86825943
0.48,248.24408749990891,0.8744322
0.5,250.95754839964042,0.8613005
0.52,253.87617075969126,0.87885785
0.54,256.67642405584206,0.8739349
0.56,260.7756187340788,0.8216927
0.58,262.6399771624579,0.8910513
0.6,261.25572683599324,0.87678653
0.62,256.3704106799204,0.8093834
0.64,246.8889632292586,0.7109781
0.66,242.22704478182177,0.8401907
0.68,242.5764229903851,0.868309
0.7,243.9599813369526,0.8608459
0.72,245.56981192495698,0.8618944
0.74,247.3146979012888,0.8591213
0.76,248.38009912875648,0.8543463
0.78,248.04282352556268,0.85933137
0.8,247.59872117013617,0.8345551
0.82,247.61486359315745,0.84652954
0.84,248.03927504346717,0.8574891
0.86,247.85700933876842,0.87316716
0.88,247.99217166522925,0.86596704
0.9,248.11169778832235,0.852246
0.92,248.16514261408102,0.85422415
0.94,248.01230537962184,0.8612194
0.96,247.59095664484056,0.8531291
0.98,247.00393987142107,0.8353845
1.0,247.7050943391639,0.8494412
1.02,248.2776892236336,0.856744
1.04,248.69111301992814,0.85054517
1.06,248.18589497004015,0.86147887
1.08,247.8562886375241,0.86024064
1.1,248.15271042893912,0.85601896
1.12,248.5135457791081,0.85017514
1.14,248.05083284142088,0.8454875
1.16,246.84207788280148,0.8283792
1.18,244.9482632976879,0.8350786
1.2,245.72756753807906,0.83914775
1.22,246.285201733341,0.8455098
1.24,246.71336245640987,0.8536831
1.26,247.46674819432917,0.8532781
1.28,247.80060330281253,0.8591633
1.3,247.1468883036873,0.8469207
1.32,247.25842377139918,0.8555923
1.34,248.04896486379943,0.84626484
1.36,248.18800161162147,0.8632282
1.38,249.29640978956573,0.8371063
1.4,249.0167734789249,0.83261335
1.42,247.4918826682438,0.8531266
1.44,246.6511483668269,0.8308173
1.46,246.82726120181542,0.83859146
1.48,246.8996667609646,0.83885163
1.5,246.34375364447453,0.8247319
1.52,246.41254747875473,0.81984836
1.54,246.77388538568243,0.85477525
1.56,246.7052033777103,0.84917754
1.58,246.60049763023392,0.834868
1.6,246.64695057004798,0.83079505
1.62,246.90917673398008,0.83472025
1.64,246.27848924482544,0.8295911
1.66,247.04517899233605,0.84326965
1.68,247.04946558329777,0.8542788
1.7,246.1188019396187,0.8304288
1.72,245.83039003403638,0.8201784
1.74,246.47386707147834,0.8240728
1.76,245.91996069902854,0.8224083
1.78,245.4867044272743,0.81404895
1.8,246.45120686245522,0.8420323
1.82,246.46768099215967,0.8407439
1.84,246.84207913525682,0.8407458
1.86,247.38259097228237,0.84704757
1.88,247.77445806958954,0.8482612
1.9,247.41116420583964,0.8350957
1.92,246.52314274120204,0.8243171
1.94,246.896833218395,0.8412154
1.96,247.2038906536032,0.85789853
1.98,246.8455941153785,0.8462751
2.0,246.00241060471478,0.81087404
2.02,246.3427612609711,0.8177638
2.04,246.9763976561951,0.83464134
2.06,248.08419381453322,0.84610486
2.08,248.39529458657097,0.8316871
2.1,247.67676577698577,0.8436539
2.12,247.98388616183584,0.8558884
2.14,247.76860220224984,0.8510301
2.16,247.1048402387569,0.84665996
2.18,247.51238588099395,0.84304464
2.2,247.20192818334024,0.844546
2.22,246.64561106906663,0.8226859
