time,frequency,confidence
0.0,43.87877799101624,0.10656984
0.02,43.55497640952292,0.64955205
0.04,43.53635842071228,0.75153506
0.06,43.596157387462924,0.70691085
0.08,43.766156993144335,0.72727287
0.1,43.51974622750199,0.712004
0.12,43.472588327833805,0.67075163
0.14,43.484603215685,0.62605774
0.16,43.27504433459221,0.68250513
0.18,43.25646633077871,0.6500175
0.2,44.89570946480261,0.06438249
0.22,49.54654544228696,0.32793552
0.24,51.28924060948668,0.20403981
0.26,54.34494050087522,0.2136377
0.28,58.53401842618881,0.10996832
0.3,61.23196099915218,0.060767442
0.32,63.728278211058615,0.10950116
0.34,66.82566639643186,0.10185206
0.36,72.65983619623543,0.10523448
0.38,75.45997574835582,0.10536616
0.4,78.11074136185272,0.15391469
0.42,79.87243963756393,0.38603428
0.44,84.71779772057812,0.05460803
0.46,89.6821743427209,0.48050463
0.48,93.769166165688,0.23361032
0.5,97.78411656586202,0.13041228
0.52,102.79678643756912,0.17393366
0.54,104.91160354701627,0.22143997
0.56,108.58678650710446,0.14081074
0.58,112.4316846771441,0.08846263
0.6,118.90358626201098,0.08551928
0.62,121.16387771596756,0.2661753
0.64,120.8282044104741,0.12346279
0.66,126.43269666129171,0.28021485
0.68,132.89225580435837,0.7866352
0.7,142.73458844754845,0.81307155
0.72,149.29861042102976,0.7044941
0.74,157.11305367949387,0.7675562
0.76,155.5344176115189,0.71098566
0.78,154.35029682283988,0.79016733
0.8,155.05678190541997,0.76635975
0.82,156.06356774151658,0.7603358
0.84,158.15098190493165,0.79032856
0.86,158.8719248026379,0.7477305
0.88,158.49021439117595,0.8166379
0.9,156.6894705444239,0.82258964
0.92,155.5144322549119,0.8591198
0.94,155.70862636259992,0.7730449
0.96,164.327358511216,0.5453001
0.98,184.04486147839805,0.6072463
1.0,211.3383955805881,0.66474307
1.02,225.0548088239789,0.6888648
1.04,251.37600250701365,0.78909624
1.06,265.0706749262723,0.8089521
1.08,307.43523325518004,0.59488875
1.1,321.244231509769,0.5328811
1.12,325.34537538388304,0.5596851
1.14,326.3250311506237,0.7430334
1.16,321.23390285546,0.64616114
1.18,315.05868853453586,0.69044304
1.2,308.4931928589309,0.70454407
1.22,308.15692902387093,0.58445525
1.24,315.5412971306556,0.57149714
1.26,323.7434665274265,0.64137864
1.28,326.86903708567974,0.64981514
1.3,326.1107626218251,0.5839931
1.32,321.1109269381083,0.691247
1.34,314.00346402922924,0.69755995
1.36,309.58500703883817,0.6911284
1.38,311.5674249670203,0.58002776
1.4,319.1365299500003,0.6623814
1.42,324.48847416975104,0.7037526
1.44,324.92884818681574,0.71384406
1.46,317.5658336480879,0.7305078
1.48,311.64548521987,0.6161933
1.5,309.7003845192864,0.6262362
1.52,311.1063428535474,0.69826686
1.54,320.90280125415944,0.72135186
1.56,326.2099421412592,0.8072747
1.58,327.19580976553124,0.80184275
1.6,323.4670370063874,0.76531506
1.62,317.7598483087689,0.80272627
1.64,315.50971704310126,0.6860577
1.66,317.0324556148691,0.6190327
1.68,322.56218362691345,0.64035296
1.7,326.9545723621177,0.5168592
1.72,325.8475917256095,0.58113277
1.74,321.8168669844015,0.57561094
1.76,318.017077325547,0.5544044
1.78,304.1286701506336,0.7461721
1.8,263.3868091481251,0.766215
1.82,240.29531532674736,0.553649
1.84,218.0741718751928,0.5420473
1.86,203.51172652727894,0.68626493
1.88,172.41459422875536,0.6245947
1.9,161.231204245926,0.65799737
1.92,158.91020997957844,0.6355481
1.94,158.49566035217674,0.769626
1.96,161.14623456751642,0.7930034
1.98,161.97748145701766,0.81717926
2.0,161.65089783403405,0.79897356
2.02,160.93045569507396,0.73869973
2.04,155.21542507343528,0.70438147
2.06,144.96559044313176,0.72712445
2.08,136.9797761359567,0.74560153
2.1,134.75057926455437,0.77092665
2.12,142.07407984984604,0.55312186
2.14,155.32450330831506,0.64589465
2.16,165.48031955227944,0.31325218
2.18,170.1002240710281,0.5909324
2.2,166.50233186022206,0.7659831
2.22,160.91179497342046,0.40935838
2.24,153.04186066678886,0.60304093
2.26,145.81731978755178,0.8286809
2.28,144.30829160816054,0.8191504
2.3,142.28080594871943,0.7753061
2.32,143.40676586766256,0.80839914
2.34,148.19420999791132,0.5231532
2.36,150.99766119698072,0.23634909
2.38,151.37201652889215,0.76584893
2.4,161.72606885694842,0.65043753
2.42,159.0892098317792,0.24542864
2.44,143.12769987010083,0.7110472
2.46,138.62472427179557,0.5030033
2.48,141.58105416896692,0.6991279
2.5,146.38108650522548,0.63460284
2.52,149.85648610242964,0.17346604
2.54,149.79397005791708,0.6739466
2.56,151.0960843202047,0.5546561
2.58,149.4184927015384,0.4095006
2.6,145.38808547277318,0.6627858
2.62,148.00772987083636,0.3562712
2.64,160.02708362607916,0.36620474
2.66,165.47892299057662,0.41887054
2.68,163.8165926123551,0.78806925
2.7,157.73027177748486,0.4511166
2.72,154.48413748981758,0.7655951
2.74,158.5559449465744,0.6796667
2.76,165.2789353178669,0.5144134
2.78,168.09972198426908,0.616052
2.8,157.06951894123966,0.7844524
2.82,150.01223306842962,0.46177676
2.84,144.91952830321262,0.1882706
2.86,130.50733529762215,0.54453385
2.88,140.99134968030467,0.57843006
2.9,150.03332545218123,0.3607589
2.92,161.32127682786256,0.7327626
2.94,159.03977209912418,0.67149794
2.96,147.29039816182342,0.36637342
2.98,133.34586627075223,0.28672788
3.0,119.25651192697177,0.82827187
3.02,118.21144140283893,0.79929745
3.04,121.13152048059135,0.5735048
3.06,129.29736822743956,0.6821903
3.08,132.8689992546356,0.7294975
3.1,130.4652714183935,0.68532634
3.12,125.42813668157088,0.558664
3.14,122.33683841748815,0.7480066
3.16,121.25992848316793,0.7681948
3.18,122.72073831567602,0.7682984
3.2,125.96466359961556,0.65194774
3.22,128.14290426944842,0.73468626
3.24,128.10520679767274,0.6843226
3.26,126.19916622617069,0.51181746
3.28,124.48909035152184,0.6842634
3.3,125.08143352875608,0.64578235
3.32,131.15698675338905,0.5456953
3.34,133.35951786952282,0.40355274
3.36,126.28299923897652,0.2211205
3.38,113.50864416058988,0.20057108
3.4,104.18962514235339,0.24855381
3.42,93.99270279220956,0.4164654
3.44,85.19026062806057,0.30837852
3.46,77.33495950119462,0.54361606
3.48,72.07180348567981,0.41281193
3.5,63.28466666928041,0.08046649
3.52,60.602607455100085,0.20647773
3.54,54.07470976695927,0.27957845
3.56,51.7787072177226,0.27233094
3.58,49.8529048084073,0.08403736
3.6,48.324095568161056,0.3253575
3.62,49.45900772457633,0.4632455
3.64,54.63098863887303,0.83476853
3.66,56.173081514969205,0.38430065
3.68,56.877015890413205,0.16972487
3.7,52.06772197858211,0.12386218
3.72,52.59075198830295,0.36382183
3.74,55.17156487677436,0.15555355
3.76,53.64347935122831,0.14823526
3.78,51.81376197217884,0.31433615
3.8,52.24725154836147,0.15745574
3.82,49.04966260429166,0.48910457
3.84,51.19237344817706,0.32658792
3.86,52.109511624703245,0.42534548
3.88,54.38875260283143,0.15306157
3.9,48.16379038947709,0.045097712
3.92,51.243607663897876,0.32860622
3.94,49.48702359632569,0.30414733
3.96,44.7755854299961,0.33979243
3.98,44.53927424115481,0.041717116
4.0,44.510565580773395,0.11876502
4.02,46.375779899269645,0.06700651
4.04,47.04743254317816,0.18315946
4.06,48.075788114644105,0.21944529
4.08,48.51023187698925,0.14323178
4.1,48.60859393770699,0.09777862
4.12,48.11871050521967,0.67157435
4.14,47.654381527831795,0.68755895
4.16,46.1532096509284,0.2541056
4.18,44.31086591992039,0.60639745
4.2,42.47782451264818,0.38632444
4.22,41.41384403239567,0.58506364
4.24,41.96922895082517,0.5140817
4.26,43.788062985098286,0.45252892
4.28,49.256104499635825,0.13464795
4.3,49.43332524911617,0.39965355
4.32,54.40397905468912,0.17647856
4.34,54.9195051657921,0.24124674
4.36,49.31713177504758,0.3635731
4.38,46.89378058073515,0.6353375
4.4,49.37402964044512,0.26676333
4.42,48.935827887068314,0.15698618
4.44,47.941364089162064,0.06784938
4.46,48.254424442281234,0.16292885
4.48,50.555005020318475,0.22793384
4.5,52.400204435911476,0.2225544
4.52,51.8604646043373,0.31857732
4.54,51.75619927175014,0.30578008
4.56,52.9028035917063,0.10800002
4.58,52.88417514117489,0.29135564
4.6,54.448810783319665,0.07690173
4.62,53.08634259321781,0.04171053
4.64,51.927704735512236,0.11609839
4.66,55.870971729223974,0.47776195
4.68,52.33161281040105,0.60642374
4.7,48.553995453790655,0.6174904
4.72,46.20846718611341,0.423189
4.74,47.99011044277048,0.068868965
4.76,47.228543800150504,0.10010265
