time,frequency,confidence
0.0,177.25497930373106,0.08612571
0.02,174.6729788080017,0.08697367
0.04,175.7231452954417,0.46940705
0.06,179.52701767469267,0.28960726
0.08,176.82024889885201,0.14267059
0.1,197.48639462814057,0.17609058
0.12,218.27033350514952,0.28203964
0.14,238.6842106672264,0.2570363
0.16,260.2280767068506,0.37945926
0.18,261.9596681969436,0.207953
0.2,262.7474646078014,0.18547946
0.22,269.71456433175763,0.4449078
0.24,285.2559761876331,0.1969658
0.26,272.64981885851523,0.46729597
0.28,278.816723953511,0.36834112
0.3,280.92028014581336,0.47885182
0.32,273.20654826919383,0.37817696
0.34,279.6965910644801,0.2523544
0.36,271.4596712729474,0.42956087
0.38,265.8539610743368,0.16291665
0.4,273.0926860557215,0.6124182
0.42,270.74876381725596,0.2276695
0.44,268.3522842351871,0.1391195
0.46,261.6251014021424,0.33102274
0.48,260.6826154899878,0.28042907
0.5,261.4769313461185,0.3312818
0.52,254.24610539569733,0.30290973
0.54,253.66968493362089,0.17453872
0.56,261.77670036857825,0.56019175
0.58,260.09281232773236,0.33799607
0.6,256.8266667768344,0.20907617
0.62,268.2626173194711,0.53412294
0.64,278.4382869197543,0.34896424
0.66,275.4860696329948,0.7111845
0.68,281.33686337660845,0.7899442
0.7,278.5950823054112,0.80566704
0.72,277.5558350323576,0.76406085
0.74,279.8448853556199,0.6953994
0.76,277.1563383882368,0.8432168
0.78,281.4841997158452,0.8023812
0.8,275.44929304481695,0.77867943
0.82,279.89442002842344,0.6803183
0.84,277.42395604483147,0.8284717
0.86,281.5035915198192,0.8385157
0.88,279.77668031433376,0.67532486
0.9,275.37516842246333,0.7398092
0.92,279.8876246114155,0.48109895
0.94,277.0726897985601,0.73157
0.96,281.62993448859504,0.6856384
0.98,276.4825327684607,0.77880883
1.0,278.24647685753524,0.37287834
1.02,266.74442187248246,0.32305
1.04,264.9443911914984,0.46606013
1.06,258.7830305331857,0.27825037
1.08,240.92554678507025,0.1323048
1.1,223.67303825188867,0.1690627
1.12,236.82753384524236,0.18771914
1.14,262.3562597889,0.1347108
1.16,280.97991906420236,0.5331322
1.18,280.35452809868883,0.7968476
1.2,278.54736053618973,0.84421307
1.22,281.03573382491925,0.80541635
1.24,277.74626649454086,0.86352366
1.26,282.1342836543604,0.86243844
1.28,279.4102701674228,0.8380464
1.3,279.87913060993986,0.8043762
1.32,279.28618935151354,0.76024437
1.34,278.32167499371184,0.79780483
1.36,281.19399048202195,0.71876454
1.38,273.28741362621184,0.7430219
1.4,274.95490307280863,0.38034937
1.42,274.49068884026303,0.5147691
1.44,266.3233512424071,0.3888149
1.46,257.0464795826718,0.16303487
1.48,268.8232227731789,0.09198955
1.5,283.145889354638,0.29879603
1.52,282.989307236673,0.4218221
1.54,279.9300339933259,0.45538673
1.56,281.7450237553718,0.741838
1.58,279.416570483799,0.8287147
1.6,278.97091447447235,0.78798115
1.62,282.28028884707885,0.762777
1.64,277.8571952380295,0.85241973
1.66,280.5354999737536,0.7490951
1.68,277.69426336918224,0.8395507
1.7,280.9585259809921,0.6318604
1.72,278.97657142746203,0.7927121
1.74,280.7848204811584,0.7029978
1.76,278.98993341587476,0.5329491
1.78,277.8898421748624,0.48283252
1.8,287.2838133838993,0.47541603
1.82,315.31654891171274,0.11703005
1.84,298.1471757331768,0.36469397
1.86,280.635594709756,0.39721462
1.88,283.16369754017154,0.47109762
1.9,283.27487767487065,0.52563405
1.92,281.5369748622993,0.83188087
1.94,277.95566638221925,0.8899191
1.96,281.1441783061213,0.868095
1.98,278.69418362378457,0.88123316
2.0,281.72511591358455,0.8309098
2.02,279.1710655122074,0.8116162
2.04,281.13807817475924,0.83094645
2.06,280.06592207969794,0.67060006
2.08,279.23306469481196,0.8425164
2.1,283.41114093957015,0.7458893
2.12,279.1284070319385,0.5665812
2.14,293.5859366595995,0.5917419
2.16,292.0822613232064,0.49510726
2.18,290.20279124734736,0.31515488
2.2,282.1808906035927,0.70480454
2.22,281.3331113877427,0.8464528
2.24,277.693220685005,0.8947179
2.26,281.09979814057215,0.8716569
