time,frequency,confidence
0.0,327.0414774750236,0.10779172
0.02,332.7271983383,0.10824005
0.04,328.0053946118293,0.13525069
0.06,327.1896005733279,0.15328886
0.08,331.4136690368258,0.29059598
0.1,338.04094708532216,0.3390726
0.12,337.1438788599908,0.15317804
0.14,334.7269240085723,0.1350339
0.16,323.7119425369482,0.18802579
0.18,327.31118543312505,0.24022324
0.2,331.7845262089926,0.2939517
0.22,331.1764745997468,0.15571754
0.24,332.9092637256617,0.11004484
0.26,331.7561669995772,0.19861224
0.28,346.7235105003019,0.4544465
0.3,368.39374347107474,0.4905353
0.32,378.0868969196615,0.48663953
0.34,374.49799086087006,0.3171351
0.36,373.37410022182956,0.5873908
0.38,381.8347164365043,0.7627721
0.4,384.5684104798741,0.7516664
0.42,386.1279491843429,0.7500798
0.44,384.56815949178065,0.6944186
0.46,380.6416217605522,0.64427614
0.48,372.3123310389178,0.5947526
0.5,363.10154114393356,0.7447996
0.52,363.8795038806311,0.59377456
0.54,371.0707830770451,0.55909276
0.56,370.31172137434066,0.4524427
0.58,358.1336958235955,0.398957
0.6,349.7975249708156,0.64118135
0.62,344.502972224161,0.3049003
0.64,337.3829548994891,0.23394464
0.66,343.02332224706606,0.4782044
0.68,338.3469978783196,0.55235124
0.7,337.91866199886,0.25490594
0.72,339.8073948928305,0.20279603
0.74,328.6679330859369,0.28196406
0.76,334.0705151477616,0.40396085
0.78,351.9650958473659,0.15007743
0.8,374.76502318681645,0.5632475
0.82,383.0767691223248,0.7407493
0.84,385.80637805144465,0.77616525
0.86,385.7186435986496,0.74769604
0.88,384.0073171112521,0.6925428
0.9,376.0732720994098,0.7166336
0.92,368.99882111175384,0.6948873
0.94,352.72319370653156,0.39819786
0.96,395.4528736173937,0.15472963
0.98,453.36516344475604,0.5116383
1.0,456.95266064460094,0.40848252
1.02,449.8086148712887,0.35405537
1.04,447.70749797684425,0.545249
1.06,439.3631297461242,0.16839951
1.08,439.6509967470951,0.10121151
1.1,452.10173908274623,0.20970747
1.12,452.04423190177016,0.23768939
1.14,448.11666749998096,0.14869447
1.16,405.2474263727018,0.5169778
1.18,354.5572230553506,0.28599164
1.2,325.91137596975113,0.6761391
1.22,326.6415715232952,0.6977163
1.24,331.3904302159969,0.51280427
1.26,336.6063888688604,0.42136428
1.28,336.0258920269095,0.28411987
1.3,334.40968514237596,0.71186125
1.32,328.31922605453065,0.26049936
1.34,325.3859268855558,0.5145457
1.36,322.31100518996845,0.51521456
1.38,326.9688146218368,0.18718927
1.4,335.0372401381586,0.23797463
1.42,332.03944294720344,0.22566691
1.44,325.8225285328947,0.30424887
1.46,336.79385550234144,0.20952924
1.48,331.89045689121536,0.285453
1.5,341.4044511415831,0.27302563
1.52,337.6963527121504,0.4512617
1.54,372.52823574160493,0.34514198
1.56,373.97416372907173,0.63120615
1.58,381.2186082321304,0.77097195
1.6,384.331979362599,0.7948321
1.62,385.7226249879,0.74797034
1.64,383.65417160573315,0.6865605
1.66,384.10845254528033,0.6664177
1.68,375.7348439727782,0.69193566
1.7,368.8976568417442,0.6040161
1.72,372.3307901423846,0.6685149
1.74,327.6309815563509,0.14773057
1.76,319.9272866253008,0.574627
1.78,332.3933880028114,0.4798953
1.8,333.8519154915492,0.33136505
1.82,308.21761243962493,0.3316849
1.84,293.5455130015285,0.449537
1.86,301.91048105092716,0.31918064
1.88,310.28000645041914,0.5862672
1.9,303.6718391514557,0.787958
1.92,294.15890304893395,0.3664246
1.94,270.9780302474028,0.32366982
1.96,246.66259627848882,0.3262109
1.98,216.98042713120716,0.19647156
2.0,190.84790077213526,0.5534313
2.02,167.1783718601642,0.6898746
2.04,151.5264495438616,0.7643083
2.06,153.7529124454539,0.8029151
2.08,154.6198771089788,0.8182851
2.1,154.82276012333375,0.7806386
2.12,154.50082371615784,0.795818
2.14,155.13360888443322,0.8179737
2.16,156.12458679127573,0.8647372
2.18,156.4879369565232,0.79129136
2.2,157.44198883476716,0.8002795
2.22,159.72322948617682,0.80797786
2.24,160.24078986263527,0.8310563
2.26,159.48961009642073,0.82244384
2.28,158.19493305473512,0.73739946
2.3,157.44693106349396,0.6882018
2.32,157.32304032529711,0.71176064
2.34,157.40531680541707,0.57913196
2.36,158.21676193125924,0.51289415
2.38,159.94062725319566,0.59781516
2.4,159.77024685178438,0.7647492
2.42,159.62158837327615,0.78843576
2.44,160.0834898160667,0.8048918
2.46,160.55539520774607,0.8056915
2.48,160.07638653355374,0.7193706
2.5,159.42443292367165,0.7792322
2.52,161.37109000918724,0.7307237
2.54,163.07337311518194,0.78933084
2.56,163.7373429814691,0.8011219
2.58,162.42462599210836,0.7371039
2.6,161.97002549342068,0.45394364
2.62,160.77398315308056,0.56703913
2.64,159.79253235596812,0.71803856
2.66,159.95561684765718,0.7626795
2.68,159.93317390393992,0.76858497
2.7,160.53315189127812,0.7457056
2.72,161.02873470999248,0.7581286
2.74,161.28283398614337,0.79968417
2.76,161.08747502434818,0.81123906
2.78,160.77682628494227,0.7383951
2.8,161.4619525271095,0.66557
2.82,162.62592809253294,0.78447723
2.84,163.117440936031,0.8414261
2.86,161.85409804588264,0.82810485
2.88,160.84823633306377,0.7929528
2.9,160.5980632830313,0.82545626
2.92,159.55893723567553,0.8288486
2.94,160.06632184549656,0.7794168
2.96,160.23825883672882,0.8036965
2.98,159.50186607864717,0.74912596
3.0,159.80569649882165,0.7848452
3.02,160.18701366499786,0.769809
3.04,157.61031587384312,0.7521336
3.06,156.9750275023903,0.54099613
3.08,157.69641616221986,0.5413405
3.1,158.30081826884987,0.57421374
