time,frequency,confidence
0.0,182.75882727627334,0.16321783
0.02,175.12761024912098,0.20762558
0.04,175.11115025703083,0.14065671
0.06,175.20043347095336,0.19691664
0.08,204.13739190458202,0.15240735
0.1,222.10280648253206,0.16797039
0.12,254.97947236080248,0.20366634
0.14,285.76048209804424,0.14945652
0.16,324.0848392697496,0.14114697
0.18,318.69191947142264,0.59215486
0.2,319.32978677980265,0.7225494
0.22,319.93723816524687,0.6114657
0.24,318.74378285161936,0.595096
0.26,319.443756213663,0.63329816
0.28,318.733110810825,0.7147658
0.3,318.4230192410537,0.69075584
0.32,317.6689101415939,0.70630884
0.34,317.8420497716072,0.62397504
0.36,317.6631570343552,0.5887084
0.38,316.8537236877661,0.668629
0.4,319.46893183765525,0.5119355
0.42,316.6500222960943,0.4337891
0.44,315.60776176416107,0.3140087
0.46,321.16079195630334,0.19503936
0.48,314.1693654206461,0.36666775
0.5,277.9889295410442,0.30696934
0.52,251.52225670025217,0.2977014
0.54,230.03193362477262,0.44706225
0.56,201.75569831496324,0.44901523
0.58,176.28832918037085,0.33858636
0.6,160.96476033166334,0.2696288
0.62,140.98059227375896,0.3072734
0.64,127.19697781498436,0.24736238
0.66,126.02833693008839,0.49887773
0.68,125.22668920738843,0.4441566
0.7,125.54922095699978,0.43547633
0.72,125.35342490957606,0.31826815
0.74,125.97926149087101,0.43791932
0.76,127.51317128994484,0.5738659
0.78,128.1331719651405,0.36814123
0.8,126.05346924414266,0.507432
0.82,126.93599992922043,0.4260475
0.84,127.48454589092658,0.417857
0.86,127.67064063736112,0.37552986
0.88,124.57151002559884,0.46873426
0.9,123.75537567922655,0.4178603
0.92,125.3275327342429,0.29993847
0.94,127.25646150503033,0.5476444
0.96,128.2024875491897,0.5634186
0.98,128.04776373138878,0.33236873
1.0,128.19055965529262,0.42696664
1.02,128.4292016900012,0.546236
1.04,128.34938329891457,0.3454456
1.06,125.73179756886097,0.3695669
1.08,123.8348337816306,0.3320713
1.1,128.88696165041858,0.18150392
1.12,128.92201996455023,0.37774083
1.14,127.581317898203,0.391536
1.16,126.84957286172626,0.33419195
1.18,128.04769793007046,0.6704629
1.2,127.94241988174853,0.66034293
1.22,128.3062329335056,0.35841164
1.24,127.9715356970708,0.6455557
1.26,127.55555367254158,0.66000026
1.28,126.59556448362416,0.6888673
1.3,128.02194355474836,0.51842934
1.32,124.64446663578626,0.5152529
1.34,128.87659806579077,0.3813007
1.36,127.12701751995183,0.37384287
1.38,127.08217650803704,0.2282562
1.4,126.06725200544916,0.47110143
1.42,128.09398523437633,0.37187293
1.44,126.6613181858178,0.5747119
1.46,128.00285437977945,0.57035434
1.48,128.5808820884638,0.33423027
1.5,128.061092852854,0.2784093
1.52,128.9033685581555,0.4488986
1.54,126.71317493318826,0.3997216
1.56,129.57055431829338,0.3668924
1.58,128.4789227122397,0.30034348
1.6,125.7682158214429,0.23619264
1.62,129.5976148445246,0.29992342
1.64,127.72183228389221,0.21700661
1.66,129.715004356387,0.24018838
1.68,142.53290899758827,0.34490174
1.7,159.08097837825034,0.13444385
1.72,159.34638100182048,0.16114421
1.74,160.12477710671544,0.1434067
1.76,160.3596280315151,0.22822878
1.78,173.99213221472732,0.14625892
1.8,189.88415975428586,0.37922814
1.82,209.8412267269082,0.49344677
1.84,234.59240984471427,0.1421957
1.86,254.5883465817084,0.24608147
1.88,254.53914771311196,0.20849688
1.9,252.17965851024204,0.39034253
1.92,255.61227988060506,0.64145625
1.94,253.5734681364395,0.2864332
1.96,253.66164434032814,0.58206564
1.98,254.89000396084464,0.22302203
2.0,253.1817165105935,0.22558108
2.02,253.94238045614395,0.51250136
2.04,252.41887297326014,0.2759027
2.06,252.70427138953733,0.44455695
2.08,251.6985880752279,0.22985488
2.1,252.56593888782436,0.5001327
2.12,254.19584103967466,0.42189357
2.14,255.80095003824857,0.3809124
2.16,253.5369589798338,0.046876762
2.18,256.4957986551255,0.051705223
2.2,262.3385345700867,0.040457286
2.22,274.7718665998626,0.06326015
2.24,282.5950001544793,0.09094948
2.26,289.4067199337188,0.01845733
2.28,293.23540912844123,0.04120733
2.3,296.6283445554256,0.50481045
2.32,304.307796446661,0.27455884
2.34,311.3220525949798,0.29071876
2.36,319.51874786918006,0.08333191
2.38,326.9605820952225,0.13241218
2.4,333.6572045888698,0.071765944
2.42,345.28553580392656,0.60764873
2.44,348.4212778887926,0.4105431
2.46,362.63114100786186,0.60099566
2.48,367.1715573029113,0.62153494
2.5,379.2813110868202,0.4866222
2.52,382.8310845531082,0.12356734
2.54,392.597954855402,0.06674883
2.56,403.43724349289965,0.18966912
2.58,409.74986081908264,0.116866946
2.6,423.4641942349459,0.10436865
2.62,427.5098373625164,0.22180259
2.64,441.83073268908095,0.39590117
2.66,449.9045276072394,0.67805624
2.68,463.10657577687755,0.5494243
2.7,471.8092457922852,0.36539894
2.72,473.7530982315892,0.12600581
2.74,484.7484409318253,0.14411771
2.76,485.9550054591672,0.22659764
2.78,492.77787102517436,0.22494546
2.8,489.2779257266428,0.11026435
2.82,479.8669182030105,0.17951219
2.84,474.3503829707482,0.46370608
2.86,488.25619844562107,0.25243863
2.88,496.55877369420523,0.22433199
2.9,493.3484596336825,0.07802845
2.92,486.8977363291264,0.15644388
2.94,492.9194784269554,0.14044063
2.96,499.40871190672,0.21245624
2.98,493.64695689527696,0.19664606
3.0,497.5479495247663,0.21544732
3.02,500.4153478844229,0.2048853
3.04,502.7140230934603,0.38081172
3.06,507.39130417803153,0.38886935
3.08,504.7166646174373,0.23854713
3.1,505.81570555182856,0.29605702
3.12,498.57576819809907,0.31323144
3.14,498.61440297942414,0.6566887
3.16,502.574465171161,0.6191853
3.18,500.32264476407977,0.3439198
3.2,503.48039945735593,0.26088494
3.22,498.7215801192425,0.2853452
3.24,493.22503827375795,0.4978306
3.26,496.5384997966264,0.34965456
3.28,503.46947248097206,0.77401286
3.3,501.5428209802301,0.5639056
3.32,501.6388055349257,0.6284193
3.34,498.0343583088377,0.7443657
3.36,502.7098717616678,0.64486897
3.38,506.62661889012725,0.34944925
3.4,507.7745499368038,0.337632
3.42,510.348159830499,0.17433575
3.44,502.6234191416604,0.16768755
3.46,497.28809283582234,0.21554938
3.48,499.24218549886893,0.22605555
3.5,488.8616084255958,0.19336258
3.52,473.6406514906473,0.33501038
3.54,449.6152895306154,0.1503437
3.56,403.4534400447426,0.2276052
3.58,382.5977970527281,0.12899974
3.6,378.95430033904603,0.20812874
3.62,381.872066962911,0.2220756
3.64,381.3341911849491,0.38161686
3.66,381.6930013418648,0.1955582
3.68,410.35833465114166,0.2610759
3.7,469.54803205404846,0.21990496
3.72,503.97808111471113,0.6740974
3.74,508.42798851335084,0.40068653
3.76,508.3872411679788,0.59864897
3.78,503.6569537271607,0.5404489
3.8,504.3854686527121,0.32662338
3.82,505.1062371252449,0.4912252
3.84,502.76926519499364,0.38990703
3.86,497.97564611603775,0.3407101
3.88,494.7909782726018,0.51994157
3.9,505.0048746739045,0.7528333
3.92,509.4196989614086,0.82479554
3.94,509.24340311421537,0.8465947
3.96,505.2513959222437,0.77007616
3.98,504.8685617044505,0.52999747
4.0,504.41302206858956,0.38541582
4.02,502.85576087675196,0.4660923
4.04,504.47667835840207,0.49094772
4.06,500.8900692663518,0.4631784
4.08,500.0195756538624,0.47781923
4.1,498.97902244418583,0.30941862
