time,frequency,confidence
0.0,174.87642015038676,0.18068606
0.02,174.79590987119607,0.48246166
0.04,173.46813348394787,0.4743166
0.06,173.07335374542762,0.2806222
0.08,166.09647479680228,0.14153714
0.1,164.7493388029517,0.25007495
0.12,165.53474990839686,0.10825485
0.14,166.3450916714496,0.15549321
0.16,164.73048096824184,0.56584334
0.18,166.1251958932893,0.30098203
0.2,165.1345970347851,0.02316414
0.22,166.28470456511306,0.1848225
0.24,163.97628505846217,0.46264675
0.26,161.6187868224281,0.07817433
0.28,164.0075137149793,0.12892443
0.3,172.72667282792685,0.4440797
0.32,163.02890789628896,0.58682495
0.34,153.0057528691746,0.73030525
0.36,145.91947817849905,0.67577815
0.38,153.57498862916583,0.4365519
0.4,157.13848650104558,0.47887433
0.42,159.54986485177918,0.63746893
0.44,159.82273102516967,0.79323226
0.46,157.4781338829605,0.51401585
0.48,147.1475346842106,0.6045357
0.5,154.6633761250674,0.32300347
0.52,157.85870792212583,0.253401
0.54,157.45933996707714,0.5846089
0.56,157.83069439107783,0.7756287
0.58,159.47350194492375,0.63235146
0.6,159.14435478059886,0.5924636
0.62,170.75884778413302,0.2431382
0.64,174.3850478156006,0.59299636
0.66,167.1196785645542,0.79813427
0.68,165.09136702499143,0.88035184
0.7,165.35347846767027,0.885413
0.72,165.49678151686226,0.8896767
0.74,163.187368311046,0.787979
0.76,157.4024089800796,0.66757447
0.78,155.0474322445457,0.8210839
0.8,154.55285751863374,0.86086977
0.82,155.4752755898328,0.81331956
0.84,167.6532167126297,0.3136329
0.86,169.21924509793774,0.8330461
0.88,168.67299822370325,0.84222543
0.9,163.077627160799,0.6931156
0.92,156.75548249611307,0.8340539
0.94,156.4653889371149,0.8608626
0.96,161.2214075767504,0.7771959
0.98,168.48071051628278,0.6465125
1.0,179.00210131775236,0.79011774
1.02,182.6911966005826,0.86235845
1.04,182.07849539494137,0.8262388
1.06,173.65199301070254,0.64476466
1.08,163.85940510635004,0.75245196
1.1,159.61554726414616,0.83233154
1.12,160.84780225527098,0.8459004
1.14,164.6148893796021,0.781094
1.16,171.97603319817046,0.8021311
1.18,177.18486395038326,0.846982
1.2,177.34039420238062,0.8498774
1.22,172.16544607797616,0.80306304
1.24,163.36274364692144,0.7468518
1.26,156.2051185851384,0.8091266
1.28,151.563424999087,0.8487033
1.3,148.69336792258758,0.88156503
1.32,146.38097096675557,0.8918685
1.34,145.2310544455118,0.9309399
1.36,146.5991437306241,0.90324724
1.38,150.8177425188085,0.8306928
1.4,156.15076269748124,0.5351987
1.42,163.12255135946583,0.61508
1.44,151.49703232644643,0.49320775
1.46,139.53516014711695,0.3324634
1.48,141.68442341461255,0.24368635
1.5,148.82097228079257,0.3491515
1.52,145.6580878943405,0.16735595
1.54,152.71647016865083,0.12740606
1.56,144.0856358189304,0.273758
1.58,131.0475003441877,0.30338857
1.6,124.44772477083433,0.3747196
1.62,128.20890786413514,0.8360734
1.64,130.029460115365,0.8313457
1.66,130.73304333316983,0.84279406
1.68,130.66381738683395,0.881641
1.7,130.0767739195085,0.8731913
1.72,129.21142186214308,0.8406751
1.74,129.10195686102682,0.8157332
1.76,130.26734293706997,0.84094036
1.78,131.02574781913577,0.8987755
1.8,129.87063967473983,0.84699756
1.82,125.43585940129708,0.7074019
1.84,119.47523956158619,0.7557066
1.86,115.88684544240756,0.6927717
1.88,118.11661478163877,0.77599514
1.9,123.04256164592096,0.82924986
1.92,127.05556209013821,0.8221616
1.94,129.83524074206883,0.84937334
1.96,130.459192135264,0.81619644
1.98,127.0104509642499,0.760284
2.0,125.4215314724068,0.8290276
2.02,126.5031809991844,0.8489814
2.04,128.23051036893816,0.8527857
2.06,129.15375081158885,0.83872414
2.08,128.86660798164382,0.8296813
2.1,129.05931122905585,0.85097307
2.12,130.02287322246642,0.8603177
2.14,130.0557506830857,0.8639461
2.16,128.48360145351276,0.8472947
2.18,125.35654661416787,0.82998985
2.2,125.40276943763045,0.78786904
2.22,133.15192287791638,0.25641617
2.24,146.03134685604223,0.27229053
2.26,155.38949331506078,0.42034498
2.28,176.80752248929542,0.7811594
2.3,175.85408251231783,0.82408994
2.32,167.34029943250417,0.6695415
2.34,152.7585742660652,0.63122404
2.36,144.81927357305662,0.8283242
2.38,141.41044906310043,0.8464892
2.4,141.0224450653065,0.85218084
2.42,143.4788116613319,0.90504616
2.44,145.6582089119708,0.92115915
2.46,148.4948317203271,0.8506402
