time,frequency,confidence
0.0,332.64385537080534,0.05978971
0.02,329.46858372930166,0.073981
0.04,333.15088754724405,0.12982973
0.06,332.3158293403021,0.10200361
0.08,328.5043444159276,0.06716191
0.1,324.365483764166,0.11678407
0.12,327.822954927756,0.21488558
0.14,330.06761378418224,0.11922307
0.16,354.5716724480408,0.38387898
0.18,350.60618100223064,0.6307117
0.2,352.3078863716555,0.5918601
0.22,360.546558462432,0.3540943
0.24,343.87309516504854,0.08144124
0.26,325.2818663839519,0.11220412
0.28,352.0395660738395,0.400096
0.3,363.75998224012267,0.110164054
0.32,358.65474262909083,0.361838
0.34,352.7667028636685,0.45108247
0.36,354.3450822611968,0.18220347
0.38,353.1026768495383,0.24071108
0.4,352.6503196969844,0.17557415
0.42,349.31392423629393,0.3602555
0.44,338.59036592876015,0.4199205
0.46,333.6673626985916,0.32481915
0.48,332.66975529906085,0.08764876
0.5,327.0454529636622,0.17018235
0.52,319.31460710140334,0.44638526
0.54,319.01785110673063,0.28707758
0.56,338.16948958802465,0.28212464
0.58,345.9921386417306,0.2577216
0.6,346.02261814936924,0.25010023
0.62,331.40234657142923,0.08012376
0.64,330.6378855902303,0.15758264
0.66,327.77736802791605,0.40959045
0.68,332.87304559321177,0.2072647
0.7,332.38587603087524,0.27290034
0.72,326.45102897668073,0.25478572
0.74,327.9605144677776,0.28480268
0.76,336.07106422456684,0.23309697
0.78,351.302972904773,0.1641497
0.8,349.91231237420726,0.26453304
0.82,346.20209136061413,0.13860747
0.84,349.55793774236577,0.13584802
0.86,356.1535196560363,0.14059089
0.88,357.3934789055101,0.09817499
0.9,356.14935767740076,0.13657694
0.92,348.8659220124816,0.07668391
0.94,338.74715139416844,0.13626723
0.96,327.6207995862834,0.13933481
0.98,336.4212145769415,0.21772428
1.0,343.21263965646335,0.4377287
1.02,339.12910029856397,0.16017051
1.04,343.85375874124003,0.08580367
1.06,348.7536785638877,0.09755957
1.08,356.8663520449042,0.37467512
1.1,359.57138412730296,0.3546561
1.12,356.5923530449725,0.3373998
1.14,315.6010782761483,0.23351856
1.16,319.9317775036038,0.18891393
1.18,333.56937438501205,0.07622853
1.2,345.17274660814655,0.25431645
1.22,348.29601529319945,0.2221482
1.24,357.6194718161731,0.1731993
1.26,349.54680511044046,0.4980142
1.28,349.566617360578,0.6198485
1.3,355.82345652038697,0.42276776
1.32,352.31809075435433,0.20202439
1.34,347.72450524632404,0.35268915
1.36,336.6188593981665,0.21313666
1.38,337.5091355806774,0.16264531
1.4,349.2720618815421,0.20418273
1.42,354.60199207076556,0.24761905
1.44,357.9671785117592,0.54570293
1.46,355.0228518409641,0.5250706
1.48,350.49756699041166,0.5332777
1.5,342.81397223631643,0.29477036
1.52,348.8897739510699,0.3569179
1.54,338.10192039180606,0.14922576
1.56,340.2227224626421,0.14617239
1.58,340.21431536663385,0.20857602
1.6,337.5448901501989,0.10056122
1.62,336.4371241694436,0.3322335
1.64,330.17336391022815,0.18866697
1.66,347.44839652340625,0.09503609
1.68,354.1628749209755,0.5105354
1.7,352.597296936056,0.48857987
1.72,353.5507164311589,0.41962954
1.74,350.111379496858,0.2295512
1.76,349.3477249805227,0.15525657
1.78,356.3184356669982,0.08562389
1.8,353.9445718974005,0.42266163
1.82,355.1269901090233,0.47869307
1.84,356.38037077514633,0.2864026
1.86,364.96568099487524,0.12760714
1.88,363.02578110159754,0.09230497
1.9,359.7992288815481,0.14795408
1.92,358.774744673757,0.13335443
1.94,354.64550509946804,0.11644274
1.96,355.0692089223695,0.08636828
1.98,353.43636833484516,0.4008373
2.0,357.08983314197167,0.27160215
2.02,349.94040742633376,0.20143504
2.04,353.1770972006239,0.46675792
2.06,349.9571737818348,0.14682087
2.08,348.4703447308448,0.2168711
2.1,345.16452606757707,0.18326773
2.12,336.23888190218975,0.197728
2.14,325.70335804738863,0.2256214
2.16,331.1658485262277,0.09682685
2.18,332.3613302385021,0.16941604
2.2,326.5827557641845,0.08760714
2.22,345.5704849160838,0.1241706
2.24,355.3817730677136,0.21294516
2.26,349.5244773818525,0.18141901
2.28,344.8694525034455,0.17701939
2.3,346.50244688770493,0.14947367
2.32,347.8592928619572,0.29654822
2.34,353.6257639633024,0.2021433
2.36,361.6267922805918,0.4577995
2.38,352.9414847715085,0.19556758
2.4,350.17847346269195,0.19035164
2.42,347.84600610951003,0.18482536
2.44,346.96378421316433,0.13257045
2.46,345.62357875666294,0.19230011
2.48,337.37678059456493,0.06695853
2.5,319.8700542105925,0.10499165
2.52,323.53527136802137,0.3953728
2.54,331.71592592531005,0.18072146
