time,frequency,confidence
0.0,176.86949467023342,0.1993065
0.02,175.50801867289934,0.16339666
0.04,181.67662554148987,0.20544326
0.06,206.39728290173508,0.20972295
0.08,216.61970538097083,0.22271994
0.1,227.24365224401288,0.21802436
0.12,250.41405540068754,0.228015
0.14,266.22286885729727,0.30937156
0.16,291.6471098633854,0.37187564
0.18,301.72389976695354,0.584285
0.2,304.32036217015644,0.6766492
0.22,305.7026526080747,0.720357
0.24,303.89195902209843,0.79098487
0.26,308.4263334166501,0.73136556
0.28,308.16883933123177,0.6790973
0.3,291.9915477810691,0.5391808
0.32,285.25560656729465,0.40402088
0.34,291.20689909108427,0.5704299
0.36,306.84515003709,0.6662291
0.38,308.517833797803,0.63002414
0.4,302.61984813803167,0.83278024
0.42,305.3039106576589,0.8479638
0.44,309.08138658910497,0.856197
0.46,308.30750481072977,0.8516165
0.48,307.0558077176185,0.7900603
0.5,301.77170880563585,0.7936102
0.52,300.52430929673227,0.83675766
0.54,304.70550349510967,0.7925312
0.56,304.9674051675655,0.86008745
0.58,308.51871604062615,0.8154193
0.6,307.5405948079025,0.80590856
0.62,308.53315466360567,0.8717471
0.64,309.54150653899774,0.8315249
0.66,303.1040765330762,0.80967844
0.68,297.21555773295756,0.58130157
0.7,294.71704565768744,0.543033
0.72,298.93314363492277,0.8086171
0.74,291.11095353849197,0.65718377
0.76,290.05885505690367,0.7813172
0.78,302.22812715176775,0.8072691
0.8,307.30518444367254,0.8425647
0.82,303.25041686545103,0.8191513
0.84,305.51902827174933,0.56279594
0.86,291.87169243135907,0.33055857
0.88,293.69870810465466,0.81573623
0.9,291.1855842626893,0.8515326
0.92,285.9922317327457,0.7760292
0.94,291.31728225156513,0.71289974
0.96,312.25298922753177,0.62741745
0.98,311.4174769855509,0.74483883
1.0,307.24895493982444,0.40540126
1.02,324.4459030696694,0.29035518
1.04,321.26375035847377,0.11316516
1.06,313.7434656067828,0.12755257
1.08,301.4657375350201,0.38131228
1.1,295.8373362537526,0.38083792
1.12,309.9976740129299,0.45636404
1.14,309.77195505688167,0.6086156
1.16,298.41789010542914,0.56848896
1.18,289.6197191118618,0.54058
1.2,263.219773179128,0.38717288
1.22,264.8010340538706,0.26277974
1.24,285.67825096201,0.312658
1.26,308.427221463462,0.24236162
1.28,306.6546319806399,0.381076
1.3,311.8716266570448,0.49743515
1.32,312.96246705672365,0.3456491
1.34,283.0477742018346,0.16502592
1.36,250.92255691578342,0.1609211
1.38,250.5980331838511,0.18077075
1.4,246.3133747114099,0.17114444
1.42,238.84361605994673,0.19822805
1.44,244.14289830933168,0.16186379
1.46,251.15442607965144,0.19838236
1.48,253.9449521277277,0.09566854
1.5,255.07601053481662,0.18275522
1.52,251.58486068536678,0.16066492
1.54,254.7306036130416,0.20339869
1.56,253.56321434153799,0.24150734
1.58,254.1032015582491,0.0902256
1.6,254.02690204706107,0.18494818
1.62,237.8272368732366,0.14979114
1.64,223.09279367915008,0.48280677
1.66,222.36107151201952,0.759484
1.68,222.62375647779206,0.81121564
1.7,221.84967324869518,0.6370833
1.72,217.21200496166296,0.27523723
1.74,226.05974055621797,0.13341723
