time,frequency,confidence
0.0,230.62237870774356,0.092822656
0.02,233.2844698654851,0.029920787
0.04,230.89395661460955,0.087331355
0.06,239.24431575323783,0.17668629
0.08,234.76368438873942,0.11781505
0.1,220.5921729832698,0.087712884
0.12,200.75789116451674,0.32052895
0.14,202.07730120264952,0.33336672
0.16,181.50764186449632,0.2141696
0.18,166.72852571884363,0.15220445
0.2,165.2512974136281,0.6305968
0.22,167.91388623919357,0.81665117
0.24,173.20722336378398,0.40152118
0.26,171.0979451090222,0.27200973
0.28,173.79747901396456,0.09775557
0.3,173.22538625051186,0.11193404
0.32,168.65921797662864,0.30356434
0.34,168.38646416041328,0.38582525
0.36,171.1997817052042,0.64360356
0.38,154.41632263298982,0.11854835
0.4,135.27973890246807,0.25205216
0.42,123.21026562991598,0.5831425
0.44,125.56190506053966,0.6219618
0.46,127.3974930142474,0.66627955
0.48,130.43153892348926,0.51937133
0.5,137.38942738739505,0.3596395
0.52,149.67707364841934,0.17101291
0.54,163.0812225078692,0.18202382
0.56,185.64029428907003,0.28186238
0.58,195.28340921555898,0.6235715
0.6,195.1290725255468,0.8154345
0.62,197.76324643137502,0.8344051
0.64,201.53564011067246,0.78460443
0.66,205.3284019074648,0.8232299
0.68,207.55046729018343,0.85897297
0.7,211.0055381259623,0.8151754
0.72,214.31244349574624,0.8310124
0.74,213.95992348641158,0.8353082
0.76,207.15769621461703,0.6924472
0.78,199.97513725969338,0.7751657
0.8,197.46380036408743,0.84807354
0.82,197.0778735346906,0.8462262
0.84,198.46071643666386,0.6277255
0.86,203.983081646949,0.79058576
0.88,200.82228052584412,0.6697953
0.9,187.98625349841063,0.31194827
0.92,190.75783014038404,0.4983525
0.94,191.96987791416691,0.15377618
0.96,195.90412039873473,0.4264722
0.98,199.1713179260409,0.7698599
1.0,201.54761036479002,0.8735688
1.02,201.64670585200787,0.874145
1.04,202.8328356335768,0.85062426
1.06,202.71223661467587,0.8135266
1.08,201.26140856524336,0.7145506
1.1,203.74114521056117,0.7785359
1.12,203.83810945182123,0.7697599
1.14,193.84780571478979,0.53354836
1.16,181.9484677510756,0.38951948
1.18,163.68016159822986,0.6172713
1.2,154.60679688101814,0.7739183
1.22,156.217070896995,0.611022
1.24,173.48126423557028,0.36127767
1.26,190.01741644494726,0.6200894
1.28,194.9170820456522,0.8142342
1.3,188.7569045939628,0.6090169
1.32,176.70445002828896,0.6513114
1.34,173.19662550382444,0.85013235
1.36,177.33209142681483,0.57334596
1.38,185.42450292125184,0.39423525
1.4,192.49140508068578,0.11329005
1.42,200.89516671416158,0.48823318
1.44,210.93953706612314,0.71960515
1.46,216.2493159544356,0.31596383
1.48,222.9642587438882,0.094372
1.5,225.51726420838608,0.300866
1.52,227.756334690286,0.67941856
1.54,237.2637173423471,0.46309647
1.56,247.7119004024538,0.6412983
1.58,250.12864587156284,0.64462125
1.6,238.67082995805595,0.28468275
1.62,226.11112103309668,0.15816231
1.64,206.6246249400893,0.39735752
1.66,194.44258970941345,0.3379456
1.68,185.97414353274752,0.45223165
1.7,194.6644253039401,0.6158174
1.72,200.43995800956873,0.4345646
1.74,202.27391127567844,0.46761802
1.76,197.26718208406422,0.49691385
1.78,185.64649343453212,0.27238163
1.8,171.94457317932418,0.4263592
1.82,156.34421240951247,0.6194515
1.84,154.06003150215415,0.53550315
1.86,160.87346868261386,0.61083496
1.88,166.78566229679575,0.7857573
1.9,169.69655143889418,0.72550994
1.92,171.25635132040634,0.6609967
1.94,169.88482073395585,0.64730847
1.96,167.10687715355888,0.63673735
1.98,163.19161306492958,0.6891204
2.0,164.96468150473905,0.4466671
2.02,169.8739220511771,0.23252389
2.04,167.3863126193611,0.70711166
2.06,168.3004782494946,0.7626293
2.08,170.41710977997485,0.5881592
2.1,171.59344328396975,0.529221
2.12,169.21254975018326,0.59102273
2.14,165.16752830011177,0.5837146
2.16,162.50005874859863,0.23721075
2.18,161.34574547118427,0.6057024
2.2,163.8390923608091,0.5486984
2.22,174.1642905564524,0.71709955
2.24,178.4692273826765,0.68237996
2.26,177.29540331005228,0.5810462
2.28,172.93739283518755,0.47171843
2.3,171.26731536893294,0.5796903
2.32,171.17940702898085,0.4860416
2.34,165.83489125317703,0.57514036
2.36,167.49889956350913,0.62163484
2.38,168.3068348771817,0.6922576
2.4,167.28211372228037,0.56604135
2.42,163.8380707389553,0.27893642
2.44,162.3400080136514,0.07987403
2.46,182.81795292070967,0.11694958
2.48,185.06970181653557,0.27685452
2.5,164.28527992036499,0.23310854
2.52,147.54946594440074,0.110068776
2.54,157.87540264552436,0.11823987
2.56,163.19765558174572,0.32756343
2.58,151.51411279561924,0.35506937
2.6,138.73668467073966,0.16206859
2.62,141.0914209694462,0.2677024
2.64,142.49466047741075,0.16980472
2.66,150.06773375259007,0.53395003
2.68,164.54470281603363,0.68932396
2.7,172.1862465998714,0.34741938
2.72,181.7219552414521,0.17651393
2.74,195.08495094884634,0.5109563
2.76,194.21485609266995,0.59426725
2.78,201.1116575833122,0.4625142
2.8,207.86161333277255,0.74203134
2.82,205.6286196640927,0.62708926
2.84,189.3712992949812,0.22149913
2.86,177.08715626306656,0.4556326
2.88,163.12860196304257,0.64569974
2.9,164.85891420267907,0.42402378
2.92,170.22701727634131,0.34190476
2.94,166.82477792289336,0.7530617
2.96,171.45714951123378,0.7529997
2.98,175.30811343762304,0.63979375
3.0,174.26465153644443,0.70978296
3.02,172.55589309981306,0.76729
3.04,171.09787088138637,0.7083978
3.06,161.96105278805518,0.6299319
3.08,151.6275889564835,0.6908314
3.1,161.2883718402094,0.27127784
3.12,163.05256534779332,0.48784456
3.14,169.9310739417257,0.7290064
3.16,171.83337666464453,0.7614587
3.18,173.81796081500968,0.6964978
3.2,176.2959869469209,0.65951896
3.22,178.4531972696462,0.5848391
3.24,173.8620461550262,0.16439293
3.26,152.53966671066172,0.34609613
3.28,145.64918219420645,0.47526038
3.3,149.70476291192395,0.25066838
3.32,161.02825778325254,0.14417502
3.34,186.9719791316811,0.5455322
3.36,199.31698537790413,0.43983674
3.38,219.2936312667692,0.37107372
3.4,240.71679995431737,0.48829886
3.42,223.93767006767314,0.62896216
3.44,214.8180728321627,0.18731256
3.46,217.1627989524924,0.3869351
3.48,215.83423290387975,0.14456587
3.5,217.42567333750304,0.17796922
3.52,213.11858597629617,0.43938965
3.54,206.30131677954586,0.3999254
3.56,201.97688536540846,0.44122612
3.58,199.25766838212468,0.38883537
3.6,199.24570454157498,0.4038574
3.62,199.56264559606097,0.47822577
3.64,197.05538457731447,0.35456935
3.66,180.32666598067755,0.19032101
3.68,171.8179279633336,0.70625234
3.7,166.36751532406632,0.7429458
3.72,162.21075386925912,0.62171644
3.74,153.62331798726694,0.34697974
3.76,156.1153850370821,0.37887725
3.78,159.7181762081458,0.6435698
3.8,163.01708215520975,0.6541007
3.82,165.5333544328565,0.83131206
3.84,166.3560153369607,0.84367687
3.86,167.70829686636748,0.6605861
3.88,165.09064235979653,0.63847744
3.9,163.64225167410623,0.6706455
3.92,165.52560276003675,0.7978849
3.94,166.1449586479281,0.4150125
3.96,169.25303251865142,0.7922786
3.98,170.83973961574708,0.77520084
4.0,169.64356791280213,0.6791668
4.02,166.1150976624866,0.82530373
4.04,165.10986296683637,0.8465426
4.06,167.03260733720276,0.83395875
4.08,169.4242491679608,0.86062765
4.1,169.73402253623587,0.8462299
4.12,168.1151573638491,0.80468047
4.14,165.77418679643375,0.7912477
4.16,164.54630539468357,0.7292367
4.18,163.88399149017795,0.7488505
4.2,166.5304534905832,0.81075925
4.22,169.32766299583304,0.7842485
4.24,171.24997233021557,0.28057325
4.26,190.60536519512834,0.31793728
4.28,186.12883544731844,0.7143465
4.3,185.18005068295946,0.66062665
4.32,176.19759779465255,0.4562019
4.34,167.2029753025332,0.20929337
4.36,163.6041536970693,0.74785995
4.38,164.92670946193732,0.41854295
4.4,169.03429933142476,0.51928544
4.42,179.32886013877774,0.6063535
4.44,185.46454161796458,0.7517091
4.46,190.60426821899148,0.787202
4.48,184.07967041766125,0.56145024
4.5,174.16125161172238,0.37567088
4.52,168.42578205345436,0.61751103
4.54,169.65316019418077,0.63202345
4.56,169.2035423890261,0.39707428
4.58,174.12473470879877,0.3595022
4.6,185.5211481243161,0.6884676
4.62,189.6772955527234,0.74701023
4.64,191.67392678902365,0.7988411
4.66,186.80973403600663,0.55173403
4.68,179.3057142488789,0.52390695
4.7,168.73468236169697,0.7767674
4.72,167.98977621020674,0.47167787
4.74,177.62505084714962,0.5114723
4.76,185.66103334768303,0.7512209
4.78,190.42915925630126,0.7398821
4.8,188.07607936844946,0.67627394
4.82,179.66202483872445,0.1874668
4.84,165.14951187544006,0.31205305
4.86,159.35611239207213,0.19734783
4.88,147.19034838554762,0.47546282
4.9,159.69217959630708,0.31885415
4.92,168.27942008980813,0.34648013
4.94,170.55579688442333,0.6795771
4.96,173.60284363628847,0.34594566
4.98,181.039259716092,0.561005
5.0,177.0963774066526,0.61803603
5.02,168.23727396363094,0.72189844
5.04,168.69227619906758,0.6612686
5.06,173.67077252482474,0.18479377
5.08,194.35364581425117,0.73645246
5.1,194.45511129446618,0.8081117
5.12,196.3796713987783,0.77785933
5.14,200.37008480853024,0.43665653
5.16,200.37554868276908,0.46380585
5.18,199.27093637533218,0.705581
5.2,198.4153740174886,0.8577788
5.22,198.41927261166,0.84623927
5.24,199.01738274168162,0.6704179
5.26,202.92835818757393,0.4268204
5.28,207.3955788857626,0.40651318
5.3,207.23466644491845,0.48355472
5.32,201.56956974050172,0.5586937
5.34,198.91257163631127,0.8177282
5.36,197.43217442601022,0.83030456
5.38,197.42172393962662,0.7306105
5.4,199.46169725767572,0.5407908
5.42,205.3433559680567,0.6822636
5.44,207.05263593492822,0.7490989
5.46,208.53744270012382,0.80515313
5.48,206.41880271651632,0.8338336
5.5,202.48445414316933,0.67974675
5.52,198.315277495092,0.71959627
5.54,198.27244705519294,0.6375912
5.56,201.56236849237828,0.6124756
5.58,207.2197868376008,0.35474762
5.6,210.1170754610916,0.34231636
5.62,206.281384342559,0.41452733
5.64,195.77434485648578,0.33191493
5.66,190.22928071116564,0.40682903
5.68,193.629872976729,0.49011946
5.7,202.66846334670416,0.61828876
5.72,202.04925976620882,0.79470885
5.74,199.52166782897706,0.6267321
5.76,215.74896029010065,0.31586194
5.78,237.32687027673177,0.72228956
5.8,264.3339644388464,0.0763294
5.82,285.72531701265933,0.112910405
5.84,323.7326136462667,0.28297725
5.86,344.10465202923154,0.5279948
5.88,340.0224836311544,0.6932926
5.9,339.4314141635697,0.7575745
5.92,339.92091423501995,0.74723065
5.94,338.54902430841,0.7954984
5.96,337.3992647951041,0.77132463
5.98,336.01739867497656,0.6637968
6.0,337.20135566895976,0.21417898
6.02,346.3110883244505,0.43907538
6.04,351.5155455905926,0.7572592
6.06,355.6370603143474,0.8142942
6.08,357.62080942352225,0.75604105
6.1,356.6161274408869,0.7680138
6.12,358.71139377659375,0.66356397
6.14,366.2227909563711,0.48158568
6.16,371.803798036051,0.4299035
6.18,410.0682180221138,0.19261694
6.2,407.27416980572735,0.696827
6.22,410.7171435272444,0.82740664
6.24,410.2340072847828,0.46680757
6.26,408.7323400553008,0.48906454
6.28,406.0315175131257,0.5064128
6.3,402.27442608277033,0.6827552
6.32,402.55216544267375,0.79792976
6.34,406.4810453718093,0.66530764
6.36,403.78101433000404,0.76044214
6.38,406.6455722550007,0.7093902
6.4,410.7276027888197,0.28173965
6.42,458.0911306583005,0.1873947
6.44,516.098387747695,0.19681048
6.46,514.7831168672283,0.30893034
6.48,566.6838239291687,0.77444965
6.5,562.2940815837637,0.35721347
6.52,540.0249540692427,0.18067676
6.54,476.60590255189874,0.13319495
6.56,462.4651388500017,0.08779453
6.58,463.1033853165344,0.13700196
6.6,464.8590670872644,0.5784427
6.62,473.04262953817846,0.45190233
6.64,481.45097242977357,0.46817902
6.66,472.93739372560253,0.2750536
6.68,458.3492089711914,0.22367775
6.7,423.84936495544986,0.09190328
6.72,409.16902250252315,0.086013034
6.74,397.7971965860572,0.3433954
6.76,400.07347526877845,0.64685893
6.78,403.89330542490484,0.6935859
6.8,404.53043382911903,0.85319734
6.82,403.9744677196908,0.85098886
6.84,403.7882219160278,0.7656901
6.86,402.9376830918829,0.5929918
6.88,401.43366500972877,0.07476795
6.9,398.29630769786297,0.03821111
6.92,401.17459064596375,0.12759127
6.94,387.29530612585097,0.16595119
6.96,392.72329971509265,0.1830628
6.98,387.59099373120506,0.21753879
7.0,396.907832808894,0.6346102
7.02,399.86350114642556,0.80349654
7.04,381.7977488883837,0.61258686
7.06,338.92723485429747,0.1554856
7.08,330.5953894412962,0.51370895
7.1,332.09520184110517,0.30820143
7.12,360.93712285658273,0.27226692
7.14,411.61425288749126,0.078899756
7.16,458.1915551332572,0.103758976
7.18,506.6996579905459,0.82160956
7.2,508.2934172805079,0.6718438
7.22,495.89327372681544,0.27523082
7.24,502.4852004270668,0.20030534
