time,frequency,confidence
0.0,163.7538002281488,0.10096989
0.02,163.9476130096753,0.033039525
0.04,164.4616798334206,0.32136866
0.06,180.2237920467411,0.09003688
0.08,189.31700469248554,0.14267853
0.1,206.07991047252568,0.089084364
0.12,203.79655043704392,0.22909129
0.14,201.8334739313794,0.104011714
0.16,196.56763478006326,0.36692685
0.18,194.5733849663949,0.27916032
0.2,182.72700177476068,0.34465593
0.22,195.6069024592598,0.19005005
0.24,214.1613354877336,0.09806805
0.26,229.54958314709657,0.1468298
0.28,250.9091935782161,0.27537072
0.3,266.54585641515547,0.22935897
0.32,269.5387892011261,0.2532946
0.34,288.23624800415183,0.3862986
0.36,292.72387560677083,0.11707262
0.38,292.56589827624646,0.09607181
0.4,292.06978116851883,0.26109025
0.42,282.61318124815955,0.17815806
0.44,278.2589371961961,0.23024668
0.46,278.05651790744565,0.19858448
0.48,272.90183794236185,0.4860635
0.5,273.8088590958526,0.20606141
0.52,265.98960882738214,0.108295985
0.54,263.2199919925498,0.5136943
0.56,265.2858350684335,0.5628377
0.58,265.36395115575243,0.35085532
0.6,261.0107104783377,0.09381687
0.62,252.71690818194386,0.12871937
0.64,247.8471463353193,0.11128027
0.66,242.93965136858952,0.3751594
0.68,241.797691753937,0.23623179
0.7,213.52724444530162,0.17473589
0.72,198.5551217084771,0.16558804
0.74,198.3384489396642,0.2832895
0.76,202.38811931611343,0.45238072
0.78,209.33441941653908,0.49219814
0.8,201.8378624807611,0.35513285
0.82,203.351534389841,0.46451107
0.84,209.58554457424415,0.24484764
0.86,211.96008446219238,0.12175715
0.88,211.97140239124653,0.11541172
0.9,214.72092399579589,0.21726507
0.92,217.2734003764236,0.2904269
0.94,220.38697118351138,0.15376164
0.96,224.27202340423258,0.39201006
0.98,227.78350563757482,0.21334901
1.0,218.8859741028735,0.25823393
1.02,225.27100620640041,0.3324422
1.04,225.46793711667644,0.53000176
1.06,225.67202799914767,0.47878772
1.08,223.18206823030891,0.36916992
1.1,233.62482591012824,0.3171404
1.12,238.94035492962527,0.38824767
1.14,223.96245123549136,0.30395517
1.16,206.1443478779967,0.30203047
1.18,196.6556983266008,0.20513372
1.2,181.19100016425105,0.49621236
1.22,166.35135108816868,0.23837943
1.24,157.45028675544143,0.2656036
1.26,145.30147443401003,0.32138819
1.28,127.88309141715246,0.18085004
1.3,119.55374764519895,0.33812785
1.32,120.63762784160284,0.456338
1.34,121.95173625754778,0.69805676
1.36,124.23080345371936,0.597609
1.38,125.65163405999778,0.39580682
1.4,128.3889962197783,0.16232279
1.42,130.3091169157954,0.36702663
1.44,134.5748356152382,0.19837701
1.46,141.77298384215794,0.6680868
1.48,137.47131672549438,0.3123066
1.5,125.59051413450882,0.5973702
1.52,123.03641618558723,0.68203807
1.54,123.74785145278445,0.25353488
1.56,121.42523726316286,0.26816013
1.58,117.4034923915582,0.51749504
1.6,115.14175826951117,0.7726299
