time,frequency,confidence
0.0,165.33234720538098,0.09579439
0.02,165.32912886331678,0.02489662
0.04,164.8692032070372,0.43640956
0.06,152.837296879755,0.42658988
0.08,136.90648874013144,0.09516342
0.1,121.03672023651505,0.20716698
0.12,122.12952056255119,0.23776172
0.14,130.5191432053451,0.34811386
0.16,136.1443774343691,0.6122388
0.18,138.92730526321574,0.70053136
0.2,144.56620903562845,0.7421026
0.22,153.75304802398088,0.58931804
0.24,155.21442133090332,0.82723033
0.26,153.61949419888535,0.8027452
0.28,151.74052196470683,0.72556484
0.3,151.4128850432626,0.7558653
0.32,148.97427011314065,0.7248622
0.34,146.7876173010433,0.74415946
0.36,144.25169359113212,0.64467275
0.38,141.50440667544905,0.11717449
0.4,136.48421129591273,0.32515278
0.42,134.05228005752844,0.5417906
0.44,132.29491270581394,0.57456774
0.46,133.3612790068417,0.40007758
0.48,142.1673244215139,0.41069686
0.5,147.9650848983277,0.6595909
0.52,152.02563506243357,0.78271747
0.54,152.70718075317785,0.7135209
0.56,149.88596788935612,0.77910256
0.58,146.14646386676776,0.6657105
0.6,136.52425762537354,0.7424787
0.62,142.07851275466942,0.3955355
0.64,148.66153697682807,0.76391256
0.66,150.51343243619004,0.8666836
0.68,151.04349251674776,0.83474
0.7,150.99484184842504,0.862587
0.72,151.96602444516822,0.8495637
0.74,153.01447388096162,0.8590782
0.76,152.85444486684798,0.8562981
0.78,152.10687412293385,0.8610936
0.8,150.65523954420954,0.8702587
0.82,149.63243463510526,0.8477523
0.84,147.50318862737478,0.7889546
0.86,143.46801391440198,0.48644552
0.88,135.63544079654014,0.4793674
0.9,133.2945901209273,0.542297
0.92,133.16100803166628,0.6176844
0.94,139.02485816523634,0.2692759
0.96,150.438537412567,0.64944977
0.98,153.5185551682107,0.79872316
1.0,155.36723704340997,0.83289534
1.02,154.72862631983355,0.8732302
1.04,154.63616734727208,0.85586256
1.06,155.12361364662348,0.8539196
1.08,155.28268973666883,0.853197
1.1,155.44822411491504,0.8069609
1.12,153.70506385259316,0.49530485
1.14,150.3798544439818,0.72472787
1.16,144.12868295214662,0.72050667
1.18,140.0140940228004,0.41387305
1.2,139.40189886211712,0.7145651
1.22,140.3328281416597,0.524466
1.24,144.38488308479128,0.76802176
1.26,146.8353042812273,0.84228426
1.28,148.9361416786719,0.64068204
1.3,150.93345425995938,0.7553739
1.32,154.8204077209434,0.7610245
1.34,157.18454084120748,0.7681343
1.36,159.11415502236454,0.76038504
1.38,157.62513144252705,0.8192642
1.4,153.23590264660703,0.7566117
1.42,147.46813753971,0.8057791
1.44,143.02707003973165,0.8032942
1.46,138.72011341356443,0.83954275
1.48,137.01362781892146,0.81856936
1.5,136.09664154313285,0.8303115
1.52,138.2116316223909,0.83256334
1.54,142.51245486626357,0.74897265
1.56,147.09569749743812,0.7574796
1.58,149.67331081079007,0.5922853
1.6,145.4852021639124,0.69065475
1.62,138.91845603140197,0.6605792
1.64,132.7827048931598,0.35365915
1.66,118.93184717188359,0.5895418
1.68,114.0259893867343,0.8391747
1.7,118.88307788524605,0.559898
1.72,123.87896741083884,0.79692703
1.74,125.17410704802728,0.79007447
1.76,125.7712323333968,0.8429471
1.78,125.5135549805621,0.85943377
1.8,125.22313596872075,0.85412633
1.82,125.21366576269764,0.8524394
1.84,125.21905726556344,0.8638963
1.86,125.53455458076027,0.8503405
1.88,124.88846852792949,0.78770214
1.9,123.948500627805,0.7661343
1.92,120.2981847967562,0.5833992
1.94,116.14996582263201,0.49371716
1.96,110.51927454250232,0.30224594
1.98,111.81184128411095,0.10684278
2.0,115.34972895760731,0.17526723
2.02,117.92803260714122,0.3775638
2.04,118.75852746939003,0.23106281
2.06,118.14295965749486,0.20029022
2.08,123.13006710690544,0.63777924
2.1,125.97967684070363,0.7715305
2.12,125.62254238784678,0.71483195
2.14,125.6743020298758,0.72109795
2.16,125.54924815963571,0.67417717
2.18,125.6774357693416,0.61811554
2.2,127.34565021842728,0.7444562
2.22,128.06320361043595,0.71792006
2.24,125.39319591120852,0.7718944
2.26,121.33744590759764,0.76490086
2.28,118.80287002184014,0.778661
2.3,119.63772496334113,0.8462765
2.32,124.07088172972973,0.79941046
2.34,126.36179064946461,0.80644214
2.36,125.56561436554018,0.7913173
2.38,123.87306778969261,0.7922393
2.4,119.42790276117842,0.51534617
2.42,110.12119422201175,0.48796928
2.44,109.94655084579546,0.17449212
2.46,112.84088591203758,0.17311715
2.48,115.73670114977273,0.35071445
2.5,118.34857116079378,0.5120311
2.52,121.42796201582928,0.55526805
2.54,124.16169347545436,0.67655504
2.56,125.05058939581181,0.5593939
2.58,125.32312499300473,0.7640598
2.6,125.24032574036538,0.82769245
2.62,125.08674872222949,0.8373209
2.64,124.62938940524904,0.8671364
2.66,124.44732177491485,0.88807774
2.68,124.12477430359034,0.8986826
2.7,123.65910401904449,0.8679807
2.72,122.95147833932697,0.8707866
2.74,123.17734768765999,0.8654838
2.76,122.91354004820147,0.8809348
2.78,122.99314667651632,0.8652996
2.8,123.22278351133065,0.85755575
2.82,123.91827326759802,0.83994436
2.84,125.4675754733116,0.72225744
2.86,125.41169158170143,0.79303193
2.88,123.96481074245372,0.85753226
2.9,123.24577931706548,0.8510807
2.92,124.21427220807209,0.8012313
2.94,131.564702332636,0.31552002
2.96,139.1277757092145,0.5473527
2.98,149.94436059092035,0.4271434
3.0,152.7795123474459,0.78671074
3.02,152.32621067956154,0.7783005
3.04,148.32275264347936,0.80330515
3.06,144.95177470844362,0.78133535
3.08,141.18716300970405,0.74524117
3.1,138.6097834561478,0.866581
3.12,135.9660921739715,0.7128351
3.14,132.61434093401817,0.7691117
3.16,132.62926779249034,0.73949397
3.18,135.71303522570457,0.8034986
3.2,138.89257010625633,0.8519641
3.22,146.01160163927938,0.65849555
3.24,153.96947874116987,0.6683886
3.26,154.2587677688087,0.694927
3.28,152.98950942648906,0.75916225
3.3,152.48439569764886,0.8198309
3.32,153.82975115325092,0.84684753
3.34,154.52957740096173,0.84369403
3.36,154.32849464721357,0.73558116
3.38,150.74958480367792,0.5495647
3.4,142.3681182023083,0.61390454
3.42,136.86578848198306,0.71010447
3.44,132.56306537054544,0.7881227
3.46,133.5259577718819,0.7979905
3.48,134.59195144950561,0.8428811
3.5,136.83365297363062,0.69862044
3.52,141.08090932196015,0.6159681
3.54,145.70589854159306,0.63029766
3.56,146.91638459326134,0.41721103
3.58,148.03953180763816,0.25970963
3.6,147.40267516722497,0.6463531
3.62,147.7609772769895,0.75231063
3.64,148.08795865710357,0.7442259
3.66,147.99425870141724,0.6627934
3.68,147.29166537679876,0.7007543
3.7,147.626530446998,0.8385577
3.72,149.3723439688557,0.8548184
3.74,149.05206731138432,0.873147
3.76,147.34201120887477,0.84805465
3.78,145.82186998262858,0.816199
3.8,144.9509478481404,0.62376285
3.82,146.9864316612664,0.7153535
3.84,148.62298229666618,0.8187493
3.86,149.33808555357672,0.8394383
3.88,150.00491034807413,0.78137076
3.9,151.37490296923582,0.6338645
3.92,147.67707528718194,0.31988245
3.94,153.42209042719688,0.3948142
3.96,158.92718264624332,0.1355514
3.98,162.94847303592402,0.2683765
4.0,167.16949954643508,0.09616051
4.02,165.75701236377031,0.11888028
4.04,167.84448649329033,0.24461898
4.06,171.67074825358242,0.35609826
4.08,164.3053181856885,0.44749033
4.1,162.3647542866004,0.73990476
4.12,159.43753217766684,0.7664811
4.14,155.1623705662543,0.7495544
4.16,153.6468023746683,0.7646401
4.18,154.53111792109232,0.8241737
4.2,156.54923872706044,0.7949532
4.22,161.9270965410043,0.7191806
4.24,164.23265655172415,0.8166699
4.26,167.21344340922897,0.8021062
4.28,169.8019040044733,0.8624359
4.3,168.14669964069543,0.8451783
4.32,161.22008728474796,0.74136126
4.34,155.8321272416509,0.8333007
4.36,154.0919734128266,0.8455299
4.38,152.88969401572524,0.8361039
4.4,153.3476928618378,0.83471155
4.42,163.505922074801,0.2574349
4.44,181.32588254077618,0.402576
4.46,186.8250731329914,0.16057175
4.48,184.85640417452427,0.68665516
4.5,185.13188421789079,0.54683095
4.52,186.40893706825955,0.21767764
4.54,178.97697173425766,0.7268827
4.56,176.02464678283815,0.8216291
4.58,179.31475109929752,0.8733521
4.6,182.1741826351917,0.89446217
4.62,183.64656368445864,0.8889116
4.64,182.63261076319125,0.8653257
4.66,178.11147397033437,0.8098469
4.68,169.12664009247067,0.678947
4.7,156.87981853902863,0.6795993
4.72,151.06077443775138,0.8369238
4.74,149.05808076383985,0.8811994
4.76,151.10787990737413,0.84637594
4.78,156.04772534451246,0.8027729
4.8,162.64853173749646,0.76959276
4.82,158.46565522743282,0.7587041
4.84,152.834161480539,0.7663103
4.86,148.569018205694,0.8553559
4.88,146.32671725693788,0.89835477
4.9,146.62416260920517,0.89330864
4.92,150.36004959158652,0.85550916
4.94,152.94741102287549,0.83326304
4.96,152.48742725315228,0.8336138
4.98,150.83906031798773,0.8557436
5.0,149.2885517974438,0.86807215
5.02,147.4594467554459,0.8827977
5.04,149.34436351079145,0.7909945
5.06,154.0156385044904,0.70644844
5.08,157.37326263823283,0.71951747
5.1,156.48700608921524,0.6646664
5.12,154.82481735184373,0.7207902
5.14,154.03722299740562,0.67890847
5.16,152.48839492111796,0.37770036
5.18,151.09087669664214,0.37846044
5.2,147.68579844369793,0.36587375
5.22,150.65741322397932,0.43372762
5.24,155.49812797064774,0.32137248
5.26,160.05743355522455,0.45631227
5.28,160.68480129772615,0.7007216
5.3,164.20762287545412,0.62898654
5.32,164.5501578940578,0.21518335
5.34,154.22374889232535,0.6450428
5.36,150.42222836102587,0.7122855
5.38,149.8198395690434,0.6740445
5.4,154.13733566547285,0.38030535
5.42,157.9617203733215,0.6079719
5.44,160.47431041031174,0.71349335
5.46,157.42737000914022,0.7755027
5.48,152.25323320769425,0.48159367
5.5,149.30034082562685,0.28690305
5.52,150.08375006722122,0.5291344
5.54,151.9967823189312,0.5707871
5.56,153.69345800794184,0.31146774
5.58,157.383847035581,0.33252463
5.6,157.8435595529901,0.7302989
5.62,155.7374947508271,0.48100185
5.64,149.1776509150222,0.40664047
5.66,141.9162298994504,0.40145513
5.68,137.7091362200483,0.74558824
5.7,135.46997206342886,0.590209
5.72,136.7523214993562,0.56386364
5.74,142.1076839245619,0.5875325
5.76,146.37556758223045,0.7205067
5.78,154.37603949590675,0.524376
5.8,155.71725428627815,0.51860917
5.82,151.54611339786734,0.5657302
5.84,147.52547981994843,0.5650357
5.86,141.15185634788068,0.57164496
5.88,137.28665526730995,0.16091809
5.9,135.43533024585778,0.30130664
5.92,137.1752335853422,0.55514276
5.94,142.18551434409716,0.692929
5.96,146.12881850053094,0.5762708
5.98,154.32227897502972,0.51761675
6.0,157.53542205527813,0.37011653
6.02,152.3677542649563,0.2724778
6.04,147.15993696019441,0.50336707
6.06,145.47914457431327,0.5861268
6.08,148.70744190926695,0.7725481
6.1,150.3674877171929,0.58664477
6.12,154.08927566422395,0.35974124
6.14,160.22373357712252,0.16709477
6.16,164.22679492347086,0.72074115
6.18,159.99086586351788,0.33493927
6.2,151.01679723955112,0.3203088
6.22,147.2100439250099,0.2644928
6.24,149.17439321761356,0.6920332
6.26,153.56353507852396,0.26145205
6.28,162.79065538570575,0.6263695
6.3,167.0142627471907,0.77044153
6.32,165.298070481922,0.73972887
6.34,156.42437510334557,0.33510643
6.36,146.15949238089706,0.10838082
6.38,135.43142371419532,0.18520594
6.4,132.85597946276656,0.2706186
6.42,133.8315933801618,0.20047209
6.44,130.51232414361314,0.45559484
6.46,128.26745127685265,0.32803866
6.48,124.4251393350038,0.054844268
6.5,119.35436677339823,0.12566558
6.52,119.21704388551895,0.62585855
6.54,120.29052719641577,0.7403033
6.56,120.47062147799133,0.6845334
6.58,120.50455147447927,0.57560194
6.6,120.54671594528416,0.43176988
6.62,121.31019054245144,0.57314086
6.64,118.23162451205053,0.6747149
6.66,112.66358055386574,0.42333183
6.68,108.75609620220153,0.68536896
6.7,109.75046971272819,0.67862344
6.72,110.3342361239493,0.43847793
6.74,121.48171047987647,0.54895073
6.76,122.38178783205782,0.700245
6.78,121.63658120975109,0.7593978
6.8,120.60681287921524,0.7295605
6.82,117.28090998821772,0.44998428
6.84,120.63085257245686,0.61467826
6.86,119.82945287801624,0.83217984
6.88,117.69669538417142,0.82932335
6.9,117.43309312036105,0.75407565
