time,frequency,confidence
0.0,139.88493265347958,0.1529501
0.02,141.25062424847832,0.3380543
0.04,138.7286768687076,0.4680824
0.06,139.18858324980064,0.6832696
0.08,139.0577744747362,0.2279586
0.1,139.42817367783022,0.34065706
0.12,128.1831750344271,0.29041526
0.14,120.71163806031342,0.44158262
0.16,120.60992588991459,0.15014876
0.18,124.56940273949377,0.38214082
0.2,119.99669606049365,0.5616157
0.22,119.17368382992098,0.6089613
0.24,121.25422794977993,0.36188617
0.26,133.03762090234704,0.4309514
0.28,131.42132916661689,0.43727398
0.3,122.78865185807739,0.21780418
0.32,117.004149529048,0.1665917
0.34,125.3647807964002,0.18138082
0.36,132.89252034904462,0.55388623
0.38,131.97802035870413,0.40122324
0.4,143.93846589570498,0.0862875
0.42,161.45237951862555,0.26493025
0.44,149.49243341356637,0.30465776
0.46,141.31848959837362,0.61626637
0.48,151.17596577020788,0.24467652
0.5,157.19176770236675,0.6860125
0.52,160.0550491415473,0.72780514
0.54,157.40459630953376,0.698007
0.56,155.85284746964254,0.81029934
0.58,154.39067235204396,0.7503301
0.6,152.34093892205544,0.65061116
0.62,151.5694917183756,0.74629486
0.64,152.36017748886536,0.6434418
0.66,152.99124056181043,0.71647835
0.68,152.06560142581455,0.7010014
0.7,149.93076444236942,0.7704855
0.72,147.61228202681318,0.8903481
0.74,146.78386289916034,0.9021102
0.76,147.60430094188587,0.8987487
0.78,148.66993580217348,0.8730731
0.8,148.94784684236961,0.86592126
0.82,149.00696539513908,0.8430379
0.84,151.12751522388248,0.822824
0.86,151.53923686255416,0.79084826
0.88,148.65363439337034,0.8259892
0.9,146.80155371253414,0.89809716
0.92,147.1975778068989,0.8965059
0.94,150.92186150803292,0.8040452
0.96,152.55409208655675,0.7768773
0.98,152.7826472099361,0.70845574
1.0,147.5720419038837,0.55397284
1.02,143.0177515524989,0.4212807
1.04,140.6740771924063,0.10998434
1.06,135.4723268476878,0.085375205
1.08,131.53894126725393,0.19862074
1.1,126.9869043153919,0.0773949
1.12,120.54679212546006,0.3953308
1.14,118.76971243817854,0.17786703
1.16,120.51834977875421,0.451118
1.18,133.38863746855452,0.15012671
1.2,142.49869555605565,0.23484778
1.22,138.31190398102396,0.44922596
1.24,135.82237260512437,0.43952638
1.26,143.46085249364802,0.16316877
1.28,150.27518630065157,0.25585836
1.3,141.24036330731744,0.72359264
1.32,142.42025723299713,0.50735784
1.34,145.9144009690802,0.2539136
1.36,159.1917995638499,0.43172762
1.38,146.6305901485848,0.40262198
1.4,135.51468488493396,0.32777998
1.42,123.07664329746038,0.37229675
1.44,121.58902959227076,0.22170584
1.46,119.74545309455138,0.09312239
1.48,118.21952864755467,0.15473124
1.5,116.13047807811378,0.07932509
1.52,116.15606170300963,0.19921045
1.54,116.5538292815402,0.14570507
1.56,117.6300176907685,0.15083988
1.58,117.10351147459929,0.158892
1.6,115.95724281872145,0.37403676
1.62,115.42450617172523,0.15439984
1.64,126.51036688280038,0.29920045
1.66,121.32149747195265,0.3029296
1.68,133.12008713737518,0.14596221
1.7,148.82608847688792,0.16301936
1.72,157.2403230364281,0.3639081
1.74,149.78071113539744,0.67319286
1.76,149.13161651285176,0.82439077
1.78,149.275402601446,0.8229915
1.8,150.0651746181716,0.59765196
1.82,152.76640871010164,0.556679
1.84,153.4893669406435,0.6718497
1.86,153.25850412250384,0.7442149
1.88,151.3932430250844,0.774659
1.9,147.29286822381854,0.85659295
1.92,144.60197423968845,0.8886846
1.94,145.9450341758371,0.8621172
1.96,149.67908599548653,0.74641204
1.98,154.4499450335861,0.82501984
2.0,158.29184130012314,0.7876668
2.02,158.38883465955124,0.7133373
2.04,151.58405309477808,0.59481955
2.06,145.65935932543456,0.24782456
2.08,129.52454718587342,0.27327222
2.1,126.0638209523872,0.51892376
2.12,124.42786109217775,0.2525356
2.14,133.21780535443463,0.38320512
2.16,139.14807627407046,0.7144954
2.18,141.35287932966676,0.77834815
2.2,143.6795730092871,0.7888209
2.22,146.00027255279227,0.70274746
2.24,147.8351020151772,0.8310667
2.26,147.1045354377623,0.8510924
2.28,145.03566996160413,0.8553571
2.3,143.68270304086343,0.8609618
2.32,144.76463548378496,0.86344796
2.34,146.9723954592345,0.90859056
2.36,148.15393477246258,0.8856006
2.38,149.32819390037704,0.8711927
2.4,148.66548263498555,0.8598194
2.42,147.23162429460996,0.7983823
2.44,142.07735181072476,0.6434597
2.46,137.90025454619146,0.8473526
2.48,137.30955783645467,0.86065644
2.5,136.4632611465804,0.825275
2.52,135.17008366856996,0.8001484
2.54,135.88396893537453,0.8125214
2.56,139.42423213368602,0.8251933
2.58,143.30598325663397,0.80981356
2.6,146.12188716977255,0.7824857
2.62,145.51915506495266,0.80413777
2.64,144.2878762572645,0.83968407
2.66,143.94489624179448,0.8558253
2.68,144.02781285371634,0.8529975
2.7,144.74012718913698,0.82385385
2.72,146.07410279978777,0.8052646
2.74,149.03405910660737,0.76315916
2.76,149.25550841975803,0.7902898
2.78,144.65071478645706,0.7918184
2.8,139.9089671703882,0.71576214
2.82,133.73276195638536,0.65652984
2.84,128.90041657829383,0.43237787
2.86,128.15246485819267,0.5705458
2.88,125.58876138605724,0.560164
2.9,126.4408435513177,0.40695408
2.92,127.64455082422617,0.49939293
2.94,129.07399014444027,0.54433596
2.96,132.21946263845615,0.5789648
2.98,142.2850057466847,0.3162673
3.0,150.6029374578698,0.68947774
3.02,151.70683007414846,0.7983407
3.04,150.20049161345963,0.7639035
3.06,148.6864850317989,0.5163691
3.08,148.264632423739,0.7483541
3.1,146.91322168863994,0.5229268
3.12,145.57288080109547,0.8139373
3.14,142.63849935739532,0.85228145
3.16,139.72993599030798,0.7758495
3.18,134.20247969336523,0.633728
3.2,130.04568385463577,0.82767487
3.22,128.77971352976033,0.82472837
3.24,129.95246572503063,0.7732437
3.26,134.15718375249799,0.6531249
3.28,140.9810735416638,0.77425
3.3,147.3939063626793,0.8562529
3.32,151.53303325255803,0.82237774
3.34,149.1041726918577,0.83175737
3.36,145.29031332551395,0.86957496
3.38,142.0732891542062,0.86756545
3.4,141.74932174353907,0.8529291
3.42,143.65299538292942,0.8545465
3.44,147.94706340549655,0.8540473
3.46,152.33209336311288,0.82899153
3.48,153.67747953285982,0.85231763
3.5,151.81619924983696,0.7621797
3.52,146.09281881733008,0.8064165
3.54,144.41162626084892,0.8865416
3.56,144.63331977842648,0.8780757
3.58,147.32327414914212,0.8196838
3.6,150.2742642861186,0.7098061
3.62,148.02804189738728,0.7285757
3.64,145.35485220440938,0.6212465
3.66,139.92195679540822,0.5640993
3.68,127.6465934034316,0.3100466
3.7,138.11865926870428,0.32417578
3.72,140.98009400636477,0.521671
3.74,142.3184331044228,0.5059414
3.76,128.82688233877022,0.23989649
3.78,132.46213112078746,0.23412135
3.8,140.45354915457415,0.37988606
3.82,140.646051284384,0.43270037
3.84,140.5352324035509,0.3826589
3.86,131.07795916175152,0.17416473
3.88,140.09051552912547,0.26450008
3.9,147.55298937479324,0.51697165
3.92,136.6159406444247,0.5265486
3.94,130.2379168422295,0.5956069
3.96,120.80671194246385,0.52677655
3.98,113.55810659411814,0.46147805
4.0,116.10224828467474,0.24695496
4.02,124.13422131559587,0.15671809
4.04,133.08690824903346,0.13353448
4.06,132.98615795048244,0.1190221
4.08,135.01983644769527,0.28598142
4.1,132.66150422464844,0.19143324
4.12,130.13722754287997,0.12686723
4.14,137.38923807785582,0.20963164
4.16,133.95362723278328,0.11843228
4.18,129.05624934009003,0.3007799
4.2,138.24357202995603,0.13654265
4.22,148.77018663527232,0.59824914
4.24,144.58638573298765,0.78144616
4.26,138.58571828728816,0.8532863
4.28,135.6255076748159,0.8700577
4.3,136.1396071059434,0.83451694
4.32,139.97051486968533,0.840164
4.34,143.53929746403557,0.85680753
4.36,145.1063422259764,0.84854776
4.38,144.02480524769877,0.8546331
4.4,143.30765549078993,0.7565596
4.42,142.96054440446906,0.6850295
4.44,142.3922563131145,0.7341985
4.46,142.46453952698636,0.74386346
4.48,142.71370426157668,0.7519336
4.5,143.3485283841438,0.8061656
4.52,142.12136509377348,0.7993126
4.54,139.32723909721685,0.7736997
4.56,134.21468864645982,0.5658814
4.58,129.38271884501654,0.6574882
4.6,124.29453415542001,0.3937139
4.62,122.57437313894427,0.4790596
4.64,128.5788964311366,0.5642267
4.66,132.21923912617584,0.49145925
4.68,137.4239141572324,0.73739827
4.7,141.73613359051768,0.5760493
4.72,150.12190825941693,0.4703922
4.74,149.33167859806187,0.56054354
4.76,148.9089934343813,0.72247696
4.78,148.82833399083833,0.5729393
4.8,147.10613903547988,0.83189964
4.82,145.67841591865027,0.8468163
4.84,144.36115410922162,0.8742566
4.86,144.00348536598986,0.91311526
4.88,142.6191320050479,0.86270624
4.9,141.17344486363348,0.818471
4.92,139.52736042571692,0.76003164
4.94,135.56970439386004,0.52178574
4.96,130.8091514703255,0.77332675
4.98,132.01220764581558,0.6171819
5.0,135.79907191605562,0.7777809
5.02,141.14544326891954,0.75003797
5.04,147.03604320478854,0.6627686
5.06,150.91133355314628,0.6773114
5.08,149.37090545146626,0.8104378
5.1,149.29217206224797,0.6144872
5.12,148.46902014353674,0.29264936
5.14,147.50289587676673,0.30734983
5.16,143.44785280216416,0.3000746
5.18,143.76953731026998,0.6318724
5.2,147.02837001387354,0.70055974
5.22,148.30038816536552,0.7365386
5.24,147.87580555618578,0.8157774
5.26,147.5575488552858,0.8774584
5.28,147.06011186728742,0.88761175
5.3,146.77519301604468,0.8946351
5.32,148.01906231150693,0.8880053
5.34,149.14147898889877,0.8672215
5.36,149.04459861835244,0.8465581
5.38,148.3715106257511,0.79725933
5.4,146.06258359455666,0.7796606
5.42,143.0446421558097,0.61054575
5.44,136.13485399179996,0.31972444
5.46,131.3536615029361,0.23659974
5.48,132.76309804881768,0.3745769
5.5,133.32621827988572,0.27779976
5.52,138.6840983382573,0.1489759
5.54,138.80958882709842,0.44591385
5.56,142.29825000782202,0.6282306
5.58,144.4189365910312,0.6879375
5.6,147.0977535229443,0.8324077
5.62,147.86625625280715,0.82597816
5.64,148.28298000883333,0.8229379
5.66,148.88138241475383,0.8428123
5.68,149.56373024131457,0.7787856
5.7,148.05506353040562,0.69994044
5.72,144.83936917236477,0.572624
5.74,141.75712112839315,0.5006313
5.76,138.61917450868293,0.7489526
5.78,135.97776745634715,0.7531503
5.8,132.57189135950117,0.82436234
5.82,132.65365264925498,0.82517344
5.84,134.99994233027476,0.7592592
5.86,136.92902610607103,0.8606421
5.88,139.53194878609114,0.8769568
5.9,142.28354660083136,0.7505474
5.92,144.08870505089718,0.30845806
5.94,147.36774695401698,0.5200103
5.96,151.49683401365994,0.7961042
5.98,155.14890077749232,0.72337615
6.0,159.30161432874274,0.52666783
6.02,159.88103555081983,0.6100986
6.04,157.28424848582176,0.6802492
6.06,152.89955726371878,0.69424075
6.08,145.65901295885413,0.65815806
6.1,139.98508308528693,0.782084
6.12,135.04885597175348,0.7719503
6.14,131.14342515174118,0.8175452
