time,frequency,confidence
0.0,293.39163641460186,0.07315712
0.02,292.9428024872769,0.06104601
0.04,297.77299686585684,0.6810827
0.06,294.64199964753465,0.38536197
0.08,296.0499297587135,0.73705506
0.1,298.19039195678323,0.8529339
0.12,304.3827775403837,0.7846035
0.14,313.5074942955019,0.78285086
0.16,325.29593511795576,0.71056724
0.18,327.25377521701625,0.7304498
0.2,329.791028992156,0.583358
0.22,329.95842473557195,0.33948457
0.24,325.3472344654052,0.49883583
0.26,324.8111726595107,0.28639174
0.28,300.3152748279915,0.52376974
0.3,301.8944388886173,0.8365387
0.32,294.4298782429481,0.84370315
0.34,286.48145958564805,0.7828437
0.36,284.09434225394295,0.23941149
0.38,257.95815623675276,0.45680362
0.4,228.06880022052036,0.5448034
0.42,201.63293145145838,0.623878
0.44,172.9874776903533,0.8034298
0.46,155.2947625925295,0.81012666
0.48,156.63304510009164,0.85376906
0.5,160.83584020116675,0.790934
0.52,161.82721753533485,0.83903027
0.54,165.50014775091523,0.6784107
0.56,166.895836839316,0.46964055
0.58,164.86639806535214,0.6289718
0.6,164.7765007502537,0.82183254
0.62,163.1104021185933,0.85175186
0.64,163.72851807937838,0.8366296
0.66,165.9500740050132,0.8713051
0.68,166.8982891013713,0.85260487
0.7,169.9508765076034,0.8091169
0.72,172.99167627396386,0.84249246
0.74,172.2982754637945,0.84208167
0.76,169.0730890693666,0.84336275
0.78,162.8934529404627,0.5582254
0.8,150.3608196178954,0.7434043
0.82,145.58182385572655,0.80278766
0.84,144.5204104841797,0.7840947
0.86,146.988852740754,0.7484429
0.88,157.45985965800958,0.48789108
0.9,165.58475774578326,0.7187519
0.92,167.46180902827913,0.8573053
0.94,167.3911458782993,0.86303854
0.96,167.12922922167286,0.8364938
0.98,167.03214562494256,0.83200604
1.0,166.0802083151026,0.8319279
1.02,165.73680567961347,0.8337275
1.04,165.80780003792827,0.82949495
1.06,164.83110861677517,0.8275112
1.08,165.18240293651502,0.8322289
1.1,165.99671953656323,0.8305634
1.12,167.0724470910676,0.80988777
1.14,168.32202133433722,0.7585827
1.16,166.82134243091508,0.81168973
1.18,164.46347529607044,0.7759273
1.2,164.26448016733843,0.79297066
1.22,166.79002647178194,0.81331134
1.24,172.0998902584986,0.7484865
1.26,174.81575198624824,0.7107222
1.28,170.8979279012435,0.6557522
1.3,160.47835431593955,0.26871854
1.32,157.48080397858539,0.4407897
1.34,148.54158811801793,0.56548566
1.36,154.53056766719817,0.2838359
1.38,163.04370994109533,0.43747327
1.4,167.04796420954335,0.67480445
1.42,165.39922395012576,0.7205737
1.44,157.70426970839026,0.39131284
1.46,159.2640032335721,0.43928635
1.48,159.14698645560793,0.4645833
1.5,159.76099545166807,0.2862594
1.52,165.40663641474023,0.3083017
1.54,164.7416847339055,0.31542924
1.56,165.71421444024492,0.12834914
1.58,164.99879635355086,0.30540782
1.6,160.76916366539115,0.21520229
1.62,145.86992268240783,0.33674508
1.64,150.90859280293108,0.50827837
