time,frequency,confidence
0.0,376.6548165768464,0.08075234
0.02,371.6349262610621,0.078180246
0.04,371.5142920822991,0.43173385
0.06,408.2149932690846,0.078999415
0.08,441.37267447348415,0.18162403
0.1,436.4746316274777,0.513834
0.12,416.23393620069305,0.27709255
0.14,391.1841260694103,0.34626126
0.16,369.5051331168878,0.7625868
0.18,344.71454464091494,0.74492514
0.2,325.36392016022063,0.60828584
0.22,323.98537778395934,0.6526561
0.24,326.65878855979156,0.8303212
0.26,329.03690390079936,0.8667541
0.28,326.2222375059636,0.8291038
0.3,323.74103217053454,0.71144027
0.32,319.575291288977,0.73665977
0.34,316.5018535509055,0.7464802
0.36,318.5056051761342,0.19313876
0.38,327.8692630645454,0.36770618
0.4,338.9143533815146,0.3162682
0.42,346.65081712674714,0.67394793
0.44,343.26531081889846,0.44360676
0.46,325.7731678248747,0.5091771
0.48,318.42302984864295,0.7192404
0.5,320.7108558562386,0.7302194
0.52,331.23622109660545,0.74947816
0.54,340.0373090489436,0.6299915
0.56,348.11784444553047,0.78554904
0.58,345.96530169718216,0.66128755
0.6,332.5207817705413,0.44728395
0.62,337.1926305610722,0.17771684
0.64,344.65212635898234,0.27246514
0.66,340.0933243858775,0.30869988
0.68,342.53800846932967,0.27567986
0.7,336.2870238949911,0.29713574
0.72,329.95974145129946,0.6225228
0.74,327.91359133139974,0.46951067
0.76,323.5440140196034,0.15545222
0.78,326.279007480019,0.42093086
0.8,329.4754497925947,0.56123734
0.82,327.93061654497706,0.48245716
0.84,329.8664202332946,0.142975
0.86,325.4789740873997,0.22766984
0.88,325.21952380817436,0.29661408
0.9,324.30874578530506,0.29791445
0.92,328.0302425800959,0.21638834
0.94,327.8082128909831,0.21458457
0.96,321.92380471294206,0.24401863
0.98,326.3372216291933,0.32799754
1.0,327.42328944997473,0.30126244
1.02,331.81419827780417,0.21508865
1.04,332.1156639149786,0.14948379
1.06,332.20484138501126,0.20685267
1.08,339.9655320193505,0.6477067
1.1,343.32329578018965,0.7303065
1.12,346.4120495773171,0.27642992
1.14,341.02063768950217,0.5198624
1.16,342.3631405161059,0.4731707
1.18,345.35450145736377,0.3337213
1.2,341.566873620519,0.2807421
1.22,337.08509020869053,0.32342482
1.24,333.82226535243956,0.29071414
1.26,334.1368750448397,0.2990407
1.28,337.4541826984396,0.6624663
1.3,328.85226081207173,0.77960986
1.32,324.24627447089574,0.76095307
1.34,323.21228144205094,0.6163553
1.36,324.95935765956716,0.23013473
1.38,336.0561749723497,0.20083515
1.4,333.69391372521727,0.2931915
1.42,329.3586045764631,0.44076705
1.44,338.15004395603887,0.12534551
1.46,339.1243068960456,0.3231402
1.48,362.5588454274215,0.32490242
1.5,396.40748229938697,0.6342242
1.52,439.6254240613754,0.7766664
1.54,465.00610733206474,0.4500221
1.56,501.77074170027015,0.3097868
1.58,544.1604436878034,0.40851125
1.6,624.3905575543372,0.3575984
1.62,656.0747222532235,0.5801816
1.64,647.0763978683266,0.73859733
1.66,636.246180104418,0.4849441
1.68,643.962538319454,0.39612833
1.7,645.4713079639707,0.37377825
1.72,645.0525028240081,0.37391883
1.74,652.5889884674609,0.5961249
1.76,657.0993038632276,0.47205284
1.78,659.9552441645818,0.37789112
1.8,656.3517402371373,0.4697751
1.82,651.6380670291082,0.53682745
1.84,635.8477127097988,0.47932714
1.86,642.5871267010994,0.46486855
1.88,656.8912982592673,0.36687165
1.9,663.8858384677882,0.3817104
1.92,656.0364897262725,0.553375
1.94,643.1392458879232,0.615786
1.96,629.1197423443598,0.2944649
1.98,628.4552756386977,0.47437543
2.0,631.296542158979,0.13732111
2.02,642.4420636925304,0.09670293
2.04,651.2915824768488,0.3485696
2.06,650.4972963168551,0.2081102
2.08,651.3807492347906,0.5553699
2.1,661.1759449289596,0.28421625
2.12,662.7983754729252,0.38965455
2.14,659.1545042079007,0.42571574
2.16,655.7979415657967,0.37160617
2.18,662.2902749866059,0.382841
2.2,639.9689519963447,0.706856
2.22,646.3548229362239,0.6610817
2.24,651.3606965500844,0.37185004
2.26,657.5030925647047,0.46108478
2.28,658.7411702072085,0.2329974
2.3,654.0717323752749,0.2915412
2.32,653.25563268424,0.21879795
2.34,654.1181971909947,0.23652633
2.36,651.9786149635928,0.3227911
2.38,649.813985818125,0.40637287
2.4,647.9035027462857,0.5160649
2.42,650.6306745087581,0.5115675
2.44,655.247733658763,0.5902455
2.46,646.7827158429844,0.63206404
2.48,640.6405987605312,0.53419065
2.5,631.304285030575,0.47270083
2.52,589.8407391815131,0.578936
2.54,557.3888822619324,0.33122057
2.56,519.1583546051368,0.559914
2.58,478.7387867258018,0.22700766
2.6,466.32874208325427,0.16133933
2.62,445.3133336069312,0.18312465
2.64,414.59256277059984,0.1626355
2.66,392.5850856567025,0.24675265
2.68,369.72951594776765,0.22780928
2.7,338.5834161977794,0.15553533
2.72,327.7312747330311,0.5762589
2.74,329.66534616419335,0.53473556
2.76,328.144673672545,0.6994091
2.78,324.76514674036264,0.6209998
2.8,329.61151316631265,0.30080804
2.82,326.2523526507131,0.41849944
2.84,327.59092047071937,0.4487957
2.86,331.2203523718257,0.43330765
2.88,331.3277250132502,0.48878846
2.9,326.8000608734727,0.6481751
2.92,322.1056699342206,0.7151304
2.94,332.3400341605404,0.4274093
2.96,335.5655601205551,0.5223719
2.98,335.6352377520633,0.65405124
3.0,332.7011707649911,0.64439654
3.02,326.68041017088063,0.5153034
3.04,320.17726922420394,0.73610896
3.06,323.42670473399653,0.6394975
3.08,323.4193116578905,0.6127598
3.1,321.3095521883111,0.6904541
3.12,322.3924750870599,0.6693453
3.14,328.7439594713771,0.6162034
3.16,332.7204340812366,0.71116674
3.18,332.1993917359728,0.7920932
3.2,330.47158431907314,0.85978115
3.22,325.78321564824313,0.7724073
3.24,321.52302738432473,0.71161747
3.26,319.50882440005125,0.6093732
3.28,328.71470328281305,0.18432927
3.3,332.5198214365756,0.56745416
3.32,328.46958490613827,0.4927671
3.34,328.1057702777541,0.5533581
3.36,331.20120773681026,0.51357955
3.38,329.52834561261693,0.40923178
3.4,325.0031398524732,0.48131153
3.42,326.65714095843,0.629332
3.44,326.3241353186087,0.60379326
3.46,330.7278653566993,0.4015309
3.48,328.81162369043443,0.32666516
3.5,324.22932081393554,0.37994525
3.52,328.6544705762648,0.47237048
3.54,328.86699567354447,0.2518846
3.56,332.1683085638367,0.5260017
3.58,322.3906940240991,0.6093708
3.6,328.830730950093,0.46389425
3.62,331.613877995903,0.4531491
3.64,326.9355385294642,0.21869248
3.66,316.47065085603106,0.23862
3.68,316.18180643308114,0.37661132
3.7,314.1652929969751,0.45720285
3.72,315.8176041583955,0.35967204
3.74,304.0809655206797,0.6313108
3.76,301.01830339500236,0.5889137
3.78,298.8259053144519,0.83533823
3.8,297.05395248293377,0.79162145
3.82,296.14915717046296,0.6742668
3.84,297.00279098967553,0.75152534
3.86,293.99539685653497,0.728109
3.88,296.74080971937633,0.6452583
3.9,300.3785689981435,0.7017631
3.92,302.6524065817858,0.74376225
3.94,302.03676381893115,0.7700876
3.96,300.6499590152772,0.7865292
3.98,299.8625403235805,0.73131317
4.0,300.98481863332444,0.67196023
4.02,300.81388791591957,0.41763797
4.04,299.83445721476807,0.19241889
4.06,288.74664542390224,0.462048
4.08,293.04481859563447,0.5402966
4.1,298.85641488782505,0.6014081
4.12,300.00080803139656,0.5647287
4.14,298.40370332073496,0.37105995
4.16,296.8196866500943,0.5096731
