time,frequency,confidence
0.0,281.2980624655624,0.10862851
0.02,283.04410859120094,0.0303779
0.04,277.73315521661726,0.11504479
0.06,285.24817503217724,0.27142483
0.08,282.27565097175545,0.26336843
0.1,276.0949166418434,0.31035832
0.12,279.8746277830851,0.311547
0.14,281.74259579318937,0.6331383
0.16,282.0418792786803,0.3371902
0.18,281.82567344911087,0.18895398
0.2,279.6545852351566,0.20622021
0.22,277.89453268138396,0.50462115
0.24,275.63873665998403,0.7529989
0.26,275.2426287734079,0.56134987
0.28,278.76107481334355,0.6596445
0.3,258.05841358891433,0.43599364
0.32,227.4736997190645,0.0933027
0.34,205.6664944217856,0.17434178
0.36,183.25394643138947,0.3194515
0.38,187.04044657472258,0.19360507
0.4,185.25494615931225,0.15150139
0.42,182.31362782662134,0.1783584
0.44,175.03476249361395,0.078224234
0.46,167.92410805759528,0.15485397
0.48,159.44417640200209,0.15815645
0.5,152.13831827878576,0.16038753
0.52,148.13438085565932,0.09978586
0.54,145.88687359670112,0.25906998
0.56,142.4573129628091,0.48973513
0.58,149.37467526081846,0.45779893
0.6,152.2285486436718,0.16379514
0.62,153.49005204238853,0.25505355
0.64,157.040338425311,0.22952724
0.66,158.99804556924036,0.64075553
0.68,162.817191295699,0.5722653
0.7,161.05910243404242,0.2748267
0.72,160.19188585894705,0.79386944
0.74,161.1506686714912,0.85618746
0.76,162.5399208556422,0.79975605
0.78,165.41202319662682,0.8010424
0.8,167.4334383413812,0.76385057
0.82,168.417655935246,0.7725817
0.84,170.17819137039493,0.70956504
0.86,170.38468810738578,0.6974586
0.88,169.26185938219265,0.52507067
0.9,167.9328657431964,0.4629117
0.92,166.37632429178024,0.4348928
0.94,167.3954221063352,0.410794
0.96,168.58758249814792,0.4813794
0.98,169.769984896502,0.5994984
1.0,171.39041596862074,0.42738384
1.02,172.49647470903102,0.449134
1.04,170.75931809510502,0.6737535
1.06,167.92003795471527,0.72114086
1.08,168.94773732197368,0.3954298
1.1,168.1481000746979,0.6625285
1.12,166.04812118782377,0.6429219
1.14,166.087555502479,0.33634508
1.16,168.3312581916083,0.44210812
1.18,169.84121870793686,0.53680235
1.2,170.41555969969278,0.57372
1.22,168.1401420409477,0.65052116
1.24,166.5591091734098,0.7119985
1.26,166.51063883844077,0.69217074
1.28,168.89268201629423,0.4589021
1.3,170.7702009553523,0.56790376
1.32,171.40406505167186,0.64445555
1.34,172.43736290057595,0.43171638
1.36,171.5539923122908,0.53377926
1.38,169.8467019569772,0.47737014
1.4,165.66440152348042,0.56849253
1.42,163.4816482344247,0.3656139
1.44,163.10301732814912,0.55148566
1.46,163.4049767357271,0.649194
1.48,165.0055940499998,0.32842457
1.5,166.70343692481597,0.58528954
1.52,167.8041837697363,0.80502224
1.54,167.82674819850908,0.5711689
1.56,168.34337132983495,0.12830402
1.58,168.8552306332041,0.48087955
1.6,167.57599636705893,0.32124034
1.62,167.57452554056843,0.07872786
1.64,165.22512613600793,0.34808618
1.66,161.70022048694645,0.38924003
1.68,151.55270510390855,0.12008979
1.7,155.83906389387192,0.33167738
1.72,158.284067299707,0.3631754
1.74,157.91539280188994,0.27867004
1.76,160.32495854083504,0.13791873
1.78,165.61629260556003,0.3012114
1.8,163.21654698124735,0.47336337
1.82,162.05893761215322,0.80232054
1.84,162.1270197698492,0.7526559
1.86,162.97571324507075,0.7962537
1.88,165.88871777636035,0.71652794
1.9,172.7357390577515,0.60889596
1.92,181.5364597227985,0.47019336
1.94,192.90785259993382,0.30698565
1.96,203.45784566031148,0.4949664
1.98,211.6641678470046,0.6289164
2.0,217.20271734244238,0.44858953
2.02,220.44170191891635,0.5232583
2.04,217.86989273500353,0.74805915
2.06,216.49689223143304,0.81400466
2.08,217.34602977084882,0.8315601
2.1,217.24909288760327,0.82115036
2.12,216.49978544767282,0.8231989
2.14,218.44374761606676,0.7533176
2.16,226.35049755818753,0.7292168
2.18,227.2957933555546,0.760368
2.2,227.33549653804715,0.8446721
2.22,226.93713241354988,0.8525156
2.24,224.44234667345285,0.854246
2.26,216.5296815021483,0.763312
2.28,208.1431792928166,0.8555903
2.3,208.09630634440134,0.840614
2.32,213.7586650184801,0.70226085
2.34,219.38623896966195,0.82137346
2.36,223.4182166099,0.85922074
2.38,221.51375404714486,0.6094811
2.4,245.93969758715997,0.74017364
2.42,277.22862707095624,0.5835228
2.44,314.83320078603947,0.49346334
2.46,358.8350267489468,0.36296052
2.48,396.5904688057178,0.13851914
2.5,404.5494604463726,0.44941154
2.52,448.7826904983509,0.41962016
2.54,515.7489640478243,0.76317203
2.56,566.0317266221097,0.6800939
2.58,562.6792766366318,0.5416412
2.6,569.7570992170357,0.88703907
2.62,580.8350200190885,0.5182533
2.64,590.8601629017364,0.33705732
2.66,585.3255402559018,0.39033088
2.68,576.6057808915723,0.5341559
2.7,572.911978335288,0.81354505
2.72,576.294960871298,0.87672013
2.74,576.6783653859305,0.8387528
2.76,559.6409782990487,0.4669717
2.78,524.4627360168695,0.7568221
2.8,522.57222100519,0.82032776
2.82,516.6001415882085,0.6817685
2.84,510.19580344283645,0.5811868
2.86,516.1203747396942,0.59251094
2.88,518.1345596213545,0.7183379
2.9,527.7699704568279,0.5474134
2.92,546.3101744966231,0.36959106
2.94,540.5264799124948,0.15510859
