time,frequency,confidence
0.0,164.8020545896591,0.074680485
0.02,163.64268998204773,0.043532085
0.04,166.29460408939724,0.041880514
0.06,169.5554270780309,0.04270038
0.08,180.22602244235497,0.05231987
0.1,180.84304549194886,0.05359762
0.12,178.76929180184658,0.34144416
0.14,179.46675686058018,0.16817904
0.16,182.5762704744247,0.6245861
0.18,184.0710599926005,0.6258605
0.2,183.2521953956026,0.08696277
0.22,183.03318271743342,0.19452477
0.24,199.46179927795214,0.19067994
0.26,226.06769983386062,0.09065071
0.28,240.48137743234136,0.2184498
0.3,244.54066389964635,0.12335835
0.32,241.09731711626122,0.057642758
0.34,241.81060705967445,0.038063254
0.36,239.8584931218939,0.027347142
0.38,237.5555734284681,0.10717509
0.4,242.15218251279265,0.17474419
0.42,249.7905210347977,0.44787177
0.44,250.4983257116857,0.4325731
0.46,247.11377662010034,0.53444266
0.48,242.61426091703132,0.82905394
0.5,240.5043678450603,0.88173205
0.52,241.0838327623222,0.8605943
0.54,243.19212983722252,0.85664594
0.56,240.69233190996388,0.79727876
0.58,234.14115491290153,0.80815226
0.6,225.47362254374863,0.8563214
0.62,219.77714405665935,0.43670067
0.64,196.17085333204525,0.48162594
0.66,191.2133846142967,0.74662614
0.68,192.18500144269785,0.61428094
0.7,207.17033495520792,0.2629572
0.72,228.2720214633265,0.10881809
0.74,250.08495768911004,0.7041735
0.76,267.35586934830513,0.566976
0.78,238.03239419182816,0.6607738
0.8,226.82994618313268,0.6285105
0.82,222.87187162140077,0.62195265
0.84,230.81342778880267,0.74619263
0.86,237.17443208885058,0.9019195
0.88,241.14111840115072,0.8603845
0.9,241.09226043164045,0.8375482
0.92,240.15408312033614,0.7944297
0.94,238.47481979945772,0.7551929
0.96,236.52544677856991,0.812837
0.98,229.27513528501748,0.81673026
1.0,227.18494158716769,0.8602036
1.02,230.87347948449377,0.8075069
1.04,239.79715844793316,0.8490803
1.06,245.32128720975905,0.87585896
1.08,241.0346505061143,0.77422714
1.1,235.30455792831793,0.83935195
