time,frequency,confidence
0.0,184.1284433095783,0.06036962
0.02,184.68991178446493,0.0730774
0.04,185.06960320695947,0.26864555
0.06,181.86724989563692,0.09685403
0.08,185.77352819942263,0.19439112
0.1,186.0703474928671,0.7062441
0.12,179.6297294198467,0.6439986
0.14,157.95082637348185,0.1311843
0.16,150.97907373439176,0.17223951
0.18,153.79743228298392,0.27033994
0.2,150.58094439682728,0.22053795
0.22,142.11767726796518,0.41791317
0.24,146.0359446970217,0.2900511
0.26,158.08550676107376,0.79982907
0.28,173.00954126110568,0.676802
0.3,183.590080050754,0.33810362
0.32,186.0780068821992,0.74706143
0.34,186.22184356909972,0.85915434
0.36,185.93680856838662,0.88101846
0.38,187.33483372560687,0.7585988
0.4,176.61419249862382,0.56422293
0.42,155.74989466204977,0.25943467
0.44,153.32946574376976,0.5093968
0.46,151.55798870317793,0.64527357
0.48,153.33166791783236,0.684025
0.5,154.11713085836698,0.36385134
0.52,173.09694989857636,0.42258748
0.54,182.45013507786445,0.81126004
0.56,180.94524147594802,0.868606
0.58,180.69550320856382,0.8395827
0.6,180.57665322246774,0.79608727
0.62,181.77676621081812,0.8326258
0.64,181.9363652798226,0.8161193
0.66,178.6621956469267,0.70303833
0.68,173.85461997650742,0.3750847
0.7,156.17683904536426,0.35731176
0.72,153.69328536891544,0.59333
0.74,157.4212993038967,0.51979053
0.76,156.93269253275693,0.25096974
0.78,162.51595632829748,0.3086034
0.8,165.5471649182806,0.6568457
0.82,170.42258995781276,0.7708051
0.84,174.36761553568084,0.3435819
0.86,163.8291289143919,0.57709754
0.88,160.37485662134947,0.8351092
0.9,160.6536113607657,0.8213372
0.92,159.50974921079575,0.85330516
0.94,160.79369902756756,0.794016
0.96,160.84166729732442,0.813235
0.98,158.76879279886307,0.8333627
1.0,156.89611147267686,0.8486111
1.02,155.7294210169912,0.86533254
1.04,157.2776434728826,0.8157536
1.06,163.1292591418955,0.51741874
1.08,170.43022267581256,0.7874349
1.1,170.7570338406871,0.8266182
1.12,166.89907814258999,0.794942
1.14,161.06542305761945,0.33132622
1.16,144.6543174290345,0.58796465
1.18,144.22190910744183,0.7178137
1.2,148.13175405058044,0.46533376
1.22,153.24055194181884,0.79616815
1.24,155.56082157545487,0.84504247
1.26,156.48652913619574,0.8842089
1.28,156.56995834307708,0.84027994
1.3,157.3525897157154,0.7685957
1.32,157.98591589601295,0.79781544
1.34,157.93445639133336,0.8085163
1.36,158.87813328813667,0.82157123
1.38,157.64689595184035,0.8289885
1.4,155.48319150747298,0.8100507
1.42,155.48510934872934,0.8294559
1.44,156.23357332683025,0.83400536
1.46,155.98790801064223,0.82600033
1.48,154.45246063090536,0.80990934
1.5,153.30991530387183,0.7838777
1.52,156.03258590112927,0.85354036
1.54,155.93404939906134,0.8361211
1.56,152.18002171825756,0.8040983
1.58,155.6440173219149,0.7494089
1.6,156.52976422884024,0.7750505
1.62,156.52306772004115,0.7475242
1.64,155.8141691072905,0.74381804
1.66,155.11505838288824,0.7779787
1.68,154.11532570842428,0.78965783
1.7,153.64833098871273,0.8146546
1.72,153.53725351263134,0.8172315
1.74,154.30087710771335,0.8160645
1.76,155.1505146814595,0.8048061
1.78,155.06233513401983,0.7904701
1.8,155.34670879080454,0.83031666
1.82,155.7029256034193,0.87242407
1.84,156.07278554539374,0.8602441
1.86,156.46391178293896,0.8405905
1.88,157.6263814225135,0.84179395
1.9,160.57617942288078,0.7834597
1.92,165.07150822973745,0.78988516
1.94,167.4292733330225,0.8215688
1.96,166.90903276258862,0.7875009
1.98,164.17645867695782,0.7503558
2.0,160.86028291498553,0.7902719
2.02,159.00918249244032,0.79544973
2.04,159.19211028779577,0.8530514
2.06,159.48878615964102,0.8445893
2.08,159.8858507264277,0.85337853
2.1,157.8329813278069,0.8612745
2.12,155.8037628656636,0.73206615
2.14,157.9403742531136,0.5965738
2.16,161.07690823831012,0.66478527
2.18,158.2948464204703,0.4098837
2.2,157.7895815435769,0.59650546
2.22,158.71951874052087,0.4831698
2.24,155.8945966688434,0.63419855
2.26,158.21918345456606,0.49479595
2.28,156.81145193878288,0.28077158
2.3,179.9390783093814,0.17154405
2.32,163.4375905951298,0.098436706
2.34,165.88422736426836,0.111743204
2.36,165.14991916871367,0.3188708
2.38,163.40414280523558,0.26290673
2.4,161.9109244376455,0.31126937
2.42,157.56882890449995,0.50605166
2.44,159.73519583552041,0.37830302
2.46,160.0654674236398,0.0952729
2.48,157.02954405661282,0.080203116
2.5,156.6216918159621,0.17460702
2.52,156.08712820981287,0.21913697
2.54,156.91165581420427,0.37258676
2.56,156.87217165145387,0.14258882
2.58,158.2654209361043,0.121794805
2.6,155.90524471828127,0.24974942
2.62,152.7447140029151,0.75644445
2.64,154.580423324606,0.7611774
2.66,158.4925240020821,0.66315067
2.68,157.00503390605172,0.6174476
2.7,150.62449955561632,0.38905117
2.72,148.72800585217084,0.40140563
2.74,145.39795576279977,0.5610719
2.76,140.47850742665375,0.36723882
2.78,135.78181776831877,0.62096137
2.8,135.19465081578068,0.38798982
2.82,137.963234904832,0.59685284
2.84,143.34994206261055,0.79438084
2.86,147.52845516064158,0.80895287
2.88,153.9000435829467,0.68611693
2.9,156.65170548964002,0.8310277
2.92,158.42941135536987,0.84281534
2.94,160.305491583823,0.8043539
2.96,153.19412507402794,0.55341697
2.98,151.7300838996543,0.5584028
3.0,150.77893533008233,0.34982932
3.02,152.45413988174568,0.78057665
3.04,152.55535792138272,0.8421724
3.06,153.27216047084758,0.8214286
3.08,154.84427221543245,0.80522305
3.1,156.69697737686076,0.7821921
3.12,158.73304523020118,0.6272838
3.14,158.19382838916752,0.7397028
3.16,156.7928293519843,0.5661583
3.18,157.3995475795458,0.74485254
3.2,159.1491846930176,0.75695544
3.22,158.49215605869568,0.8391351
3.24,157.34865354797427,0.85058105
3.26,155.38804324581335,0.84238434
3.28,149.59726390776925,0.7520384
3.3,145.7690498970793,0.82956856
3.32,146.2558023271962,0.7701526
3.34,148.7987281890758,0.7889893
3.36,152.1635503917607,0.78533787
3.38,156.21067598265853,0.82490957
3.4,158.47103198879873,0.8318999
3.42,157.6003147185138,0.8301697
3.44,156.30834398148903,0.83926123
3.46,156.17784847499794,0.8625549
3.48,155.79155230229816,0.8525726
3.5,156.79349891568765,0.8696574
3.52,156.85306242287643,0.85819113
3.54,156.63968617040473,0.87852484
3.56,156.24767794001525,0.88270766
3.58,152.3550632773551,0.71769917
3.6,146.07447745708686,0.7723466
3.62,138.4260769860465,0.5762626
3.64,133.2736965776415,0.7656767
3.66,132.5662595473392,0.55711263
3.68,130.09340981099993,0.46796313
3.7,130.87119140980204,0.50741553
3.72,131.54689880357398,0.5700391
3.74,129.93126093553917,0.51642656
3.76,128.59297705909609,0.47157004
3.78,126.86011680882868,0.44446066
3.8,124.61061999736407,0.43855715
3.82,125.02817014675927,0.7025841
3.84,126.4498564154438,0.74929225
3.86,128.9032536998108,0.78167003
3.88,131.62782821151146,0.69434196
3.9,131.6558651288471,0.2950063
3.92,130.34691834543355,0.12744015
3.94,132.00094692698042,0.4547234
3.96,130.97653475204572,0.71800876
3.98,131.64382846604636,0.3984398
4.0,132.8527668116842,0.15879785
4.02,130.1067310162754,0.5047252
4.04,134.32544258922664,0.47129008
4.06,139.01361595507927,0.7766949
4.08,143.2804758992882,0.5762422
4.1,150.253495141931,0.3710108
4.12,153.03184127235065,0.6732996
4.14,156.45831871779617,0.7582282
4.16,157.40364171065076,0.8472502
4.18,155.98169655340715,0.8767643
4.2,156.23562590692424,0.8693701
4.22,156.46151381110982,0.85715115
4.24,156.16863680444956,0.857973
4.26,155.06179828662903,0.75940526
4.28,151.324684792665,0.5118678
4.3,145.10382648819996,0.6891713
4.32,140.71201137954984,0.6621341
4.34,138.29128039921895,0.27918598
4.36,155.3016972163727,0.5042383
4.38,158.34902295683688,0.6016674
4.4,163.36927740766757,0.666403
4.42,164.03532814590653,0.8388539
4.44,162.58881062886041,0.6572716
4.46,159.88728524812151,0.39871687
4.48,159.94660424467529,0.75434864
4.5,160.24463293070738,0.75563717
4.52,162.70903917243626,0.71185005
4.54,167.05864605069894,0.74767303
4.56,172.70830796354912,0.58720684
4.58,174.99452685636015,0.47401917
4.6,171.91985460247315,0.58924335
4.62,171.6579469264457,0.65386283
