time,frequency,confidence
0.0,197.01514822328824,0.071605906
0.02,201.15384127841352,0.057558894
0.04,202.74660956095775,0.2907915
0.06,202.2951972997771,0.58599544
0.08,199.61683527879535,0.7495725
0.1,198.6323832864137,0.76937014
0.12,184.91821705968096,0.2708487
0.14,166.83398515463725,0.49890032
0.16,155.9352445019996,0.7428993
0.18,148.08754268451116,0.79273474
0.2,146.00493827036505,0.88475156
0.22,145.9183583687563,0.8570591
0.24,144.91009052069603,0.8359329
0.26,142.34852497832756,0.78284746
0.28,141.77272874971115,0.7898293
0.3,142.05802725412693,0.7779846
0.32,142.11199114620098,0.7913481
0.34,143.01690265111435,0.7648623
0.36,145.0963573723063,0.72483253
0.38,151.380140351225,0.7029817
0.4,161.6723116263968,0.49745294
0.42,174.26199759640866,0.6753457
0.44,177.23380286047188,0.834449
0.46,174.61275831333626,0.6978487
0.48,166.85161932450157,0.53394186
0.5,165.44503826846972,0.5869587
0.52,163.59679341107164,0.7858152
0.54,165.4107718721923,0.8111503
0.56,169.84308546657374,0.84203297
0.58,171.7995068003287,0.8669148
0.6,171.70057854344282,0.8687769
0.62,170.50038963619753,0.8728426
0.64,170.01703985576998,0.872551
0.66,169.18789952435193,0.88278323
0.68,167.76161568408713,0.8817632
0.7,165.36535336964235,0.8738797
0.72,167.51759551675792,0.82362485
0.74,176.48928889919506,0.7011621
0.76,187.5761310783872,0.70012
0.78,191.32451573731322,0.8182382
0.8,185.25043702990345,0.84310985
0.82,180.70902330045493,0.716555
0.84,160.4744360968379,0.57891256
0.86,152.7947252264016,0.72220635
0.88,164.35261125047603,0.32131863
0.9,173.75988685979047,0.6931249
0.92,180.03208764901825,0.8911194
0.94,183.46744962568715,0.8844679
0.96,181.55382590724852,0.76050013
0.98,168.0004635002909,0.4568789
1.0,155.69787491521737,0.63118196
1.02,147.8555619691738,0.85603595
1.04,147.8705345384294,0.81800026
1.06,156.4924363653553,0.6169524
1.08,168.72643283196948,0.33807826
1.1,182.86914465859806,0.62429285
1.12,188.57455360253724,0.7203313
1.14,178.72870679071696,0.44467726
1.16,159.1893720958329,0.25995597
1.18,149.5712712825884,0.4974469
1.2,151.98326619242113,0.41457266
1.22,146.52219827554958,0.51696086
1.24,143.469446168874,0.70832384
1.26,140.65921197688706,0.70054895
1.28,140.20769485959121,0.725415
1.3,140.0312658942479,0.79796875
1.32,140.10501492048687,0.81578183
1.34,139.60034288675413,0.77582425
1.36,138.51039803232152,0.6677904
1.38,141.55025675654383,0.29407522
1.4,142.1524311992933,0.5592606
1.42,140.53519274012368,0.6904538
1.44,139.438850416768,0.61834115
1.46,136.06581262001603,0.25619096
1.48,136.22254689735985,0.27694038
1.5,138.6812626875292,0.8282004
1.52,139.5753205167942,0.73653316
1.54,140.8592510203159,0.57942295
1.56,139.944950368207,0.7977624
1.58,136.33057311277395,0.59675443
1.6,135.06456167452404,0.46592766
1.62,137.83204004930872,0.84115905
1.64,138.73206761173745,0.6893834
1.66,141.0629538399122,0.5574212
1.68,142.89745226667776,0.5329771
1.7,142.42488597362498,0.61790705
1.72,142.54881465807722,0.7272602
1.74,144.1985237734274,0.68682075
1.76,141.84192005063935,0.7169424
1.78,142.47028705018766,0.654451
1.8,142.14959629607597,0.8075783
1.82,140.56988285143075,0.39946058
1.84,140.28010718649415,0.8160452
1.86,141.84831764807842,0.76586485
1.88,139.3231495452015,0.6128181
1.9,139.60341310880366,0.7821461
1.92,140.4251840907977,0.69981694
1.94,141.69600502026438,0.75010836
1.96,141.82901046451252,0.81045675
1.98,141.61907316298337,0.7661885
2.0,141.3254112325467,0.71691275
2.02,141.25456307569232,0.5955255
2.04,140.11355920570648,0.73736614
2.06,138.938750296463,0.73045737
2.08,137.3865395437142,0.70567507
2.1,139.23541049794335,0.28922138
2.12,139.28376314542464,0.7202963
2.14,145.3139051745939,0.38942385
2.16,149.85861858047198,0.49933127
2.18,143.93008990580168,0.7226442
2.2,141.54435345764443,0.67284334
2.22,139.84195489791378,0.7114809
2.24,139.23627848605773,0.7532036
2.26,136.37880654298993,0.33541352
2.28,137.4651791861789,0.37526578
2.3,140.39471517835173,0.62745845
2.32,144.2997031931155,0.61794
2.34,141.0268323848466,0.46674156
2.36,139.94083103452607,0.82218945
2.38,139.795278568055,0.8166826
2.4,140.99020436777994,0.6702349
2.42,141.3356999054978,0.4630252
2.44,143.9280215863207,0.24066955
2.46,152.87673647476947,0.71816885
2.48,152.15773687016107,0.7003515
2.5,166.50416072583442,0.43700317
2.52,176.08046651623476,0.51384175
2.54,168.09884938343671,0.73078537
2.56,163.93497045934913,0.45175633
2.58,147.86838960370895,0.54621744
2.6,147.5098965976977,0.5175426
2.62,156.13081974961918,0.48716548
2.64,163.40596426694054,0.28837854
2.66,164.7928868591888,0.68384373
2.68,173.804759485685,0.41104507
2.7,181.00719292533157,0.661636
2.72,178.05602248657138,0.5072475
2.74,160.36844157316423,0.20365006
2.76,155.3141800339432,0.7004279
2.78,151.78175889536536,0.79591244
2.8,149.40167840141987,0.7589426
2.82,154.35867169313235,0.6226084
2.84,171.36803627556498,0.38197932
2.86,179.67024910105852,0.7115958
2.88,186.0550522767798,0.70957124
2.9,184.84321455038133,0.66436744
2.92,171.58866406063072,0.7321105
2.94,167.1468531232044,0.7677563
2.96,147.40984272016075,0.39838514
2.98,137.4340640142785,0.6775621
3.0,136.0883691711234,0.4896369
3.02,141.42876993845195,0.523281
3.04,146.37484041428476,0.65927285
3.06,150.75090897390564,0.651675
3.08,154.19005020748878,0.7352082
3.1,156.29169512416286,0.8057457
3.12,162.8565959656665,0.69088787
3.14,168.7401501863678,0.8061872
3.16,171.08680118541147,0.8433336
3.18,172.36338428797023,0.7785289
3.2,172.53852064507436,0.7883574
3.22,173.05498512973767,0.79508626
3.24,171.9484257692045,0.827426
3.26,172.30591016818056,0.8120805
3.28,173.34555825763613,0.8183456
3.3,173.19008337984744,0.8317626
3.32,172.1472555890236,0.7803828
3.34,170.22939897167407,0.821833
3.36,168.9056795539069,0.8567485
3.38,168.36340874178512,0.87206316
3.4,169.0946740722458,0.8799996
3.42,168.34274461514096,0.8726131
3.44,167.67420854173275,0.8805939
3.46,168.2120840761851,0.8687823
3.48,167.98433325394282,0.8729013
3.5,168.9590032603007,0.8730043
3.52,170.65377862571668,0.86455584
3.54,170.61190227372666,0.8320613
3.56,170.5251401074973,0.80860156
3.58,170.4051481396532,0.83218676
3.6,170.2388598820679,0.83502865
3.62,169.92208107213284,0.8400867
3.64,170.47875060704376,0.8492227
3.66,172.4618839164749,0.8088715
3.68,174.01131558211267,0.8242766
3.7,171.97880318352935,0.75428605
3.72,164.23015322007342,0.45016202
3.74,146.27040915616067,0.37450144
3.76,148.19603785755038,0.37671784
3.78,162.32447823333922,0.55826664
3.8,168.8432529294943,0.8845137
3.82,170.5842203566668,0.9002392
3.84,171.1804129830196,0.9090863
3.86,171.23313190793488,0.8951902
3.88,169.8967288345261,0.8834201
3.9,168.00446327718234,0.85941046
3.92,165.23301656936212,0.77038175
3.94,162.9582361850389,0.7143978
3.96,166.05312344444206,0.76066244
3.98,169.5277414103042,0.840442
4.0,174.08837846739428,0.7721423
4.02,177.08786827400513,0.7817414
4.04,173.01051595377072,0.7477395
4.06,169.15949860556364,0.73969865
4.08,166.81745470140956,0.77745515
4.1,169.1692950155975,0.75018346
4.12,173.2241152409256,0.7625153
4.14,175.16460558920272,0.7238109
4.16,173.40515242311866,0.6345352
4.18,163.99311036717987,0.15653467
4.2,156.55376539476723,0.19349292
4.22,152.71496545450785,0.5428011
4.24,146.24741180509483,0.20066753
4.26,145.54278647471833,0.4051303
4.28,148.0211464759301,0.62465465
4.3,157.1539418534433,0.4511152
4.32,171.4529658546039,0.48678172
4.34,173.81766726891954,0.72414887
4.36,171.5188591098317,0.68302745
4.38,175.85206327967916,0.521201
4.4,175.4351753982667,0.523548
4.42,173.79310444823918,0.634311
4.44,166.63312036978934,0.5588986
4.46,169.00280033889373,0.6105343
4.48,167.89653199640156,0.67724824
4.5,168.19301727045263,0.76690507
4.52,170.90728404162087,0.73749363
4.54,171.31317238558415,0.7362257
4.56,169.66061725005477,0.49507874
4.58,165.5862714056342,0.79140264
4.6,168.32413333078028,0.6321244
4.62,168.126624563868,0.72046214
4.64,170.77391605580448,0.7319772
4.66,172.8331429939198,0.7927048
4.68,173.2248025218322,0.75839734
4.7,171.62332691619628,0.7751159
4.72,173.8676235753345,0.69287324
4.74,170.04467729566505,0.7954316
4.76,170.1657965213023,0.7753986
4.78,174.04473959023338,0.7996118
4.8,173.76755545197145,0.802902
4.82,172.98968501813948,0.78851897
4.84,171.08709573029532,0.8411415
4.86,172.08670166120615,0.80258864
4.88,173.97864334597412,0.7475183
4.9,172.25152126276805,0.7704268
4.92,171.8424847275026,0.84087664
4.94,172.1162547767055,0.8340775
4.96,172.68480208350837,0.8295218
4.98,172.88392821314233,0.78121686
5.0,173.4434221703907,0.7787192
5.02,170.917896049784,0.82561684
5.04,168.08277722622645,0.79708713
5.06,176.77008064635484,0.3372286
5.08,175.577896478242,0.6331426
5.1,173.38531864363358,0.7590103
5.12,170.800943179771,0.82374096
5.14,170.03685834419443,0.733405
5.16,165.55236557735842,0.6384002
5.18,166.17036314601182,0.71437013
5.2,168.670394424566,0.70303893
5.22,168.48764304928795,0.61413276
5.24,166.5463929560865,0.76511216
5.26,167.8261091417103,0.7486551
5.28,166.48693708309963,0.60965365
5.3,163.66102678213596,0.5632669
5.32,164.29562221902674,0.49855915
5.34,153.40619396993327,0.23992434
5.36,148.60622144106426,0.19815347
5.38,142.23527002103896,0.23250493
5.4,145.5497484264905,0.33058977
5.42,151.438136693687,0.4117065
5.44,149.57601565868944,0.63883626
5.46,146.49602261454444,0.4117552
5.48,151.20447085120287,0.19844925
5.5,152.44309572946312,0.60126895
5.52,150.09798410318342,0.6839012
5.54,155.13924893983418,0.46681935
5.56,149.0602626888955,0.47969225
5.58,146.34300635366816,0.6238984
5.6,144.11222079368505,0.34955457
5.62,146.92535311356227,0.107947975
5.64,144.5883968902607,0.16035165
5.66,147.14751411889932,0.33687505
5.68,146.60449627194566,0.14462225
5.7,147.2546607768696,0.48620993
5.72,148.27598057739945,0.26729208
5.74,148.38778250905176,0.3644028
5.76,143.59114109722282,0.4464178
5.78,145.9025523541188,0.37661946
5.8,148.23930396321234,0.31323248
5.82,147.26656840404584,0.1567571
5.84,150.76437918691323,0.14601526
5.86,150.64110969251945,0.55542433
5.88,147.04412112495163,0.42205855
5.9,146.9618028596462,0.6871705
5.92,146.55840467735396,0.6908197
5.94,141.40768692298428,0.32527158
5.96,141.2266866418788,0.21391208
5.98,142.54482812107207,0.2215136
6.0,142.62441221260423,0.35600358
6.02,141.23238796404223,0.29198617
6.04,142.6315678326719,0.1883861
6.06,143.98248979023367,0.13702889
6.08,142.56128089932326,0.28725412
6.1,139.29963292564628,0.19022433
6.12,140.86179499431842,0.35849604
6.14,144.15239896302066,0.4295238
6.16,147.89709562753626,0.3460491
6.18,148.31261115914316,0.33334398
6.2,146.3062336108578,0.33506244
6.22,143.02943882289065,0.51940954
6.24,138.9312283850843,0.29042125
6.26,150.88414886829523,0.18837532
6.28,161.90777821366154,0.18739292
6.3,168.44017752921525,0.293239
6.32,174.60858804142458,0.53104687
6.34,185.69900653193056,0.17949022
6.36,192.411286475247,0.43521076
6.38,186.49664760225573,0.35332128
6.4,167.69607301651973,0.42460594
6.42,154.86187902590828,0.27629954
6.44,145.2639937103287,0.5057423
6.46,140.70773505417486,0.56152654
6.48,142.34179854423078,0.39417782
6.5,146.49761999931115,0.12986836
6.52,146.25779322125413,0.1879619
6.54,144.64746781792573,0.27648783
6.56,142.68522732288977,0.30716848
6.58,142.4735687673642,0.34956172
6.6,148.4834298079769,0.23710017
6.62,164.40024429600757,0.48847228
6.64,182.05978857377198,0.40789205
6.66,197.07377919567955,0.5260546
6.68,194.8430495230957,0.33135983
