time,frequency,confidence
0.0,154.81985383741477,0.10070942
0.02,154.37795846574113,0.040438477
0.04,157.7517786043683,0.3739436
0.06,156.15954771601488,0.54610443
0.08,155.866152031046,0.7261873
0.1,158.1349050483187,0.6045729
0.12,156.84512024139525,0.4271805
0.14,149.579510311372,0.14961474
0.16,138.60146249172948,0.4221783
0.18,123.5287234775146,0.4028226
0.2,117.07408615862585,0.43082228
0.22,112.05164527243718,0.79176986
0.24,110.88739635283335,0.7153586
0.26,108.69248760438134,0.7362968
0.28,105.59582369454236,0.60066336
0.3,103.32145839928063,0.46424425
0.32,103.14533199929875,0.6090158
0.34,100.79435476436893,0.52923846
0.36,99.818505825532,0.34978247
0.38,98.75899509009515,0.2911601
0.4,101.67693470495139,0.33070603
0.42,111.00431863474414,0.0702583
0.44,118.42443117565325,0.21924114
0.46,126.20685808655253,0.6329256
0.48,129.12441856357037,0.6616343
0.5,142.3002125864895,0.23205625
0.52,145.77886001085344,0.23862317
0.54,145.6982448534384,0.20051394
0.56,138.42083346153387,0.14795245
0.58,129.46079457856703,0.30629167
0.6,119.55951694911577,0.8157089
0.62,115.2398406256352,0.7511001
0.64,111.11315379561913,0.8483573
0.66,110.76823487914754,0.882464
0.68,109.23359307319524,0.80797446
0.7,119.6527545647574,0.44166246
0.72,129.8477710552077,0.46437907
0.74,140.25826592965998,0.43370402
0.76,157.03893863078386,0.5400965
0.78,169.03641947514012,0.4017855
0.8,186.70063407986436,0.47724763
0.82,201.81433832463452,0.1356216
0.84,196.10101575059335,0.09793511
0.86,195.34199994754164,0.35377833
0.88,200.10450627567127,0.19166857
0.9,200.42943721278394,0.13339773
0.92,206.75098109573565,0.5564387
0.94,209.4498886759899,0.8090385
0.96,211.26587950796272,0.8428925
0.98,213.0344205680457,0.8477782
1.0,214.96181710416423,0.8747012
1.02,217.3071586856507,0.8458619
1.04,225.62974755545793,0.39364186
1.06,249.15339379724625,0.6965455
1.08,250.61907123268057,0.8405624
1.1,240.8865032976391,0.6618328
