time,frequency,confidence
0.0,250.59945016891018,0.049540587
0.02,253.72314435815605,0.26247668
0.04,253.99053374369515,0.5791093
0.06,255.68840484674763,0.8368576
0.08,256.66318139938403,0.78627765
0.1,255.31391960326172,0.4313389
0.12,254.09772232607193,0.50429213
0.14,253.62134335935522,0.57359487
0.16,256.1081134021509,0.5350665
0.18,255.29094503085926,0.4077224
0.2,254.60664121525622,0.4829775
0.22,255.86558506932863,0.38082206
0.24,255.0992536434185,0.34482744
0.26,238.58360132553724,0.2615116
0.28,207.1843198387122,0.4146353
0.3,194.0359855707294,0.35045138
0.32,189.9748800225639,0.3612964
0.34,185.10914809450543,0.32615948
0.36,186.50726853836855,0.28379527
0.38,190.72720142262983,0.45315576
0.4,194.54855050374442,0.4041223
0.42,211.95581197265966,0.467971
0.44,244.505299029392,0.6176479
0.46,260.57838985266955,0.4456404
0.48,259.8266310810784,0.6018843
0.5,258.2788206748266,0.51549715
0.52,256.89235584404065,0.53346395
0.54,256.15663569865455,0.23883495
0.56,228.45493947143981,0.6625483
0.58,198.44791080232963,0.70381105
0.6,197.06778009331464,0.5645077
0.62,184.61659619583227,0.65999573
0.64,180.79816866428487,0.5659002
0.66,182.8875497462351,0.683156
0.68,191.45193296004865,0.6894548
0.7,200.13245010388425,0.8326047
0.72,200.94891371790507,0.8483639
0.74,194.18989385777704,0.49936658
0.76,182.6985154489395,0.71820855
0.78,205.35386790496,0.6115862
0.8,231.29296795595707,0.43235287
0.82,255.06863316655168,0.5206332
0.84,256.2092184537654,0.6954368
0.86,256.22431968935706,0.68217725
0.88,256.7069918930472,0.7652525
0.9,256.88671852098895,0.8199319
0.92,256.81802379050316,0.8290341
0.94,256.5071107278032,0.81184703
0.96,256.46580107717875,0.7918507
0.98,257.0757666754085,0.774851
1.0,256.7548879125616,0.7428229
1.02,256.0022569948301,0.4625177
1.04,254.1888479878778,0.6313031
1.06,254.2114700110599,0.69215596
1.08,257.54276106341814,0.74924666
1.1,258.25020837982936,0.66000783
1.12,257.80822925975997,0.41351476
1.14,256.7577848321106,0.7054757
1.16,257.7829923427313,0.60427105
1.18,257.10986149340494,0.64033014
1.2,256.39762291369095,0.69062996
1.22,255.7077430971171,0.7078643
1.24,254.47345850760985,0.6969952
1.26,253.43938211696576,0.77115643
1.28,254.67085453784557,0.79972506
1.3,256.09578589993805,0.8283419
1.32,256.79916513845546,0.79661584
1.34,256.5373490595735,0.78215027
1.36,257.1012208869115,0.78531003
1.38,257.91626355888815,0.7826016
1.4,256.7747414107691,0.80669594
1.42,257.25625280573024,0.8087312
1.44,257.08422046530535,0.8186404
1.46,256.002197498339,0.82291543
1.48,254.65157912058083,0.8279483
1.5,254.65391598901738,0.8250155
1.52,254.8621788649259,0.76774895
1.54,257.4252445799121,0.74055004
1.56,257.9394537583702,0.7471412
1.58,256.23926583262204,0.7441939
1.6,255.5196566423856,0.76734847
1.62,254.9996067207614,0.73874235
1.64,255.54166338942827,0.69299066
1.66,256.3105145026723,0.6360613
1.68,256.4144586414172,0.63998383
1.7,250.88194996208867,0.6503741
1.72,249.81402887588206,0.5028188
1.74,251.22229645095166,0.20459737
1.76,251.7721000016431,0.49630445
1.78,254.33083342856466,0.7181201
1.8,253.66987580592837,0.5288972
1.82,254.93841062054244,0.18368968
1.84,250.05987796577534,0.4244824
1.86,237.47597037717503,0.37755817
1.88,226.5717516357408,0.45693812
1.9,218.58361998954075,0.20376709
1.92,200.51730646613535,0.24162914
1.94,185.39602189037637,0.264645
1.96,175.28244044081083,0.35193363
1.98,163.36499901786402,0.22737661
2.0,149.44178528155763,0.32072148
2.02,141.81584080510203,0.24843049
2.04,144.13242062386234,0.21005301
2.06,145.73062715527223,0.3231199
2.08,140.45165997588742,0.6325832
2.1,140.77532040201592,0.5338738
2.12,141.00569431880788,0.48491448
2.14,144.93746427108488,0.19257572
2.16,148.23492425439255,0.2950164
2.18,150.6518189050532,0.3258153
2.2,158.25123087987848,0.30221865
2.22,148.8302603106342,0.3980964
2.24,143.13738669432536,0.18335359
2.26,140.47578517773638,0.20870015
2.28,141.00922672420745,0.23714283
2.3,146.02026379502516,0.15284476
2.32,158.27139769744787,0.48756382
2.34,151.22848275143238,0.56628525
2.36,150.34168968499725,0.31056497
2.38,150.2986225275747,0.5269635
2.4,146.20195173167286,0.69832087
2.42,145.1128876694786,0.6673738
2.44,143.26789445166318,0.6549146
2.46,142.3341356702718,0.5651252
2.48,142.71713562005885,0.73161316
2.5,144.314790792765,0.81817895
2.52,143.77222431137278,0.8451466
2.54,158.65807026811837,0.84004784
2.56,181.53414958806007,0.85550666
2.58,206.00717370291983,0.8396052
2.6,231.64402509571983,0.75446033
2.62,258.7611657730707,0.77709275
2.64,285.3904986603416,0.6773723
2.66,284.7378760339604,0.836235
2.68,286.9675467612911,0.8565521
2.7,288.3086385468403,0.89542997
2.72,287.3998827038233,0.8802088
2.74,287.9591944070747,0.88716054
2.76,287.23783754676964,0.883028
2.78,285.3469108162992,0.8754061
2.8,285.32145462005735,0.86426973
2.82,285.9770832133621,0.84905326
2.84,286.61506412612886,0.8354852
2.86,288.84735845696764,0.82711625
2.88,287.42323037414593,0.8281684
2.9,285.47456235759023,0.81126964
2.92,285.26535945608043,0.84621304
2.94,286.2330533264284,0.8069852
2.96,287.7741091057002,0.8364568
2.98,289.2536606614962,0.76400423
3.0,288.28454234469916,0.7818762
3.02,286.55592012369476,0.7962235
3.04,286.1519544296545,0.8199319
3.06,285.90367896066533,0.87516856
3.08,286.22629666459494,0.8656259
3.1,288.5165531727097,0.78470516
3.12,292.30090602021403,0.70460904
3.14,285.04280531664307,0.76699847
3.16,285.28652012150286,0.7473872
3.18,261.9606102393741,0.56396186
3.2,236.12756120445954,0.54311556
3.22,208.44363018870604,0.7083119
3.24,183.8787568451972,0.5342009
3.26,162.0542637430053,0.5622938
3.28,147.28030546982365,0.49336216
3.3,145.01384315939043,0.7332577
3.32,140.55466370129753,0.7529013
3.34,140.58080285071793,0.7943323
3.36,144.41116273350556,0.6982188
3.38,144.07228512506774,0.70769244
3.4,143.19743924179306,0.18020283
3.42,142.90510625731235,0.15251635
3.44,139.85657251326265,0.48829535
3.46,128.28694147818547,0.4029878
3.48,125.18782935285333,0.6954733
3.5,125.31331666465468,0.6235514
3.52,126.68598680225483,0.5074247
3.54,127.93453927477407,0.7524371
3.56,128.45267525122927,0.67680097
3.58,126.95417058886417,0.6743883
3.6,126.99922590200322,0.6381019
3.62,127.25604227829822,0.74428177
3.64,127.49898211791646,0.7953883
3.66,138.075500402779,0.807463
3.68,158.72856979263526,0.66794723
3.7,180.83449382641336,0.76070076
3.72,202.3735800533924,0.6997459
3.74,228.47624703311794,0.6529864
3.76,248.30011343273,0.42454696
3.78,251.9735927732035,0.2897099
3.8,251.402585405222,0.50939834
3.82,250.2068805664736,0.71084
3.84,253.6622124629929,0.69084734
3.86,256.08575618711944,0.80850923
3.88,255.77958944230173,0.80217034
3.9,253.3371500681213,0.60346746
3.92,257.1276764941741,0.19042698
3.94,251.8615889424417,0.6904157
3.96,252.50197800071174,0.73362607
3.98,251.57660106889435,0.7332732
4.0,250.65232493279748,0.7669396
4.02,249.53383485621615,0.68892384
4.04,250.17664954597254,0.78125906
4.06,255.9543192916885,0.60432565
4.08,257.6675017780718,0.425292
4.1,254.487280213938,0.49347728
4.12,257.0112725226291,0.5181328
4.14,257.4099594313156,0.6151668
4.16,258.4337067940964,0.60303956
4.18,258.3155545698714,0.55236244
4.2,256.18996061145316,0.4409317
4.22,256.76941373875786,0.6482698
4.24,256.4846155557058,0.74576926
4.26,256.22483046478214,0.6560577
4.28,256.36255341820333,0.5285706
4.3,254.3921096603877,0.4010931
4.32,251.06579260107748,0.50387603
4.34,248.99957472314247,0.43214837
4.36,251.95164885128972,0.51683664
4.38,254.77942601048443,0.49684155
4.4,257.17032454241735,0.47536573
4.42,257.90574327372644,0.6161549
4.44,255.086802700599,0.37017256
4.46,248.79909534970028,0.46775922
4.48,249.67126249769052,0.69028795
4.5,249.73648001038532,0.76655257
4.52,252.3758350480727,0.5552492
4.54,252.64935414681526,0.3351908
4.56,256.69428183146005,0.38011557
4.58,257.2760098609013,0.51178193
4.6,258.35719971556125,0.61871177
4.62,255.6150888090438,0.6961271
4.64,254.61141957613535,0.68096584
4.66,255.76110799059396,0.700827
4.68,254.95503774996465,0.7487972
4.7,255.601883390528,0.7897569
4.72,256.5252959437844,0.7859134
4.74,256.73222964825305,0.7632885
4.76,257.76988281704683,0.73396796
4.78,256.7936050910953,0.6016635
4.8,256.3420403942106,0.41858068
4.82,257.6523358307199,0.48967
4.84,259.4437578332911,0.7314862
4.86,251.18174189848034,0.44184628
4.88,250.72638249612947,0.09513078
4.9,248.42268429157394,0.53825295
4.92,236.30935657348522,0.35904393
4.94,216.69479875007278,0.33892027
4.96,213.92360939570412,0.34098604
4.98,203.69531909226686,0.5251112
5.0,211.59934008034523,0.56715286
5.02,222.5701546212666,0.528785
5.04,222.23088331352784,0.46153742
5.06,225.93725808409556,0.24991186
5.08,231.29737033384725,0.19885115
5.1,216.19494834782287,0.33868572
5.12,195.67778470729647,0.27036515
5.14,182.29614670600031,0.61594284
5.16,184.4274519390925,0.83714813
5.18,188.37055009372256,0.64722115
5.2,193.13596687139975,0.2756623
5.22,198.9326290094192,0.76948667
5.24,196.04304523668063,0.8881249
5.26,195.85315240521697,0.8773755
5.28,192.1913479660106,0.7700263
5.3,181.1020609144944,0.70516443
5.32,174.6667906631063,0.7365712
5.34,178.9828211108066,0.61609876
5.36,193.37722364955565,0.552487
5.38,204.53034157721422,0.35413685
5.4,216.05302439955813,0.38697654
5.42,203.69181329286147,0.5761714
5.44,202.534342599928,0.39742273
5.46,202.86399841867484,0.2620824
5.48,198.28368198711274,0.69285035
5.5,194.75436732413152,0.36366063
5.52,183.35313044307327,0.5657673
5.54,190.74863506523815,0.8190643
5.56,194.277396599533,0.88736016
5.58,196.05256572617665,0.9280061
5.6,193.9605726005807,0.8378742
5.62,188.69461766396753,0.8060461
5.64,185.86784372670087,0.8508205
5.66,184.53783348820454,0.86700106
5.68,184.9268212177363,0.8459172
5.7,191.63779213846058,0.83609813
5.72,195.54218121469597,0.90565795
5.74,195.5964935719278,0.9087312
5.76,192.09916402613257,0.8517492
5.78,187.29869596773128,0.8059424
5.8,184.59723324543134,0.83657163
5.82,185.27206117712737,0.8478652
5.84,184.5537532097509,0.78125834
5.86,189.72141084686706,0.7656993
5.88,184.33536045264765,0.79256684
5.9,179.25744684007833,0.72323453
5.92,171.21720391828916,0.7030954
5.94,172.04920970122316,0.67693925
5.96,185.67441638553166,0.52697086
5.98,197.77239935926752,0.82603484
6.0,196.54275926755224,0.88110936
6.02,187.85033895283368,0.6487275
6.04,168.90390848788613,0.48576415
6.06,161.5022392543676,0.82611376
6.08,165.3296124202873,0.5050695
6.1,186.02688003703128,0.55703604
6.12,194.37644394707021,0.85100734
6.14,196.88473022654216,0.9172519
6.16,192.4845095866653,0.764833
6.18,182.94724536712118,0.62014925
6.2,172.22657791399226,0.72871685
6.22,174.37316541432838,0.6463888
6.24,183.88724956319803,0.7378206
6.26,194.65299649403136,0.7963759
6.28,197.72681019937212,0.8624842
6.3,195.43257352536682,0.61939645
6.32,185.64226997489612,0.6413492
6.34,181.72837573564817,0.2958472
6.36,170.05720872419028,0.41148108
6.38,159.96925733567136,0.33952904
6.4,155.88513467396996,0.3124708
6.42,146.9138778478162,0.15705453
6.44,140.0680330723982,0.6963458
6.46,139.29172702684755,0.58322346
6.48,140.24177843963574,0.5607418
6.5,139.60380238139598,0.5159435
6.52,141.62673119777656,0.5669262
6.54,145.0810003494856,0.72288257
6.56,154.22980548419054,0.2890584
6.58,159.20980316010247,0.72957546
6.6,161.1677462265401,0.79512143
6.62,157.39590186836975,0.7676168
6.64,151.38140310420457,0.5789447
6.66,149.09454774299763,0.7505865
6.68,148.43802176239345,0.8442303
6.7,150.43072824349917,0.8525707
6.72,151.07131092667782,0.8580531
6.74,150.4748569241394,0.8391613
6.76,148.31398321491952,0.8816056
6.78,149.219951045159,0.8820283
6.8,148.5838377842564,0.8456104
6.82,150.69834030603778,0.7194645
6.84,152.15670753431561,0.3373781
6.86,146.34013473860054,0.254863
6.88,159.09246633373996,0.2642726
6.9,179.6691631730792,0.32205865
6.92,203.59547099390792,0.61736363
6.94,232.79734242152048,0.80660784
6.96,261.3461359785405,0.8145647
6.98,286.9633649047031,0.686504
7.0,288.0285163865786,0.8110683
7.02,289.09933574368773,0.806501
7.04,290.09804522301533,0.65677243
7.06,289.7999652975229,0.68314016
7.08,290.2692666875185,0.61394674
7.1,289.4892740834915,0.80279064
7.12,287.6973600837822,0.84363145
7.14,288.5895081701818,0.85378146
7.16,288.68851101049233,0.8611211
7.18,289.1665357045708,0.85919416
7.2,289.96023584333307,0.8651641
7.22,288.2452154494613,0.8746842
7.24,286.1147324204871,0.85608274
7.26,287.46000172245755,0.844483
7.28,287.9329264409604,0.81841695
7.3,288.5342030561111,0.77356005
7.32,288.2600083343989,0.82253885
7.34,287.45228189190277,0.84805626
7.36,281.4157154185096,0.7132516
7.38,265.3026374620355,0.4461944
7.4,282.82204199562443,0.47834766
7.42,293.9178791114464,0.34377033
7.44,295.076641176448,0.44554693
7.46,293.56491681322206,0.45578074
7.48,287.01192841763464,0.49506524
7.5,280.8457200935476,0.4330373
7.52,280.83326214024333,0.7019853
7.54,275.9739316370352,0.75353193
7.56,257.00613211165273,0.6845983
7.58,256.75939760555286,0.29406708
7.6,277.19232129755204,0.6818562
7.62,282.01705406147374,0.8668679
7.64,289.79429515815275,0.7458348
7.66,292.91207022909384,0.70715386
7.68,288.92352495294,0.78187275
7.7,287.69233172712467,0.6163871
7.72,286.33645003467916,0.7958098
7.74,280.44834584194456,0.84416443
7.76,278.20868788453856,0.7003899
7.78,265.09441619651017,0.6297585
7.8,256.6420110871412,0.4445035
7.82,253.5946580941246,0.38602844
7.84,253.42436895513038,0.57857525
7.86,253.65246565087187,0.6695793
7.88,253.09784820139865,0.6663649
7.9,249.77575353944889,0.5129462
7.92,253.5442888824846,0.55668926
7.94,253.08432912145744,0.6878798
7.96,251.749382158198,0.6523179
7.98,252.9560932453502,0.80434084
8.0,252.32557947658987,0.69525534
8.02,256.44429179622125,0.43106166
8.04,258.5879175525858,0.39454722
8.06,254.10976339028437,0.4138183
8.08,257.00121447826314,0.62813365
